phone,friday,condoms_male,additionalinfo,tuesday,facilityname-service_category
212-749-6626,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Ahma Rx-Free Safer Sex Products
,4:00 PM - 4:00 AM,True,Find free safer sex products inside a dispenser located in the back near the restroom at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,4:00 PM - 2:00 AM,Branded Saloon-Free Safer Sex Products
347-219-8397,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Barbers Studio-Free Safer Sex Products
212-666-3600,9:00 AM - 7:00 PM,True,Find free safer sex products inside a bowl located next to the register at this location.Last Updated: 7/23/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 7:00 PM,Harlem Care Pharmacy-Free Safer Sex Products
718-773-1640,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Ladies Stop Shoes & Accessories-Free Safer Sex Products
347-231-5251,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Five Star Barber Shop-Free Safer Sex Products
917-202-5825,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Value Tax Service-Free Safer Sex Products
,9:00 AM - 5:00 PM,True,Find free safer sex products inside a fishbowl located in the front at this government agency. Last Updated: 12/9/2020 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,Office of Birth Certificates-Free Safer Sex Products
212-426-5555,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Lexington Avenue Pharmacy-Free Safer Sex Products
347-442-5255,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,JADE-Free Safer Sex Products
,5:00 PM - 4:00 AM,True,Find free safer sex products inside a fishbowl located in the bar at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,5:00 PM - 4:00 AM,Littlefield-Free Safer Sex Products
347-505-1800,8:30 AM - 4:30 PM,True,Find free safer sex products inside a clear plastic located lobby at this location.Last Updated: 9/23/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:30 AM - 4:30 PM,Brownsville Multi-Service Family Health Center @  Ashford-Free Safer Sex Products
7189238204,9:00 AM - 4:00 PM,True,Find free safer sex products at this social service.Last Updated: 9/23/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 4:00 PM,Red Hook Community Justice Center-Free Safer Sex Products
347-703-1590,11:00 AM - 9:00 PM,True,Find free safer sex products at this barbershop. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,11:00 AM - 9:00 PM,Icons Barber Shop-Free Safer Sex Products
347-577-5511,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Chris Liquor-Free Safer Sex Products
,8:00 AM - 5:00 PM,True,Find free safer sex products inside a fishbowl located in the front near the entrance at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Pieces Bar-Free Safer Sex Products
646-454-1449,12:00 AM - 12:00 AM,True,Find free safer sex products inside a dispenser located on the counter at this men's spa. Last Updated: 9/25/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,12:00 AM - 12:00 AM,East Side Club-Free Safer Sex Products
212-505-9408,9:00 AM - 10:00 PM,True,Find free safer sex products inside a dispenser located near th front door by the coat rack at this barbershop. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 9:00 PM,Kike Barber Shop-Free Safer Sex Products
917-412-9761,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Platinum Image Salon-Free Safer Sex Products
844-400-1975,8:00 AM - 3:30 AM,True,Find free safer sex products at this clinical facility.Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 3:30 AM,Jessica-Free Safer Sex Products
718-507-8191,4:00 PM - 4:00 AM,True,Find free safer sex products inside a dispenser/fishbowl located in the front by the door at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,4:00 PM - 4:00 AM,Ritz Lounge-Free Safer Sex Products
,8:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser located near the counter at this tattoo parlor. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Kundalin Ink (Formerly Omega Tattoos)-Free Safer Sex Products
718-407-9768,8:00 AM - 5:00 PM,True,Find free safer sex products at this barbershop. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Avenue Barbershop-Free Safer Sex Products
718-856-7575,12:00 PM - 4:00 AM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,12:00 PM - 4:00 AM,Level One Salon-Free Safer Sex Products
718-399-0200,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,FLATBUSH AVENUE AND NOSTRAND AVE-Free Safer Sex Products
347-320-7805,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Good Vibez Barber Shop-Free Safer Sex Products
718-388-4682,12:00 PM - 11:00 PM,True,Find free safer sex products inside a container located by the door at this bar/lounge. Last Updated: 9/26/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,12:00 PM - 11:00 PM,The Graham-Free Safer Sex Products
646-509-9309,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Twisted Rootz Juice Bar & Cafe-Free Safer Sex Products
212-281-2762,10:00 PM - 3:00 AM,True,Find free safer sex products inside a fishbowl (2) located in the back at this night club. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Paddles-Free Safer Sex Products
718-395-4000,9:00 AM - 7:00 PM,True,Find free safer sex products inside a basket and bowl located by the front register at this location.Last Updated: 9/23/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 7:00 PM,Mediserv Pharmacy-Free Safer Sex Products
718-781-4281,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,El & Johns Barbershop-Free Safer Sex Products
646-987-3436,9:00 AM - 5:00 PM,True,"Find free safer sex products inside a bowl located waiting room, exam room at this physician. Last Updated: 9/21/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .",9:00 AM - 6:00 PM,NYU Langone Medical Associates Penn District-Free Safer Sex Products
973-336-6094,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Jhonkirs Salon/ Beauty Spa-Free Safer Sex Products
718-295-5300,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Scapelly Barber Shop-Free Safer Sex Products
718-457-1934,8:00 AM - 5:00 PM,True,Find free safer sex products inside a fishbowl located to the left of the bar at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Blind Tiger-Free Safer Sex Products
347-272-7210,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,BRANDY BARBERSHOP-Free Safer Sex Products
718-426-1515,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Executive Fitness Center-Free Safer Sex Products
347-963-1853,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Elite Barber & Beauty Salon Express-Free Safer Sex Products
7188638695,9:00 AM - 5:00 PM,False,Find free safer sex products at this clinical facility.Last Updated: 9/26/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,Bronx Park Surgery-Free Safer Sex Products
212-924-3557,8:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser located in the front near the entrance at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Manhattan Monster-Free Safer Sex Products
917-405-7905,4:00 PM - 2:00 AM,True,Find free safer sex products inside a fishbowl located in the bar at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,4:00 PM - 2:00 AM,Rise Bar-Free Safer Sex Products
718.946.9070,9:00 AM - 6:00 PM,True,Find free safer sex products at this physician.Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 6:00 PM,Mihail  Medvedovsky  physician  pc-Free Safer Sex Products
212-924-8315,9:30 AM - 10:00 PM,True,Find free safer sex products inside a dispenser located in the back at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:30 AM - 10:00 PM,Oxigeno-Free Safer Sex Products
212-414-9755,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,New London Specialty Pharmacy-Free Safer Sex Products
718-651-2797,4:00 PM - 4:00 AM,True,Find free safer sex products inside a fishbowl located behind the bar at this night club. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,4:00 PM - 4:00 AM,Atlas Social Club-Free Safer Sex Products
718-737-6309,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Gantry-Free Safer Sex Products
7182970099,9:30 AM - 6:30 PM,False,Find free safer sex products at this location.Last Updated: 9/23/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:30 AM - 6:30 PM,QUEENS DRUGS AND SURGICAL PHARMACY-Free Safer Sex Products
646-972-1327,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,TOBACCO GRAB & GO-Free Safer Sex Products
347-750-5922,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Top Shelf Ink Tattoo Studio-Free Safer Sex Products
212-860-9632,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,M Reyes Barber Shop-Free Safer Sex Products
347-603-7897,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Hall of Fame Barber Shop-Free Safer Sex Products
551-247-5216,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,KWEEN'S KLOSET-Free Safer Sex Products
212-729-1769,8:00 AM - 5:00 PM,True,Find free safer sex products inside a fishbowl located in the front near the entrance at this night club. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,DROM (Formerly  Big Lug)-Free Safer Sex Products
347-932-7158,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,CLASSIC FADEZ-Free Safer Sex Products
,8:00 AM - 5:00 PM,False,Find free safer sex products inside a dispenser located on the left side when entering at this tattoo parlor. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Clinton Novelties/20 Clinton Ink-Free Safer Sex Products
347-567-2955,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Stay Sharp Barber Shop-Free Safer Sex Products
212-928-6342,9:00 AM - 10:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 10:00 PM,Columbia Pharmacy-Free Safer Sex Products
,8:00 AM - 5:00 PM,True,Find free safer sex products inside a fishbowl located in the front at this retail store. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Hair Fashion-Free Safer Sex Products
347-808-8832,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Dr. Smoke-Free Safer Sex Products
,4:00 PM - 4:00 AM,True,Find free safer sex products inside a fishbowl located near the coat room at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,4:00 PM - 4:00 AM,Rebar (Formerly  Lounge)-Free Safer Sex Products
718-399-0200,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Nostrand Ave & Church Ave-Free Safer Sex Products
718-328-9217,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Longwood Barber Shop-Free Safer Sex Products
347-916-0444,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,The Brooklyn Sweet Shop-Free Safer Sex Products
347-396-7959,8:30 AM - 3:30 PM,True,Find free safer sex products inside a fishbowl located in the waiting areas/ clinic rooms at this clinical facility. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:30 AM - 3:30 PM,Corona Sexual Health Clinic-Free Safer Sex Products
347-971-8993,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Soota Smoke Shop / Landmark Tabacco shop-Free Safer Sex Products
718-779-0128,3:00 PM - 10:00 PM,True,Find free safer sex products inside a fishbowl located on the bar at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,3:00 PM - 10:00 PM,Monkey Room-Free Safer Sex Products
,8:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser/fishbowl located in the front at this government agency. Last Updated: 1/18/2020 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,NYC Health's Corrections Office-Free Safer Sex Products
917-613-7389,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Fulton Ale House-Free Safer Sex Products
347-284-4241,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,El Classico Barber Shop-Free Safer Sex Products
347-533-9961,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,A Gusto Cafe Thai Bistro Wine Bar-Free Safer Sex Products
718-684-6060,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,La Morena Beauty Salon-Free Safer Sex Products
646-755-4324,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Castillo's Unisex Barbershop/ Beauty Salon-Free Safer Sex Products
,,True,Find free safer sex products inside a fishbowl located inside at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Rainbow Station-Free Safer Sex Products
347-785-7272,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,K & R Barbershop-Free Safer Sex Products
718-792-6000,8:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser located in the waiting room at this community center. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,HASA Center #24 Amsterdam-Free Safer Sex Products
212-677-7335,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Erin'S Pharmacy-Free Safer Sex Products
718-773-2701,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Frodi Dominican Style & Barbershop-Free Safer Sex Products
917-463-8397,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Valentina's Beauty Salon-Free Safer Sex Products
212-515-2062,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Rosa Style (Step Up Barbershop)-Free Safer Sex Products
718-536-8447,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Flow Barber Shop-Free Safer Sex Products
917-609-2150,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Juan Barber Shop-Free Safer Sex Products
718-282-2608,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,F+S Barbershop-Free Safer Sex Products
718-240-5000,8:00 AM - 5:00 PM,True,Find free safer sex products inside a bowl located at the front desk at this clinical facility. Last Updated: 7/8/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:30 AM - 5:00 PM,Kingsbrook Jewish Medical Center-Free Safer Sex Products
,7:00 PM - 4:00 AM,True,Find free safer sex products inside a dispenser located downstairs by the restrooms at this night club. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,7:00 PM - 4:00 AM,Ritmos 60-Free Safer Sex Products
212-675-1864,2:00 PM - 4:00 AM,True,Find free safer sex products inside a fishbowl located near the entrance at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,2:00 PM - 4:00 AM,Lucky 13 Saloon-Free Safer Sex Products
,,True,Find free safer sex products inside a fishbowl located in the front at this youth center. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,New Alternatives-Free Safer Sex Products
