omoid,bin,council_district,bbl,omoawardamount,block,boro,omodescription
5440168,1030942.0,6.0,1011820049.0,587.0,1182,Manhattan,"make bathroom door self closing at 1st community bathroom from north, 2nd story, section ''a'', at east door at 1st community bathroom from"
5376853,2130664.0,17.0,2029550025.0,325.0,2955,Bronx,"at apt #4c as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of"
5402376,2004775.0,17.0,2026650061.0,50.0,2665,Bronx,"at apt #d3 as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all works"
4987908,1063171.0,10.0,1021310048.0,1102.0,2131,Manhattan,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative
5248149,2003389.0,16.0,2025220098.0,390.0,2522,Bronx,nyc hpd emergency operations division essential service work at apt# 3c ( kitchen ) properly repair the defective spring counter balances at u
5227963,3085987.0,42.0,3038670068.0,50.0,3867,Brooklyn,"at apt #2r as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all works"
4941509,5011660.0,50.0,5004080021.0,2480.0,408,Staten Island,at apt#1: demolish the defective/broken/staples protruding wood floor up to joist approx 180 sq.ft. is located at 1st room from east. provide and
5271117,2112841.0,11.0,2033130075.0,295.0,3313,Bronx,"hpd emergency operations service work division install hinges to make door self-closing at the entrance located at apt 5, 3rd story, 1st"
5367313,5106237.0,49.0,5029220001.0,315.0,2922,Staten Island,"as per the requirement contract with hpd, provide and install window guards and repair window guards throughout entire apartment 3w. install total"
2605407,1060502.0,9.0,1020320013.0,52348.0,2032,Manhattan,bathroom/kitchen. phase 1
5246997,2006531.0,17.0,2027630150.0,900.0,2763,Bronx,"( apt # 3e ) at bathroom trace, locate and repair concealed leak(s) above the aforementioned area(s). provide approximately (60) s.f. of restoratio"
4979969,2007821.0,16.0,2028190051.0,4180.0,2819,Bronx,"apt dd 1. trace, locate and repair water/waste water leak at ceiling and walls of kitchen near gas meter. 2. provide and install approximately 96 s"
4988169,4214160.0,28.0,4100080027.0,6400.0,10008,Queens,1. install standard 8ft plywood tightboard fence at front (exposure 1) with returns to enclose front of lot. approx. 65lf fence to be constructed with
5207256,3196598.0,48.0,3072820062.0,440.0,7282,Brooklyn,"nyc hpd emergency operations division essential service work at apt f7, 6th story, 1st apartment from north at east, section at southeast: repla"
5252211,,,,969.02,12248,Queens,"perform asbestos investigation in accordance with title 15, chapter 1, rules of the city of new york, new york industrial code rule 56 and other regul"
5259656,3101204.0,41.0,3046490066.0,9712.0,4649,Brooklyn,as detailed in hpd's lead abatement attached scope of work thoroughly remove all lead violations by following new york city administrative code ï¿½ 27-2
4956440,2005248.0,17.0,2026910044.0,295.0,2691,Bronx,"scope of work: install hinges to make door self-closing at entrance to building front at public hall, 1st story total doors = (1) no"
5375557,2013304.0,15.0,2031430018.0,330.0,3143,Bronx,"at apt #b22 as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total o"
4982648,2018585.0,11.0,2033550037.0,290.0,3355,Bronx,apt 3b properly secure the wall kitchen cabinet of this apartment. note: field dimension and quantities are to be verified by the vendor pri
5110912,3393931.0,37.0,3032487502.0,50.0,3248,Brooklyn,"as per the requirement contract with hpd, provide and install window guards throughout entire apartment 5c. remove all work related debris note:"
5402377,2055596.0,15.0,2045700002.0,50.0,4570,Bronx,"at 2nd story, as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all wo"
5355228,2097289.0,15.0,2031530041.0,556460.0,3153,Bronx,immediate emergency scope of work all work should be completed within: 30 days mandatory pre-bid site meeting: 8/4/23 @ 10:30 am han
5195708,3155532.0,43.0,3061150037.0,50.0,6115,Brooklyn,"at pub. hall as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all wor"
5216729,2013573.0,15.0,2031510030.0,295.0,3151,Bronx,division nyc - ''essential hpd emergency operations service work'' install hinges to make door self-closing : arrange and make self-closing
4988768,3126369.0,44.0,3053790021.0,12.5,5379,Brooklyn,perform total lead analysis of 02 dust wipe sample(s) via environmental protection agency (epa) sw8463050b-7000b method utilizing flame atomic absorpt
5279318,2014543.0,14.0,2032090021.0,295.0,3209,Bronx,nyc hpd emergency operations division essential service work at building entrance ( 1 ) door make it self close per rc guidelines inst
4955288,4003853.0,26.0,4003240019.0,8950.0,324,Queens,*****nyc hpd emergency operations division - '' essential service work ''****** landlord contact number (718-219-3343) at apt#2fl at cellar replace
5225809,3052084.0,36.0,3018300042.0,250.25,1830,Brooklyn,***nyc hpd emergency operations division - ''essential service work ''*** at roof bulkhead --- install hinges to make door self - closing at roof
5403115,2069896.0,11.0,2050470006.0,50.0,5047,Bronx,"at apt #3h as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all works"
4985268,3047699.0,36.0,3016840001.0,445.0,1684,Brooklyn,"'' nyc hpd emerency operations division '' at apt a306, bathroom: trace and repair the evidence of water leak at ceiling. stop the leak."
