coordinates,biographical_information,intro_number,zip_code,enactment_date
"{'type': 'Point', 'coordinates': [-73.85698306899997, 40.68953846000005]}",Awaiting Biographical Information,Int. No. 613,11416.0,2005-05-09T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.93898646299994, 40.641523835000044]}","Christopher Rose and his friends were on their way to the Port Authority Bus Terminal when they were approached by a gang of teenagers. The gang demanded that Christopher’s friend give them his iPod. When his friend refused, the gang began to attack Ch",Int. No. 1045-A,11203.0,2013-07-01T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.92163790499995, 40.67886689000005]}","The following biographical material was provided by the Merrick Park Baptist Church in Jamaica, New York. 

Chief Charles Adebowale Joshua was born in New York City on July 24, 1924, the son of Samuel and Ethel Joshua.  After graduation from Haaren High",Int. No. 958,11233.0,2001-12-04T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98313017299995, 40.738804618000074]}","This co-naming will commemorate the Manhattan-based School of Visual Arts (SVA), which has been a leader in the education of artists, designers and creative professionals for 75 years. SVA has approximately 6,000 students and 41,000 alumni who have contr",Int. No. 1278,10010.0,2024-01-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.91913297299999, 40.77492801000005]}","Giuseppa Vendome was born in Italy in 1923, and later migrated to the United States. Over her life, she worked as a chocolate candy maker, a tailor and owner and manager of real estate and restaurants. Shortly after the 9/11 terrorist attacks, she opened",Int. No. 1153,11105.0,2025-01-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.07719630499997, 40.62769613000006]}",Approximately 1% of children in the United States are born with some form of autism. The Eden II School for Autistic Children (DBA Eden II Programs) provide children and adults with autism specialized community-based programs and opportunities. Eden II P,Int. No. 1045-A,10304.0,2013-07-01T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.82085130299998, 40.75223848400003]}","Marine Corporal Ramon was killed in Iraq on July 20, 2006.  At the time of his death, Corporal Ramon was on his second tour of duty Iraq.  He had lived at 137-60 45th Avenue since immigrating to the United States from Colombia at the age of 4.  He attend",Int. No. 877-A,11355.0,2008-12-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.12461197699997, 40.63744038800007]}",Kenneth Cubas worked on the 97th floor in Tower 2 of the World Trade Center.  He was killed when he went back into the Tower to try and help others.,Int. No. 388,10310.0,2014-07-09T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.09942595299998, 40.63128980400006]}",Awaiting Biographical Information,Int. No. 318-A,10301.0,2003-01-07T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98232102099996, 40.771476954000036]}","The Sakya Tsechen Association is an organization of the community members of the follower of the Sakya Order of Tibetan Buddhism in New York City and New Jersey. The organization is for, by and of the Sakya members and seeks to provide spiritual and cu",Int. No. 1338,10023.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.95840420699994, 40.64192701200005]}",Gibbs “Big Gibbs” Seraphin was a community activist who worked with drug dealers and ex-convicts to try to make a positive change in their lives. He served as director of the Workforce Development Program under the aegis of the Haitian American Caucu,Int. No. 968,11226.0,2024-07-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94207399099997, 40.812206521000064]}","Geraldine Daniels spent the majority of her life and career serving the Harlem community.  She was a member of the New Era Democratic Club, executive member of the Martin Luther King Jr. Democratic Club of Central Harlem and later served as Assemblywoman",Int. No. 1744,10037.0,2017-12-01T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.75305151299995, 40.76948434600007]}","Ann Juliano Jawin a Douglaston resident and founder of the Center for the Women of New York. Founder of The Center for the Women of New York, she was an educator, author and activist who was part of the Second Wave of women’s liberation in the 1970’s",Int. No. 2477,11363.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94578197699997, 40.792915994000055]}","Gloria DeNard studied voice at the Juilliard School, sang on CBS Radio and toured the world as a USO performer. Throughout the 1950s, her and her husband traveled the world on USO tours, performing for United States troops in Alaska, Japan, South Korea,",Int. No. 1338,10029.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.82048308599997, 40.84850263900006]}","Joseph Thomas DeSimone was born in the South Bronx. He attended Blessed Sacrament Cardinal Hayes. He was a gifted athlete and an even bigger sports fan, and from childhood filled his days with basketball, football, and baseball. Over the years, Joe took",Int. No. 2187,10465.0,2021-01-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.91691733999994, 40.83832719900005]}","During the Korean War, Cornelius H. Charlton served in the United States Army, Company C, First Battalion, Twenty-Fourth Infantry, the last of the segregated Buffalo Soldier regiments to be integrated in accordance with Executive Order 9981, issued by Pr",Int. No. 968,10452.0,2024-07-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.16949002699994, 40.548952805000056]}","Gaetano Vincent Mangano was very active in the Eltingville community for over 50 years. He served on Community Board #4, served as President of the Memphis Avenue Civic Association and was elected as National Vice President of the American Postal Workers",Int. No. 457,10312.0,2006-12-05T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.88096596799994, 40.656992616000025]}",Melvin A. Faulkner was a veteran of the United States Air Force and later served as the Community Liaison in the 60th Assembly District for Hon. Charles Barron. He also served as Senior Programming and Services Liaison in the New York State Assembly unde,Int. No. 480-A,11207.0,2022-08-14T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.97131601999996, 40.792755019000026]}","DiDi Ford was the first African American women to teach at the River Park Nursery School. She created the annual River Park Bazaar, which gave an opportunity for those in need to find clothes, toys and household goods for $1 a bag. After she retired in 2",Int. No. 1102-A,10025.0,2023-07-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98346181599999, 40.73816848800004]}",This co-naming will commemorate the 100th Anniversary of the opening of the court and the significance of its impact in the improvement of the lives of New Yorkers.,Int. No. 1744,10010.0,2017-12-01T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.90648990099999, 40.846732092000025]}","Lieutenant Howard Carpluk was appointed to the NYCFD in August of 1986 and was assigned to Ladder 31 and promoted to Lieutenant in February of 1999 and assigned to Engine 42 in January of 2002.  He had great determination, loyalty, a wonderful sense of h",Int. No. 556-A,10457.0,2007-06-14T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98442714999999, 40.59459683100005]}","Police Officer John G. Scarangella was a 12-year veteran of the police force when, on the morning of April 16, 1981, a dirty white van with New Jersey license plates appeared in front of the radio car in which Police Officer Scarangella was riding with h",Int. No. 537,11223.0,1992-10-08T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.87135855599996, 40.76233975000008]}","Veta I. Brome served as the Democratic District leader of the 35th Assembly District in Queens, and was a member of The Kiwanis of LaGuardia Airport Club.  She was the former Secretary and advisor of the Kiwanis Key Clubs.  In 1997, she became pres",Int. No. 1153,11369.0,2025-01-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.16524333599995, 40.63212796500005]}",Alafia Rodriguez served in the United States Marine Corp and fought in Desert Storm. He played semi-pro football for the Staten Island Predators. He coached St. Peter’s football and basketball leagues. He was a victim of gun violence.,Int. No. 897,10303.0,2023-03-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.86681290999996, 40.759336295000026]}","Leverich Memorial Baptist Church is one of the oldest parishes in Corona, located at 102-19 32nd Avenue.  It is a New York City landmark, and recently celebrated its 100th anniversary.",Int. No. 825,11369.0,2008-10-10T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.00683609499998, 40.711666464000075]}","Susan B. Anthony and Elizabeth Cady Stanton are of the many women that have made massive contributions to this nation. From 1868 to 1869 they published their women’s rights newspaper, The Revolution. These two women have worked hard and long for the ju",Int. No. 281-A,10038.0,2004-05-05T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.95101410099994, 40.597259558000076]}",Rabbi Burg was a long time Community Board Member for over 25 years and served on the Executive Board as well. He was a deeply devoted member of the community and had an extremely successful 45-year career in Ocean Avenue Jewish Center (OAJC) and his lov,Int. No. 480-A,11229.0,2022-08-14T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.90418929699996, 40.887083569000026]}","Andrew Sandler served as district manager for Community Board 7 in the Bronx.  His experience handling landlord-tenant cases, transportation issues and other quality of life issues landed him a job as the director of community affairs under former Counci",Int. No. 1744,10463.0,2017-12-01T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.76171881899995, 40.69519026100005]}","Reverend Walter A. Jones, Sr. (September 6, 1924 – April 7, 2017) became active in the church at a young age.  He started as a Sunday School Teacher and was elevated to the Superintendent of the Sunday School.  He was a World War II Veteran with an Hon",Int. No. 1300,11412.0,2019-01-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.89065193699997, 40.87063885400005]}","As a boy, Luke Nee played all the games that a Bronx sidewalk offered to kids on Minerva Place, just off the Grand Concourse, such as stickball and street hockey. Right out of Cardinal Hayes High School, he answered a help-wanted advertisement for people",Int. No. 457,10468.0,2006-12-05T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.83178298099995, 40.699748570000054]}",Detective Brian Simonsen was a 19-year veteran of the NYPD. He was killed in the line of duty responding to an armed robbery.,Int. No. 2477,11418.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98195181699998, 40.719466745000034]}","Marie Christopher was a respected community leader for many decades who fought for affordable and sustainable housing and economic justice in Manhattan's Lower East Side.  She worked with Pueblo Nuevo, Citizens Committee for New York and the 7th Precinct",Int. No. 388,10002.0,2014-07-09T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.99148849499994, 40.72984087300006]}","Joseph Papp was considered the single most creative and controversial figure in American theater.  He founded the New York Shakespeare Festival in 1954 which was the first company to offer free productions of Shakespeare, with an emphasis on an American",Int. No. 988,10003.0,2018-07-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.15632423699998, 40.63141381200006]}",Rhonda Whitefield was a long-time educator who served as a public school principal prior to holding an appointed position with the District 31 Community Education Council.  She was a special education teacher at Prall Intermediate School and PS 18 before,Int. No. 1449-A,10303.0,2017-03-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94664103799994, 40.83806800700006]}","This was a Street Co-naming that was done in Int. No. 931-A, Local Law 25 for the year 2009.  This request will change the location of the naming from the southwest corner of West 161st Street and Riverside Drive to at the intersection of West 161st Stre",Int. No. 1033,10032.0,2009-07-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.10982495799993, 40.57911300600006]}","Joseph R. Sciacca was born, July 14, 1917 on Cherry Street in the Little Italy section of Manhattan and relocated with his family to Grant City as a young child and lived there until his death at the age of 100. He attended P.S. 33, P.S. 41 and Tottenvil",Int. No. 1300,10306.0,2019-01-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98414911799995, 40.57905511600006]}","Grace Nichilo was a landmark of the community in Coney Island.  She became a strong worker and supporter of Our Lady of Solace Church and her children attended the OLOS School.  When Neptune Avenue was host to the annual Coney Island Feast, it was Ms. Ni",Int. No. 556-A,11224.0,2007-06-14T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.12350466199996, 40.569951838000065]}","Vincent “Jimmy” Anthony Navarino served in the United States Air Force from 1951 until 1953 and was a Corporal. He was an Usher at the Church of Assumption for over 60 years, Chaplain for Granito Smith Post #1296 for 70 years, a member of AARP Oakwoo",Int. No. 897,10306.0,2023-03-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.95204482899999, 40.81896807000004]}","""Vinegar Hill"" is that portion of Amsterdam Avenue which begins at 131st Street and rises to a crest at 135th Street. During the Great Depression, the ""Vinegar Hill"" community was mainly populated by the Irish, although the area was also interwoven with",Int. No. 296,10031.0,1998-10-07T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.91699055899994, 40.871512041000074]}",Awaiting Biographical Information,Int. No. 746 - A,10034.0,2005-12-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.90736551699996, 40.75699704300007]}","James Lanza served in the United States Navy during the Vietnam War who later became a member of FDNY’s Engine 53, Ladder 43, known as ‘El Barrio’s Bravest.’  On September 11th, He and other firefighters pulled 16 people out of the rubble alive.",Int. No. 1744,11377.0,2017-12-01T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.15283216499995, 40.62732778900005]}",Awaiting Biographical Information,Int. No. 437-A,10303.0,2003-06-03T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.76704188699995, 40.746337733000075]}",This co-naming will commemorate the 60th Anniversary of the Armenian Church of Holy Martyrs.,Int. No. 988,11364.0,2018-07-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.10130201399994, 40.59719886400006]}",Awaiting Biographical Information,Int. No. 318-A,10304.0,2003-01-07T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.12479688099995, 40.55943861600008]}",John V. LaFemina was a longtime community activist and was known as the “founding father” of the Staten Island Republican Party.  He served in the United States Army during the Korean War and continued his service as an active member of the United St,Int. No. 988,10306.0,2018-07-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94715294099996, 40.67592218300007]}",Reggie “Combat Jack” Ossé worked as a lawyer at Def Jam. He left the entertainment business and later became a blogger and podcaster. He worked closely with rappers Jay-Z and 50 Cent to get them signed to record labels.,Int. No. 1102-A,11216.0,2023-07-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98071515099997, 40.68533023100008]}","Thelma Martin developed national, state and local-sponsored programs including the Youth Development Delinquency and Recreational Program, the Commercial Revitalization Program, the Community Achievement Project, the Work Incentive Program and the Struct",Int. No. 1631,11217.0,2019-08-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.90646827999996, 40.75710089700004]}","Jack Hastings, one of seven children of Irish immigrant parents, was born on February 7, 1925, on West 154th Street in Harlem. His family moved to the Bronx while he was young, and Jack graduated from Monroe High School. In 1943, soon after his 18th birt",Int. No. 375,11377.0,1992-04-11T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.88684613399994, 40.856525144000045]}","Anne Bancroft was born in the Bronx and became an actress, director, screenwriter and singer. Through her career she received an Academy Award, three BAFTA Awards, two Golden Globe Awards, two Tony Awards and two Primetime Emmy Awards. She is also one of",Int. No. 2187,10458.0,2021-01-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.13398839299998, 40.63700212400005]}",Carmelo Tirone was born in Sicily in 1885 and came to New York in 1916 to work with his brothers in a shoe repair shop located at 19 Richmond Avenue in Staten Island. He married and raised five children. The shop was too small so he finally ended up movi,Int. No. 289-A,10302.0,2006-05-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.12800065499994, 40.62002308800004]}",Awaiting Biographical Information,Int. No. 318-A,10314.0,2003-01-07T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.85043434899995, 40.66481459900007]}",This legislation would add the name a playground located 155th Avenue between 83rd Street: and 84th Street. Harold Schneiderman lived in Howard Beach for over twenty-five years less than two blocks from where the playground which is to be named for him i,Int. No. 826,11414.0,1993-12-16T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.09522862799997, 40.588925000000074]}","Diego “Dickie” Palemine was born in 1944 and was a lifelong resident of Dongan Hills, Staten Island. He was the beloved husband of Catherine and father to Cathy Ann, Eleanor, Michelle and Diego. Diego Palemine began his career as a police officer in",Int. No. 289-A,10305.0,2006-05-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.75462873499998, 40.684051226000065]}","Julius Freeman served in WWII as a medic with the 332nd Tuskegee Airmen.  In 2007, he was awarded the Congressional Gold Medal by President George W. Bush.  After the war, he was a successful car salesman and became the first African-American spokesperso",Int. No. 1613,11413.0,2017-06-24T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.16031804599999, 40.537874369000065]}",James J. Winters served on the FDNY for 41 years. He died of 9/11 related illness from working at Ground Zero as part of the search and rescue effort.,Int. No. 897,10312.0,2023-03-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.14784066099998, 40.63141432600003]}","Pvt. Leon J. Stasiak was among 1,015 U.S. soldiers killed when a new, radio-guided missile launched from a German bomber sunk the HMT Rohna off North Africa in late 1943. Though among the deadliest sea disasters involving American troops, it was cloaked",Int. No. 457,10303.0,2006-12-05T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.07700067099995, 40.637845381000034]}","Joe Marotta was a life-long Tompkinsville resident  best known as a longtime mentor of Community Board 1, and its Chairman for eight years. He was appointed to the board in 1983 by former Borough President Anthony Gaeta, and was elected chairman in 1988.",Int. No. 1033,10301.0,2009-07-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.16039549499999, 40.62661501800005]}","Dominick Lambert served on Community Board 1, advocating for issues such as the North Shore Railway as well as Staten Island residents and business owners for 25 years.  He served on the board in various capacities, including vice chair and chair of the",Int. No. 849,10303.0,2015-08-10T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.95349671399998, 40.74487789500006]}","Sal Anzalone was much loved by his family, friends, neighbors and peers.  He was a civic activist dedicated to the improvement of the Hunters Point area.  Sal owned and operated the Cassino Restaurant in Long Island City for over 40 years and was a fixtu",Int. No. 746-A,11101.0,2005-12-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.16171856299997, 40.63164118200007]}","Tracy Brown was an author, poet, playwright, and screenwriter with a passion for the art of storytelling. She authored eleven novels, which made the bestsellers’ lists of publications, such as Essence magazine and USA Today. She was a celebrity biograp",Int. No. 968,10303.0,2024-07-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98194670399994, 40.77124107000003]}","Sesame Street debuted in 1969 and has been reaching and teaching children ever since.  Sesame Workshop serves vulnerable children through a wide range of media, formal education and philanthropically funded social impact programs.  Sesame Street will be",Int. No. 1300,10023.0,2019-01-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.95889345299997, 40.74219145100005]}","Anthony Mazzarella was a boxing enthusiast and an avid fundraiser for people with cancer.  He owned the Crab House restaurant, known for its seafood and sports and boxing memorabilia.  He donated to the precinct council, which used such donations to feed",Int. No. 1449-A,11101.0,2017-03-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.86446361699996, 40.83231583500003]}","Kenneth Giordano owned Willie’s Steakhouse, where he incorporated live entertainment with dining. Willie’s Steakhouse was considered the center of the Bronx’s Latin Jazz community, where Jazz great, such as, Johnny Pacheco, Dave Valentin, Willie Co",Int. No. 1338,10472.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94382158999997, 40.835243759000036]}",Margarita “Margot” Correa Santana was the founder of Margot Restaurant: El Basement for over 30 years. She was also very involved with the Dominican community and was an Ambassador for the Dominican Day Parade,Int. No. 1102-A,10032.0,2023-07-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.74619913899994, 40.66185385000006]}","Jules Taylor, Jr. was born in Port-au-Prince, Haiti and later moved to the United States. He began his career in Human Resources and worked in various positions over the course of his more than 30-year career. His last position was at East Side House Set",Int. No. 2187,11413.0,2021-01-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.07623381099995, 40.64342728500003]}","John Leone was born in Brooklyn, New York on March 16, 1940. He attended the local public elementary and high schools. He received his J.D Degree from New York Law School in 1963 where he received awards in Evidence and Real Property. Upon graduating, he",Int. No. 281-A,10301.0,2004-05-05T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.73690687799996, 40.66829191100004]}","Cathy Frances Clare LeBlanc owned her own businesses and was an active member of her community. She joined the Girl Scouts, helping and feeding underprivileged youth, and becoming an advocate for individuals with substance abuse. She moved to Queens in 1",Int. No. 2477,11422.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.08075157199994, 40.629512257000044]}","Michael “Tiger” Heaney served as a specialist 4th class during the Vietnam War from 1966 to 1969 receiving the Purple Heart and Sharpshooter (Rifles) medals.  Later, he became a plumber with the City Department of Transportation working at Rikers Isl",Int. No. 428-A,10304.0,2010-12-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.91032799999994, 40.702559000000065]}",Awaiting Biographical Information,Int. No. 281-A,11385.0,2004-05-05T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.82968599599997, 40.709348000000034]}",Aaron Adler was a United States Army Veteran of the Korean War.  He graduated from Baruch College with a Bachelor’s degree and studied Industrial Psychology and worked for 38 years for the International Ladies Garment Workers Union as Benefits Counselo,Int. No. 1825,11415.0,2020-01-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.93514584499997, 40.80762370100007]}","Johnnie Mae Johnson was elected District Leader from the 70th Assembly District, Part A due to her strong community ties and tireless work in the community.  She was instrumental in getting a pedestrian bridge constructed into Harlem River Park where bef",Int. No. 1613,10037.0,2017-06-24T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.76368102299995, 40.70296501300004]}","Theresa Merritt Hines was an American stage, film, and television actress and singer with a half-century long career. “On Broadway in 1984 she originated the title role in August Wilson's ''Ma Rainey's Black Bottom,'' earning a Tony nomination. As a te",Int. No. 2477,11412.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.89747239399998, 40.86761207600006]}","Johnny Pacheco cofounded Fania Records in 1964, which exposed many talented Latin artists. He was a songwriter, arranger and leader of the Fania All Stars, salsa’s first supergroup. He was the recipient of numerous awards and honors both in the Dominic",Int. No. 2477,10468.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.02747401699997, 40.61696601600005]}","The following background information was supplied by Council Member Golden and the Blanchard family. 

On June 7, 1994, Donna Blanchard dropped her five-year old son, Andrew, at P.S. 104.  She and her four-year old daughter Michele then went to the local",Int. No. 988,11209.0,2001-12-26T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.88066675199997, 40.65692343400008]}",Carolyn D. Faulkner was very active in her community. She helped found and operate a community based nonprofit organization known as Community Alliance for Youth Action (CAYA). She was able to advocate for youth offenders on several different occasions.,Int. No. 1278,11207.0,2024-01-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.19600520299997, 40.540585157000066]}",Awaiting Biographical Information,Int. No. 437-A,10312.0,2003-06-03T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.83989518199996, 40.89071181300005]}","Samuel Simpson was born in Jamaica, West Indies and later relocated to the United States in the early 1960s.  He was ordained at Evergreen Baptist Church in Brooklyn, N.Y., in 1963 and pastored Bronx Baptist Church for 45 years and Wake-Eden Community Ba",Int. No. 988,10466.0,2018-07-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.12675195999998, 40.56444400500004]}",Carmine Cantalino served on the NYPD for 25 years and died as a result of 9/11 illness after spending a great deal of his time at Ground Zero after 9/11.,Int. No. 988,10306.0,2018-07-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.03859376599996, 40.63343378900004]}","The following biographical information was provided by the Bello family. 

Bobby Bello was born and raised in Bay Ridge. The youngest of nine children, he was born on June 4, 1927 to Tony and Netti Bello. He attended P.S. 105, Pershing Junior High School",Int. No. 50,11209.0,2002-07-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.22461319399997, 40.51047855500008]}","William Marsh was a FDNY lieutenant, veteran, registered nurse and volunteer coach who was dedicated to his family and his faith.  He was born and raised in Tottenville and graduated from St. Mary's High School in Perth Amboy.  He served in the United St",Int. No. 1449-A,10309.0,2017-03-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.11427215699996, 40.562559657000065]}",Awaiting Biographical Information,Int. No. 318-A,10306.0,2003-01-07T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.86704727699998, 40.764081384000065]}",Adrienne Morris Rodriguez served with the NYPD and died as a result of 9/11 related illness.,Int. No. 1338,11369.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.09701296799994, 40.58355901900006]}","Michael “Coach Mike” Colini served with the MTA as a police officer. He was very involved in the Staten Island Little League for over 25 years as a coach, manager, vice president and president. He was also a member of the Dongan Hills loop’s Board",Int. No. 1153,10305.0,2025-01-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.12884173399993, 40.60402290600007]}",Awaiting Biographical Information,Int. No. 565,10314.0,2003-10-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98232799699997, 40.76910486200006]}",Officer Seraphin Calabrese was assigned to Transit District 1.  He was killed in the line of duty with his own weapon while attempting an arrest at the Columbus Circle subway station. The suspect immediately grabbed Officer Calabrese's gun and shot him.,Int. No. 1188-A,10023.0,2013-12-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.86210904199999, 40.74572701000005]}","Edgar Moya was a dedicated member of his community. Originally from Ecuador, he moved to the United States and was later drafted into the Army and served in combat in Nha Trang, Vietnam, from 1965 to 1966. He was honorably discharged as a Private First C",Int. No. 968,11368.0,2024-07-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.88201413399997, 40.84720232700005]}",Pastor Marie C. Norwood joined the Gospel Temple Church of God in Christ in 1952 and served as a missionary and charity board worker for over nine years. She then served was an Evangelist in the Deliverance Evangelistic Center for over a decade. She then,Int. No. 2187,10460.0,2021-01-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.07822326499996, 40.63527386900006]}",Detective James V. Nemorin was killed in the line of duty during an undercover gun buy operation.,Int. No. 2477,10301.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.90430899099994, 40.85588998700007]}","FF Michael C. Reilly always wanted to be a New York City firefighter.  Even at 4 years old, when his family moved to New Jersey, he complained it wasn’t Brooklyn, “where the action is.”  He seemed to have an almost predestined calling to put his li",Int. No. 556-A,10453.0,2007-06-14T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.90844707099996, 40.60786251300004]}","Sy Gerschwer  was a graduate of Brooklyn College and St. John's University School of Law, he was elected as a Civil Court Judge in 1984 and served as a Criminal Court Judge and Acting Supreme Court Justice in Brooklyn for the entirety of his ten-year t",Int. No. 1338,11234.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.16471100099994, 40.63978298100005]}",Ronald Jones was a member of the 173rd Airborne Division who gave his life for his country. He was killed on duty in 1967 while serving in Vietnam.,Int. No. 1033,10303.0,2009-07-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.82650558699999, 40.83100358000007]}","Tina Zaffuto, born on August 11, 1924, was a lifetime resident of New York City. She became a resident of the Bronx after her marriage, where her three children were raised.

For ten years, Tina Zaffuto served the community as a crossing guard at the 45t",Int. No. 1086,10465.0,1988-11-04T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.85393056999999, 40.84048888800004]}","George A. Romero was born in the Bronx and later became a successful film director, writer, editor and actor. In 1968, he co-wrote and produced Night of the Living Dead, which became one of the most celebrated American horror films of all time. By the 19",Int. No. 968,10462.0,2024-07-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.91577154099997, 40.86892970300005]}","Victor Tapia gave himself to his community, consistently showing up for those in need of assistance or advice. He was a leader in Upper Manhattan and a role model for the youth. He was an independent thinker who excelled in his studies and was constantly",Int. No. 897,10034.0,2023-03-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.14019468899994, 40.60980317600007]}","Angela Padavano was a prominent Staten Island fund-raiser helped garner hundreds of thousands of dollars for charity during four decades of philanthropy.  In an interview she gave before being named Woman of Achievement in 2001, she said, “I run wherev",Int. No. 556-A,10314.0,2007-06-14T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.85993242399996, 40.753203521000046]}","Army Spc. Alex Jimenez was kidnapped after an ambush south of Baghdad in May 2007.  Approximately one year later, the U.S. military found and identified his body. He was killed in the line of duty.",Int. No. 825,11368.0,2008-10-10T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.95958202599996, 40.615616991000024]}","Benjamin W. Schaeffer was an essential worker who lost his life due to COVID-19. He was an active member of the NYPD 70th Precinct Council and served as an Auxiliary Officer. In 2018, he was awarded the MTA Medal of Excellence for preventing an act of ar",Int. No. 897,11230.0,2023-03-19T00:00:00.000
