:@computed_region_f5dn_yrer,present_name,Intersection with biographical_information,Park with biographical_information,Playground with biographical_information
4.0,,"Michael “Tiger” Heaney served as a specialist 4th class during the Vietnam War from 1966 to 1969 receiving the Purple Heart and Sharpshooter (Rifles) medals.  Later, he became a plumber with the City Department of Transportation working at Rikers Isl",,
44.0,,"Joseph Thomas DeSimone was born in the South Bronx. He attended Blessed Sacrament Cardinal Hayes. He was a gifted athlete and an even bigger sports fan, and from childhood filled his days with basketball, football, and baseball. Over the years, Joe took",,
60.0,,Gibbs “Big Gibbs” Seraphin was a community activist who worked with drug dealers and ex-convicts to try to make a positive change in their lives. He served as director of the Workforce Development Program under the aegis of the Haitian American Caucu,,
46.0,,Detective Brian Simonsen was a 19-year veteran of the NYPD. He was killed in the line of duty responding to an armed robbery.,,
7.0,,"Hiram Maristany was an activist and official photographer for the Young Lords, a Puerto Rican activist group in the United States during the 1960’s and 70’s. He documented the political activism occurring the City’s East Harlem area referred to as",,
15.0,,Awaiting Biographical Information,,
46.0,,Aaron Adler was a United States Army Veteran of the Korean War.  He graduated from Baruch College with a Bachelor’s degree and studied Industrial Psychology and worked for 38 years for the International Ladies Garment Workers Union as Benefits Counselo,,
46.0,,Awaiting Biographical Information,,
4.0,,Awaiting Biographical Information,,
4.0,,Approximately 1% of children in the United States are born with some form of autism. The Eden II School for Autistic Children (DBA Eden II Programs) provide children and adults with autism specialized community-based programs and opportunities. Eden II P,,
24.0,,Mary Vallati was a community activist who attended St. Philip Neri Church on a regular basis.  She was a tenant leader for a building on Decatur Avenue and later joined the Bedford Mosholu Community Association.  She was a community organizer for the Nor,,
41.0,,"Theresa Merritt Hines was an American stage, film, and television actress and singer with a half-century long career. “On Broadway in 1984 she originated the title role in August Wilson's ''Ma Rainey's Black Bottom,'' earning a Tony nomination. As a te",,
4.0,Bard Avenue,"Richard A. Carabba wanted to be a Marine since he was a young boy. He entered the Marine Corps at the age of 17 years old after graduating from Curtis High School. He was killed in action on September 27, 1969 in Vietnam. He died an honorable death defen",,
51.0,,"Lew Simon was a lifelong Rockaway resident and Democratic District Leader for the 23rd Assembly District since 1994. He died on November 6, 2021 of cancer. Lew was an outspoken advocate for better public transportation, expanded library services and the",,
37.0,,"""Vinegar Hill"" is that portion of Amsterdam Avenue which begins at 131st Street and rises to a crest at 135th Street. During the Great Depression, the ""Vinegar Hill"" community was mainly populated by the Irish, although the area was also interwoven with",,
48.0,,"Andrew Sandler served as district manager for Community Board 7 in the Bronx.  His experience handling landlord-tenant cases, transportation issues and other quality of life issues landed him a job as the director of community affairs under former Counci",,
2.0,,"Stan Brooks was a Senior Correspondent for 1010 WINS News Radio.  He was born in the Bronx and attended DeWitt Clinton High School, City College of New York, and Syracuse University, where he received a Bachelor's Degree in English.  He worked as a repor",,
32.0,,Rabbi Burg was a long time Community Board Member for over 25 years and served on the Executive Board as well. He was a deeply devoted member of the community and had an extremely successful 45-year career in Ocean Avenue Jewish Center (OAJC) and his lov,,
61.0,,"Christopher Rose and his friends were on their way to the Port Authority Bus Terminal when they were approached by a gang of teenagers. The gang demanded that Christopher’s friend give them his iPod. When his friend refused, the gang began to attack Ch",,
12.0,,"Richard Henderson was shot and killed when he tried to intervene and break up a dispute on the subway. He worked at the Avenues The World School where students and associates raised more than $275,000 for his family through a GoFundMe campaign.",,
32.0,,"Sheila Nelson was a community activist and educator for over 34 years.  She was a special education teacher, a Dean at Boody Junior High School, a Teacher Trainer, headed the Gifted Program in District 21, Coordinator of the Sigma Program and the Directo",,
4.0,,Kenneth Cubas worked on the 97th floor in Tower 2 of the World Trade Center.  He was killed when he went back into the Tower to try and help others.,,
61.0,,"Catherine McAuley High School was a small, private Catholic, girls’ high school sponsored by the Sisters of Mercy Mid-Atlantic Community.  It was founded by the Brooklyn Sisters of Mercy in 1942.  The school closed in June 2013 due to its declining e",,
4.0,,"Jody Haggerty was known for his charity and hospitality.  He owned Jody’s Club Forest for over 40 years, a bar restaurant that served as headquarters for Staten Island’s St. Patrick’s Day Parade, an event at which he served as Grand Marshall, the",,
6.0,,"Lieutenant Howard Carpluk was appointed to the NYCFD in August of 1986 and was assigned to Ladder 31 and promoted to Lieutenant in February of 1999 and assigned to Engine 42 in January of 2002.  He had great determination, loyalty, a wonderful sense of h",,
54.0,,Awaiting Biographical Information,,
15.0,,John V. LaFemina was a longtime community activist and was known as the “founding father” of the Staten Island Republican Party.  He served in the United States Army during the Korean War and continued his service as an active member of the United St,,
58.0,,"George A. Romero was born in the Bronx and later became a successful film director, writer, editor and actor. In 1968, he co-wrote and produced Night of the Living Dead, which became one of the most celebrated American horror films of all time. By the 19",,
58.0,,"Kenneth Giordano owned Willie’s Steakhouse, where he incorporated live entertainment with dining. Willie’s Steakhouse was considered the center of the Bronx’s Latin Jazz community, where Jazz great, such as, Johnny Pacheco, Dave Valentin, Willie Co",,
65.0,,"Ed Sedarbaum, (died in 2025) regarded as the ""grandfather"" of the Queens LGBTQ movement, was a tireless advocate whose efforts significantly shaped the local community. His activism began in the late 1980s after the tragic murder of Julio Rivera in 1990,",,
9.0,,Basil Stonbely was born in Cobble Hill and later on became a pioneer in the carpet cleaning industry eventually becoming founder and president of Certified Carpets.  He gave back to the community and his church which lead him to become the Knight of Malt,,
61.0,,"John H. Bunyan served in the United States Army and later became a teacher, coach and dean at Erasmus Hall High School from 1965 until the 1990s. He received many awards for his community involvement and coaching one of the top basketball teams in the Ci",,
6.0,,"Thomasina Bushby was a community leader dedicated to improving the lives of her fellow Bronxites. She provided food for her community through her work with Southern Christian Leadership Conference, she worked to increase participation in politics and dev",,
50.0,,"During the Korean War, Cornelius H. Charlton served in the United States Army, Company C, First Battalion, Twenty-Fourth Infantry, the last of the segregated Buffalo Soldier regiments to be integrated in accordance with Executive Order 9981, issued by Pr",,
30.0,,"Diego “Dickie” Palemine was born in 1944 and was a lifelong resident of Dongan Hills, Staten Island. He was the beloved husband of Catherine and father to Cathy Ann, Eleanor, Michelle and Diego. Diego Palemine began his career as a police officer in",,
30.0,,Arthur C. Leahy Jr. served in the United States Marine Corps and later worked for the Department of Parks and Recreation. He was murdered during a botched burglary while working an overnight shift as a security guard at LaTourette Park.,,
30.0,,Marcus Brown served in the United States Army for 11 years and was a decorated Iraq Combat Veteran receiving the Bronze Star with valor in 2008 for his service.  He was able to establish a perimeter around his vehicle preventing another attack after it w,,
