the_geom,long,landmark_1,biz_desc,openstre_2,lat,sidewalk_1,y,sidewalkar,:@computed_region_f5dn_yrer,creationda,bizzip,qualify_op,:@computed_region_sbqj_enih
"{'type': 'Point', 'coordinates': [-73.7948109091826, 40.69783340234371]}",-73.7948109092,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.6978334023,15,193582.621087,1200.0,41.0,2022-11-02T00:00:00.000,11433.0,no,61.0
"{'type': 'Point', 'coordinates': [-73.82518918183558, 40.79264741091002]}",-73.8251891818,,Electronics Store; Cell Phone Store,,40.7926474109,5,228108.059582,25.0,22.0,2022-11-02T00:00:00.000,11361.0,no,67.0
"{'type': 'Point', 'coordinates': [-73.92447056940715, 40.690902657710915]}",-73.9244705694,,"Beauty Supply, Fragrance, Cosmetics Store",,40.6909026577,23,190999.938588,460.0,42.0,2022-11-02T00:00:00.000,11221.0,no,53.0
"{'type': 'Point', 'coordinates': [-73.9930911699797, 40.72554075781658]}",-73.99309117,,"Clothing, Shoe, Accessories Store",,40.7255407578,8,203610.687645,144.0,57.0,2022-11-02T00:00:00.000,10012.0,no,5.0
"{'type': 'Point', 'coordinates': [-73.94203350648812, 40.670639071763134]}",-73.9420335065,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.6706390718,5,183613.619699,65.0,16.0,2022-11-02T00:00:00.000,11213.0,no,49.0
"{'type': 'Point', 'coordinates': [-73.93783501041915, 40.74872597229304]}",-73.9378350104,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.7487259723,20,212063.829203,300.0,53.0,2022-11-02T00:00:00.000,11101.0,no,66.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,Electronics Store; Cell Phone Store,,-1.78722274927e-10,24,-2280004.57969,408.0,,2022-11-02T00:00:00.000,11226.0,no,
"{'type': 'Point', 'coordinates': [-73.96451360312953, 40.6248085861923]}",-73.9645136031,,"Clothing, Shoe, Accessories Store",,40.6248085862,16,166912.990371,160.0,60.0,2022-11-02T00:00:00.000,11230.0,no,43.0
"{'type': 'Point', 'coordinates': [-73.87005491766391, 40.750300637873316]}",-73.8700549177,,"Clothing, Shoe, Accessories Store",,40.7503006379,20,212658.123618,700.0,65.0,2022-11-02T00:00:00.000,11368.0,no,73.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,Supermarket & Grocery Store,,-1.78722274927e-10,21,-2280004.57969,756.0,,2022-11-02T00:00:00.000,11204.0,no,
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.82045291047683, 40.68764813330663]}",-73.8204529105,,"Clothing, Shoe, Accessories Store",,40.6876481333,15,189856.221387,240.0,62.0,2022-11-02T00:00:00.000,11419.0,no,64.0
"{'type': 'Point', 'coordinates': [-73.99166810166882, 40.751506339680525]}",-73.9916681017,,"Clothing, Shoe, Accessories Store",,40.7515063397,5,213070.804551,200.0,11.0,2022-11-02T00:00:00.000,10001.0,no,8.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.88208479256029, 40.88204877539427]}",-73.8820847926,,"Clothing, Shoe, Accessories Store",,40.8820487754,5,260653.953479,245.0,24.0,2022-11-02T00:00:00.000,10467.0,no,34.0
"{'type': 'Point', 'coordinates': [-73.99455971917077, 40.72368162194088]}",-73.9945597192,yes,"Clothing, Shoe, Accessories Store",,40.7236816219,12,202933.318264,228.0,57.0,2022-11-02T00:00:00.000,10012.0,no,2.0
"{'type': 'Point', 'coordinates': [-73.86075502858748, 40.83663688061748]}",-73.8607550286,,"Clothing, Shoe, Accessories Store",,40.8366368806,16,244117.325791,1440.0,58.0,2022-11-02T00:00:00.000,10462.0,no,26.0
"{'type': 'Point', 'coordinates': [-73.85495785319229, 40.848660678760425]}",-73.8549578532,,Other,,40.8486606788,10,248500.643796,140.0,59.0,2022-11-02T00:00:00.000,10461.0,no,32.0
"{'type': 'Point', 'coordinates': [-73.97207940847336, 40.7594952938817]}",-73.9720794085,,Electronics Store; Cell Phone Store,,40.7594952939,14,215982.563163,518.0,11.0,2022-11-02T00:00:00.000,10022.0,no,10.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.95929327053317, 40.65031786031532]}",-73.9592932705,,"Clothing, Shoe, Accessories Store",,40.6503178603,15,176207.337924,450.0,60.0,2022-11-02T00:00:00.000,11226.0,no,43.0
"{'type': 'Point', 'coordinates': [-74.00955220155947, 40.714335893679134]}",-74.0095522016,,"Pharmacy, Optical Store, Health Store",,40.7143358937,20,199528.480586,1000.0,56.0,2022-11-02T00:00:00.000,10007.0,no,1.0
"{'type': 'Point', 'coordinates': [-73.95881902058095, 40.718838912914215]}",-73.9588190206,,"Clothing, Shoe, Accessories Store",,40.7188389129,15,201171.606893,180.0,36.0,2022-11-02T00:00:00.000,11249.0,no,57.0
"{'type': 'Point', 'coordinates': [-73.99530108721034, 40.60283999503955]}",-73.9953010872,,"Clothing, Shoe, Accessories Store",,40.602839995,15,158907.298377,750.0,1.0,2022-11-02T00:00:00.000,11214.0,no,37.0
"{'type': 'Point', 'coordinates': [-73.92445047447812, 40.74185076731786]}",-73.9244504745,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.7418507673,5,209561.888341,85.0,53.0,2022-11-02T00:00:00.000,11373.0,no,66.0
"{'type': 'Point', 'coordinates': [-73.96511785439165, 40.710398042808265]}",-73.9651178544,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.7103980428,30,198095.583189,300.0,36.0,2022-11-02T00:00:00.000,11249.0,no,56.0
"{'type': 'Point', 'coordinates': [-73.95394187949063, 40.77872600941578]}",-73.9539418795,,Electronics Store; Cell Phone Store,,40.7787260094,13,222991.072768,559.0,23.0,2022-11-02T00:00:00.000,10028.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.9595913298724, 40.65412521426477]}",-73.9595913299,,"General Merchandise Store (99 cent store, etc.)",,40.6541252143,50,177594.423732,12500.0,60.0,2022-11-02T00:00:00.000,11226.0,no,43.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.9711985897075, 40.76363314376791]}",-73.9711985897,,Home Goods Store,,40.7636331438,12,217490.196631,480.0,23.0,2022-11-02T00:00:00.000,10022.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.95404083445501, 40.59904827304845]}",-73.9540408345,,"Clothing, Shoe, Accessories Store",,40.599048273,12,157529.189913,144.0,32.0,2022-11-02T00:00:00.000,11229.0,no,36.0
"{'type': 'Point', 'coordinates': [-74.01416791322629, 40.633669430863]}",-74.0141679132,,Furniture Store,,40.6336694309,21,170139.55544,378.0,10.0,2022-11-02T00:00:00.000,11220.0,no,41.0
"{'type': 'Point', 'coordinates': [-73.91766982830985, 40.76065388059521]}",-73.9176698283,,"Thrift Store (Used goods, etc.)",,40.7606538806,18,216414.159741,342.0,39.0,2022-11-02T00:00:00.000,11103.0,no,72.0
"{'type': 'Point', 'coordinates': [-73.94886182276706, 40.59962813338462]}",-73.9488618228,,"General Merchandise Store (99 cent store, etc.)",,40.5996281334,19,157741.244935,380.0,32.0,2022-11-02T00:00:00.000,11229.0,no,36.0
"{'type': 'Point', 'coordinates': [-73.93294284762682, 40.84891765867641]}",-73.9329428476,,"Clothing, Shoe, Accessories Store",,40.8489176587,20,248568.150879,1000.0,47.0,2022-11-02T00:00:00.000,10033.0,no,22.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.96833390603447, 40.63948295064487]}",-73.968333906,,"Gift store, Stationary",,40.6394829506,17,172258.848117,374.0,60.0,2022-11-02T00:00:00.000,11218.0,no,43.0
"{'type': 'Point', 'coordinates': [-73.96648731980189, 40.7575796733673]}",-73.9664873198,,Other,,40.7575796734,9,215285.183324,108.0,71.0,2022-11-02T00:00:00.000,10022.0,no,9.0
"{'type': 'Point', 'coordinates': [-73.96769138379274, 40.76850515097066]}",-73.9676913838,,Other,,40.768505151,4,219265.568736,84.0,23.0,2022-11-02T00:00:00.000,10065.0,no,11.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.9678048405709, 40.605260353231735]}",-73.9678048406,,"Clothing, Shoe, Accessories Store",,40.6052603532,5,159790.705075,75.0,32.0,2022-11-02T00:00:00.000,11235.0,no,36.0
"{'type': 'Point', 'coordinates': [-73.83138643340612, 40.76206430425859]}",-73.8313864334,,Furniture Store,,40.7620643043,15,216962.260351,405.0,22.0,2022-11-02T00:00:00.000,11354.0,no,67.0
"{'type': 'Point', 'coordinates': [-73.94246752111822, 40.702742557308184]}",-73.9424675211,,"Clothing, Shoe, Accessories Store",,40.7027425573,20,195309.772816,1000.0,36.0,2022-11-02T00:00:00.000,11206.0,no,56.0
"{'type': 'Point', 'coordinates': [-73.9379527364105, 40.68228298529275]}",-73.9379527364,yes,"Liquor Store, Wine Store",,40.6822829853,10,187856.605636,150.0,69.0,2022-11-02T00:00:00.000,11223.0,no,51.0
"{'type': 'Point', 'coordinates': [-73.8187380572956, 40.68821512716859]}",-73.8187380573,yes,Electronics Store; Cell Phone Store,,40.6882151272,24,190063.772809,432.0,62.0,2022-11-02T00:00:00.000,11419.0,no,64.0
"{'type': 'Point', 'coordinates': [-73.89177502787776, 40.82258491336907]}",-73.8917750279,,"Clothing, Shoe, Accessories Store",,40.8225849134,16,238985.557183,800.0,8.0,2022-11-02T00:00:00.000,10459.0,no,24.0
"{'type': 'Point', 'coordinates': [-73.91685829190405, 40.76164784871717]}",-73.9168582919,,"Clothing, Shoe, Accessories Store",,40.7616478487,21,216776.507113,378.0,39.0,2022-11-02T00:00:00.000,11103.0,no,72.0
"{'type': 'Point', 'coordinates': [-73.83812673945896, 40.58119880109872]}",-73.8381267395,,Electronics Store; Cell Phone Store,,40.5811988011,5,151064.373446,25.0,51.0,2022-11-02T00:00:00.000,11694.0,no,58.0
"{'type': 'Point', 'coordinates': [-73.98619498494573, 40.74003757865854]}",-73.9861949849,,Electronics Store; Cell Phone Store,,40.7400375787,5,208892.559627,25.0,11.0,2022-11-02T00:00:00.000,10010.0,no,7.0
"{'type': 'Point', 'coordinates': [-73.82471846052181, 40.869153803723925]}",-73.8247184605,,Electronics Store; Cell Phone Store,,40.8691538037,14,255982.361116,252.0,43.0,2022-11-02T00:00:00.000,10475.0,no,28.0
"{'type': 'Point', 'coordinates': [-73.82902667607921, 40.75715632166843]}",-73.8290266761,,Supermarket & Grocery Store,,40.7571563217,20,215175.392205,260.0,22.0,2022-11-02T00:00:00.000,11355.0,no,67.0
"{'type': 'Point', 'coordinates': [-74.00129951270983, 40.73155731925573]}",-74.0012995127,yes,"Gift store, Stationary",,40.7315573193,5,205802.63536,75.0,57.0,2022-11-02T00:00:00.000,10014.0,no,3.0
"{'type': 'Point', 'coordinates': [-73.9596473211499, 40.65442666944039]}",-73.9596473211,,"General Merchandise Store (99 cent store, etc.)",,40.6544266694,16,177704.245035,320.0,60.0,2022-11-02T00:00:00.000,11226.0,no,43.0
"{'type': 'Point', 'coordinates': [-73.96921953741908, 40.766325789311736]}",-73.9692195374,yes,"Clothing, Shoe, Accessories Store",,40.7663257893,11,218471.402674,418.0,23.0,2022-11-02T00:00:00.000,10065.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.88844280231766, 40.84412141721365]}",-73.8884428023,,"Clothing, Shoe, Accessories Store",,40.8441214172,16,246833.252118,512.0,35.0,2022-11-02T00:00:00.000,10460.0,no,31.0
"{'type': 'Point', 'coordinates': [-73.89897114291911, 40.86222435890104]}",-73.8989711429,,"Clothing, Shoe, Accessories Store",,40.8622243589,20,253425.306191,800.0,24.0,2022-11-02T00:00:00.000,10468.0,no,34.0
"{'type': 'Point', 'coordinates': [-73.89729065516703, 40.86175924692013]}",-73.8972906552,,"Clothing, Shoe, Accessories Store",,40.8617592469,5,253256.38855,50.0,6.0,2022-11-02T00:00:00.000,10458.0,no,29.0
"{'type': 'Point', 'coordinates': [-73.99316209148041, 40.726237508380784]}",-73.9931620915,yes,"Clothing, Shoe, Accessories Store",,40.7262375084,10,203864.533922,250.0,57.0,2022-11-02T00:00:00.000,10012.0,no,5.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,Electronics Store; Cell Phone Store,,-1.78722274927e-10,9,-2280004.57969,135.0,,2022-11-02T00:00:00.000,11201.0,no,
"{'type': 'Point', 'coordinates': [-73.97444419759236, 40.79125534663489]}",-73.9744441976,,Supermarket & Grocery Store,,40.7912553466,5,227553.616465,375.0,20.0,2022-11-02T00:00:00.000,10024.0,no,15.0
"{'type': 'Point', 'coordinates': [-73.8918622832676, 40.82358458144076]}",-73.8918622833,,"Clothing, Shoe, Accessories Store",,40.8235845814,0,239349.742479,0.0,8.0,2022-11-02T00:00:00.000,10459.0,no,24.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,Other,,-1.78722274927e-10,15,-2280004.57969,330.0,,2022-11-02T00:00:00.000,10011.0,no,
"{'type': 'Point', 'coordinates': [-73.99863843652587, 40.72308023461596]}",-73.9986384365,yes,Electronics Store; Cell Phone Store,,40.7230802346,17,202714.170409,221.0,57.0,2022-11-02T00:00:00.000,10012.0,no,2.0
"{'type': 'Point', 'coordinates': [-73.89182431349676, 40.823154925280626]}",-73.8918243135,,"Clothing, Shoe, Accessories Store",,40.8231549253,5,239193.216217,185.0,8.0,2022-11-02T00:00:00.000,10459.0,no,24.0
"{'type': 'Point', 'coordinates': [-73.99417333897641, 40.75136211465696]}",-73.994173339,,Other,,40.7513621147,35,213018.202622,1155.0,12.0,2022-11-02T00:00:00.000,10001.0,no,8.0
"{'type': 'Point', 'coordinates': [-73.9732092397881, 40.69322955797518]}",-73.9732092398,,Food Service - Full Service Restaurant,,40.693229558,12,191839.802722,240.0,68.0,2022-11-02T00:00:00.000,11205.0,no,55.0
"{'type': 'Point', 'coordinates': [-73.95113357052337, 40.724440120297906]}",-73.9511335705,,"Clothing, Shoe, Accessories Store",,40.7244401203,8,203213.39382,200.0,36.0,2022-11-02T00:00:00.000,11222.0,no,57.0
"{'type': 'Point', 'coordinates': [-73.94333054639385, 40.79950517327993]}",-73.9433305464,,"Florist, Horticulture, Gardening",,40.7995051733,12,230563.357492,600.0,7.0,2022-11-02T00:00:00.000,10035.0,no,16.0
"{'type': 'Point', 'coordinates': [-73.81947532880717, 40.688087302598824]}",-73.8194753288,,Other,,40.6880873026,4,190016.780449,120.0,62.0,2022-11-02T00:00:00.000,11419.0,no,64.0
"{'type': 'Point', 'coordinates': [-73.94199268626305, 40.700792255579316]}",-73.9419926863,,"Clothing, Shoe, Accessories Store",,40.7007922556,16,194599.306717,608.0,36.0,2022-11-02T00:00:00.000,11206.0,no,56.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-74.002392009692, 40.731977965181194]}",-74.0023920097,yes,Other,,40.7319779652,12,205955.896209,300.0,57.0,2022-11-02T00:00:00.000,10014.0,no,3.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.96609275309856, 40.77083885684925]}",-73.9660927531,,"Clothing, Shoe, Accessories Store",,40.7708388568,12,220115.982718,288.0,23.0,2022-11-02T00:00:00.000,10021.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.95996097187712, 40.59840881812853]}",-73.9599609719,,Other,,40.5984088181,25,157295.413149,625.0,32.0,2022-11-02T00:00:00.000,11229.0,no,36.0
"{'type': 'Point', 'coordinates': [-73.99775549276103, 40.71832894915071]}",-73.9977554928,yes,"Clothing, Shoe, Accessories Store",,40.7183289492,13,200983.136141,312.0,57.0,2022-11-02T00:00:00.000,10013.0,no,2.0
