coursedescription,course_name,state,instructor_credentials,city,contact_lastname,website,phone1,zip_code,schedule
CDL Class A Training Course . .This comprehensive CDL Class A program is designed to prepare students for a successful career in commercial truck driving. The course includes: . .Instructionsto prepare for CDL Class A Permit . .20 hands-on driving lessons focused on mastering vehicle control  backing maneuvers  shifting (manual or automatic)  and on-road driving techniques. . .10 Pre-Trip Inspection lessons to ensure students gain confidence in identifying vehicle components and passing the required pre-trip portion of the CDL road test. . .FMCSA-compliant ELDT (Entry-Level Driver Training) online theory program  covering all federal requirements for theory instruction including driving safety  vehicle systems  hours of service  and cargo handling. . .Two CDL Road Test attempts included in the course package to maximize the student&#39;s opportunity to succeed. . .By the end of the program  students will meet all state and federal requirements to obtain a CDL Class A license. . .,CDL Class A Training Course,New York,NYS DMV LICENSE,Brooklyn,Elisman,www.redhookcdl.com,6462505429,11218.0,Check with school to receive most updated schedule
UX (User Experience) designers focus on designing apps  websites  and other products that are easy and pleasant for people to use. UI (User Interface) or Visual designers focus on the appearance of apps  websites  and other products so they are beautiful and visually effective. . .In this project-based certificate program  you'll gain the skills to launch a career as a UX UI designer. You'll learn in a live online class led by an instructor who you can speak with or text chat. Between classes you'll work on projects and then get 1-on-1 feedback from your instructor during class time. .,Program in UX & UI Design,New York,,NEW YORK,Kattan,http://www.nobledesktop.com,2122264149,10016.0,Check with school to receive most updated schedule
This program incorporates the objectives for the Cisco CCNA exam  focusing on giving you the skills and knowledge necessary in install  operate  and troubleshoot a small and medium branch office Enterprise network  including operating IP Data Networks  LAN Switching Technologies  IP Addressing  IP Routing Technologies  IP Services such as DHCP  NAT  ACLs  FHRP  Syslog SNMP v2/v3  Network Device Security  Troubleshooting and Want Technologies. A student should be able to complete configuration and implementation of a small branch office network under supervision. .,CCNA: Routing and Switching,New York,,Staten Island,Education,http://www.csi.cuny.edu/continue,7189822182,10314.0,Check with school to receive most updated schedule
Become certified by the state of New York as a Home Health Aide in American Sign Language and learn how to provide personal care  work within plan of care  and provide support to individual and family. Most home health aides' work with elderly or disabled persons who need more extensive care than family or friends can provide. Some help discharged hospital patients who have relatively short-term needs. In home healthcare agencies  a registered nurse  physical therapist  or social worker usually assigns specific duties and supervises home health aides. Aides keep records of services performed and patients&#39; condition and progress. They report changes in patients&#39; conditions to the supervisor or case manager. . .Upon completion of training student will receive a certificate of completion. .,Home Health Aide - American Sign Language (ASL),New York,,New York,Cruz,,7186150303,10030.0,Check with school to receive most updated schedule
The Patient Care Technician/Nurse Aide Advanced program is a combination of Nursing Assistant  Electrocardiograms (EKG) and Phlebotomy. This course prepares the student to work as a Patient Care Technician in clinics  hospitals  nursing homes  assisted-living facilities or long-term care facilities. The course includes how to check vital signs  take temperatures  pulse  respiration and blood pressure  how to assist in medical examinations performing electrocardiograms (EKGs)  basic laboratory procedures  and phlebotomy. This program is taught with a combination of lectures and practical exercises that will be conducted in an affiliated Health Care Facility which gives a real world experience in the health care field. This course covers the two (2) National Healthcare Association (NHA) certification exams - Certified Phlebotomy Technician and Certified EKG Technician. Exam fees for both NHA exams plus the State testing fee are included in tuition. If a retest is required  the cost of the retest is also included in your tuition. Upon completion of training student will receive certificate of completion. .,Patient Care Technician/Nurse Aide Advanced,New York,Licensed by the New York State Education Department,New York,Cruz,,7186150303,10030.0,Check with school to receive most updated schedule
Course Overview . .Pharmacy Sterile Compounding Training . .MTINY Sterile Compounding Provides students with a complete introduction to institutional pharmacy practice and practicing Pharmacy Technicians II with preparation for the new sterile compounding certification exam. Comprehensively covering sterile products  aseptic techniques  and the workings of the sterile compounding facility  MTINY Sterile Compounding focuses on safe and effective practice. Our Certified Compounded Sterile Preparation Technician program has expanded and updated coverage to address preparation  processing  medications  technique  and documentation  with review  analysis  applications  waste management  workflow  safety and compliance  billing and reimbursement  and emergency management. . .Pharmacy technicians prepare medications safely and responsibly to their patients every day. They must be mindful of upholding clinical standards when preparing  transporting  and distributing medication to reduce the risk of a patient becoming harmed by contaminated medication. You might get a sterile compounding certification if you want to protect your patients by learning better ways to maintain their medication. This article discusses what sterile compounding certification is  why it&#39;s important  and how to earn it. .,Pharmacy Sterile Compounding,New York,,New York,alarbi,www.mtiofnewyork.com,2122048577,10017.0,Check with school to receive most updated schedule
NSIP is a full-time  eight-week training program that provides a combination of classroom and on-the-job training in a New York City homeless shelter or supportive housing facility. NSIP trains participants for careers in homeless services. .,Next Step Internship Program,New York,,NEW YORK,Mikulenka,http://projectrenewal.org,2126200340,10014.0,Check with school to receive most updated schedule
UPDATE - ALL OF OUR SECURITY COURSES ARE NOW AVAILABLE ONLINE AND ARE APPROVED BY THE NYS DIVISION OF CRIMINAL JUSTICE SERVICES . .We are using ZOOM as the platform for distance learning . .This course is usually given several times a month. Classes fill up quickly so please contact the school for dates and times or check our wesite. . .This course isapproved through the New York State Division of Criminal Justice Services. This course is the mandatory requiredclasses to become registered as a Security Guard in New York State.Class cost includes all training materials.Course price alsoincludes $141.75 NYS Security Guard registration application and fees (including background checks and fingerprinting fees)  as well as the $25 Fire Guard exam fee and study guide. Please note: Fire guard certification is not required to become a security guard in NYS  but many employers desire licensed guards that have the fire guard certification. There are no additional costs to the student. This is a complete package to license a student as a security guard in New York State. .,8 Hour Pre-Assignment and 16 Hour On-The-Job Security Guard Training & Fire Guard,New York,DCJS Certified,BROOKLYN,Weiss,http://guardiangroupservices.com,6467672477,11201.0,Check with school to receive most updated schedule
. . . .Course Overview . .Pharmacy Technician II . .A pharmacy technician II is a medical professional completing the Pharmacy Technician I Program and the state pharmacy technician training requirements. This can include an accredited pharmacy technician training program  completion of the PTCB  or Pharmacy Technician Certification Board  exam  and experience in the pharmaceutical industry. Experience requirements may vary by state  but typically  pharmacy technicians have at least one year of experience working under a Registered pharmacist before advancing to pharmacy technician II. . .The Pharmacy Technician program at MTINY provides students with the technical and practical training necessary to work as an Intermediate-level assistant to a licensed pharmacist. . .Students will study pharmacy computing  medication preparation  inventory and billing  and quarterly customer service care. The program seeks to prepare students to work under a licensed pharmacist's supervision in preparing and dispensing medications  maintaining patient records  setting up  packaging  and labeling routine orders from stock supplies  and mixing drugs with parenteral fluids. . .The core curriculum is structured to include a lecture  laboratory  and Internship components. The final externship portion of the curriculum consists of supervised experiences in a clinical environment  which requires competencies  logs  and evaluations completed by the student. .,Pharmacy Technician II,New York,,New York,alarbi,www.mtiofnewyork.com,2122048577,10017.0,Check with school to receive most updated schedule
The Patient Care Specialist Program at theMedical Training Institute of New Yorkis designed to prepare students to assist medical providers by performing administrative and essential clinical duties in an office and medical center. The core curriculum covers a variety of disciplines  including dialysis  certified nurse assistant  phlebotomy  and patient care technician. This course prepares the student to work in a hospital  assisted living  or long-term care environment under the direct supervision of a licensed nurse. Courses under Patient Care Specialist Program: . . . Dialysis . Certified Nurse Assistant . Patient Care Technician . CPR . .,Patient Care Specialist,New York,Medical Doctor  NYS BPSS Licenses Instructor,New York,alarbi,www.mtiofnewyork.com,2122048577,10017.0,Check with school to receive most updated schedule
This program includes the 8 Hour Pre Assignment training Course for security gaurdas the first step in obtaining a security guard registration. The course provides the student with a general overview of the duties and responsibilities of a security guard. . .The second requirement is to complete The 16 Hours On the Job training program for Security Guard. This course provides the student with detailed information on the duties and responsibilities a security guard. . .Note: Training program include the Following: Complete training  Security Guard Application fee($36.00)  fingerprinting fee($101.45)  Books ($30.00)  .,8 Hour Pre Assignment and 16 Hour On The Job Training,New York,Licensed by the NYS Education Department and Certified by the NYS  Division of Criminal Justice Services,New York,Cruz,,2125941917,10038.0,Check with school to receive most updated schedule
A 10-week  part-time or 1-week  full-time course to learn how to develop strong  customer-centric digital marketing strategies;execute them across key digital channels (social  search  email  web  advertising); and evaluate and optimize them using Google Analytics and A/B testing. By the end of this course  students are able to develop a marketing strategy and plan the execution over various channels. Students will also be able to measure key metrics and optimize channels as needed. .,Digital Marketing Short Course,New York,,New York,Hinstorff,,9177220237,10010.0,Check with school to receive most updated schedule
This course presents an ideal opportunity for students who are attending full-time while preparing for their first job  for students attending part-time classes while preparing for a career change  or for those working in the field who want to increase their knowledge and skills. Emphasis throughout the course is placed on the practical application of the knowledge and skills technicians need to be productive in the refrigeration and air conditioning industry in maintaining heating and cooling systems. . .This course is designed primarily to training the student and preparing them to become aRefrigerating System Operating Engineer. Fundamental laboratory work is involved. It provides lecture and review in the fundamentals of refrigeration equipment. Includes a review of tube and pipe joining  gauges  refrigerant charging  system evacuation and dehydration and analysis of compression of refrigeration cycles.This program consists of 200 hours of instructional training  of which not less than 25 hours shall consist of practical skill exercise/hands-on demonstration in which each student must personally perform the functions set forth in accordance with the NYC Fire department requirements. .,Refrigerating System Operating Engineer,New York,Licensed by the New York Sate Education Department,New York,Cruz,,2125941917,10038.0,Check with school to receive most updated schedule
This course provides an overview of property management and the functions involved. Property management is a rapidly growing sector of the Real Estate profession. Real-life case studies and professional challenges are discussed. Upon completion of training student will receive certificate of completion. .,Introduction to Property Management,New York,Licensed by the NYS Education Department,New York,Cruz,,2125941917,10038.0,Check with school to receive most updated schedule
Through a combination of lectures and exercises  students will learn the key techniques necessary to be an effective Analyst. Students will fundamentals of databases with SQL and Business Intelligence BI  Power BI with DAX  advanced Excel with VBA basics  Data Analysis with Python and libraries  Data Visualization with Tableau. During the course  students will polish their skills practicing analysis tools and techniques. Students will receive certificates of completion. This is a web-based remote instructor-led course (online synchronous). .,Computer Systems Analyst (Online),New York,,Brooklyn,Kirshenbaum,http://www.samconsulting.com,7186483997,11229.0,Check with school to receive most updated schedule
This course is mandatory for all unarmed andarmed security guardsseeking licensing in New York. It is a one-day course that serves as the first step in the registration process to become a professional guard  and students are required to earn a 70% final test score to pass the class. Passing students receive a Certificate of Completion documenting their achievement. This certificate must be included with the student's eventual application for a security guard license. . .The 16 hour security guard training course is mandatory for both unarmed and armed security guards. To qualify for the course  students must have already successfully completed their8 hour pre-assignment training course. Armed guards must have also completed the47 hour firearms training coursebefore they can take this on-the-job training. In addition  students must first secure employment as a security guard  since the course is focused on training for a real-world work environment. .,8 Hour Pre Assignment and 16 Hour On the Job Training,New York,General Topics,Brooklyn,Kozhar,www.issinvestigation.com,7187914886,11223.0,Check with school to receive most updated schedule
A Certified Nurse Aide Assists Licensed Practical Nurses (LPNs) and Registered Nurses (RNs) with direct patient care. This demanding yet exciting program will prepare you for n entry-level position in a nursing home or hospital facility. .,CERTIFIED NURSE AIDE INTENSIVE,New York,,BROOKLYN,Crawford,http://www.kingsborough.edu/continuinged/Pages/default.aspx,7183685832,11235.0,Check with school to receive most updated schedule
This course presents a comprehensive understanding of the basic principles of air pollution and the relevant laws and regulations  including major sources and types of contaminants; health effects and methods of control.Get your License to operate fuel burning equipment using residual fuel oil. Every operator of residual oil equipment must hold a License to operate equipment using residual fuel oil. To help prevent air pollution you must understand the operation of an oil burner. Knowing the parts of your equipment  where they are located and how they work can be helpful in preventing smoke. . . .According to the City&#39;s law no person shall cause or permit the use of fuel burning equipment  unless they have received a certificate  within six months of their employment  which states that they have successfully completed a course in the techniques of Air Pollution Control. .,Air Pollution Control Certification,New York,Licensed by the NYS Education Department,New York,Cruz,,2125941917,10038.0,Check with school to receive most updated schedule
The Per Scholas Cyber Security Training Course is a one term 15week (412.5hours) intensive and comprehensive course  that provides students technical skills training to be qualified for (but not limited to) Cyber Security Analyst  Junior Security Analyst  Security Engineer. The CysA+certification exam is paid for by Per Scholas. There is no cost to the student. .,Cyber Security Training Course,New York,CompTIA Per Curriculum Certification,BRONX,Becerra,http://www.perscholas.org,9294310866,10454.0,Check with school to receive most updated schedule
Overview . .The Surgical Technology Program at theMedical Training Institute of New Yorkis designed to provide students with the cognitive (knowledge)  psychomotor (skills)  and affective (behavior) learning domains necessary for employment as an entry-level surgical technologist. The AST Core Curriculum 8th Edition was used as a guideline to facilitate the formation of the surgical technology program curriculum  which includes an on-campus lecture component  an on-campus laboratory component  and an off-campus integrated clinical component. The curriculum is designed to provide instruction in anatomy and physiology  medical terminology  surgical pharmacology and microbiology  surgical procedures  aseptic technique  surgical instrumentation  and medical-legal components of the practice of surgical technology. Students are also taught necessary skills  such as critical thinking under pressure  case preparation and management  and anticipation of patient needs and safety. The final externship portion of the curriculum is structured to include supervised experiences in the clinical environment that require competencies  logs  and evaluations completed by the student. After the program  graduates who have diligently attended class and their externship studied and practiced their skills should have the skills to seek entry-level employment as surgical technologists. .,Surgical Technology,New York,,New York,alarbi,www.mtiofnewyork.com,2122048577,10017.0,Check with school to receive most updated schedule
Medical assistants play a vital role in healthcare  performing a range of administrative and clinical tasks. Their responsibilities include scheduling appointments  maintaining patient records  measuring and recording vital signs  assisting with medical examinations  and handling basic laboratory procedures. Medical assistants also contribute to the smooth flow of communication between healthcare professionals and patients. Education requirements typically involve completing a medical assisting program  and many pursue certification to enhance their skills and marketability. They can work in various healthcare settings  such as clinics  hospitals  or physician's offices. . . . .Medical assistants are responsible for a variety of tasks  including: . . . Administrative Duties: &ndash; Scheduling appointments. &ndash; Managing medical records. &ndash; Billing and coding. &ndash; Handling phone calls and correspondence. . Clinical Duties:&ndash; Measuring and recording vital signs (blood pressure  pulse  temperature). &ndash; Assisting physicians during examinations. &ndash; Administering injections or medications as directed. &ndash; Collecting and preparing laboratory specimens. . Communication and Patient Interaction:&ndash; Communicating with patients  explaining procedures  and providing instructions. &ndash; Serving as a liaison between patients and healthcare providers. . Basic Laboratory Procedures:&ndash; Performing routine laboratory tests. &ndash; Sterilizing medical instruments. &ndash; Preparing and handling medical equipment. . Assisting with Medical Procedures: &ndash; Assisting in minor surgical procedures. &ndash; Conducting electrocardiograms (ECGs). . Recordkeeping: &ndash; Documenting patient information and care in medical records. Medical assistants often work under the supervision of physicians or other healthcare professionals. Their versatile skill set contributes to the efficient operation of healthcare facilities. . .,Medical Assistant,New York,BPSS instructor license,Forest Hills,Terrero,www.amat.edu,7184874010,11375.0,Check with school to receive most updated schedule
This program is for students who wish to learn English in the shortest possible time. You will get great opportunity to increase your speaking and writing skills. Emphasis will be placed on the appropriate vocabulary and idiomatic expressions which will increase your oral ability and writing skills. Grammar and pronunciation exercises will be included in the course work. As a part of the course students study grammar  reading comprehension  and vocabulary building. The classes are available for beginners  intermediate and advanced students. Upon completion of training student will receive certificate of completion. . .Our English Program is a complete six level course. Each level is carefully graded and consists of: . .1. English Beginning Level I -125 hours Total Cost $1 250.00 .2. English Beginning Level II -125 hours Total Cost $1 250.00 .3. English Intermediate Level I -125 hours Total Cost $1 250.00 .4. ESL Intermediate Level II -125 hours Total Cost $1 250.00 .5. ESL Advanced I -125 hours Total Cost $1 250.00 .6. ESL Advanced (Transitional) -125 hours Total Cost $1 250.00 .English as a Second Language Full Course 750 Hours .Total Cost for the complete six level full course $7 500.00 .,ENGLISH AS A SECOND LANGUAGE,New York,Licensed by The New York State Education Department,New York,Cruz,,7186150303,10030.0,Check with school to receive most updated schedule
Students work on the skills needed to obtain their Class CP license. After successful completion students will be able to operate an Ambulette or Light Truck Delivery Vehicle. Program consists of classroom instruction only. NO ROAD TEST NECESSARY. 10 classroom hours of study time for NYS DMV Written Test. INCLUDED are Licensing Fees. Upon completion of training student will receive a certificate of completion. .,Light Truck Class CP Program,New York,NYS DMV Certified,BRONX,Henriquez,http://truckardrivingschool.com,7187420220,10455.0,Check with school to receive most updated schedule
The Home Health Aide (HHA) course trains individuals to provide basic personal care and assistance to patients in their homes. The course covers topics such as hygiene  nutrition  mobility assistance  infection control  and communication skills. It combines classroom instruction with hands-on clinical experience  preparing students to support elderly  disabled  or chronically ill clients with daily living activities under the supervision of healthcare professionals. . . . .,Home Health Aide,New York,,Woodside,Natanov,,7187669800,11377.0,Check with school to receive most updated schedule
There is a great demand for Credentialed Alcoholism and Substance Abuse Counselors CASAC who have a sound clinical foundation as well as sensibility to the diversity of the client population. This program is designed for health and human services professionals  educators  clergy  and employee assistance personnel who wish to enter or advance in the field. This certificate program satisfies the 350 clock hours of course work covering the 4 categories of knowledge required for CASAC credential applicants. The program also helps to identify resources for the supervised practical training hours. Satisfactory completion of the program  supervised practical training   documented work experience as well as passing the NYS Office of Alcoholism and Substance Abuse Services NYS-OASAS written examination leads to the Credentialed Alcoholism and Substance Abuse Counselor CASAC designation. The training is provided under New York State OASAS Provider # AI 0157. .,Alcoholism & Substance Abuse Counseling CASAC,New York,MSW  CASAC,BRONX,Drago-Dowling,http://www.lehman.edu/academics/continuing-education/,7189608077,10468.0,Check with school to receive most updated schedule
Students will learn the functions of a word processor  available features  and the fundamentals of creating  editing  proofing  and printing documents Microsoft Excel  this course assumes no previous knowledge of spreadsheet applications  students to create and edit worksheets and will do so by teaching them the fundamental skills involved in using Excel  such as saving  formatting  printing  copying moving text and formulas  chart creation  and use of functions. Microsoft Powerpoint teaches how to create and run professional slide show presentations  complete with objects  charts  graphs  multimedia and other elements. Students will also delve into the more advanced features of Powerpoint that enable refined control and output of presentation data. .,Computer Basic,New York,teacher license,NEW YORK,Zhang,http://www.ntii-newyork.com,2129255722,10013.0,Check with school to receive most updated schedule
