brief_excerpt,age_group,how_to_apply_or_enroll_by,apply_online_call_to_action,program_category,population_served,updated_at
"Program zamrożenia czynszów, który umożliwi uprawnionym mieszkańcom Nowego Jorku pozostanie w ich domach",,"\nWydrukuj (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) wstępny wniosek (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) i wypełnij go. Możesz również pobrać wniosek z Centrum Pomocy SCRIE lub zadzwonić pod numer 311 (mailto:SCRIE@hpd.nyc.gov) , aby poprosić o przesłanie wniosku.\nPrześlij wypełniony i podpisany wniosek wraz z dokumentacją uzupełniającą na adres:Rent Freeze Program – SCRIEP.O. Box 3179 Union, NJ 07083Mieszkańcy budynków Mitchell-Lama lub Redevelopment Company:\nPobierz wniosek HPD SCRIE i wyślij go na adres:HPD SCRIE Unit100 Gold Street, 7th floor New York, New York, 10038\nWypełniony wniosek można również przesłać e-mailem na adres SCRIE@hpd.nyc.gov.",Złóż wniosek online,Housing,"Immigrants,People with disabilities,Seniors,Veterans",2022-03-23T11:02:42.000
Reducción de impuestos sobre la propiedad para los veteranos que califiquen y hayan prestado servicio en ciertos conflictos.,,"Las solicitudes deben franquearse a más tardar del 15 de marzo para que sus beneficios comiencen el 1 de julio de ese mismo año.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) Descargue la solicitud de exención inicial (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) y complétela. También puede llamar al 311 para que le envíen una por correo.\nCuando haga la solicitud, deberá dar el distrito, la manzana y el lote (BBL) de su casa. Use la herramienta de búsqueda de direcciones de viviendas para obtener esta información.\nReúna los documentos necesarios e inclúyalos en su solicitud. Su solicitud no se procesará sin ellos.\nEnvíe por correo su solicitud completada y los documentos necesarios a: New York City Department of Finance P.O. BOX 311 Maplewood, NJ 07040-0311",Presente su solicitud en línea,Cash & expenses,"Veterans,Homeowners",2024-10-22T11:02:05.000
Get money back if you paid for childcare or adult dependent care while working or looking for work.,Everyone,"Complete Form 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) or (https://www.irs.gov/forms-pubs/about-form-1040-nr) Form 1040NR (https://www.irs.gov/pub/irs-pdf/f2441.pdf) , and include Form 2441.",File online,Cash & expenses,"Families with children,Pregnant & new parents",2025-01-22T11:00:49.000
Disminución de impuestos inmobiliarios para propietarios con discapacidades,,"\nDescargue la solicitud de exención inicial y complétela. También puede llamar al 311 (https://a836-pts-access.nyc.gov/care/Search/Disclaimer.aspx?FromUrl=../search/commonsearch.aspx?mode=address) para pedir que le envíen una solicitud por correo\nSe le pedirá que indique el distrito, bloque y solar de su hogar. Puede usar la búsqueda de dirección de propiedades para determinar estos datos.\nRecopile los documentos necesarios e inclúyalos en su solicitud. Sin ellos, su solicitud no se procesará.\n Envíe por correo su solicitud completa y los documentos requeridos a: New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311\nLas solicitudes deben matasellarse a más tardar el 16 de marzo para comenzar a percibir los beneficios el 1 de julio del mismo año.",Presente su solicitud en línea,Cash & expenses,"People with disabilities ,Homeowners",2024-10-22T11:01:11.000
"Налоговый кредит в сумме до $11,000 для соответствующих критериям семей, родителям, которым после развода суд не предписал осуществлять опеку над ребенком, а также лиц с полной или неполной занятостью или являющихся индивидуальными предпринимателями.",,"Если вы подаете декларацию по почте, вам понадобятся такие формы:\nФорма 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) или (https://www.irs.gov/forms-pubs/about-form-1040-nr) форма 1040НР (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) для EITC федерального уровня\nПриложение «Вычеты за трудовой доход» (Schedule EIC) (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) к налоговой декларации федерального уровня, если у вас есть ребенок\nФорма IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) для получения налогового вычета от штата Нью-Йорк\nВедомость C из формы инструкций к IT-215 для получения налогового вычета от г. Нью-Йорка",Подать в Интернете,Cash & expenses,,2025-08-12T11:01:38.000
"নগদ সহায়তা আপনাকে ভাড়া, ইউটিলিটি এবং অন্যান্য জরুরি খরচগুলি দিতে সাহায্য করতে পারে।",,\n (https://otda.ny.gov/programs/applications/2921-BE.pdf) আবেদনপত্রটি প্রিন্ট করে (http://www1.nyc.gov/site/hra/locations/job-locations.page) প্রিন্ট করে সম্পূর্ণ করুন।\nএটি HRA বেনিফিট অ্যাক্সেস সেন্টারে (http://www1.nyc.gov/site/hra/locations/job-locations.page) ডাকযোগে পাঠান বা সেখানকার ড্রপ বক্সে রেখে আসুন।\nআপনাকে ফোন ইন্টারভিউয়ের জন্য যোগাযোগ করা হবে। এছাড়াও আপনি সশরীরে উপস্থিত হয়ে ইন্টারভিউ দেওয়ার জন্য এHRA বেনিফিট অ্যাক্সেস সেন্টারে যেতে পারেন।কটি,আবেদন করুন অথবা অনলাইনে পুনরায় প্রত্যয়ন করুন,Cash & Expenses,Everyone,2024-07-11T11:01:07.000
Head Start 프로그램은 연중무휴로 하루 최소 8시간의 무료 서비스를 제공합니다.,,,,Child care,NYCHA residents,2025-04-02T11:00:51.000
하루 최대 10시간의 조기 보육 및 교육 서비스.,,"\n (https://www1.nyc.gov/site/acs/early-care/forms.page) 귀하의 언어로 된 신청서를 다운로드하십시오. (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \n작성 후 보낼 우편 주소: NYC DOE Family Welcome Center 333 7th Ave 12th floor New York NY 10001이미 HRA 혜택을 받는 경우, 할당된 HRA 혜택 이용 센터(Benefits Access Center)에서 신청하세요.",온라인 신청,Child care,"Children (0-13),Families,Pregnant & new parents",2024-08-13T11:00:59.000
장애인 주택 소유주의 경우 재산세가 감면됩니다.,,"\n최초 면제 신청서를 다운로드하여 작성하십시오. 신청서를 우편으로 받으려면 311 (http://webapps.nyc.gov:8084/CICS/fin1/find001I) 번에 연락하시면 됩니다.\n문의 시 귀댁의 보로, 블록 및 로트(BBL)에 대한 질문을 받으시게 됩니다. 자산 주소 검색을 사용하여 주소 정보를 확인하실 수 있습니다. \n필수 서류를 준비하여 신청서와 함께 제출해 주십시오. 필수 서류가 없는 경우 신청서가 처리되지 않습니다.\n작성한 신청서와 필수 서류를 다음 주소로 우송해 주십시오.New York City Department of FinanceP.O.BOX 311Maplewood, NJ 07040-0311\n 해당연도의 7월 1일부터 혜택을 받으려면 신청서에 3월 16일까지의 소인이 찍혀야 합니다.",온라인 신청,Cash & expenses,"People with disabilities ,Homeowners",2024-10-23T11:00:57.000
COMPASS NYC에는 유치원에서 12학년까지의 학생들을 대상으로 수백 가지의 프로그램을 제공하고 있습니다.,,,방과후 프로그램(afterschool program) 찾기,Enrichment,"Children (0-13),Students,Youth (10+)",2022-03-23T11:01:30.000
Właściciele domów mogą uzyskać częściowe zwolnienie z podatku od nieruchomości w okręgu szkolnym.,,"Jeśli w roku, w którym składasz wniosek, będziesz mieć ukończone 65 lat i otrzymałeś zwolnienie z tytułu STAR w swojej nieruchomości w latach 2015-16, możesz ubiegać się o Enhanced STAR (E-STAR). Należy złożyć wniosek do Wydziału Finansów NYC (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) , wypełniając formularz (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) „STAR to ESTAR” (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) .Osoby posiadające zwolnienie w Podstawowym Programie Świadczenia STAR dotyczące swojej nieruchomości od 2015 roku lub wcześniej mogą złożyć wniosek o przywrócenie zwolnienia w Programie STAR, wypełniając wniosek o Przywrócenie Świadczenia STAR.",Złóż wniosek online,Cash & Expenses,Homeowners,2024-10-23T11:01:40.000
Снижение налога на недвижимость для нетрудоспособных домовладельцев.,,"\nЗагрузите заявление об освобождении и заполните его. Вы также можете позвонить по номеру 311 (https://a836-pts-access.nyc.gov/care/Search/Disclaimer.aspx?FromUrl=../search/commonsearch.aspx?mode=address) , чтобы попросить прислать вам заявление по почте.\nВам нужно будет сообщить номер района, квартала и участка (BBL) для вашего жилья. Чтобы узнать эти данные, можно использовать функцию поиска по адресу недвижимости.\nСоберите необходимые документы и приложите их к своему заявлению. Заявления без сопроводительных документов не обрабатываются.\nОтправьте заполненное заявление и все необходимые документы почтой по адресу:New York City Department of FinanceP.O.BOX 311Maplewood, NJ 07040-0311\nДля получения льгот, выплачиваемых начиная с 1 июля каждого года, заявление должно быть отправлено не позднее 16 марта (по почтовому штемпелю).",Подача заявки онлайн,Cash & expenses,"People with disabilities ,Homeowners",2024-10-23T11:00:58.000
"Enskri pitit ou nan yon pwogram preskolè gratis, bon kalite pou tout jounen.",,,Aplike pou Pwogram Pre-K,Education,"Children (0-13),Families,Immigrants,NYCHA residents,Students",2024-08-09T11:01:42.000
"Программа освобождения от повышения арендной платы помогает жителям г. Нью-Йорка, которые соответствуют установленным критериям, избежать выселения",,"\nРаспечатайте (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) первоначальную заявку и заполните ее. Вы также можете получить форму в центре помощи DRIE или позвонить по номеру 311, чтобы форму заявки выслали по почте.\nОтправьте по почте заполненную и подписанную заявку с подтверждающими документами по адресу:Rent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083",Подайте онлайн-заявку,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:01:36.000
HEAP는 자격에 부합하는 가구에 주택 난방비를 지원하는 제도입니다.,,"2024~2025년 HEAP 일반 혜택 신청은 2025년 4월 7일에 마감되었습니다. 신청서를 (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) 다운로드하여 작성하십시오. 신청서를 제출하려면 다음 중 하나를 수행하시면 됩니다.\n작성한 신청서를 다음 주소로 보내주십시오. New York City Home Energy Assistance Program P.O. Box 1401, Church Street Station New York, NY, 10008\n작성한 신청서를 917-639-2900번으로 팩스로 발송하십시오.",온라인 신청,Cash & expenses,,2025-05-28T11:02:54.000
COMPASS NYC 為從幼兒園到 12 年級的青少年提供了數百個課程。,,,尋找課後計畫,Enrichment,"Children (0-13),Students,Youth (10+)",2022-03-23T11:02:06.000
Lower property taxes for qualifying veterans who served in certain conflicts.,Caregiver,"Applications must be postmarked by March 15th for your benefit to begin on July 1st of the same year.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) Download the initial exemption application (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) and fill it in. You can also call 311 to get one mailed to you.\nWhen applying, you will need the borough, block, and lot (BBL) for your home. Use the Property Address Search to get this information.\nGather your required documents and include them with your application. Your application will not be processed without them.\nMail your completed application and required documents to:New York City Department of FinanceP.O.BOX 311Maplewood, NJ 07040-0311",Apply online,Cash & expenses,Veterans,2024-09-24T11:03:04.000
"2024‏ کے لیے ٹیکس فائل کرتے وقت، فیملیز 17 سال سے کم عمر کے اہل قرار پانے والے ہر بچے کے لیے ‏‎$2,000‏ تک کی مالیت کے اس ٹیکس کریڈٹ کا دعوی کر سکتی ہیں۔",,اپنا ٹیکس ریٹرن میل کرنے میں،فارم ‎1040‏ (https://www.irs.gov/pub/irs-pdf/f1040.pdf) اورشیڈول ‎8812‏ (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) مکمل کریں۔,,Cash & Expenses,Pregnant & new parents,2025-02-06T11:00:53.000
হেড স্টার্ট (Head Start) প্রোগ্রামগুলি বিনামূল্যের হয় এবং দিনে অন্তত আট ঘণ্টা করে সারাবছর ধরে চলে।,,,,Child Care,NYCHA residents,2025-04-02T11:00:52.000
На портале COMPASS NYC представлены сотни различных программ для детей и подростков от детского сада до 12-го класса.,,,Найти внеклассную программу,Enrichment,"Children (0-13),Students,Youth (10+)",2022-03-23T11:01:32.000
نیو یارک کے اہل باشندوں کو ان کے گھر میں رہنے میں مدد کے لیے رینٹ فریز پروگرام,,"\nایک (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) ابتدائی درخواست (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) پرنٹ کریں اور اسے پُر کریں۔ آپ SCRIE اسسٹنس سنٹر جا کر بھی لے سکتے ہیں یا ایپلیکیشن بھیجنے کی درخواست کرنے کیلئے 311 (mailto:SCRIE@hpd.nyc.gov) پر کال بھی کر سکتے ہیں۔\nمعاون دستاویزات کے ساتھ اپنی مکمل اور دستخط شدہ درخواست بذریعہ ڈاک اس پتہ پر بھیجیں:Rent Freeze Program – SCRIEP.O. Box 3179 Union, NJ 07083اگر آپ Mitchell-Lama یا Redevelopment کمپنی ڈویلپمنٹ ہاؤسنگ میں رہتے ہیں:HPD SCRIE ایپلیکیشن ڈاؤن لوڈ کریں اور اسے اس پتہ پر ڈاک سے بھیج دیں:HPD SCRIE UnitOne Hundred Gold Street. 7th floor New York, New York, 10038 \nآپ اپنی مکمل شدہ درخواست SCRIE@hpd.nyc.gov پر ای میل بھی کر سکتے ہیں۔",آن لائن درخواست دیں,Housing,"Immigrants,People with disabilities,Seniors,Veterans",2022-03-23T11:02:24.000
Yon pwogram estabilizasyon pri lwaye pou ede Moun Vil New York ki kalifye yo rete lakay yo,,"\nEnprime yon (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) premye aplikasyon (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) epi ranpli li. Ou ka pran youn nan Sant Èd SCRIE a tou oswa rele 311 (mailto:SCRIE@hpd.nyc.gov) pou mande pou yo voye yon aplikasyon ba ou nan lapòs.\nVoye aplikasyon ou ranpli ak siyen an nan lapòs ansanm ak dokiman sipò yo nanRent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083Si w ap viv nan yon lojman devlopman Mitchell-Lama oswa nan Konpayi Redevlopman:\nTelechaje aplikasyon HPD SCRIE a epi voye l nan lapòs bay:HPD SCRIE Unit100 Gold Street, 7th floor New York, New York, 10038\nEpitou ou ka voye aplikasyon ou fin ranpli a nan imèl bay SCRIE@hpd.nyc.gov.",Aplike sou entènèt,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:02:40.000
現金援助可以幫助您支付租金、公用事業費用和其他緊急費用。,,\n (https://otda.ny.gov/programs/applications/2921-CH.pdf) 下載本申請 (http://www1.nyc.gov/site/hra/locations/job-locations.page) 並完成填寫。\n將其郵寄至 HRA 福利領取中心 (http://www1.nyc.gov/site/hra/locations/job-locations.page) 或直接放入投遞箱。\n相關機構可能會聯絡您安排電話約談。 您也可以前往 HRA 福利領取中心進行面談。,線上申請或重新認證,Cash & expenses,Everyone,2024-07-11T11:01:30.000
Un programme de gel des loyers visant à aider les New-Yorkais à conserver leur logement,,"\nImprimez une (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) demande initiale (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) et remplissez-la. Vous pouvez aussi en prendre une au Centre d’assistance SCRIE ou appeler le 311 (mailto:SCRIE@hpd.nyc.gov) pour demander à ce qu’une demande vous soit envoyée par courrier postal.\nEnvoyez votre demande dûment remplie et signée accompagnée des pièces justificatives à l’adresse :Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083Si vous vivez dans un logement social Mitchell-Lama ou Redevelopment Company :\nTéléchargez la demande HPD SCRIE et envoyez-la par courrier postal à l’adresse :HPD SCRIE Unit100 Gold Street, 7th floor New York, New York, 10038\nVous pouvez également envoyer par courriel votre demande dûment remplie par courriel à l’adresse SCRIE@hpd.nyc.gov.",Déposez une demande en ligne,Housing,"Immigrants,People with disabilities,Seniors,Veterans",2022-03-23T11:02:42.000
مالک مکان اسکول پراپرٹی ٹیکسوں سے جزوی استثناء حاصل کر سکتے ہیں۔,,"اگر آپ کی عمر 65 سال یا اس سے زیادہ ہو گی جس کے لیے آپ درخواست دیتے ہیں اور 2015-16 میں آپ کی جائیداد پر STAR چھوٹ تھی ، تو آپ بہتر سٹار (E-STAR) کے لیے درخواست دے سکتے ہیں۔ (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) """"STAR‏ برائے ‏ESTAR‏"""" ‏(‏STAR to ESTAR‏) (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) ‏ کی درخواست مکمل کرکے ‏NYC‏ محکمۂ مالیات میں درخواست دیں (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) ۔اگر آپ کے پاس اپنی جائیداد پر 2015 یا اس سے پہلے سے بنیادی ‏STAR‏ کا استثناء تھا اور تبھی سے اس سے محروم ہو گئے ہیں تو آپ ‏STAR‏ مراعات کی بحالی کی درخواست مکمل کرکے ‏STAR‏ کا اپنا استثنا بحال کرنے کی درخواست دے سکتے ہیں۔",آن لائن درخواست دیں,Cash & Expenses,Homeowners,2024-10-23T11:01:13.000
"자격을 갖춘 가족, 비양육 부모, 풀타임 근로자, 파트타임 근로자, 자영업자는 최대 $11,000의 세금 공제를 받을 수 있습니다.",,"우편으로 세금 신고를 하는 경우 다음과 같은 양식이 필요합니다.\n연방 EITC를 위한 양식 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) 또는 (https://www.irs.gov/forms-pubs/about-form-1040-nr) 양식 1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) \n자녀가 있는 경우, 연방세 환급용 표 EIC (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) \n뉴욕주 공제용 양식 IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) \n뉴욕시 공제용 IT-215용 지침서 양식의 워크시트 C",온라인 접수,Cash & expenses,,2025-02-06T11:01:55.000
讓您的孩子參加免費、全天、高品質的 Pre-K 課程。,,,申請 Pre-K,Education,"Children (0-13),Families,Immigrants,NYCHA residents,Students",2024-08-09T11:01:44.000
معذوریوں کے حامل مالک مکانوں کے لیے جائیداد پر کم ٹیکس۔,,"\nابتدائی استثنا فارم ڈاؤن لوڈ کریں اور اسے پُر کریں۔ آپ ایک درخواست خود کو ڈاک سے بھجوانے کے لیے 311 پر بھی رابطہ کر سکتے ہیں۔\n آپ کو اپنے گھر کی برو، بلاک اور لاٹ (BBL) فراہم کرنے کا کہا جائے گا۔ آپ اس کا تعین کرنے کے لیے پرپرٹی ایڈریس سرچ استعمال (http://webapps.nyc.gov:8084/CICS/fin1/find001I)   کر سکتے/سکتی ہیں۔\nاپنی مطلوبہ دستاویزات جمع کریں اور انہیں اپنی درخواست کے ساتھ شامل کریں۔ آپ کی درخواست پر ان کے بغیر عمل درآمد نہیں کیا جائے گا۔\nاپنی مکمل شدہ درخواست اور مطلوبہ دستاویزات کو بذریعہ ڈاک یہاں بھیجیں: New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311\nاسی سال 1 جولائی سے آپ کے بینیفٹس کو شروع کرنے کے لیے درخواستوں کو 16 مارچ سے پہلے بذریعہ ڈاک بھیج دیا جانا چاہیئے۔",آن لائن درخواست دیں,Cash & Expenses,"People with disabilities,Homeowners",2024-10-23T11:00:56.000
Le programme HEAP aide les foyers admissibles à couvrir les frais de chauffage de leur logement.,,"Les demandes d’allocations HEAP ordinaires 2024-2025 ont été clôturées le 7 avril 2025. (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) Téléchargezet remplissez le formulaire. Pour déposer votre demande, vous avez deux possibilités :\nEnvoyez votre demande par courrier à : New York City Home Energy Assistance Program P.O. Box 1401, Church Street Station New York, NY, 10008\nEnvoyez votre demande par télécopie au 917 639 2900.",Déposer une demande en ligne,Cash & Expenses,,2025-05-28T11:01:59.000
HEAP helps eligible households meet the cost of heating their homes.,"Everyone,Caregiver,Baby,Toddler,Pre-Schooler,Grade-Schooler,Pre-Teen,Teen,Young Adult","Applications for the 2024-25 HEAP Regular Benefit closed on April 7, 2025. (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) Download and complete the application. To submit your application, you can either:\nMail your application to:New York City Home Energy Assistance ProgramP.O. Box 1401, Church Street StationNew York, NY, 10008\nFax your application to 917-639-2900.",Apply online,Cash & expenses,"Families with children,Homeowners,People with disabilities,Older Adults",2025-12-02T11:01:12.000
"خصم ضريبي تبلغ قيمته 11,000 دولار، بحد أقصى، للمستحقين من العائلات، وأولياء الأمور من غير ذوي الحضانة، والعاملين بدوام كامل أو جزئي، أو أصحاب المهن الحرة.",,إذا كنت تقدم إقراراتك الضريبية عبر البريد، فسوف تحتاج إلى هذه النماذج:\nالنموذج 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) أو (https://www.irs.gov/forms-pubs/about-form-1040-nr) النموذج 1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) للخصم الضريبي على الدخل المكتسب (EITC) الفيدرالي.\nملحق الائتمان الضريبي على الدخل المكتسب (Schedule EIC) (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) للإقرار الضريبي الفيدرالي إذا كان لديك طفل\nالنموذج IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) للائتمان الضريبي لولاية نيويورك\nورقة العمل C في نموذج التعليمات للنموذج IT-215 للائتمان الضريبي لمدينة نيويورك.,التقدم بطلب عبر الإنترنت,Cash & expenses,,2025-05-24T11:01:50.000
"Program zamrożenia czynszów, który umożliwi uprawnionym mieszkańcom Nowego Jorku pozostanie w swoim dotychczasowym miejscu zamieszkania",,"\nWydrukuj (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) wstępny wniosek i wypełnij go. Możesz również pobrać wniosek z Centrum Pomocy DRIE lub zadzwonić pod numer 311, aby poprosić o przesłanie wniosku.\nPrześlij wypełniony i podpisany wniosek wraz z dokumentacją uzupełniającą na adres:Rent Freeze Program – SCRIEP.O. Box 3179 Union, NJ 07083",Złóż wniosek online,Housing,"Immigrants,People with disabilities,Seniors,Veterans",2022-03-23T11:01:57.000
Les régimes d’assurance privée (Qualified Health Plans) sont desrégimes d’assurance maladie pour lesquels vous payez un certainmontant chaque mois pour être couvert(e).,,"Déposez votre demande d’inscription à Medicaid par courriersi :\nvous avez au moins 65 ans ;\nvous êtes reconnu(e) officiellement aveugle ;\nvous êtes reconnu(e) officiellement handicapé(e) ;\nvous vivez dans une maison de repos et déposez une demande decouverture de vos soins.Remplissez lademande (https://www.health.ny.gov/forms/doh-4220.pdf) et leformulaire del’Annexe A (https://www.health.ny.gov/forms/doh-5178a.pdf) . Envoyez votre demande à : MAP Initial EligibilityUnit PO Box 24390, Brooklyn, NY 11202",Inscription en ligne,Health,"Everyone,Immigrants",2024-10-04T11:01:29.000
অনুচ্ছেদ 8 নিম্ন- এবং মধ্যম আয়ের পরিবারের জন্য ভাড়ার অংশ প্রদান করে যারা প্রাইভেট মার্কেটে ভাড়া নিতে চান।,,,,Housing,,2025-05-28T11:01:52.000
"Cash assistance can help you pay rent, utilities, and other emergency expenses.",Everyone,\n (https://otda.ny.gov/programs/applications/2921.pdf) Print the application (http://www1.nyc.gov/site/hra/locations/job-locations.page) and complete it.\nMail it to or drop it off at an HRA Benefits Access Center (http://www1.nyc.gov/site/hra/locations/job-locations.page) .\nYou will get a letter with the phone number to call for your phone interview. You can also visit an HRA Benefits Access Center for an in-center interview.,Apply or recertify online,Cash & expenses,,2025-06-18T11:00:50.000
COMPASS NYC gen plizyè santèn pwogram pou jèn moun kòmanse nan klas matènèl jouk nan klas 12yèm ane.,,,Jwenn yon pwogram aprè klas.,Enrichment,"Children (0-13),Students,Youth (10+)",2022-03-23T11:01:56.000
Yon pwogram pou bloke pri lwaye pou ede Moun Vil New York ki kalifye yo rete lakay yo,,"\nEnprime yon (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) premye aplikasyon epi ranpli li. Ou ka pran youn nan Sant Èd DRIE a tou oswa rele 311 pou mande pou yo voye yon aplikasyon ba ou nan lapòs.\nVoye aplikasyon ou ranpli ak siyen an nan lapòs ansanm ak dokiman sipò yo bay:Rent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083",Aplike sou entènèt,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:01:59.000
SNAP کی مراعات تازہ اور صحت بخش گروسریز کے ساتھ آپ کے خاندان کی غذائی ضروریات پوری کرنے میں مدد کر سکتی ہیں۔,,"\n (http://otda.ny.gov/programs/applications/4826.pdf) کاغذی درخواست (https://www1.nyc.gov/site/hra/locations/snap-locations.page) کو پرنٹ کریں، SNAP سینٹر جا کر ایک حاصل کریں، یا 718-557-1399 پر HRA معلوماتی لائن کو کال کر کے کہیں کہ وہ آپ کو کاغذی درخواست میل کر دے۔\nدرخواست اور اپنی دستاویزات کی نقول درج ذیل پر میل کریں: Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O.BOX 24510 Brooklyn, NY 11201",آن لائن درخواست دیں,Food,Everyone,2024-08-09T11:01:31.000
"Certyfikowany plan zdrowotny (Qualified Health Plan) toubezpieczenie zdrowotne, w ramach którego płacona jest określonamiesięczna składka na ubezpieczenie.",,"Złożyć wniosek do Medicaid pocztą zwykłą, jeżeli są spełnioneponiższe warunki:\nco najmniej 65 lat\nosoba niewidoma\nosoba z niepełnosprawnością\npobyt w placówce opiekuńczej i wniosek o ochronęobejmującą pobyt w domu opiekiWypełnijwniosek (https://www.health.ny.gov/forms/doh-4220.pdf) iformularz Dodatku A (https://www.health.ny.gov/forms/doh-5178a.pdf) . Call Wniosek należy przesłać na adres: MAP InitialEligibility Unit PO Box 24390, Brooklyn, NY 11202",Zapisz się online,Health,"Everyone,Immigrants",2024-10-04T11:01:27.000
Avantaj SNAP kapab ede ou bay fanmi w manje ki fre e ki bon pou lasante.,,"\nEnprime yon (http://otda.ny.gov/programs/applications/4826-HA.pdf) aplikasyon papye (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , pase pran youn nan yon Bwo SNAP oswa rele Liy enfòmasyon HRA nan 718-557-1399 pou mande yo voye aplikasyon papye a nan adrès postal lakay ou.\nVoye aplikasyon an ak kopi dokiman ou yo nan mèl bay: Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O.Box 24510 Brooklyn, NY, 11201",Aplike anliy,Food,Everyone,2024-08-13T11:01:48.000
"Домовладельцы могут получить частичное освобождение от уплаты налогов на недвижимость, идущих на средние школы.",,"Если вам будет 65 лет или больше в год, в который вы подаете заявление, и у вас было освобождение от налога на STAR на вашей собственности в 2015–2016 годах, вы можете подать заявление на получение Enhanced STAR (E-STAR). Подать заявку можно в Департаменте финансов г (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) . Нью-Йорка, заполнив анкету « (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) STAR to ESTAR (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) ».Если вы пользовались налоговыми льготами на собственность по программе Basic STAR с 2015 г. или ранее, но затем утратили право на участие, вы можете подать заявление на возобновление налоговых льгот по программе STAR.",Подать заявку через Интернет,Cash & expenses,Homeowners,2024-10-23T11:01:14.000
