plain_language_eligibility,get_help_by_email,get_help_by_calling_311,get_help_online,how_to_apply_or_enroll_online,program_acronym
\nيبحث هذا البرنامج في عدة أشياء لتحديد إذا ما كنت مؤهلًا أم لا. وتتضمن:مقدار ما تجنيه من المال\nمقدار المال الذي تحصل عليه من المخصصات\nعدد أفراد أسرتك,,اتصل هاتفيًا بالرقم 311 اسأل عن برنامج SNAP,تفضَّل بزيارة الموقع الإلكتروني تفضَّل بزيارة الموقع الإلكتروني لبرنامج SNAP (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) لمعرفة المزيد عن هذا البرنامج.,\nتقدم بطلب عبر الإنترنت من خلال (https://a069-access.nyc.gov/ACCESSNYC/application.do) ACCESS HRA (https://appsto.re/us/9s9N_.i) . يمكنك التقدُّم بطلب للحصول على المساعدة النقدية، ومخصصات برنامج SNAP، وMedicaid كل ذلك في الوقت نفسه.\nامسح مستنداتك ضوئيًا باستخدام تطبيق NYC HRA Document Upload المتاح مجانًا في (https://play.google.com/store/apps/details?id=gov.nyc.hra.DocUploads) iTunes Store (https://a069-access.nyc.gov/ACCESSNYC/application.do) (لأجهزة iPhones) أو (https://a069-access.nyc.gov/ACCESSNYC/application.do) Google Play Store (لهواتف Android).\nبعد تقديم طلبك ، ستحتاج إلى إجراء مقابلة الأهلية. يمكنك إجراء مقابلتك عبر الهاتف دون الحاجة إلى الحضور إلى أحد مراكز SNAP.\nتحقق من حالة الطلب الخاص بك بالذهاب إلى ACCESS HRA.\nستحتاج إلى إعادة إثبات الأهلية للحصول على مخصصات برنامج SNAP مرة كل عام. سيرسل لك مكتب SNAP حزمة إعادة اعتماد بالبريد لإكمالها وإرسالها بالبريد إلى إدارة الموارد البشرية (HRA). يمكنك أيضاً إعادة الاعتماد عبر الإنترنت على ACCESS HRA. بمجرد إرسال نموذج إعادة إثبات أهليتك، اتصل على 718-SNAP-Now (718-762-7669) لإجراء مقابلة شخصية.,SNAP
"\nProgrammes Early Head Start La meilleure manière de déterminer si votre famille est admissible à Early Head Start est de contacter directement un programme. Votre famille peut être admissible à Early Head Start si au moins une de ces catégories s’applique à votre situation :vous vivez dans un logement temporaire ;\nvous recevez l’aide financière en espèces de la HRA ;\nvous percevez l’allocation supplémentaire de revenu de sécurité (Supplemental Security Income, SSI) ;\nvous inscrivez un enfant qui est en famille d’accueil ;\nVous pouvez également être admissible si les revenus de votre foyer sont inférieurs ou égaux à ces montants :\n Taille du foyer| Revenus annuels\n 1| 14 580 $\n 2| 19 720 $\n 3| 24 860 $\n 4| 30 000 $\n 5| 35 140 $\n 6| 40 280 $\n 7| 45 420 $\n 8| 50 560 $\n Pour chaque personne supplémentaire, ajouter :| 5140 $\n \n Programmes pour les nourrissons/jeunes enfants Vous devez démontrer au moins l’un de ces « motifs de prestations » approuvés :vous travaillez plus de 10 heures par semaine ;\nvous suivez un programme d’éducation ou de formation spécialisée ;\nvous commencez à chercher du travail ou vous en cherchez depuis plus de 6 mois ; cela inclut la recherche d’un emploi tout en recevant des allocations chômage ;\nvous vivez dans un logement temporaire ;\nvous suivez un traitement pour violences conjugales ;\nVous suivez un traitement pour toxicomanie\nVous pouvez être admissible si les revenus de votre foyer sont inférieurs ou égaux à ces montants :\n Taille du foyer| Revenus mensuels| Revenus annuels\n 1| $4,301| $51,610\n 2| $5,624| $67,490\n 3| $6,948| $83,370\n 4| $8,271| $99,250\n 5| $9,594| $115,130\n 6| $10,918| $131,010\n 7| $11,166| $133,987\n 8| $11,414| $136,965\n 9| $11,662| $139,942\n 10| $11,910| $142,920\n 11| $12,158| $145,897\n 12| $12,406| $148,875\n 13| $12,654| $151,852\n 14| $12,903| $154,830\n 15| $13,151| $157,807\n",,Appeler le 311 Demandez « EarlyLearn » si vous avez besoin d’aide pour trouver un programme.,Consulter le site internet Obtenez plus d’informations sur la garde d’enfants auprès du NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) .,Déposez votre demande à l’aide de l’application MyCity (https://mycity.nyc.gov/s/childcarelanding?language=en_US&LanguageCode=en_US) .,
"Всех детей в г. Нью-Йорк, родившихся в 2020 г., можно зарегистрировать на 2024–2025 учебный год. К ним относятся дети с ограниченными возможностями (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-with-disabilities) или изучающие английский язык (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-learning-english) . Детей не нужно приучать к туалету, чтобы они могли посещать программы Pre-K.","Отправьте электронное письмо в приемную комиссию программы Pre-K Если у вас есть вопросы о зачислении в программу Pre-K, отправьте письмо на адрес электронной почты es_enrollment@schools.nyc.gov (mailto:ES_Enrollment@schools.nyc.gov) .",Позвоните по номеру 311 Спросите о программе «Pre-K для всех» (Pre-K For All).,"Посетите веб-сайт Посетите веб‑сайт программы Pre-K DOE г. Нью-Йорка (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) , чтобы узнать подробнее о процессе подачи заявления.","Подайте заявление на портале MySchools (https://www.myschools.nyc/en/) с 10 января по 1 марта 2024 г. Подать заявление онлайн можно на английском, арабском, бенгальском, китайском, гаитянском креольском, французском, корейском, русском, испанском или урду. Вы также можете найти программы Pre-K на неполный день на портале MySchools.",Pre-K
"La elegibilidad para el beneficio regular del HEAP se basa en:\nla presencia de un miembro del grupo familiar que tenga menos de 6 años, más de 60 años o tenga una discapacidad permanente\nla fuente principal de calefacción\ningresos y tamaño del grupo familiarSu grupo familiar puede tener derecho a un beneficio regular del HEAP si:\nUn miembro de su grupo familiar es ciudadano de Estados Unidos o no ciudadano calificado\nRecibe beneficios del Programa de Asistencia Nutricional Suplementaria (SNAP); o\nRecibe Asistencia Temporal (AT); o\nRecibe la Seguridad de Ingreso Suplementario del Código A (SSI Living Alone)\nLos ingresos brutos mensuales de su grupo familiar son iguales o inferiores a las guías de ingresos actuales para el tamaño de su grupo familiar según esta tabla:\nTamaño del grupo familiar|Ingresos brutos mensuales máximos para 2024-2025\n1|$3322\n2|$4345\n3|$5367\n4|$6390\n5|$7412\n6|$8434\n7|$8626\n8|$8818\n9|$9010\n10|$9201\n11|$9393\n12|$9585\n13|$9952\nPara cada persona adicional, sume:|Sume $672\nSu grupo familiar podría ser elegible para los beneficios de emergencia del HEAP si puede responder ""sí"" a estas preguntas:\n¿Se aplica alguna de estas a usted?\nLe cortaron o tiene un corte programado de la electricidad que hace funcionar su sistema de calefacción o termostato.\nLe cortaron o hay peligro de que le corten la calefacción.\nNo tiene combustible o tiene menos de un cuarto de tanque de combustible.\n¿La factura de la calefacción o de electricidad está a su nombre?\n¿Son los recursos disponibles de su grupo familiar:\nmenores a $3,750 si incluye a alguien mayor de 60 años, o menor de 6 años?\nmenores a $2,500 si no incluye a alguien mayor de 60 años, o menor de 6 años?\n¿Cumple alguna de estas directrices de ingresos?\nRecibe beneficios del Programa de Asistencia Nutricional Suplementaria (SNAP), Asistencia Temporal o Seguridad de Ingreso Suplementario del Código A.\nSu familia está en o por debajo de las siguientes directrices de ingresos mensuales brutos para el tamaño de su grupo familiar en la tabla de arriba.",,Llame al 311 Solicite asistencia del Programa de Asistencia Energética para el Hogar.,"Visite el sitio web Para obtener más información de este programa, visite elsitio web de la Oficina de Asistencia Temporal y por Discapacidad (OTDA) para el Programa de Asistencia para la Energía en la Vivienda (HEAP) (https://otda.ny.gov/programs/heap/) .","Las solicitudes para el beneficio regular del HEAP 2024-25 cerraron el 7 de abril de 2025.\nPresente una solicitud en línea en (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (https://apps.apple.com/us/app/nyc-access-hra/id1185595325) .\nEscanee sus documentos en la aplicación móvil de ACCESS HRA disponible gratis en (https://play.google.com/store/apps/details?id=gov.nyc.hra.SelfService) iTunes Store (https://a069-access.nyc.gov/accesshra/) (para iPhone) o Google Play Store (para teléfonos Android).\nDespués de enviar su solicitud, lo podrán contactar para hacer una entrevista de determinación de elegibilidad. Puede hacer su entrevista por teléfono sin tener que ir a un centro de acceso a beneficios.\nPuede verificar el estado de su solicitud en ACCESS HRA.",HEAP
"Pour être éligible à DHE, vous devez pouvoir répondre « Yes » (Oui) à toutes les questions suivantes :\nTous les propriétaires sont-ils des personnes handicapées OU les autres propriétaires sont-ils l'époux, l'épouse, le frère ou la soeur de la ou des personnes handicapées ?\nLa propriété est-elle votre résidence principale ?\nLes revenus totaux de tous les propriétaires sont-ils inférieurs ou égaux à 58 399 $ par an ?\nLe revenu N'INCLUT PAS les avantages SSI ou d'assistance en espèce.Vous pouvez être admissible si votre propriété fait partie d’un développement HDFC (Housing Development Fund Corporation) et participe au programme DAMP de division de gestion alternative. Votre propriété ne peut pas être dans un développement résidentiel contrôlé par une société immobilière à profit limité, une société immobilière à dividendes limités de type Mitchell-Lama ou une entreprise de redéveloppement. Contactez votre gérant immobilier si vous n’en êtes pas sûr.","Envoyez un email à DHESi vous avez des questions, (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) envoyez un email à DHE pour obtenir plus d'informations.",Appelez le 311Demandez des renseignement sur l'Exonération des propriétaires souffrant d'un handicap si vous avez besoin d'aide pour trouver un programme.,Consultez le site webRendez-vous sur le site web de DHE (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) pour en savoir plus.,"\n (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE) Déposez votre dossier (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE_COOP) en ligne au plus tard le 16 mars pour commencer à recevoir les prestations le 1er juillet.\nSi vous vivez en copropriété, vous pouvez déposer un dossier en ligne à l’aide de la demande DHE co-ops.\nUtilisez votre adresse, votre arrondissement, pâté de maison et terrain (BBL, où borough, block and lot) ou l’adresse du bien pour rechercher votre propriété et commencez à remplir le formulaire.",DHE
Todos los niños de NYC nacidos en 2020 pueden inscribirse para el año escolar 2024-2025. Esto incluye a los niños con discapacidades (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-with-disabilities) o que estén aprendiendo inglés (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-learning-english) . No es necesario que los niños sepan ir al baño para asistir a los programas de prekínder.,Envíe un email a Ingresos a prekínder Envíe un email es_enrollment@schools.nyc.gov (mailto:ES_Enrollment@schools.nyc.gov) si tiene preguntas sobre cómo entrar a los programas de prekínder.,Llame al 311 Pregunte por Pre-K For All (Prekínder para todos).,Visite el sitio web Visite el sitio web de prekínder del NYC DOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) para obtener más información sobre el proceso de ingreso a prekínder.,"Envíe una solicitud a MySchools (https://www.myschools.nyc/en/) del 10 de enero al 1 de marzo de 2024. Puede enviar su solicitud en inglés, árabe, bengalí/bangla, chino, criollo haitiano, francés, coreano, ruso, español o urdu. También puede encontrar programas de prekínder de medio día en MySchools.",Pre-K
"\nEarly Head Start Programs (ارلی ہیڈ اسٹارٹ پروگرامز) آپ کا خاندان ارلی ہیڈ اسٹارٹ کے لیے اہل ہے یا نہیں اس کا پتا کرنے کا بہترین طریقہ یہ ہے کہ آپ پروگرام سے براہ راست رابطہ کریں۔ اگر ان میں سے کم از کم کسی ایک قسم کا آپ پر اطلاق ہوتا ہے تو آپ کا خاندان ارلی ہیڈ اسٹارٹ کے لیے اہل ہو سکتا ہے:آپ عارضی رہائش میں رہتے ہیں\nآپ کو HRA‏ کی نقد‏ اعانت موصول ہوتی ہے\nآپ کو سپلیمنٹل سیکیورٹی انکم ‏(Supplemental Security Insurance, SSI) موصول ہوتی ہے\nآپ ایسے بچے کا اندراج کروا رہے ہیں جو فوسٹر کیئر میں ہے\nاگر آپ کے گھرانے کی آمدن مندرجہ ذیل مقداروں کے برابر یا ان سے کم ہے تو بھی آپ اہل قرار پا سکتے ہیں:\n افراد خانہ کی تعداد| سالانہ آمدنی\n 1| 14,580$\n 2| 19,720$\n 3| 24,860$\n 4| 30,000$\n 5| 35,140$\n 6| 40,280$\n 7| 45,420$\n 8| 50,560$\n ہر اضافی فرد کے لیے، شامل کریں:| 5,140$\n \n Infant/Toddler Programs (شیرخوار/ نونہال کے پروگرامز) آپ کے پاس ان منظور شدہ ""نگہداشت کی وجوہات"" میں سے کم از کم ایک کا ہونا ضروری ہے:آپ فی ہفتہ +10 گھنٹے کام کرتے ہیں\nآپ تعلیمی یا پیشہ ورانہ تربیتی پروگرام میں ہیں\nآپ کام کی تلاش شروع کر رہے ہیں یا 6 ماہ تک کام کی تلاش میں ہیں۔ اس میں بے روزگاری حاصل کرنے کے دوران کام کی تلاش بھی شامل ہے۔\nآپ عارضی رہائش میں رہتے ہیں\nآپ خدمات برائے گھریلو تشدد کا ازالہ میں شرکت کر رہے ہیں\nآپ نشہ آور اشیاء کے استعمال کے لیے علاج حاصل کر رہے ہیں\nاگر آپ کے گھرانے کی آمدن مندرجہ ذیل مقداروں کے برابر یا ان سے کم ہے تو آپ اہل قرار پا سکتے ہیں:\n افراد خانہ کی تعداد| ماہانہ آمدنی| سالانہ آمدنی\n 1| $4,301| $51,610\n 2| $5,624| $67,490\n 3| $6,948| $83,370\n 4| $8,271| $99,250\n 5| $9,594| $115,130\n 6| $10,918| $131,010\n 7| $11,166| $133,987\n 8| $11,414| $136,965\n 9| $11,662| $139,942\n 10| $11,910| $142,920\n 11| $12,158| $145,897\n 12| $12,406| $148,875\n 13| $12,654| $151,852\n 14| $12,903| $154,830\n 15| $13,151| $157,807\n",,"311 پر کال کریں اگر ‎آپ کو پروگرام تلاش کرنے میں مدد درکار ہو تو ""EarlyLearn"" سے مدد طلب کریں۔",ویب سائٹ ملاحظہ کریں NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) سے نگہداشت اطفال کے بارے میں مزید معلومات حاصل کریں۔,MyCity ایپ (https://mycity.nyc.gov/s/childcarelanding?language=en_US&LanguageCode=en_US) استعمال کر کے درخواست دیں۔,
"সন্তানের জন্য ট্যাক্স ক্রেডিটের জন্য 2021 কর বর্ষের জন্য যোগ্য হতে আপনাকে এই প্রশ্নগুলির উত্তরে হ্যাঁ বলতে সক্ষম হতে হবে:\nআপনার কি কোন সন্তান বা নির্ভরশীল আছে যে এই সবগুলি?\n18 বছরের কম বয়সী\nএকজন মার্কিন নাগরিক, মার্কিন স্বদেশী বা স্থায়ী বাসিন্দা?\nএকটি সোশ্যাল সিকিউরিটি নম্বর রয়েছে?আপনার সন্তান বা নির্ভরশীল কেউ কি বছরের অর্ধেক সময়ের অধিক আপনার সঙ্গে বসবাস করেছেন?\nআপনার সন্তান বা নির্ভরশীল কেউ কি বছরের অর্ধেক সময়ের অধিক আপনার সঙ্গে বসবাস করেছেন?\nআপনি কি আপনার ট্যাক্স রিটার্নে আপনার সন্তান বা নির্ভরশীল দাবি করেছেন?\nএর মধ্যে থাকতে পারে আপনার সন্তান, সৎসন্তান, দত্তক নেওয়া সন্তান, পালিত সন্তান, ভাগ্নী/ভাইজি বা ভাইপো/ভাগ্নে, নাতি/নাতনী বা প্র-পৌত্র/প্র-পৌত্রী।\nএছাড়াও এর মধ্যে থাকতে পারে আপনার ভাই/বোন থাকে, সৎ-ভাই/বোন থাকে, অথবা বৈমাত্রেয় ভাই/বোন যারা আপনার সঙ্গে বাস করে।",,311 নম্বরে ফোন করুন কর প্রস্তুতির ক্ষেত্রে সহায়তার জন্য বলুন।,আপনি দাবি করতে পারেন এমন ট্যাক্স ক্রেডিটগুলি (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) সম্বন্ধে জানুন।,চাইল্ড ট্যাক্স ক্রেডিট দাবি করার জন্যgetyourrefund.org (https://www.getyourrefund.org/) -এ বিনামূল্যে আপনার ফেডারেল ট্যাক্স ফাইল করুন।,CTC
"Debe cumplir los requisitos de abajo para ser elegible para el crédito del año fiscal 2024.\nGanó hasta $200,000 y hasta $400,000 si está casado y presenta una declaración conjunta.\nEstá reclamando a un niño en su declaración de impuestos que es:\nMenor de 16\nEl niño debe tener un Número de Seguro Social (SSN) o un Número de Identificación Fiscal de Adopción (ATIN). El contribuyente puede usar un SSN o un Número de Identificación de Contribuyente Individual (ITIN).\nLos niños calificados deben ser su hijo, hija, hijastro, hijo adoptivo elegible, hermano, hermana, hermanastro, hermanastra, medio hermano, media hermana o un descendiente de uno de estos (por ejemplo, nieto, sobrina o sobrino).\nSu hijo o dependiente debe haber vivido con usted durante más de la mitad del año en los EE. UU. y debe reclamarlo como dependiente en su declaración de impuestos.\nSu hijo no puede dar más de la mitad de su propio apoyo financiero.",,Llame al 311 Pida ayuda con la preparación de impuestos.,Obtenga más información sobre los créditos fiscales (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) que puede reclamar.,Presente sin cargo sus impuestos federales congetyourrefund.org (https://www.getyourrefund.org/) para reclamar el Crédito Tributario por Hijos.,CTC
"要符合 DRIE 資格，您必須能夠對以下所有問題都回答「是」：\n您是否 18 歲或以上？\n您的名字是否在租約上？\n您一年的家庭總收入是否為 5 萬美元或更少？\n您是否將超過三分之一的月收入用來支付租金？\n您是否有以下福利收入？\n補充保障收入 (Supplemental Security Income, SSI)\n聯邦社會保障殘疾保險 (Federal Social Security Disability Insurance, SSDI)\n美國退伍軍人事務部 (U.S. Department of Veterans Affairs, VA) 傷殘撫恤金或補償金\n殘疾相關的 Medicaid（如果您過去曾領取 SSI 或 SSDI）\n您是否住在紐約市的以下類型的房屋中？\n租金穩定公寓\n租金控制公寓\nMitchell-Lama 公寓\n有限股息 (Limited Dividend) 開發\n重建公司開發\n房屋發展基金公司 (Housing Development Fund Company, HDFC) 合作公寓\n第 213 條合作單元\n租金管理酒店或單人間居住單元",與 DRIE 聯絡請求來自財政部的 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) 協助。,致電 311諮詢 DRIE 專家,造訪網站請造訪紐約市租金凍結計畫網站 (http://www1.nyc.gov/site/rentfreeze/index.page) 以瞭解更多資訊。請查看 COVID-19 期間的房租凍結計畫之常見問題集 (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) 。,線上申請如果您是首次申請 DRIE，您可以線上 (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) 申請：在虛擬訪談過程中申請您可以透過 (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) 預約虛擬訪談以取得申請 DRIE 之協助。當預約時：\n請在「選擇服務」(Select Service) 下，選擇「承租人及屋主豁免計畫」(Renter and Homeowner Exemption Programs)。接著，請選擇「房租凍結（SCRIE 或 DRIE）首次申請」(Rent Freeze (SCRIE or DRIE) Initial application)。\n請在「選擇位置」(Select Location) 下，選擇「豁免虛擬訪談」(Exemptions Virtual Appointments)。\n請選擇日期與時間。然後，請填寫您的聯絡資訊，以建立您的訪談。,DRIE
"L’admissibilité aux programmes Section 8/HCV est principalement basée sur les revenus et la taille de votre famille.\nTaille du foyer|Revenus annuels\n1|‎$56,700\n2|‎$64,800\n3|‎$72,900\n4|‎$81,000\n5|‎$87,500\n6|‎$94,000\n7|‎$100,450\n8|‎$106,950\n",,Appeler le 311 Demandez l’aide « Section 8 »,Consulter le site internet (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) Obtenez plus d’informations sur la « Section 8 »sur le site internet de la NYCHA.,,HCV
"如需確認您的家人是否符合啟蒙教育計畫的資格，最好的方式是直接與計畫專員聯絡。 如果您符合以下至少一種情況，您的家人可能有資格參與啟蒙教育計畫：\n您住在臨時住房內\n您正領取人力資源管理局 (Human Resources Administration, (https://access.nyc.gov/zh-hant/programs/cash-assistance/) HRA) 現金援助 (https://access.nyc.gov/zh-hant/programs/supplemental-nutrition-assistance-program-snap/) 福利\n您正領取補充營養援助計畫 (Supplemental Nutrition Assistance Program, SNAP) 福利\n您正領取社會安全補助金 (Supplemental Security Income, SSI) 福利\n您是為受寄養照顧的兒童報名\n您的家庭收入低於以下金額：\n家庭人口數|年收入\n2|$21,500\n3|$26,650\n4|$32,150\n5|$37,650\n6|$43,150\n7|$48,650\n8|$54,150\n9|$59,650\n10|$65,150\n家庭人口每增加一人：|加 $5,500\n在某些情況下，即使您的收入超過上述收入限制，您的家人也仍然有資格參與啟蒙教育計畫。\n例如：如果您的收入中用於支付住房費用的部分超過 30%，啟蒙教育計畫將在減去您的住房費用後再計算您剩下的收入是否符合資格。 請務必提交您的相關文件，以便啟蒙教育計畫評估您的情況。",,\n如需協助尋找計畫，請撥打 311 電話並詢問「Head Start」（啟蒙教育）。,"\n透過紐約市教育局 (NYC Department of Education, NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) ) 瞭解關於啟蒙教育的更多資訊。",,
"У вас есть право на получение стандартного пособия HEAP при соответствии следующим критериям:\nналичие в семье детей в возрасте до 6 лет, взрослых в возрасте 60 лет и старше, а также лиц с инвалидностью\nвид основного источника отопления\nдоход и размер семьиВашего домохозяйства может иметь право на получение стандартного пособия по программе HEAP, если:\nЧлен вашего домохозяйства является гражданином США или имеет официальный статус иммигранта\nВы получаете пособия по программе дополнительной продовольственной поддержки (SNAP)\nВы получаете временную помощь (Temporary Assistance, TA) или\nВы получаете дополнительный доход по программе социального обеспечения (Supplemental Security Income, SSI) по коду А (одинокий получатель)\nВаловой ежемесячный доход вашего домохозяйства не превышает или ниже текущих ориентировочных показателей дохода для вашего размера домохозяйства, рассчитанных на основе этой таблицы:\nРазмер семьи|Максимальный совокупный доход в месяц на 2024−2025 г.\n1|$3322\n2|$4345\n3|$5367\n4|$6390\n5|$7412\n6|$8434\n7|$8626\n8|$8818\n9|$9010\n10|$9201\n11|$9393\n12|$9585\n13|$9952\nЗа каждого дополнительного члена семьи добавляется:|Прибавьте $672\nВаша семья может получить право на чрезвычайное пособие по программе НЕАР, только если все приведенные ниже утверждения в полной мере относятся к вам.\nК вам относится, по крайней мере, одна из перечисленных ниже ситуаций.\nВам отключили или собираются отключить электричество, от которого работает отопительная система или термостат.\nВам отключили отопление, или отопительное оборудование представляет опасность.\nУ вас закончилось топливо или осталось менее четверти емкости топливного бака.\nСчета за электричество или отопление оформлены на ваше имя.\nСумма ресурсов вашей семьи:\nменьше $3,750 (если в состав семьи входят лица старше 60 лет или младше 6 лет)\nменьше $2,500 (если в состав семьи не входят лица старше 60 лет или младше 6 лет)\nВы соответствуете одному из перечисленных ниже требований к доходу.\nВы получаете льготы по Программе дополнительной продовольственной поддержки (Supplemental Nutrition Assistance Program, SNAP), временную помощь (Temporary Assistance) или дополнительный доход по социальному обеспечению (Supplemental Security Income) (код А).\nЕжемесячный валовой доход вашей семьи не превышает рекомендуемый уровень, приведенный в таблице выше.",,Позвоните по номеру 311 Обратитесь за помощью в Программу помощи в энергоснабжении дома.,"Посетите веб-сайт Посетитевеб‑сайт OTDA (https://otda.ny.gov/programs/heap/) , чтобы узнать больше о программе HEAP.","Прием заявлений на получение стандартного пособия по программе HEAP на 2024–2025 гг. закрыт 7 апреля 2025 года.\nПодайте заявку онлайн на сайте (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (https://apps.apple.com/us/app/nyc-access-hra/id1185595325) .\nОтсканируйте свои документы с помощью приложения ACCESS HRA, доступного бесплатно в (https://play.google.com/store/apps/details?id=gov.nyc.hra.SelfService) iTunes Store (https://a069-access.nyc.gov/accesshra/) (для iPhone) или в Google Play Store (для Android).\nПосле того как вы подадите заявление, с вами могут связаться для проведения собеседования для определения наличия права. Вы можете пройти собеседование по телефону. Для этого необязательно приходить в Центр получения пособий лично.\nВы можете проверять статус своего заявления на портале ACCESS HRA.",HEAP
"Право на участие в программах «Раздел 8»/HCV в первую очередь зависит от размера вашей семьи и ее дохода.\nРазмер семьи|Годовой доход\n1|$56,700\n2|$64,800\n3|$72,900\n4|$81,000\n5|$87,500\n6|$94,000\n7|$100,450\n8|$106,950\n",,Позвоните по номеру 311 Обратитесь за помощью по программе «Раздел 8».,Посетите веб-сайт (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) Узнайте больше о программе «Раздел 8»на веб-сайте NYCHA.,,HCV
"Aby móc skorzystać z SCHE, trzeba być w stanie odpowiedzieć twierdząco na wszystkie poniższe pytania:\nCzy wszyscy właściciele nieruchomości mają 65 lat lub więcej?  Lub, jeśli jesteś współwłaścicielem nieruchomości wraz z małżonkiem lub rodzeństwem, czy jedno z Was ma 65 lat lub więcej?\nCzy nieruchomość jest Twoim głównym miejscem zamieszkania?\nCzy łączny dochód wszystkich właścicieli jest mniejszy lub równy 58 399 USD?\nDo dochodu NIE wlicza się zapomogi uzupełniającej ani pomocy pieniężnej.\nCzy jesteś właścicielem nieruchomości od co najmniej 12 miesięcy bez przerwy?",,Zadzwoń pod numer 311Poproś o połączenie z programem Senior Citizen Homeowners' Exemption program (Zwolnienie seniorów będących właścicielami domów z podatku od nieruchomości).,Zapraszamy do odwiedzenia strony internetowejWięcej informacji można uzyskać na stronie internetowej SCHE (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) .,"(https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE) Wniosek online (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE_COOP) należy złożyć do 15 marca, aby uzyskać świadczenia od 1 lipca.Jeżeli mieszkają Państwo w mieszkaniu spółdzielczym, mogą Państwo złożyć wniosek online, korzystając z (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) wniosku SCHE dla mieszkań spółdzielczych.Przy składaniu wniosku należy podać dzielnicę, blok i działkę (BBL), w której znajduje się dom. Należy skorzystać z wyszukiwarki adresów nieruchomości, aby uzyskać te informacje.",SCHE
کنڈرگارٹن سے لے کر 12 ویں جماعت تک کے NYC کے تمام طلباء COMPASS پروگراموں میں داخلہ لینے کے اہل ہیں۔ہر پروگرام کیلئے عمر اور اہلیت کے تقاضے مختلف ہو سکتے ہیں۔,,"311 پر کال کریں""آفٹر اسکول پروگرام میں جامع مدد"" طلب کریں۔",آن لائن (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD سے COMPASS کے بارے میں مزید جانیں۔,"آپ اپنے علاقے میں پروگرام ڈھونڈنے کے لیے Discover DYCD استعمال کر سکتے/سکتی ہیں۔ شروع کرنے کے لیے:\nDiscover DYCD (https://discoverdycd.dycdconnect.nyc/programme-public?categoryList=Afterschool%20Programs) کی ویب سائٹ پر جائیں۔\n""آفٹر اسکول پروگرامز"" منتخب کریں اور ""تلاش کریں"" پر کلک کریں۔",COMPASS NYC
