program_description,how_to_apply_or_enroll_in,get_help_in_person,url_of_online_application,required_documents_summary,page_type,program_name
EarlyLearn은 생후 6주부터 2세 사이의 어린이를 대상으로 무료 또는 저비용 보육 및 교육을 제공합니다. 뉴욕시의 수백 개 프로그램이 아이들을 위한 안전하고 쾌적한 학습 환경을 제공하고 있습니다.,"\nMySchools (https://www.myschools.nyc/en/schools/3k/) 에서 프로그램을 찾으세요.\n“More Filters(추가 필터)”를 클릭하고 “EarlyLearn”에서 해당하는 옵션을 체크 표시합니다.\n가까운 곳에 운영되는 프로그램을 찾으려면 자택 주소를 입력하세요.\n프로그램에 방문하세요. 직원으로부터 신청서 작성에 도움을 받을 수 있습니다.이미 HRA 혜택을 받는 경우, 할당된 HRA 혜택 이용 센터(Benefits Access Center) (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) 에서 신청하세요.",,,,Program,영유아
"1~3개 주택, 콘도 또는 공동 아파트를 소유한 장애인은 DHE를 통해 주 거주 주택에 대한 재산세를 인하 받을 수 있습니다. DHE는 재산세를 5 ~ 50% 인하해 드립니다. 재산세 인하율은 가구소득에 따라 달라집니다.",비즈니스 센터에 내방하여 신청하십시오.,"사무실 방문내방하여 도움을 받으시려면 Department of Finance 비즈니스 센터 (http://www1.nyc.gov/site/finance/pay-now/person.page) (월요일~금요일, 오전 8시 30분~오후 4시 30분)에 방문해 주십시오.",{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE'},"DHE를 신청하려면 다음을 증명해야 합니다.\n귀하의 장애 상태: 소유자가 다음 중 하나에 해당될 경우:\n사회보장국(Social Security Administration)에서 발급한 장애 수급(Disability Award) 증명서 사본\n철도 퇴직위원회(Railroad Retirement Board) 또는 미국 우편 서비스(U.S Postal Service)에서 발급한 장애 수급 증명서 사본\n재향군인 장애 연금 수급 자격이 있다는 뉴욕주 맹인 위원회(New York State Commission for the Blind)에서 발급한 증명서 사본 또는 재향군인회(Veterans Administration) 서한.\n소득: 모든 소유주의 연방 소득 신고서 및 명세서/첨부 문서. 소유주가 소득 신고서를 제출하지 않은 경우 연간 소득 증빙 서류를 제출해야 함.\n공제:\n소득 신고 연도에 상환되지 않은 지불된 의료비 영수증 사본, 또는\n스케줄 A의 사본.",Program,장애인 주택 소유주 면제
"학생들은 COMPASS NYC 통해 수백 가지의 뉴욕 시 무료 방과 후 프로그램 중 하나에 참여할 수 있습니다. COMPASS 프로그램은 숙제 도움, 스포츠, 예술 등 많은 활동을 제공합니다. 이 프로그램은 무료이며 뉴욕 시 어느 곳에서나 이용할 수 있습니다.","자녀를 COMPASS NYC 프로그램에 등록하려면, 자녀의 학교에서 프로그램 담당자에게 문의하십시오.",자녀 학교 방문자세한 사항은 자녀가 다니는 학교의 방과후 프로그램 담당 직원에게 문의하십시오.,{'url': 'https://discoverdycd.dycdconnect.nyc/'},신청하려면 자녀의 다음 신원 증명 중 하나를 제공해야 합니다.\n출생 증명서\n귀화 증명서\n공식 출생 기록\n공식 학교 기록\n여권\nIDNYC\n입양 기록\n세례 또는 기타 종교 증명서,Program,뉴욕 시 종합 방과 후 시스템
"Program STAR obniża podatki od nieruchomości dla kwalifikujących się właścicieli domów, którzy mieszkają w okręgach szkolnych stanu Nowy Jork.",,"Zapraszamy do odwiedzenia ośrodkaZnajdź (http://www1.nyc.gov/site/finance/about/contact-us.page) ośrodek, aby uzyskać pomoc osobiście.",{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_STAR'},,Benefit,Program ulgi podatkowej w okręgach szkolnych
"С помощью Программы льгот для домовладельцев-инвалидов (Disability Homeowners’ Exemption, DHE) люди с ограниченными физическими возможностями, владеющие недвижимостью (домом на одну, две или три семьи, кооперативным многоквартирным домом или кооперативной квартирой), могут снизить сумму налога на недвижимое имущество по своему основному месту жительства. Программа DHE позволяет снизить налог на недвижимость на 5–50 %. Сумма снижения налога на недвижимость зависит от дохода семьи.",Подайте заявление лично в бизнес-центре Департамента финансов.,"Посетите офисЧтобы получить помощь лично, посетите один из бизнес-центров Департамента финансов (http://www1.nyc.gov/site/finance/pay-now/person.page) (часы работы: с понедельника по пятницу, с 8:30 до 16:30).",{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_dhe'},"Чтобы подать заявление на участие в программе DHE, вы должны подтвердить следующее:\nПодтверждение вашего статуса инвалида — один из перечисленных далее документов для владельца:\nКопия письма о назначении пособия по инвалидности от Администрации социального обеспечения (Social Security Administration)\nКопия письма о назначении пособия по инвалидности от Пенсионного совета железной дороги (Railroad Retirement Board) или Почтовой службы США (U.S Postal Service).\nКопия справки из Комиссии штата Нью-Йорк по делам слепых (New York State Commission for the Blind) или письмо от Администрации ветеранов (Veterans Administration), подтверждающее, что вы имеете право на пенсию по инвалидности для ветеранов.\nВаш доход: предъявите копии деклараций по федеральному подоходному налогу и таблицы налоговых ставок/приложения для всех владельцев. Если кто-либо из владельцев не подает налоговую декларацию, необходимо представить подтверждение годового дохода.\nВаши вычеты:  \nКопии квитанций по вашим оплаченным и неоплаченным счетам за медицинские услуги за год, за который вы подаете документацию о\n доходах, или копия Приложения A (Schedule A).",Program,Льготы для нетрудоспособных домовладельцев
"Pwogram Pre-K yo ede timoun yo pi byen kòmanse nan lekòl ak nan lavi a. Pitit ou kapab aprann kijan pou rezoud pwoblèm, poze kesyon epi eksplore monn ki toutotan nan yon kominote aprantisaj sekirize e kote gen bonjan motivasyon.",Aplike nan yon Sant Akèy pou Fanmi (https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers) soti 10 Janvye 2024 pou rive 1ye Mas 2024.,Vizite yon Sant Akèy Familyal Ale nan yon Sant Akèy pou Fanmi (http://nyc.gov/schools/welcomecenters) pou w jwenn plis enfòmasyon sou pwogram pre-K yo.,{'url': 'https://www.myschools.nyc/ht/'},"Gade la lis verifikasyon pre-enskripsyon an (https://www.schools.nyc.gov/docs/default-source/default-document-library/pre-registration-checklist) pou aprann plis sou dokiman ou bezwen pou pre-enskri pitit ou a epi aksepte òf Pre-K yo. Pou tradui kopi lis verifikasyon an, gade seksyon Dokiman nan Paj enskripsyon Pre-K for All (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) .",Program,Pre-K for All
"Программа DRIE позволяет арендаторам с ограниченными физическими возможностями, которые соответствуют критериям участия, оставаться в доступном жилье без повышения арендной платы. Жильцы платят ту же арендную плату. Налоговый вычет на недвижимость покрывает разницу между фактической суммой арендной платы и фиксированным платежом арендатора.","Для подачи заявки обратитесь в ближайший центр помощи Департамента финансов (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) . Возможно, вам нужно будет записаться для визита в центр.",,,"Чтобы подать заявление на участие в программе DRIE, вы должны подтвердить следующее:\nВы получаете соответствующее пособие по нетрудоспособности (и у вас есть официальное письмо о назначении пособия)\nВаш возраст\nВашу арендную плату\nВам нужно указать свой доход и доход всех членов вашей семьи, которые проживали в вашей квартире в течение календарного года до подачи заявки. Например, при подаче заявки в 2018 году нужно указать сведения о доходах членов семьи за 2017 год. В качестве справки о доходах можно предоставить такие документы (список не является исчерпывающим):\nНалоговые декларации\nЧеки выплат по социальному обеспечению\nФорма 1099/W2",Program,Программа субсидирования нетрудоспособных граждан для компенсации роста арендной платы
"HEAP는 저소득층 가구에 주택 난방비를 지원하는 제도입니다. 이 제도에 따른 혜택으로 연료, 공과금, 난방 장비 교체 및 수리 비용을 지불할 수 있습니다. 이 혜택의 비용은 난방 업체 또는 유틸리티 회사에 직접 납부됩니다. 난방비가 임대료에 포함된 경우라도 HEAP을 받을 수 있습니다.",HEAP 사무소 (https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result) 에 방문하셔서 모든 HEAP 요소를 직접 신청하실 수 있습니다.,,{'url': 'https://a069-access.nyc.gov/accesshra/'},,,가정용 에너지 지원 프로그램
學生可以透過 COMPASS NYC 參加紐約的數百個免費課後計劃之一。COMPASS 計劃可以提供家庭作業幫助、體育、美術等。他們都是免費的且遍佈整個城市。,要為您的孩子註冊參加 COMPASS NYC 計劃，請聯繫您孩子學校的課後計劃工作人員。,前往您子女就讀的學校與您子女就讀學校的課後計畫工作人員交談，以瞭解更多資訊。,{'url': 'https://discoverdycd.dycdconnect.nyc/'},要申請，您需要為您的孩子提供以下身份證明之一：\n出生證明\n入籍證書\n官方出生記錄\n官方學校記錄\n護照\n紐約市\n收養記錄\n洗禮或其他宗教證書,Program,紐約市綜合課後系統
"Veterans exemptions lower the property taxes of qualified veterans, their spouses or un-remarried surviving spouses, and parents of soldiers who died in the line of duty (Gold Star parent).",Apply in person at a Department of Finance Business Center (http://www1.nyc.gov/site/finance/pay-now/person.page) .,,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET'},"To apply for Veteran's Exemption, you will need to prove the following:\nYour Veteran status: A copy of your DD Form 214 ( DD-214) which is the Certificate of Release or Discharge from Active Duty form or separation papers for each veteran. \nFor each disabled veteran, a copy of your Veterans' Administration letter documenting the disability rating",Program,Veterans' Property Tax Exemption
"2024‏ کے لیے ٹیکس فائل کرتے وقت، فیملیز 17 سال سے کم عمر کے اہل قرار پانے والے ہر بچے کے لیے ‏‎$2,000‏ تک کی مالیت کے اس ٹیکس کریڈٹ کا دعوی کر سکتی ہیں۔ $1,700‏ تک قابل واپسی ہے، مطلب اگر آپ پر کوئی ٹیکس واجب نہیں ہے تو بھی آپ پیسہ واپس لے سکتے ہیں۔",NYC‏ فری ٹیکس پریپ (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) کے ساتھ ٹیکس فائل کرنے میں بذات خود مفت مد حاصل کریں۔,,{'url': 'https://www.getyourrefund.org/'},ان دستاویزات کی فہرست ملاحظہ کریں (https://www.nyc.gov/site/dca/consumers/file-your-taxes-documents.page) جنہیں آپ کو اپنے ٹیکس فائل کروانے اور CTC کا دعویٰ کرنے کے سلسلے میں ضرورت پیش آئے گی۔,Benefit,چائلڈ ٹیکس کریڈٹ
"হেড স্টার্ট প্রোগ্রামগুলি 3-4 বছর বয়সী শিশুদের শিখতে, খেলতে এবং দক্ষতা তৈরি করার জন্য নিরাপদ এবং ইতিবাচক পরিবেশ তৈরি করে যা তাদের কিন্ডারগার্টেন এবং তার পরবর্তীর জন্য তৈরি করে। প্রোগ্রামগুলি শিশু এবং তাদের পরিবারকে স্বাস্থ্য, পুষ্টি এবং অন্যান্য পরিষেবাও প্রদান করে।","একটি হেড স্টার্ট প্রোগ্রাম খুঁজে পেতে এবং আবেদন করতে:\nMySchools (3-k) (https://www.myschools.nyc/en/schools/3k/) বা MySchools (প্রি-কে) (https://www.myschools.nyc/en/schools/pre-k/) -এ দেখুন।\n“অধিক ফিল্টার (More Filters)”-এ ক্লিক করুন। ""ইয়ার-রাউন্ড 3-K / প্রি-কে প্রোগ্রাম"" এর অধীনে ""হেড স্টার্ট"" বক্সে টিক দিন৷\nআপনার নিকটবর্তী প্রোগ্রাম খুঁজতে আপনার বাড়ির ঠিকানা লিখুন।আপনি আগ্রহী এমন একটি প্রোগ্রামের সাথে যোগাযোগ করুন।",,,,Service,হেড স্টার্ট
"Учащиеся могут записаться на одну из сотен различных программ послешкольных занятий в городе Нью-Йорке на портале COMPASS NYC. В рамках программ COMPASS предлагается помощь в выполнении домашних заданий, занятия спортом, искусством и многое другое. Занятия проводятся бесплатно в разных районах города.","Чтобы записать вашего ребенка в программу COMPASS NYC, свяжитесь с персоналом программы в школе вашего ребенка.","Обратитесь в школу, которую посещает ваш ребенокЧтобы получить дополнительную информацию, поговорите с представителем внеклассной программы в школе, которую посещает ваш ребенок.",{'url': 'http://www.dycdportal.nyc/discoverdycd/home'},"Чтобы подать заявку, вам необходимо предоставить одно из следующих документов, удостоверяющих личность вашего ребенка:\nСвидетельство о рождении\nСвидетельство о натурализации\nОфициальные записи о рождении\nОфициальные школьные записи\nПаспорт\nIDNYC\nЗаписи об усыновлении\nКрестильный или другой религиозный сертификат",Program,Комплексная система послешкольных занятий города Нью-Йорка
SCRIE اہل قرار پانے والے ان بزرگ شہریوں کا کرایہ منجمد کر کے سستی رہائش گاہ میں رہنے میں مدد کرتا ہے جن کی عمر 62 سال اور اس سے زیادہ ہے۔ کرایہ دار منجمد کرایہ ادا کرتے ہیں۔ پراپرٹی ٹیکس کریڈٹ اصل کرایہ کی رقم اور منجمد کرایے کے درمیان فرق کا احاطہ کرتا ہے۔,درخواست دینے کیلئے اپنے نزدیک ایک محکمہ مالیات کا امدادی مرکز (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) تلاش کریں۔ آپ کو کسی سنٹر میں جانے کیلئے اپائنٹمنٹ لینا پڑ سکتا ہے۔,,{'url': 'https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page'},"SCRIE کے لیے درخواست دینے کے لیے، آپ کو درج ذیل کو ثابت کرنا ہوگا:\nآپ کی عمر,\nآپ کا کرایہ (سابق اور موجودہ رینٹل دستاویزات - جیسے لیز، وغیرہ),\nاپنی درخواست جمع کرنے سے پہلے کیلینڈر سال میں آپ کی آمدنی اور آپ کے اپارٹمنٹ میں رہنے والے گھر کے تمام اراکین کی آمدنی۔ مثال کے طور پر، 2018 میں جمع کردہ درخواست کے لیے 2017 کی گھریلو آمدنی کی معلومات شامل کرنے کی ضرورت ہوگی۔ آمدنی کے ثبوت میں، دوسرے دستاویزات کے ساتھ درج ذیل شامل ہوسکتی ہیں:\nٹیکس ریٹرنس\nسوشل سیکیورٹی بینفٹس\n1099/W2 اسٹیٹمنٹ",Program,سینئر سٹیزنز کا کرایہ میں اضافہ سے استثناء
SCRIE ede granmoun aje ki kalifye ki gen 62 lane oswa plis rete nan lojman bon mache kote yo bloke pri lwaye yo. Lokatè yo peye pri lwaye ki bloke a. Yon kredi sou taks sou pwopriyete peye pou diferans lan ant pri lwaye aktyèl la ak pri lwaye ki bloke a.,Jwenn yon Sant Èd Depatman Finans (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) tou pre kote w rete a pou aplike. Ou ka bezwen pran yon randevou pou vizite yon sant.,,{'url': 'https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page'},"Pou ou kapab aplike pou SCRIE, w ap gen pou bay prèv bagay sa yo:\nLaj ou,\nLwaye ou (dokiman sou lwaye ou avan ak kounye a - pa egzanp, kontra lwaye, elatriye),\nRevni ou ak revni tout manm nan kay la ki te rete nan apatman w lan nan ane anvan ou te soumèt aplikasyon w lan. Pa egzanp, yon aplikasyon ou te soumèt an 2018 ta dwe gen ladan enfòmasyon sou revni kay la pou 2017. Prèv revni ka gen ladan, pami lòt dokiman:\nDeklarasyon taks sou revni\nAvantaj Sekirite Sosyal\nDeklarasyon 1099/W2",Program,Egzanpsyon nan Ogmantasyon Pri Lwaye Granmoun Aje
如果您有需要，您的家人可以獲得現金。 許多家庭將通過借記卡獲得資金，這種借記卡可以在任何接受 EBT 卡的 ATM 或商店使用。 一些家庭可能只有資格獲得直接支付給房東的資金。,請前往營業的 HRA 福利領取中心 (http://www1.nyc.gov/site/hra/locations/job-locations.page) 進行申請。 如果您提交身分證明、居住證明、同住人士證明和您的收入證明，將會有助於申請進度。 工作人員將會告訴您必須證明的事項。,,{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},要申請「現金援助」，您需要提供以下證明：\n您的身份：例如帶照片的身份證、駕駛執照、護照、入籍證明或醫院記錄。\n您的居住地址：例如您的房東的聲明、當前租金收據、租約或抵押貸款記錄。\n您的收入（如果有）：例如最近的工資單、業務記錄、當前所得稅申報表或失業保險福利報表。\n公民或移民身份：例如您的出生證明、美國護照或服役記錄。查看 (https://www1.nyc.gov/assets/hra/downloads/pdf/fia-1227a-chinese-traditional.pdf) 「現金援助」文件指南 ，瞭解您還可以使用哪些證明文件。,Benefit,現金援助
Le programme SCRIE aide les citoyens seniors (d’au moins 62 ans) admissibles à conserver leur logement à loyer modéré en gelant le loyer. Les locataires paient le montant gelé du loyer. Un crédit d’impôt immobilier couvre la différence entre le montant réel du loyer et le montant gelé du loyer.,Trouvez un Centre d’assistance du ministère des Finances (Department of Finance Assistance Center) (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) près de chez vous pour déposer une demande. Vous pouvez avoir besoin de prendre rendez-vous pour vous rendre dans un centre.,,{'url': 'https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page'},"Pour demander à bénéficier du programme SCRIE, vous devrez prouver les éléments suivants :\nvotre âge ;\nvotre loyer (documents relatifs à la location antérieurs et actuels, comme les contrats de location, etc.) ;\nvos revenus ainsi que les revenus de tous les membres du foyer vivant dans votre appartement au cours de l’année calendaire précédant votre demande. Par exemple, une demande soumise en 2018 devrait inclure les renseignements sur les revenus du foyer pour 2017. Justificatifs de revenus possibles :\ndéclarations d’impôts ;\nallocations de Sécurité sociale ;\ndéclaration 1099/W2.",Program,Exemption à l'augmentation des loyers des citoyens seniors
STAR اہل مکان مالکوں کے لیے پراپرٹی ٹیکس کو کم کرتا ہے جو نیو یارک ریاست کے اسکولی اضلاع میں رہتے ہیں۔,,کسی مرکز کا دورہ کریںذاتی طور پر مدد حاصل کرنے کے لیے (http://www1.nyc.gov/site/finance/about/contact-us.page) مرکز تلاش کریں۔,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_STAR'},,Benefit,اسکول ٹیکس ریلیف پروگرام
"EITC는 자격을 갖춘 가족, 비양육 부모, 풀타임 근로자, 파트타임 근로자, 자영업자를 위한 세금 공제입니다. EITC에는 연방, 주, 뉴욕시 버전이 있습니다.",NYC 무료 세금 신고 (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) 를 통해 직접 무료 세금 신고에 대한 도움을 받으십시오. IRS 공인 VITA/TCE 자원봉사자가 대면 신고 또는 서류를 제출한 후에 신고를 도와드릴 수 있습니다.,,{'url': 'https://www.getyourrefund.org/'},세금 신고 및 EITC 신청에 필요한 문서 목록을 참고하십시오. (https://www.nyc.gov/site/dca/consumers/file-your-taxes-documents.page),Benefit,근로소득 세액 공제
Pre-K 計畫可幫助兒童順利入學和生活。 您的孩子可以在一個安全、有教養的學習環境中學習解決問題、提出問題和探索周圍的世界。,2024 年 1 月 10 日至 2024 年 3 月 1 日前往家庭歡迎中心 (https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers) 申請。,請造訪家庭歡迎中心 造訪家庭歡迎中心 (http://nyc.gov/schools/welcomecenters) ，深入瞭解 Pre-K 計畫。,{'url': 'https://www.myschools.nyc/zh-hant/'},查看 預註冊清單 (https://www.schools.nyc.gov/docs/default-source/default-document-library/pre-registration-checklist) 詳細了解您為孩子預先註冊並接受他們的 Pre-K 報價所需的文件。如需核對錶的翻譯副本，請查看 Pre-K for All 註冊頁面 (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) 。,Program,全體孩童學前班
ایک تا تین گھروں، کنڈوز، یا کو آپ اپارٹمنٹ کی ملکیت رکھنے والے معذور افراد اپنی بنیادی رہائش پر DHE کے ذریعہ اپنے جائیداد ٹیکس کو کم کروا سکتے ہیں۔ DHE جائیداد ٹیکس کو پانچ اور پندرہ فیصد کے بیچ کم کرتا ہے۔ جائیداد ٹیکس میں کمی کا انحصار اس امر پر ہوتا ہے کہ خاندان کی کمائی کتنی ہے۔,آپ ڈیپارٹمنٹ آف فنانس بزنس سنٹر پر بذات خود آ کر درخواست دیں۔,کسی دفتر میں تشریف لے جائیںبالمشافہ مدد حاصل کرنے کے لیے Department of Finance (ڈیپارٹمنٹ آف فنانس) بزنس سنٹر (http://www1.nyc.gov/site/finance/pay-now/person.page) (پیر سے جمعہ، صبح 8:30 سے شام 4:30) میں تشریف لے جائیں۔,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE'},DHE کے لیے درخواست دینے کے لیے آپ کو درج ذیل چیزوں کو ثابت کرنا ہو گا:\nآپ کی معذوری کی حالت: مالک کے لیے درج ذیل میں سے ایک:\nسوشل سیکیورٹی انتظامیہ کی جانب سے معذوری کی منظوری کے خط کی نقل\nریل روڈ ریٹائرمنٹ بورڈ یا امریکی ڈاک سروس کی جانب سے معذوری کی منظوری کے خط کی نقل\nنیو یارک اسٹیٹ کے کمیشن برائے نابینا افراد (Commission for the Blind) کی جانب سے تصدیق کی نقل یا سابق فوجیوں کی انتظامیہ کا خط جس میں یہ درج ہو کہ آپ آپ سابق فوجیوں کی معذوری سے متعلق پنشن کے مستحق ہیں۔\nآپ کی آمدنی: آپ کے وفاقی ٹیکس ریٹرنز اور تمام مالکان کے شیڈولز/اٹیچمنٹس کی نقول۔ اگر کوئی مالک ٹیکس ریٹرن فائل نہیں کرتا، تو سالانہ آمدنی کا ثبوت۔\nآپ کی کٹوتیاں:\nآمدنی کو ضبط تحریر کرنے والے سال کے لیے بیمہ کے ذریعے غیر محیط شدہ آپ کے ادا کردہ طبی بلوں کی رسیدوں کی نقول، یا\nآپ کے شیڈول A کی نقل,Program,معذورمالک مکانوں کواستثناء
"Le programme HEAP aide les foyers à faibles revenus à couvrir les frais de chauffage de leur logement. Les allocations peuvent être utilisées pour payer le combustible, votre source de chauffage, ainsi que le remplacement et les réparations du matériel de chauffage. Les allocations sont versées directement au fournisseur de chauffage ou à la société de services publics (électricité, eau, gaz, téléphone, etc.). Vous pouvez bénéficier des allocations HEAP même si votre chauffage est inclus dans votre loyer.",Vous pouvez faire une demande en personne pour tous les volets du programme HEAP en vous rendant dans unbureau HEAP (https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result) ‎.,,{'url': 'https://a069-access.nyc.gov/accesshra/'},,,"Programme d’aide énergétique à domicile (Home Energy Assistance Program, HEAP)"
The Home Energy Assistance Program (HEAP) helps cover heating and cooling costs and prevents utility shutoffs.,You can apply in person for all HEAP components by visiting a HEAP office (https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result) .,,{'url': 'https://a069-access.nyc.gov/accesshra/'},"To apply for HEAP, at least one household member will need a valid Social Security Number (SSN).You will also need to give documents that show:\nthe identity of the people who live with you: such as a birth certificate, driver's license, US passport, or naturalization certificate\nwhere you live: such as current rent receipt or lease\nyour income: such as pay stubs\nyour fuel or utility expenses: such as a recent bill or statement from your landlord stating that utilities are included in your rent.\ndisability status: if someone in your household has a disability.",Program,Home Energy Assistance Program
يُقصَد بالخصم الضريبي عن الدخل المكتسب ذلك الخصم الضريبي الذي يتلقاه المستحقون من العائلات، وأولياء الأمور من غير ذوي الحضانة، والعاملين بدوام كامل أو جزئي، أو أصحاب المهن الحرة. توجد إصدارات فيدرالية وإصدارات تابعة للولاية ولمدينة نيويورك من الخصم الضريبي على الدخل المكتسب.,يمكنك الحصول على المساعدة في تقديم الإقرار الضريبي بصورة شخصية من خلالالخدمة المجانية لإعداد الإقرارات الضريبية بمدينة نيويورك (NYC Free Tax Prep) (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) . يمكن لمعدي الضرائب المتطوعين في برنامجَي VITA/TCE والمعتمدين من قِبل دائرة الإيرادات الداخلية (IRS) مساعدتكم عند تقديم إقراراتكم بصورة شخصية أو بعد تسليم مستنداتكم.,,{'url': 'https://www.getyourrefund.org/'},,,الائتمان الضريبي على الدخل المكتسب
Dzięki zamrożeniu czynszu program DRIE pomaga uprawnionym lokatorom z niepełnosprawnością zachować przystępny cenowo najem mieszkania. Najemcy płacą zamrożony czynsz. W ramach tego programu ulga podatkowa w podatku od nieruchomości pokrywa różnicę między rzeczywistą wysokością czynszu a jego zamrożoną stawką.,"Znajdź Centrum Pomocy Departamentu Finansów (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) w pobliżu, aby złożyć wniosek. Aby udać się do centrum, konieczne może być umówienie się na wizytę.",,,"Osoby, które zechcą ubiegać się o DRIE będą musiały udokumentować:\nże otrzymują uprawniające świadczenie z tytułu niepełnosprawności (i pismo o przyznaniu świadczeń)\nwiek\nczynsz\nPana/Pani dochód oraz dochód wszystkich członków gospodarstwa domowego, którzy mieszkali w Pana/Pani mieszkaniu w roku kalendarzowym poprzedzającym złożenie wniosku. Na przykład wniosek złożony w 2018 r. musi zawierać informacje o dochodach gospodarstwa domowego za rok 2017. Jako dowód dochodu mogą służyć między innymi następujące dokumenty:\nZeznania podatkowe\nZasiłki z pomocy społecznej\nOświadczenie 1099/W2",Program,Program wyłączenia z podwyższania czynszu ze względu na niepełnosprawność
"Les régimes d’assurance maladie privée sont des régimes pourlesquels vous payez un certain montant mensuel pour êtrecouvert(e). Il y a également des dépenses qui restent à votrecharge, dontleticket modérateur, la franchise et la coassurance (https://www.nyc.gov/site/ochia/coverage-care/insurance-a-z.page#C) .",Un(e) (https://nystateofhealth.ny.gov/agent/hx_brokerSearch?fromPage=INDIVIDUAL) assistant(e)en matière d’assurance maladiepeut vous aider à vous inscrire.,,{'url': 'https://nystateofhealth.ny.gov/'},"Pour vous inscrire aux régimes publics d’assurance maladie, vousavez besoin des informations et documents suivants :\ndocuments de citoyenneté/d’immigration indiquant votre statutd’immigration ;\nnuméro de Sécurité sociale ;\ndate de naissance de tous les membres du foyer concernés par lademande ;\ninformations relatives à l’emploi actuel ;\nrevenus du foyer.",Benefit,Régime de soins qualifiés
"অনুচ্ছেদ 8 নিম্ন- এবং মধ্যম আয়ের পরিবারের জন্য ভাড়ার অংশ প্রদান করে যারা প্রাইভেট মার্কেটে ভাড়া নিতে চান। পরিবারের আয় এবং পরিবারের আকারের উপর ভিত্তি করে এই প্রোগ্রামের যোগ্যতা নির্ধারিত হয়। সাধারণভাবে, পরিবারগুলি তাদের মাসিক আয়ের 40 শতাংশের বেশি প্রদান করবেন না। NYCHA সম্পত্তির মালিককে বাকি অর্থ প্রদান করে।",,অফিসে আসুন একটি কাস্টমার কন্টাক্ট সেন্টারে যাওয়ার জন্যএকটি অ্যাপয়েন্টমেন্ট নিন (https://wb-nycha.qmatic.cloud/) ।,,,,বিভাগ 8 / হাউজিং চয়েস ভাউচার প্রোগ্রাম (Housing Choice Voucher Program)
Your family can get cash if you're in need. Many families will get the funds on a debit card that can be used at any ATM or store where EBT cards are accepted. Some families may only qualify to get funds paid directly to their landlord.,"Visit an open HRA Benefits Access Center (http://www1.nyc.gov/site/hra/locations/job-locations.page) to apply. It will help if you bring proof of your identity, where you live, who lives with you, and your income. A worker will tell you which of these things you must prove.",,{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},"To apply for Cash Assistance you will need to prove the following:\nYour identity: such as a photo ID, driver’s license, passport, naturalization certificate, or hospital records.\nWhere you live: such as a statement from your landlord, current rent receipt, lease, or mortgage records.\nYour income (if any): such as a current pay stub, business records, current income tax return, or an Unemployment Insurance Benefit statement.Check the (https://www1.nyc.gov/assets/hra/downloads/pdf/fia-1227a.pdf) Cash Assistance document guide to see what else you can use as proof.",Benefit,Cash Assistance
