file_num,summary,intro_date
Int 1143-2024,"This bill would require that the Mayor’s Office of Long-Term Planning and Sustainability conduct a study in consultation with the city Economic Development Corporation on transitioning all city ports to zero-emission port operations. The study would be required to evaluate whether such a transition can be completed by 2040, the technology and investments required to make such a transition, and whether any additional workforce development would be necessary to complete the transition. The study would also evaluate whether it would be possible to provide shore power to all commercial maritime vessels by 2027, as well as whether incentives can be provided for the use of low to zero-emission vessels. The office would be required to complete this study and publicly report on it within one year.",2024-12-19T00:00:00.000
Int 1117-2024,"This bill would require the department of small business services, or another office or agency designated by the mayor, to conduct an annual inventory of the City’s waterfront infrastructure and report on the state of such infrastructure. The report would include information on the structural integrity of existing waterfront infrastructure, the suitability of City land for the development of new waterfront infrastructure, the feasibility of implementing urban agriculture or aquaculture alongside the City’s waterfront infrastructure, and the state of the City’s facilities supporting recreational access to its waterfront infrastructure.",2024-11-21T00:00:00.000
Int 1183-2025,"This bill would require the Department of Small Business Services (SBS) to conduct a study to measure the negative economic impact of film and television production on local businesses, including loss of revenue, and to issue an associated report to the Mayor, Speaker of the Council, and the public. This bill would further require SBS to create a plan to mitigate the loss in revenue that local businesses experience due to filming activity.",2025-02-13T00:00:00.000
Int 1091-2024,"This bill would require that the Commissioner of Parks and Recreation identify tree pits located on streets and in landscaped parks and display them on the City's online tree map within 3 years after the effective date of the bill. The Commissioner would thereafter have to update the map annually to reflect changes to tree pits and the creation of new tree pits. The map must note whether each tree pit contains a tree, and if a tree pit does not contain a tree the reason for the disuse of the tree pit.",2024-10-23T00:00:00.000
Int 1099-2024,"This bill would add to the annual algorithmic tools compliance report to require agencies to report on the impacts of algorithmic tools on city employees and employment responsibilities. Specifically it would require the city to report on the number of employees whose employment status have been impacted by the use of such tool; including the number funded agency positions eliminated due to the use of such tool, the number of funded agency positions for which there was any displacement, the number of salaries changed due to changes in responsibility due to use of such tool, and the number of city employees who were required to undertake any new trainings due to the use of an algorithmic tool.",2024-10-23T00:00:00.000
Int 1050-2024,This bill would prohibit the Taxi and Limousine Commission from requiring the vehicles it licenses to have personal injury protection (also known as no-fault) liability coverage in an amount greater than the amount required by state law.,2024-09-26T00:00:00.000
Int 1154-2024,"This bill would require that the commissioner of transportation establish a pilot program to install high visibility pavement markings in at least five locations per borough. The commissioner must prioritize placing the high visibility pavement markings in locations where high numbers of traffic related injuries or fatalities have occurred as a result of poor driving conditions. Upon completion of the pilot program, the commissioner would be required to submit a report making recommendations on whether to expand or make the program permanent and identifying any challenges and issues presented by the pilot program.",2024-12-19T00:00:00.000
Int 1081-2024,This bill would require that the Department of Consumer and Worker Protection (DCWP) confirm receipt of a complaint alleging a violation of the city’s fair work practice laws within 30 days. DCWP would also be required to notify the employer of the complaint within 90 days.,2024-10-10T00:00:00.000
Int 1171-2025,"This bill would require the Commissioner of Veterans' Services, in consultation with the Commissioner of Health and Mental Hygiene, to conduct a one-year feasibility study on implementing a pilot program to provide Reconsolidation of Traumatic Memories therapy to Veterans residing in the city. The study would evaluate whether this therapy is recommended for Veterans suffering from post-traumatic stress disorder or other psychological disorders, estimate how many Veterans could benefit from such a program, analyze the costs of implementation, evaluate potential funding sources or partnerships, and determine whether the pilot program should proceed based on the findings. Within six months after completing the study, the Commissioner would develop recommendations on the feasibility and advisability of implementing the pilot program, submit such recommendations to the Mayor and the Speaker, and post such recommendations on the department's website.",2025-01-23T00:00:00.000
Int 1120-2024,"This bill would set timelines for decisions regarding the sale of co-op apartments. It would generally require the co-op to acknowledge receipt of application materials within 10 days, and provide notice of whether it has consented to the sale within 45 days after the application is complete, with extensions possible in some circumstances. A co-op’s failure to communicate whether or not it consents to a sale within the required period, and 10 business days after receiving notice from the prospective purchaser, would mean the co-op is deemed to consent to the sale.",2024-11-21T00:00:00.000
Int 1101-2024,"This bill would require the Police Department to post information on its website about identity theft, including information about reporting suspected identity theft to the department. Additionally, the Police Department would also be required to train officers on responding to and investigating suspected identity theft.",2024-10-23T00:00:00.000
Int 1138-2024,"This bill would prohibit standing or parking a vehicle within 20 feet of a crosswalk at an intersection, and require citywide community education and outreach efforts with regard to the change. This bill would also amend section 19-175.8 of the administrative code to set a requirement for the Department of Transportation to implement daylighting barriers at a minimum of 1000 intersections per year.",2024-12-05T00:00:00.000
Int 1142-2024,This bill would require that the Commissioner of Transportation install warning signs with plaques warning motorists of the presence of a child with autism at the request of the child’s parent or legal guardian. The bill sets forth processes involved with making these requests and installation and would dictate the removal procedures for these signs.,2024-12-19T00:00:00.000
Int 1054-2024,"This bill would require the Commissioner for the Aging (“the Commissioner”), in consultation with coordinating agencies, to submit a 10-year aging in place plan to the Mayor and the Speaker of the Council, and to post the plan on the Department for the Aging’s (“the Department”) website. The aging in place plan would focus on assisting older adults with aging in place throughout New York City, including in naturally occurring retirement communities and neighborhood naturally occurring retirement communities, and would include proposed projects and recommendations. The Commissioner would be required to submit the aging in place plan no later than 2 years after the effective date of the local law that enacted the plan. Two years after the publication of the aging in place plan and every two years until the plan’s completion, or until January 30, 2037, the Commissioner would be required to post on the Department’s website and to submit to the Mayor and the Speaker of the Council a progress report detailing the status of projects and recommendations included in the 10-year plan.",2024-09-26T00:00:00.000
Int 1084-2024,"This bill would require the Department of Transportation (DOT) to install at least 35 electric bicycle (e-bike) battery stations in commercial corridors each year for a five-year period, and at least 25% of those would be installed in the street next to the curb and allow for e-bikes to be parked and secured. DOT would also be required to report on the installation and operation of the battery stations and post the locations of the battery stations on its website.",2024-10-10T00:00:00.000
Int 1080-2024,"This bill would require the Police Commissioner to establish a program to integrate licensed mental health professionals into 911 call centers, or public service answering points (PSAPs). The Police Commissioner would have to staff these professionals at each PSAP in New York City and provide them and 911 operators with training on the handling of 911 callers experiencing mental health crises. These professionals would provide feedback to 911 operators during 911 calls and provide emotional support and guidance to 911 callers experiencing mental health crises. The Police Commissioner would also have to issue to the Mayor and Speaker of the Council, and post online, a report on this program, including the numbers and types of mental health professionals involved, the number of 911 calls involving mental health crises that were handled and how they were handled, and a statement of any challenges encountered during implementation.",2024-10-10T00:00:00.000
Int 1027-2024,"This bill would establish a process for people in custody to obtain wigs, hair extensions, chest binders, tucking undergarments or gaffs, prosthetics, or other similar items or medical devices that are used by individuals to affirm their self-determined gender identity. The bill also requires Department of Correction staff to have access to gender-affirming items or medical devices while at work.",2024-09-12T00:00:00.000
Int 1151-2024,This bill would require the Commissioner of Environmental Protection to establish a program that would allow lessors of motor vehicles to transfer the liability for certain engine idling violations to lessees.,2024-12-19T00:00:00.000
Int 1037-2024,This bill would require the owner of a multiple dwelling containing rent stabilized units to post a sign in the common area of such building’s entrance stating that the building contains rent stabilized units and providing information about how tenants can submit inquiries to New York State Homes and Community Renewal to find out if their units are rent stabilized.,2024-09-12T00:00:00.000
Int 1023-2024,"This bill would require the Department of Correction (DOC) to establish, operate, and maintain an online scheduling system to facilitate visits to incarcerated individuals. At minimum, this online scheduling system must be accessible by all major operating systems used by wireless communication devices or computers, give the public the ability to select, reserve, and modify dates for jail visits, provide real-time updates when DOC must cancel a scheduled visit, and provide the option for the public to save information to ease the administrative burden of scheduling repeat visits.",2024-09-12T00:00:00.000
Int 1116-2024,"This bill would require the Department of City Planning (DCP) to conduct an inventory of vacant industrial buildings, vacant land, and vacant ground floor spaces within areas identified by DCP as Significant Maritime Industrial Areas (SMIAs). The inventory would include information like the zoning district, square footage, and development potential for each property. DCP would also be required to estimate the annual zoned economic output capacity of each SMIA, including potential capacity if used for green port water dependent manufacturing, and analyze the feasibility of establishing clean energy research & development centers in underutilized spaces. DCP would be required to review and update the inventory every 5 years and publish the inventory online.",2024-11-21T00:00:00.000
Int 1198-2025,This bill would prohibit any mayoral agency or office that operates emergency or temporary shelter facilities exclusively serving new arrivals from publicly disclosing the address or location of any such shelter facility unless such disclosure is required by a judicial warrant or otherwise required by law.,2025-02-13T00:00:00.000
Int 1025-2024,"This bill would require the New York City Department for the Aging (DFTA) to provide information in paper form regarding older adult workforce programs administered by DFTA to all contracted older adult centers and clients of all contracted providers. This bill would also require that DFTA update its existing know-your-rights pamphlet for older adults to include information and resources regarding employment opportunities, volunteer opportunities, and workforce program opportunities. The pamphlet would also include information to assist older adults in identifying and addressing employment discrimination, as well as the name, address, contact information, and website of relevant government agencies or community-based organizations that an older adult may contact to obtain additional information about issues regarding employment discrimination.",2024-09-12T00:00:00.000
Int 1164-2025,This bill would require the Office of Street Vendor Enforcement (OSVE) to create a portal that would allow all agencies enforcing street vending laws and regulations to share enforcement-related information. OSVE would also ensure that each enforcing agency has the capability to verify the authenticity of vendor licenses.,2025-01-23T00:00:00.000
Int 1186-2025,This bill would require the Department of Sanitation (DSNY) to analyze the ways in which the practices of New York City’s religious communities may conflict with the set-out times for solid waste and recycling material. DSNY would be required to propose accommodations for religious practices that conflict with set-out times and to evaluate the feasibility of these proposals.,2025-02-13T00:00:00.000
Int 1076-2024,This bill would require the inclusion of businesses owned by persons of Middle Eastern and North African descent in any future disparity study conducted for the purpose of determining eligibility for certification in the City’s Minority- and Women-owned Business Enterprise program.,2024-10-10T00:00:00.000
Int 1093-2024,This bill would require the Department of Housing Preservation and Development to require developers who receive city financial assistance for a housing development project to set aside at least 10 percent of units for individuals with mobility issues and at least 5 percent of units for individuals with vision or hearing impairments.,2024-10-23T00:00:00.000
Int 1192-2025,This bill would establish a climate migrant services coordinator to provide guidance to individuals who have relocated to New York City after being displaced from their homes by severe weather or natural disaster events.,2025-02-13T00:00:00.000
Int 1090-2024,"This bill would authorize nine existing business improvement districts throughout the City to increase the amount they expend annually as follows: 34th Street Business Improvement District, $14,300,000; Times Square Business Improvement District, $17,200,000; North Flatbush Avenue Business Improvement District, $350,000; Madison/23rd/Flatiron/Chelsea Business Improvement District, $9,000,000; Bayside Village Business Improvement District, $430,000; Fulton Street Business Improvement District, $800,000; Hudson Square Business Improvement District, $5,850,000; Atlantic Avenue Business Improvement District, $637,000; and the SoHo Business Improvement District, $1,757,934.",2024-10-23T00:00:00.000
Int 1088-2024,The bill would establish a charter revision commission to draft a new or revised City charter.,2024-10-23T00:00:00.000
Int 1022-2024,"This bill would require the Commissioner for the Aging to conduct a three-year study on Naturally Occurring Retirement Communities (NORCs) and Neighborhood Naturally Occurring Retirement Communities (N-NORCs) in New York City. The study would identify potential NORCs and N-NORCs, assess the needs of older adults, evaluate necessary improvements, and collect data on demographic trends and health outcomes. Within two years of completing the study, the Commissioner would be required to develop and implement a plan to support aging in place within these communities. This plan would include recommendations for officially designating identified communities, resource estimates for supportive service programs, training for community-based organizations, infrastructure improvements, and the establishment of a program to provide grant funding and other resources to support the operations of community-based organizations to provide services within such identified communities.",2024-09-12T00:00:00.000
Int 1068-2024,This bill would require the Commissioner of Information Technology and Telecommunications or the head of another office or agency designated by the Mayor to establish rules of decorum for posting by New York City agencies on official social media accounts. The bill sets forth three specific prohibitions relating to decorum. The bill would also require the Commissioner or agency head to establish a complaint intake and referral mechanism and inform the public of the rules and the complaint intake and referral mechanism. The rules would not apply to social media accounts used by the offices of elected officials or those associated with online aliases used by law enforcement.,2024-09-26T00:00:00.000
Int 1086-2024,"This bill would amend Section 7-628 of the Administrative Code by requiring the Department of Finance (DOF) to notify interested parties by e-mail, text message, and postal mail when a deed-related or mortgage-related document has been recorded for the property. DOF would be required to send such notice no later than 30 days after such deed-related or mortgage-related document has been recorded.",2024-10-10T00:00:00.000
Int 1072-2024,This bill would establish that Room 9 in City Hall is reserved for the press. It would require adequate space in Room 9 to be made available for members of the press and would allow additional space in City Hall to be allocated to the press as needed. It would establish that no changes to press access to Room 9 be made without the joint approval of the Mayor and the Council Speaker.,2024-10-10T00:00:00.000
Int 1156-2024,This bill would require certain developers of economic development projects receiving $1 million or more in financial assistance from the City or a City economic development entity to provide prevailing wages to workers performing construction work at such economic development projects.,2024-12-19T00:00:00.000
Int 1189-2025,"This bill would require the Child Care Advisory Board, in consultation with the Department of Buildings and the Fire Department of the City of New York to conduct a study and submit a report on expediting the child care permitting process. The study would identify barriers faced by child care providers in the permitting process, and provide recommendations on steps to expedite the process and make it more effective.",2025-02-13T00:00:00.000
Int 1199-2025,This bill would create an office within the Department of Housing Preservation and Development dedicated to issues relating to the management of Housing Finance Development Companies (HDFCs) and providing advice to HDFCs on these issues.,2025-02-27T00:00:00.000
Int 1040-2024,"This bill would create a process for expedited processing of FOIL requests to professional journalists, by requiring agencies to respond to their requests within 10 days of acknowledgment of receipt, unless unreasonable, but no later than six months from acknowledgement of receipt.",2024-09-12T00:00:00.000
Int 1130-2024,"This bill would require the Commissioner of the Department of Environmental Protection (DEP) to promulgate an indirect source rule to reduce emissions attributable to the use of indirect sources, such as warehouses or other structures that attract mobile sources of air pollution, such as vehicles. The indirect source rule would regulate certain large warehouses and any other indirect sources determined by the Commissioner.",2024-12-05T00:00:00.000
Int 1139-2024,"This bill would set hours of operation for adult-use cannabis retail dispensaries in New York City. All adult-use cannabis retail dispensaries would be permitted to open at 9:30 AM and would have to close by 9:30 PM. The Department of Consumer and Worker Protection would be responsible for enforcement. Violation of this local law would result in civil penalties of $1,000 for a first violation and $2,000 for each subsequent violation committed on a different day within a period of 2 years after the date of the first violation.",2024-12-19T00:00:00.000
Int 1045-2024,This bill would prohibit a shared electric scooter organization from operating a shared electric scooter system on certain streets in downtown Flushing.,2024-09-12T00:00:00.000
Int 1144-2024,"This bill would require the Department of Homeless Services to conduct bi-annual reporting on the number of shelters, safe havens, and drug treatment centers located in each council district. The reporting would also require information on the populations served by the facility and the demographics of the population served.",2024-12-19T00:00:00.000
Int 1150-2024,"This bill would require the Department of Environmental Protection (DEP) to develop a comprehensive stormwater plan that recommends a capacity at which the stormwater system should be able to convey rainfall. The plan would also identify projects or policies necessary to achieve such capacity and to reduce stormwater flooding. Additionally, this bill requires DEP to develop and maintain a dashboard that indicates the status of the comprehensive stormwater plan and of any projects recommended by the plan.",2024-12-19T00:00:00.000
Int 1029-2024,"This bill would require, when any agency other than the Department of Transportation plans to close a street or issues a permit to close a street, the head of the agency to notify the Commissioner of Transportation of such planned street closure. This bill would also require the Commissioner of Transportation to provide 72 hours’ advance notice to community boards and certain elected officials of all planned street closures within their districts.",2024-09-12T00:00:00.000
Int 1173-2025,"This bill would require any individual riding or operating a bicycle to wear protective headgear, otherwise known as a helmet. This bill would only cover individuals who are not already required to wear a helmet pursuant to other laws. Any person who violates this law would be liable for a civil penalty of up to $50.",2025-01-23T00:00:00.000
Int 1014-2024,"This bill would require that the Campaign Finance Board (CFB) accept required filings, reports, or submissions that are complete until 11:59 pm on their final due date.",2024-08-15T00:00:00.000
Int 1098-2024,"This bill would authorize an increase in the amount the Madison Avenue business improvement district is authorized to expend annually to $2,520,000, and change in the method of assessment upon which the district charge in the business improvement district is based.",2024-10-23T00:00:00.000
Int 1145-2024,"This bill would require that e-bikes and e-scooters that are part of self-service share systems have functioning speedometers. In addition, it would require that, when used by new riders, the electric speed assistance on the e-bike or e-scooter would cease to function when the device reaches a speed of 10 miles per hour.",2024-12-19T00:00:00.000
Int 1041-2024,"This bill would require the Department of Health and Mental Hygiene (DOHMH) to conduct an annual outreach campaign to inform parents and legal guardians about their rights regarding their children in child care programs. DOHMH would be required to include in the campaign: 1) information on making complaints to local and state agencies regarding child care programs; 2) a description of  the information that child care programs are required to post on the premises; 3) a description of the information that child care programs are required to provide to parents; and 4) a description of the rights that parents have, including that parents have the right to unrestricted access to their child and the right to inspect during operating hours any area of a child care program to which a child or parent has access, or which could present a hazard to the health and safety of the child or parent.",2024-09-12T00:00:00.000
Int 1019-2024,"This bill would require the Office of Community Mental Health (OCMH), in coordination and consultation with other relevant agencies, to report to the Mayor and Speaker of the Council and online regarding each 911 call that is identified as involving a mental health emergency, on a quarterly basis. The report would include information about responses to these emergencies and would specify whether B-HEARD, the Behavioral Health Emergency Assistance Response Division of OCMH, responded. Additionally, the bill would require the New York City Police Department (NYPD) and New York City Fire Department (FDNY) to include the unique identifiers generated by their respective computer-aided dispatch systems in their 911 call data publication on the Open Data Portal. The NYPD and FDNY would also be required to indicate whether a B-HEARD team was dispatched and able to respond in their 911 call data publication on the Open Data Portal.",2024-09-12T00:00:00.000
Int 1137-2024,This bill would set minimum appropriations available to pay for certain expenses of the equal employment practices commission and the commission on civil and human rights.,2024-12-05T00:00:00.000
Int 1112-2024,"This bill would require each police precinct in New York City to develop and implement a special needs plan for identifying and responding to individuals with special needs, such as those with Alzheimer's disease, autism spectrum disorder, dementia, Down syndrome, and other related conditions. The precincts' plans would include processes for identifying individuals with special needs within their communities and establishing precinct-specific response protocols for interactions with them. The plans would involve community outreach to build relationships with individuals with special needs, their families, caregivers, and local organizations, and provide specialized training for officers on interacting effectively with these individuals. The Police Commissioner would review and approve the precincts' special needs plans and make them publicly available on the department's website within 30 days of approval. If a precinct fails to submit a plan or if the plan is not approved within specified timeframes, a default special needs plan would be implemented for that precinct.",2024-11-13T00:00:00.000
Int 1196-2025,"This bill would permit elected officials and candidates for elected office to notify, in writing, owners of generative artificial intelligence (AI) systems that they do not authorize those systems to produce manipulated audio, photos, or videos with their likeness. After a notification is provided, owners of generative AI systems would be required to implement methods that would prohibit uses from generating media of those elected officials or candidates. Any entity that violates this law is guilty of a misdemeanor and can be fined up to $2,500 per depiction. This would not apply where the media is processed by a third party over which an owner has no control. An elected official or candidate can also seek injunctive relief prohibiting use of their image.",2025-02-13T00:00:00.000
Int 1066-2024,This bill would create an interagency task force to examine the impacts of artificial intelligence on civil service and civil service employees. The task force would convene not less than once every six months and have a mechanism for city employees to provide information and evidence about the impacts of artificial intelligence on their jobs.,2024-09-26T00:00:00.000
Int 1034-2024,This bill would require that relevant agencies provide: (1) notices to tenants in connection with eligibility for senior citizen and disability rent increase exemptions (SCRIE and DRIE); (2) notices to landlords in connection with eligibility for real property tax abatements and eligibility for exemptions from payments in lieu of taxes for certain properties occupied by senior citizens or persons with disabilities; and (3) notices to designated third parties about exemption renewal and transfers.,2024-09-12T00:00:00.000
Int 1035-2024,"This bill would require that the New York City Department of Correction (DOC) conduct a study on the efficacy of using lower-strength OC sprays in DOC facilities. The study would also require DOC to study the extent to which incarcerated persons, staff, or visitors to DOC facilities may have medical complications due to the use of higher-strength OC spray, and to consider whether it may be appropriate to use lower-strength spray in targeted situations where people in the facility may be at higher risk of medical complications from the use of higher-strength spray.",2024-09-12T00:00:00.000
Int 1001-2024,This bill would require the Department of Health and Mental Hygiene to establish an automated text messaging system to provide participants with text message reminders for important child life deadlines including health checkups and child care and school registration deadlines. The Department would also be required to conduct an outreach campaign to inform the public about the existence of such a program and comply with all laws and regulations related to private identifying information.,2024-08-15T00:00:00.000
Int 1067-2024,"This bill would require the Department of Environmental Protection (DEP) to issue a request for proposals for a community-based organization (CBO) to identify residential properties citywide that have experienced damage from groundwater flooding and, for a period of at least five years, connect those properties to retrofit repair assistance, provide case management support, and provide information regarding such assistance via mailings. It would also require the contracted CBO to submit an annual report on the number of such properties, the damage sustained, the estimated cost of retrofit repairs, and recommendations to improve the assistance programs. DEP would be required to submit the CBO’s feedback to any state or federal agency administering such assistance programs.  DEP would be required to report on the status of any studies it is involved in relating to groundwater levels in Southeast Queens. This bill also creates an interagency task force to recommend changes in law regarding flooding adaptation assistance in Southeast Queens. Such task force would disband upon the submission of its fifth annual report.",2024-09-26T00:00:00.000
Int 1121-2024,This bill would require the inclusion of middle school students in the NYC Ferry discount fare program.,2024-11-21T00:00:00.000
Int 1113-2024,"This bill would require the Commissioner of Consumer and Worker Protection, or where jurisdictionally appropriate, the Commissioner of Small Business Services, to provide notice of an application for a stoop line stand license to the community board and council member in whose district the stoop line stand would be located, within 5 days after the filing of the application. When practicable, the relevant commissioner would then have to allow the community board and council member to submit comments on the application.",2024-11-13T00:00:00.000
Int 1095-2024,This bill would require the Civilian Complaint Review Board to investigate all instances in which an injury or death to a civilian occurs during a police action. It would also require the Police Department to notify the Board of all such instances.,2024-10-23T00:00:00.000
Int 1128-2024,"This bill would set forth eligibility and design requirements for ancillary dwelling units (“ADU”) in one- or two-family dwellings. Specifically, this bill would require ADUs to have separate utilities from the primary dwelling, including heating, ventilation, air-conditioning, electrical, and gas systems. Additionally, this bill would require ADUs to have separate entrances, with basement ADUs required to have at least 1 means of egress and cellar ADUs required to have at least 2 means of egress. This bill would also set forth required means of fire prevention in ADUs, including fire separation, automatic sprinklers, smoke alarms, and exit stairways. Additionally, this bill would set forth requirements for light, ventilation, window size, emergency service access to units, and occupancy. Finally, this bill would prohibit basement and cellar ADUs in coastal and inland flood hazard areas, to mirror such prohibitions in the New York City Zoning Resolution.",2024-11-21T00:00:00.000
Int 1108-2024,"This bill would require that anyone in charge of certain structures pursuant to a franchise or concession agreement with New York City keep the area around their structures clean from litter, debris, or other refuse. It would also impose penalties for violations, which would range from $100 to $500, depending on whether it is a first offense or a subsequent offense.",2024-11-13T00:00:00.000
Int 1134-2024,This bill would require agencies that collect demographic information from individuals through form documents to include additional race and ethnicity options.,2024-12-05T00:00:00.000
Int 1062-2024,This bill would amend the New York City Charter’s requirement that mayoral agencies advise and assist elected officials and bodies. This bill would ensure that the advice and assistance is provided without requiring elected officials and bodies to complete a digital or physical form or other paperwork before such advice or assistance are offered. The advice and assistance that heads of agencies provide would not require prior approval from any elected official.,2024-09-26T00:00:00.000
Int 0999-2024,"This bill would require the Commissioner of Health and Mental Hygiene, in consultation with the Chancellor of the City School District, to provide each public middle and high school with an adequate supply of vape detectors. The Chancellor would be required to install, at the Chancellor’s discretion, vape detectors in each public middle and high school and would have the discretion to determine the appropriate number, type, and locations of detectors for each school. Additionally, no later than two years after this proposed law takes effect, the Chancellor would be required to submit to the Mayor and the Speaker of the Council and post online a report detailing the progress of vape detector installation in public middle and high schools. This report would need to include the name and borough of each school, whether vape detectors have been installed, the number and locations of any detectors installed, and explanations for any lack of detector installation.",2024-08-15T00:00:00.000
Int 1184-2025,"This bill would require the Commissioner for the Aging to create a kinship care program that would support older adults who provide full-time care for someone who is not their biological child. At a minimum, the program would provide case assistance and workshops on issues related to kinship caregiving. The bill would require the Commissioner to provide written materials about the kinship care program to older adult centers and to provide in-person information sessions at older adult centers.",2025-02-13T00:00:00.000
Int 1044-2024,"This bill would require the Commissioner of the Office of Technology and Innovation to create a mobile app with information on exercise and nutrition programs that are run by a city agency or submitted by a city agency for inclusion. City-contracted community-based organizations would be able to submit requests to include information about other exercise and nutrition programs in the app, and those programs would be included if approved by the Commissioner in consultation with the Commissioners of the Department of Health and Mental Hygiene and the Department of Parks and Recreation.",2024-09-12T00:00:00.000
Int 1082-2024,"This bill would require the Department of Small Business Services (SBS) to conduct a study of fees and costs required to start and maintain a small business, and to post online and issue to the Mayor and Speaker of the Council a report that includes recommendations to reduce or offset such fees and costs. The study and report would have a distinct focus on regulatory compliance fees and costs, and on fees and costs unique to small businesses that are minority or women-owned business enterprises (M/WBEs) and to small businesses located in neighborhoods underserved by public transportation.",2024-10-10T00:00:00.000
Int 1191-2025,"This bill would require the Department of Social Services (DSS) to conduct a study of the 2010e supportive housing application to determine which parts of the application are mandated by federal or state law or through contractual agreements. The study would review all questions, evaluations, interviews, and documentation requirements in the application, identifying any items that are not legally required. Following the study, DSS would be required to remove non-mandated items from the application. The bill would also prohibit DSS from requiring any information or documentation in the supportive housing application unless that information or documentation is mandated by federal, state, or local law, or through contractual agreements with state or federal entities.",2025-02-13T00:00:00.000
Int 1122-2024,"This bill would require the Department of Information Technology and Telecommunications (DOITT) to develop and publish on their website a plan for the City to achieve universal, affordable, and equitable access to internet in homes throughout the City. The plan would need to be updated every 5 years, and would address how the City will build out the necessary infrastructure and work with internet service providers to facilitate the provision of low-cost internet throughout the City, prioritizing access for underserved areas. This bill would also create an internet advisory board, which would be responsible for reviewing previously published plans, and making recommendations for policy related to internet access and infrastructure needs in the city and improvements to the plan. DOITT would also be required to post online an annual report that details any progress made in implementing the plan.",2024-11-21T00:00:00.000
Int 1181-2025,This bill would require New York City Department of Health and Mental Hygiene food service establishment inspectors to include photographs or video documentation of each violation listed in the notices of violation that are provided to food service establishments during sanitary inspections.,2025-02-13T00:00:00.000
Int 1109-2024,"This bill would suspend alternate side parking regulations on January 26th of each year, also known as Duarte Day.",2024-11-13T00:00:00.000
Int 1170-2025,"This bill would require the Mayor to establish and maintain regular ferry service to LaGuardia Airport and John F. Kennedy International Airport. The Mayor would designate either a city agency or contracted entity to operate the service, which would connect the airports to locations throughout the city and integrate with the existing ferry system.",2025-01-23T00:00:00.000
Int 1174-2025,"This bill would require the Commissioner of Emergency Management to create and publicize a portal on its website where individuals can voluntarily self-identify as vulnerable or homebound and request inclusion in outreach and recovery plans for emergencies. The portal would allow individuals to provide relevant information to facilitate their inclusion in existing systems used by the Emergency Management Department to assist vulnerable and homebound individuals before, during, and after emergency conditions.",2025-01-23T00:00:00.000
Int 1100-2024,"This bill would require the Department of Social Services to include single adults or adult families and families with children where the head of household has a severe mental illness, substance use disorder, or both, is homeless or at risk of homelessness, and has had justice system involvement in the last 12 months to any eligibility parameters for any existing supportive housing program administered and wholly funded by the city.",2024-10-23T00:00:00.000
Int 1060-2024,This bill would prohibit the distribution and sale of tianeptine in New York City. The bill would not prohibit licensed medical professionals from dispensing tianeptine. The bill imposes civil penalties for non-compliance with the prohibition of sale.,2024-09-26T00:00:00.000
Int 1020-2024,"This bill would require that the Commissioner of Investigation replace the Inspector General for the New York City Police Department (NYPD) within 90 days after an Inspector General resigns or is removed. This bill would also require the Department of Investigation (DOI) to report: the subject matter of any investigation, review, study, or audit relating to the NYPD that has been open for more than three years; descriptions of the incidents when the NYPD restricted or significantly delayed access to any information that the Inspector General required or interfered with the Inspector General’s duties; and the number of investigations, reviews, studies, and audits relating to the police department that were closed without issuing a report during the preceding calendar year.",2024-09-12T00:00:00.000
Int 1175-2025,"This bill would require the Office of Civil Justice (OCJ) to establish a program, subject to appropriation, to provide domestic violence survivors with legal representation throughout a divorce proceeding. OCJ would be required to submit to the Mayor and the Speaker of the Council an annual report with data on the program for the preceding year.",2025-01-23T00:00:00.000
Int 1140-2024,"This bill would require the New York City Fire Department to report annually on needs for and the status of firehouse assets that are not included in existing capital asset reporting, including vehicles, equipment and supplies.",2024-12-19T00:00:00.000
Int 1165-2025,This bill would direct various agencies to work with the Department of Finance to create targeted outreach programs to increase awareness of the disability rent increase exemption program.,2025-01-23T00:00:00.000
Int 1148-2024,"This bill would require the Department of Social Services (DSS) to provide an application receipt to any applicant for benefits or services. The receipt would include the date of the application, a description of what DSS received, a copy of the application and documents submitted to DSS, and an acknowledgement of whether the application is complete, and if incomplete, information on how to complete the application.",2024-12-19T00:00:00.000
Int 1059-2024,"This bill would require the Department of Parks and Recreation (Parks) to develop written materials containing information about water safety and drowning prevention. Specifically, the materials developed should contain information regarding: water safety practices, contact information for non-governmental organizations providing swimming lessons and water safety programing, and programming offered by the City regarding water safety. This bill would also require Parks to provide the written materials to the Department of Education for distribution to every student at the beginning and end of the academic year. Finally, Parks would be required publish the materials developed to their website.",2024-09-26T00:00:00.000
Int 1016-2024,"This bill would require dealers in firearms, rifles, and shotguns to display a warning sign where the firearms, rifles, or shotguns are displayed or where they are transferred to the purchaser. The warning sign would include the following message: “A firearm in the home significantly increases the risk of suicide, homicide, death during domestic disputes, and unintentional deaths to children, household members and others. If you or a loved one is experiencing distress or depression, call the Mobile Crisis Team at 1-888-NYC WELL (1-888-692-9355) or the National Suicide Hotline at 988.” Failure to display the sign would be a violation punishable by a fine of not more than $5,000. In addition, the bill would require that graphic images depicting the nature of such risks be posted adjacent to the warning sign. The Department of Health and Mental Hygiene would design and disseminate the graphic images and any rules for posting them.",2024-09-12T00:00:00.000
