title,borough
"Bowne House Stabilization Project, Archaeological Assessment Proposal, Department of Anthropology, Queens College, [The City University of New York], 29 April 2000",Q
"Block 1883, Lot 13-20, & 27.  45-49 Taaffe Place & 796 Kent Avenue, Borough of Brooklyn.  Stage 1B Archaeological Field Reconnaissance Survey.  98BSA083K",K
"Archaeological Documentary Study, The Nehemiah Project, Block 2637, Lots 1 & 10, Borough of The Bronx, New York.  For: South Bronx Churches.  CEQR 93HPD-015X [810 Trinity Ave]",X
"Melrose Commons URA, Bronx, New York, Historical And Archaeological Field Inspection And Documentary Research.  For: New York City Department of City Planning.  CEQR 88-087X",X
"A Stage 1 Documentary Cultural Resource Survey Of The Proposed I.S. 171 Site In The East New York Section Of Brooklyn, N.Y. For: Allee King Rosen & Fleming, Inc.",K
"Stage 1A Archaeological/Historical Sensitivity Study, Castle Hill Development Project, Bronx, New York.  For: Ethan Eldon Associates.  CEQR 88-042X   [Multiple authors]",X
"Phase IA Archaeological Assessment Report for the Tibbett Gardens Project, Bronx, New York.  For: Allee King Rosen and Fleming,Inc.  CEQR 87-164X   [Multiple authors]",X
"Preliminary documentation of the 330 Jay Street Site, Brooklyn, New York.  For: Allee King Rosen & Fleming, Inc.  CEQR 89-253K",K
"Phase IA Archaeological Assessment Report on the Shorehaven Project, the Bronx, New York.  For: Soundview Associates. Draft (Revised 1987 from 1986) CEQR 87-010X   [Multiple authors]",X
"Proposed Residential Tower and Parking Facility: Brooklyn Hospital Complex Dekalb Ave. and Ashland Place Fort Greene.  Borough of Brooklyn, Kings County, New York: Stage 1A Literature Review and Archaeological and Historical Sensitivity Evaluation.",K
"Archaeological Assessment Report For The Board of Education Project:  Finast Site.  For: Allee King Rosen and Fleming, Incorporated.  CEQR 88-123X   (Faline Schneiderman)",X
"The New York City Long Range Sludge Management Plan, Generic Environmental Impact Statement III, Revere Sugar Site, Brooklyn, Phase IA Archaeological Assessment.  For: Allee King Rosen & Fleming, Inc.  (CEQR-Generic)",K
"Revised Stage 1A Literature Review & SensitivityAnalysis Los sures Senior Housing (Block 2418, Part of Lot 18)",K
"Preliminary Assessment Of Archaeological Sensitivity Brooklyn Eastern District Terminal Site, Long Range Sludge Management Plan, GEIS III.  (CEQR-Generic)",K
"Subsurface Soil Investigation for Police Service Area No. 8 (500 Havermeyer Ave).  Bronx Community District #9, Block 3540, Lots 1, 29, and 40. For: New York City Housing Authority.  CEQR No. 95CHA002X.",X
"57 Empire Boulevard McDonalds Blocks 1306A Lots 1, 12, 13, 14, 17, 18 and 19. [documentary research, memo to Bill Crowell, 6/20/90]   CEQR 90-071K",K
"Block 3070, Lot 10-14, 140 Johnson Ave., Williamsburg, Brooklyn.  Stage 1A Literature Review and Archaeological and Historic Sensitivity Evaluation.  96HPD003K",K
"Block 2264, Lot 10, 65, 72 and 73.  248 252 Wallabout Street & 541/561 Flushing Avenue, Brooklyn.  Stage 1A Literature Review and Archaeological and Historic Sensitivity Evaluation.  99BSA003K",K
"Phase IA Archaeological Impact Report for the Watchtower Bible and Tract Society, Brooklyn Project.  For: Parsons Brinkerhoff Quade and Douglas.  CEQR 83-308K (within FEIS ""Proposed Residential Development at Block 208 and Rezoning of Blocks 204 and 208,",K
