biblioid,report_abstract,date
210,"The following report details the results of archaeological field testing and historical sensitivity assessments for parcels within the Williamsburg neighborhood of Brooklyn. This survey conducts a literary review and field examination of prehistoric and historic resources within sections of the Broadway Triangle Urban Renewal Area and Broadway Triangle Industrial Park. This survey was able to locate one significant cultural resource within trenches excavated on Block 2270, remnants of the Williamsburg Flint Glass Works, and recommends additional testing within this section of the project area.",1998
225,"The following report is an assessment of archaeological and historical sensitivity at the Shaft Site 21B in the Fort Greene neighborhood of Brooklyn. This survey conducts a literature review of prehistoric and historic resources located between 901-903 Kent Avenue.  The survey utilizes cartographic and published information to determine the presence or absence of historic resources on-site. This survey determined that while the project area is unlikely to contain significant information relating to prehistoric activity at the site there are likely to be undisturbed archaeological deposits, including remnants of structural features (i.e. wells, cisterns, privies and middens) from the late 19th century at the site. This report recommends further archaeological examination.",1988
57,"Report on the Shorehaven Project located in Clason's Point, Bronx between the East River, Bolton Avenue, Soundview Avenue, Cornell Avenue, and Betts Street. Because of the site's proximity to previously discovered prehistoric burials and association with the Thomas Cornell Family, the researchers identify 6 lots within the site that would most likely yield historically significant deposits. Archaeological testing is recommended for those lots.",1987
94,"Report on the Nehemiah Project in Morrisania. Archaeological testing of the project area bounded by Trinity Avenue, Jackson Avenue, East 158th Street, and East 160th Street recovered a number of artifacts and structures dating to the turn of the 19th century. These include an intact cistern, remains of a possible drainage sump, and the remains of previously undocumented stone structures. Further archaeological testing is recommended to better understand the nature of these finds and their relationship to the history of the site.",1995
175,"The following report documents the results of archaeological testing in the Brooklyn Navy Yard, Brooklyn, New York. This survey gives a brief literature review followed by a dissemination of results from archaeological testing. This survey was unable able to locate any intact significant archaeological resources relating to the history and development of the Brooklyn Navy Yard.",1996
149,proposed project area is located on a portion of Lot 18.,2002
8,"Project on the 184 blocks between the East River, the Williamsburg Bridge, the Brooklyn-Queens Expressway, and McGinnes Boulevard in Greenpoint and Northside-Williamsburg, Brooklyn. This report, part II of 4, details the histories of each of the lots in the project area. Included in the given information are the first  tax records, present use, and likelihoood of finding archaeologically significant artifacts on the property.",2004
191,"The following report is an assessment of archaeological sensitivity in the Greenpoint neighborhood of Brooklyn. This survey consults archival and cartographic information in order to evaluate the potential for prehistoric and historic resources between at 68-88 Dupont and 103-11 Eagle Street. This survey determined that there was low potential prehistoric occupation at the site, and a high potential for archaeological evidence of early 19th century farmhouses and cisterns at the site. These features are likely to reveal information on the earliest land owners and farmsteads in the neighborhood between the early and mid 19th century. Furthermore, this report recommends further archaeological testing.",1991
61,"Project at the Bronx Community College Parking Lot on Loring Place between Hall of Fame Terrace and West 183rd Street. Although the project site was a hospital for the chronically ill in the 19th century and subsequently the private home of the Bergen Family for 40 years, the demolition of these structures and the construction of the university parking lot most likely destroyed any of the archaeological evidence.  As such, further testing is not recommended.",1988
53,"Report on archaeological testing conducted on the area between West 203rd Street, Johnson Ave, and Irwin Ave in the Bronx for the Tibbet Gardens Project. Combining their results with those of previous studies of the project area, researchers were able to reconstruct the prehistoric environment and geography of the area. The reconstruction leads them to assert that the environment of the Tibbet Gardens matched those favored by prehistoric groups in New York.",1987
39,"The Castle Hill Development Project area is bounded by Zerega Avenue, Norton Avenue, Pugsley's Creek, and Castle Hill Park in Castle Hill, Bronx. The report contains a history of Castle Hill (Neck) spanning three generations and concludes that there is a high potential for archaeologically significant deposits in the project area. Archaeological testing is recommended to investigate these potential deposits including the possible remains of a 19th century farmhouse.",1989
221,"The following report is an assessment of archaeological and historical sensitivity within the Columbia Heights neighborhood of Brooklyn. This survey conducts a literature review on historic resources located on lots within the proposed area rezoning for Blocks 203 and 208.  The survey utilizes cartographic and archival information to determine the presence or absence of historic resources within sections of the site. This survey determined that there is a high potential for evidence of prehistoric burials, 19th century building foundations and domestic structures, and recommends further archaeological testing.",1988
231,"The following report is an assessment of archaeological sensitivity in Downtown, Brooklyn. This survey conducts a literature review of historic resources located at the Block 2062.  The survey utilizes cartographic and published information to determine the presence or absence of historic resources on Blocks 130 & 131. This survey determined that there is a high potential for the preservation of historic archaeological deposits, including architectural remnants and backyard features, dating to the mid to late 19th century. This survey thus recommends further archaeological examinations at the site.",1990
237,The following report is an assessment of archaeological and historical sensitivity in the Flatlands neighborhood of Brooklyn. This survey conducts a literature review of prehistoric and historic resources located at the site of a proposed water quality facility.  The survey utilizes cartographic and published information to determine the presence or absence of historic resources on-site. This survey determined that there is a high potential for the preservation of prehistoric deposits and recommends archaeological examination through core testing.,1993
20,"This report is the final volume in an assessment of the potential for preserved ancient landscape and submerged cultural remains within the New York and New Jersey Port District. This survey was undertaken as part of a proposal to deepen harbor waterways, including the Newark Bay, Claremont, Port Jersey, Anchorage, Stapleton, and Ambrose Channel. The survey implemented probing techniques to analyze site stratigraphy, date and examine sediment layers and to test for archaeological sensitivity in the region. This volume includes research on modern development within the harbor and documents the effects of recent improvements on the potential underwater sites. Furthermore, the report documents the integrity environmental and prehistoric remains within the region. 
This document contains two reports, one which listed above and Report no.108 detailing geomorphological and archaeological studies carried out at Governors Island as part of the same project.",2000
27,"Summary of three years of excavations at the Van Cortlandt Mansion in Van Cortlandt Park, Bronx. The report reviews the researchers' findings including an intact prehistoric shell midden and two large deposits of 17th-19th century artifacts with an overview of the historical context for these finds.",1992
178,The following report documents the results of a Phase 1B assessment of archaeological sensitivity in the Red Hook neighborhood of Brooklyn. This report details the results of archaeological testing carried out between Amity and Kane Street. The survey implemented techniques in core testing in order to locate intact archaeological deposits. This survey was able to conclude that beneath 19th and 20th century fill deposits remnants of a high land spit formally known as Locust Island are likely to be preserved.,1984
26,"Project on the Frederick and Frances Jay Van Cortlandt House in Van Cortlandt Park, Bronx. Excavations revealed a substantial number of artifacts from the 17th- 19th century, a prehistoric shell midden dating to the Late Woodland period, as well as a structure underneath the modern Herb Garden that could pre-date the mansion. Further excavation was recommended to identify the Herb Garden structure and other possible buildings associated with the estate.",1991
129,"The following report details the results of trial excavations conducted on the campus of Erasmus Hall High School in Brooklyn, New York. The survey implemented field trench excavation with aims to recover data relating to the early history of the Erasmus Academy. The excavations revealed the presence of well preserved structural features (including: brick foundations) and intact stratification at the site.",1987
235,"The following report is an assessment of archaeological sensitivity in Williamsburg neighborhood of Brooklyn. This survey conducts a literature review of historic resources located on sections of Block 3037.  The survey utilizes cartographic and sourceed information to determine the presence or absence of historic resources at the Scholes Street Urban Renewal Area Housing Site. This survey was able to determine that within the project area was a low potential for preserving evidence of prehistoric occupation, and a high potential for preserving mid 19th century homelot features such as privies, and cisterns. This survey however does not recommend further archaeological examinations at this site.",1992
132,"This reports details the results of a Phase 1A archaeological assessment of potential sensitivity within Bushwick, Brooklyn, New York. The area for the proposed plan to develop a six story multifamily apartment building at 1425-1445 Gates Avenue, Lots 1 and 56-59, Block 3335 required the consideration and assessment of prehistoric and historic resources. The report examines historic texts and cartographic information to trace the neighborhood’s development throughout the 18th and 19th century.  This survey concludes that there is a minimal potential significant archaeological features such as cisterns or privy remains at this site.",1997
6,"This report is Volume III of a six volume study on excavations conducted  between Worth and Pearl Streets in Lower Manhattan; in the 19th century the block formed part of the notorious slum known as Five Points. This volume is a collection of the historical data collected on the residents of block 160. The collection includes the census, deeds, and bank records from 1800-1870 including such information as their names, countries of origin, occupations, and in some cases the name of the ship they immigrated on.",2000
218,"The following report is an assessment of historical sensitivity in the neighborhood of Red Hook, Brooklyn. This survey conducts a literature review on historic resources located on the site of the Revere Sugar refinery. This survey determined that standing structures at the site have a significant historic character which is relevant to the neighborhood’s industrial past.",1991
81,"Report on archaeological excavations conducted on St. Raymond's Cemetery in the Bronx. Previous research suggested that the project area had the potential to yield deposits associated with the 18th century Ferris Estate and prehistoric groups. While there was no remaining evidence of the Ferris Estate within the project area, a relatively undisturbed deposit of prehistoric tools was uncovered. No further archaeological testing is recommended though as the planned construction would not affect the deposit.",1993
207,"The following report is an assessment of archaeological and historical sensitivity at Block 2165 within the Williamsburg neighborhood of Brooklyn. This survey consults archival, cartographic, and published information in order to locate prehistoric and historic resources within the Park Plaza project area. This survey determined that there is a high potential for remnants of a mid-19th century privy at 16 Rush Street and recommends further archaeological testing for the site.",1996
62,"Project on the proposed site of the Hunts Point Correctional Facility in Hunts Point, Bronx on the western shore of the Bronx River. The report documents the prehistory and history of the project area to determine the likelihood of archaeological excavations yeilding historically significant deposits. Extensive construction activity and shoreline filling makes it unlikely such deposits would be found, therefore archaeological testing is not recommended.",1989
196,"The following report is an addendum to the  “Sunnyside Yard  and Yard A – Archaeological Resource Evaluation”  report, a Stage 1A assessment of archaeological sensitivity between Thomson Avenue and 43rd Street (at Laurel Hill Avenue), located in Long Island City, Queens. This survey consults archival and cartographic information in order to evaluate how historical resources might be affected by the expansion of the Long Island Rail East Access Project area. This survey was able to determine that there was high potential for finding significant historical resources within specific sections of the extended project area, such as evidence of early 19th century housing. This report recommends mitigation through avoidance and further archaeological examination.",2006
89,"Project in the Bronx between Westchester Avenue, St. Ann's Avenue, E. 149th street, and Brook Avenue. Report details the researchers' plans for excavating areas within the site that previous research identified as potentially archaeological significant.",1990
48,"Project on the Melrose Commons Urban Renewal Area between E. 156th St, East 163rd St, Melrose Ave, Courtlandt Ave, Park Ave, Brook Ave, Third Ave, and St. Ann's Ave in the Bronx. The report examines the project area's potential for archaeologically significant deposits based on the known prehistoric, historic, and architectural sites in the area. Included in the report is a lot by lot description of the deed holders for the properties within the project area beginning with the mid-19th century.",2000
37,"This report examines research conducted on the area between Highbridge Yard and the Harlem River Yard east of the Harlem River in South Bronx. Based on the history of construction in the area, researchers conclude that while it is unlikely future excavations would yield any prehistoric material there is a strong possibility that remnants of late-19th century commercial buildings could be found in the project area, particularly parts of The J. L. Mott Iron Works complex. Archaeological testing is recommended.",1989
43,"Project at the Frances Shervier Home and Hospital in Riverdale, Bronx between Independence Avenue, Henry Hudson Park, Palisade Avenue, West 231st. Report on further archaeological excavations of the previously identified Revolutionary Fort I built in 1776. While researchers were unable to find any archaeological evidence of how the British occupation from 177-1781 impacted the site, they were able to identify the architectural properties of the Fort including the construction techniques that were used.",1997
192,The following report documents the results of archaeological testing at 68-78 Dupont Street located in the Greenpoint neighborhood of Brooklyn. This survey conducted subsurface testing to locate the presence or absence of archaeological resources within the DuPont Street Senior Housing project area. This survey was able to determine that there was low potential for significant archaeological resources within the area proposed for development.,1991
220,"The following report is an assessment of archaeological and historical sensitivity on waterfront property located in the Williamsburg neighborhood of Brooklyn. This survey conducts a literature review on historic resources located on the site of the former Schaefer Brewery. This survey determined that standing structures at the site have a significant historic character which is relevant to the neighborhood’s industrial past, and does not recommend archaeological testing at the site.",1984
59,"Report on the Tibbett Gardens project in the Kingsbridge, Bronx between West 203rd Street, Johnson Ave, and Irwin Ave. Preliminary archaeological testing was conducted to identify specific areas in which excavation would most likely yield significant deposits. While one area of potential archaeological significance was identified, it was not determined at the time of publication whether further archaeological testing would be necessary.",1987
63,"Project on the proposed site of the Oak Point Correctional Facility between East 149th Street, Bruckner Boulevard, Bruckner Expressway, Barry Street and Oak Point Avenue in the Bronx. After examining the history of the site, researchers conclude that the 20th century construction and expansion of the railroad tracks would have destroyed any remaining evidence of both prehistoric activity and any historic residences. It was also determined that the Hussar, a sunken revolutionary warship, thought to be off the coast of the project area was in fact to the southwest of the site. Further archaeological testing is not recommended.",1990
49,"Report on archaeological testing conducted on the Fulton Fish Market Relocation Project area in Hunts Point, Bronx. The testing identified only three areas within the site with the potential to preserve archaeological evidence. Of these three areas, none produced historically significant artifacts. As such, no further archaeological testing is recommended.",2001
148,"This report is an evaluation of the potential for archaeological sensitivity within sections of Bedford-Stuyvesant, Brooklyn, New York. This survey examines the evidence that Block 1735, Lot 24 contains prehistoric and historic resources. This survey utilizes cartographic, atlas, and tax record information to assess sensitivity within the project area. This report furnishes information about land use and development in neighborhood during the late 19th century. The  report concludes that there is a high potential for privy and cistern features within sections of the project area.",2001
91,Report documenting archaeological testing conducted on a site extending from the corner of City Island Road and Shore Line Road to the City Island Bridge in Pelham Bay Park.  The site showed evidence of having been extensively disturbed by 20th century construction activities and no archaeologically significant artifacts were recovered. No further archaeological testing is recommended.,2003
77,Project at the proposed site of P.S.189 bounded by Steenwick Ave and Reeds Mill Lane. Report examining the history of the Co-op City area of the Bronx and of the site in order to assess the latter's potential to yield historically significant deposits. Archaeological testing is recommended to identify the possible prehistoric and historic material that may be preserved at the site including remnants of the 19th century Odell Farmstead or the  Indigenous Peoples trail that ran adjacent to the project area.,2001
185,"The following report is an assessment of archaeological sensitivity in the neighborhood of Williamsburg, Brooklyn. This survey consults cartographic and directory information as part of a documentary study about historic resources located at Block 2240. This survey determined that there is a low potential for significant archaeological resources within the project area and does not recommend further archaeological testing.",1990
194,"Project on the MetroTech construction area between Tillary Street, Flatbush Avenue Extenstion, Willoughby Street, and Jay Street. The draft describes the previous research published on the area and the team's archaeological excavations of six lots with intact privies and cisterns. Included in this draft are the complete inventories of the artifacts from each excavated lot.",1991
147,"This report is an evaluation of the potential for archaeological sensitivity within sections of Williamsburg, Brooklyn, New York. This survey examines the evidence that Block 2264, Lot 10, 65, 72 and 73, located at 248-252 Wallabout Street & 541/561 Flushing Avenue contained prehistoric and historic resources. This survey utilizes cartographic and atlas information to obtain historical information about the project area. This report furnishes information about land use and infrastructural development in neighborhood during the late 19th century. The report concludes that there a low potential for significant archaeological features within the project area.",2000
149,"This report is an assessment of the potential for archaeological sensitivity within sections of Williamsburg, Brooklyn, New York. This survey examines the evidence that Block 2418, located at 155 South 3rd Street may contain prehistoric and historic resources on. This survey utilizes cartographic, and atlas information to assess sensitivity within the project area. This report furnishes information about land use and infrastructural development in neighborhood during the late 19th century. The report concludes that there is a low potential for significant archaeological resources within the project area.",2002
34,"Project at Riverdale Park bounded by 254th Street, 232rd Street and Palisade Avenue in Riverdale, Bronx. This preliminary report examines the history of the area and the local environment beginning with the Archaic prehistoric period. It is concluded that the site has a high potential to yeild historic and prehistoric deposits including the remnants of an 19th century lime kiln and 19th century dwellings. Further archaeological testing is recommended and the suggested excavation methods are outlined.",1985
171,"The following report is a Phase 1A assessment of archaeological sensitivity within Weeksville, Brooklyn, New York. This survey consults historic manuscripts and cartographic information in order to identify potential historic and archaeological resources located on Block 1356. This survey determined that there was a potential for the site to contain intact archaeological features such as privies, cisterns, such feature are likely to reveal information on the everyday lives of European and African American households during the mid 19th century. Information provided by this document also reveals information about the connection between the examined project area and the Weeksville historic sites.",2001
155,"The following report is an assessment of the potential for archaeological resources within Fort Greene, Brooklyn, New York. The survey integrates historical records to assess the potential for significant prehistoric and historic resources on Block 2027. This survey concludes that prehistoric remains and intact subsurface deposits potentially exist on-site. This report furnishes information on prehistoric landscapes and structural development within the neighborhood during the 19th century.",1988
44,"Project on the Washington/Bathgate Renewal Area in Tremont, Bronx. The report describes archaeological testing conducted on two of three lots that were chosen for testing because of their potential for intact late-19th century deposits. While a brick cistern was found on one of the lots, the artifacts recovered from the deposit were not historically significant. Therefore, no further archaeological testing is recommended.",1997
189,"The following report is an assessment of archaeological sensitivity in the neighborhood of Williamsburg, Brooklyn, New York. This report disseminates the results of literature of historic resources at the Caribe Village Site, Block 2429. This survey integrates archival and cartographic information in order to identify prehistoric and historic archaeological resources. This survey concludes that there is a low potential for significant prehistoric and historic resources and a moderate potential for the preservation of mid-19th century features such as privies at the site.",1991
179,"The following report documents the results of archaeological testing carried out between Amity and Warren Street in the neighborhood of Red Hook, Brooklyn. This survey involved the excavation, recordation, and analysis of three trenches located within Red Hook Water Pollution Control Project Area. This survey concluded that no significant archaeological and historic resources are present within the study area, and does not recommend further archaeological testing.",1984
111,"This report details a survey carried out to identify both the scheduled and potentially significant archaeological resources within Brooklyn neighborhoods. The report gives an assessment historically significant areas within areas such as Park Slope, Windsor Terrace, Prospect Heights, and Eastern Parkway, Washington Avenue, Boro Park, Sunset Park, Ocean Parkway, Ditmas Park, “the Junction” (Nostrand Avenue/ Flatbush Avenue), Benson Hurst, and Brighton Beach. The survey utilized cartographic information to determine where prehistoric and historic resources were potentially located. The report also provides a brief overview of historical areas within Kings County with potential archaeological sensitivity.",1986
75,Project at the Croton Woods site in the northeast corner of Van Cortland Park in the  Bronx. The report outlines the history of Van Cortlandt Park beginning with the Archaic period of prehistory up to the construction of the Major Deegan Expressway in 1948.  Testing is recommended within project area.,1998
40,"The report provides a history of Longstreet Avenue Rezoning Project area in Edgewater Park, Bronx and of Throgs Neck in order to determine the area's potential for historically significant deposits. Researchers conclude that while there is no evidence for historic structures within the project area, there is a high potential for prehistoric deposits, especially shell middens. Archaeological testing is recommended for those areas that show the least amount of modern disturbance and construction.",1991
152,"The following report is an assessment of the potential for archaeological resources within Canarsie, Brooklyn, New York. The survey integrates historic records in order to assess the potential for grave sites on Block 8218, Lot 26. This survey revealed that the site contains intact graves from the mid 19th century onwards. Information provided by this study also relates to the potential for ethnographic research in archaeological survey, and documents processes which have affected the burial site over time. This report furnishes information about land use and infrastructural development in neighborhood during the late 19th century.",1987
226,The following report is an assessment of archaeological and historical sensitivity in the Columbia Heights neighborhood of Brooklyn. This survey conducts a literature review of prehistoric and historic resources located between Blocks 203-208.  The survey utilizes cartographic and published information to determine the presence or absence of historic resources on-site. This survey determined that while the project area is unlikely to contain significant information relating to prehistoric activity at the site there are likely to be undisturbed coastal landfill deposits which will not be exposed by the proposed construction-site. This survey determined that no further research or archaeological examination was necessary for this site.,1988
212,"The following report is an assessment of archaeological and historical sensitivity of 99-103 and 135-137 Taaffe Place within the Clinton Hill neighborhood of Brooklyn. This survey conducts a review archival, cartographic and published information in order to locate prehistoric and historic resources within the project area. This survey determined that there is a low probability for the preservation of evidence for prehistoric occupation at the site. However the site is likely to have remains of early to mid-19th century privy features and recommends further archaeological testing at the site.",2002
201,"The following report is an assessment of archaeological sensitivity in the Williamsburg neighborhood of Brooklyn. This survey consults archival and cartographic information in order to evaluate the potential for prehistoric and historic resources on Block 2203, Lot 20. This analysis determined that there was low potential for significant prehistoric and historic resources at the site. The report recommends no further documentary research or archaeological testing at the site.",1992
216,"The following report is an assessment of archaeological and historical sensitivity within the Brooklyn Navy Yard, Brooklyn. This survey conducts a literature review on prehistoric and historic resources within the project area of a proposed Resources Recovery Facility. This survey determined that there is a high probability for the preservation prehistoric and historic sites along sections of the original shoreline. This survey recommends further archaeological testing at the site.",1982
140,"This report contains two documents first is an addendum to an assessment for archaeological sensitivity at Block 3995, Lots 1-7 and 33-34, East New York, Brooklyn, New York. This section examines tax records and cartographic information to examine the potential for significant historic resources within the above project area. This survey reveals information about the neighborhood’s development and occupants during the mid to late 19th century. 

The second section of this report details the results of field testing carried out at the above location. The survey implemented a visual inspection, stratgraphic control tests, mechanical excavation, and site recordation of the project area. The survey did not uncover any historically significant remains.",1996
36,"This report reviews subsurface excavations carried on Lots 1, 29, and 40 of Block 3540 in the Bronx, NY.  A magnetometer survey was implemented in an effort to locate potential contamination sources within the project area.  The survey also employed historical research, trench excavation, and test sampling to historical uses of the site and potential contaminants within the project area.  This report reveals information on location of specified excavation trenches and the results of chemical analysis on soil pollutants found within the project area.",1995
173,"The following report is a Phase 1A assessment of archaeological sensitivity within the Brooklyn Navy Yard, Brooklyn, New York. This survey conducts a literature review in order to evaluate archaeological sensitive area associated with the construction of a B-41 congregation facility. This survey concluded that no significant archaeological features remained within the immediate project area. This report reveals information on the history and development of the Brooklyn Navy Yard",1993
50,"Project in Pelham Bay Park between Bruckner Boulevard, Pelham Bay Bridge, City Island Road, and City Island Bridge in the Bronx. The report examines the history of the project area beginning with Thomas Pell's purchase of the land from the Siwanoy in 1654 and ending with it's 1888 transformation into a New York City Park. Researchers conclude that, due to the large number of known prehistoric sites in the region and the relative lack of construction and land disturbance after 1888, it is likely that the area would yield archaeologically significant materials. Archaeological testing is therefore recommended.",2002
184,The following report is an assessment of archaeological sensitivity in Downtown Brooklyn. This report disseminates the results of a documentary study carried out on properties between 184-188 Duffield Street. This survey consults cartographic and census record information to assess the potential for historic resources located on site. This survey concludes that there is a low potential for significant historic or prehistoric archaeological resources within the project area and does not recommend further archaeological testing.,1990
95,"Study of Van Cortlandt Park detailing the history of the family and the park, including its archaeology. Suggests that the Van Cortlandts planned to make the land a park for the benefit of the public.",1997
183,"The following report is an assessment of archaeological sensitivity in the neighborhood of Flatbush, Brooklyn. This survey conducts a literature review on historic resources located on Block 1360A, Lots 1, 12, 13, 14, 17, 18, and 19. This survey examines the history of early land owners within the neighborhood. This survey concludes that this site is not likely to contain any significant archaeological or historic resources, and does not recommend further archaeological testing.",1990
56,"Archaeological testing associated with the proposed development of a large scale residential complex on Clason's Point, Bronx, New York. No significant archaeological resources identified.",1987
45,"Project on the Campagna Mansion for the Yeshiva of the Telshe Alumni between 249th street and Independence Avenue in Riverdale, Bronx. The report examines the extensive prehistory and history of the area including the 17th century arrival of European settlers and the 19th century annexation to New York City following the rapid population growth brought by the new railroad.  Archaeological testing is recommended to identify, in particular, prehistoric sites and the remains of 19th century dwellings like the Pyne Russell House.",1998
71,"Project in Riverdale, Bronx, between Mosholu Ave, Fieldston Ave, and W. 255th Street. While the presence of a quartz vein in the project area suggests that the site may have been important in the prehistoric period, extensive construction in the 20th century makes it unlikely prehistoric deposits were preserved. Archaeological testing is recommended, though, in those areas for which there is no record of modern construction activity.",1995
82,"Project on the Chapel Farm Estate in Riverdale, Bronx. Report investigates the potential prehistoric quartz quarry and tool production site on the Estate grounds. Included in the report are a detailed comparison of the Chapel Farm site to other prehistoric quarry sites in New England and an in-depth exploration of the geology of the project area. Further archaeological testing is recommended for the site's potential to elucidate previously under explored aspects of prehistoric life and tool production.",1993
16,This report is the fourth volume of a six volume series on excavations carried out on Block 160 (The Courthouse Block). The volume is a catalogue of the artifacts inventoried during excavations carried out at the Five Points Site. The report also gives illustrative details of stratgraphic profiles of site features.,2000
66,"Report assesses the potential for historically significant deposits on North Brother Island located in the Upper East River. Research shows that from 1885-1944, the island was home to Riverside Hospital for patients with contagious diseases whose most infamous patient was  ""Typhoid Mary"" Malone. Archaeological excavations are recommended to explore the island and hospital's early history especially.",1991
30,"Project on the Chapel Farm II site between Fieldston Road, 253 Street, 250 Street and Iselin Avenue in Riverdale, Bronx. This  report, prepared to asses the potential for archaeological sites, summarizes the history and prehistory of this area of Riverdale. The researchers conclude that the project area has a high potential for prehistoric and 19th century sites and archaeological testing is recommended.",1990
70,"Report assessing the potential for a project at the Throgs Neck Houses to yield archaeologically significant material. Located in Castle Hill, Bronx, the project area was once swampy marshland and part of an area of New York City used intensively in prehistory. The relative lack of past development of the lots lead researchers to conclude that the highest area of the site would most likely hold evidence of prehistoric activity. No archaeological testing is recommended, though, as that elevated area would not be disturbed by the proposed extension of the Throgs Neck Houses police station.",1994
68,"Project in Morrisania, Bronx, between  E. 161st Street, Sherman Ave, E. 163rd Street, Grant Ave, and Morris Ave. The report examines the history and prehistory of Morrisania and the construction history of the project area. Based on this examination, researchers identify three blocks within the area that have the potential for archaeologically significant deposits including the former sites of late-19th century homes. Further archaeological testing is recommended for those sites that would be affected by the proposed construction plans, though at the time of publication those plans were not yet available.",1994
209,"The following report is an assessment of archaeological and historical sensitivity of 103-117 Kent Avenue within the Williamsburg neighborhood of Brooklyn. This survey conducts a literary review on prehistoric and historic resources within the project area. This survey determined that there is a low probability for the preservation of evidence for prehistoric occupation at the site. However the site is likely to have remains of early to mid-19th century cistern, well, or privy features and recommends further archaeological testing at the site.",1998
167,"The following report documents the second phase of archaeological testing carried out in the Saratoga Square Urban Renewal Area, located in Bedford Stuyvesant, Brooklyn, New York. This report disseminates information on archaeological excavation carried out on privy, and cistern features located along McDougal, and Sumpter Street. This survey was able to reveal information early settlement and development of landscapes by German immigrants during the mid nineteenth century.",1996
90,"Project at Police Service Area No. 8 in Throgs Neck between Schley Avenue, Buttrick Avenue, Randall Avenue, and Balcolm Avenue. Report examines the project area's potential to yield archaeologically significant deposits. Researchers did not find it likely that the site contained historic deposits but, based on the site's location and environment, there is the potential for prehistoric deposits at deep levels.",2002
188,"The following report is an assessment of archaeological sensitivity in the neighborhood of Fort Greene, Brooklyn, New York. This report disseminates the results of a documentary study of the area of the proposed extension of the Brown Memorial Baptist Church. This survey integrates archival and cartographic information in order to locate and identify prehistoric and historic resources. This survey concludes that the site has a low potential for containing any significant prehistoric resources, while there is a moderate potential for mid 19th century privies at the site.",1991
222,"The following report documents the second phase of a historical sensitivity within the Columbia Heights neighborhood of Brooklyn. This survey conducts an archival review on the history of lots located within the proposed area rezoning for Blocks 203 and 208.  The survey utilizes cartographic and archival information to determine the presence or absence of historic resources within sections of the site. This survey determined that there is a low potential for evidence of prehistoric burials, and a high potential for remnants of historic housing structures. This report recommends further archaeological testing within sections of the project area.",1985
143,"Summary of field investigations at the Meredith Avenue Bus Depot Project site located on Meredith Avenue between West Street and the Arthur Kill. Seven 19th century features found including a domestic refuse deposit. Current project plans will not impact any features, however if plans are altered, Phase II testing is recommended.",2008
55,"Report on the Shorehaven Project located in Clason's Point, Bronx between the East River, Bolton Avenue, Soundview Avenue, Cornell Avenue, and Betts Street. The project area is located nearby several known prehistoric sites and is believed to have been home to the farmstead of Thomas Cornell. The report identifies 6 areas within the site for which archaeological testing is recommended and features a detailed history of each lot within the project area.",1987
233,"The following report is an assessment of archaeological sensitivity in Red Hook neighborhood of Brooklyn. This survey conducts a literature review of historic resources located at the Revere Sugar Site.  The survey utilizes cartographic and published information to determine the presence or absence of historic resources on Blocks 598, 599, 604, 605 and 612. This survey determined that there is a high potential for the preservation of prehistoric artifacts, historic structures (i.e. The Brooklyn Fire Brick Works) and archaeological deposits, such as backyard features, dating to the mid 19th century. This survey thus recommends further archaeological examinations at the site.",1991
214,"The following report is an assessment of archaeological and historical sensitivity of Blocks 2086 and 2087 within the Fort Greene neighborhood of Brooklyn. This survey conducts a literature review on historic resources within the proposed area of the LIU Wellness Center.  The survey utilizes cartographic and archival information to determine the presence or absence of historic resources within sections of the site. This survey determined that there are likely to be remnants of domestic structures, cisterns, wells, and privy features at the site and recommends further archaeological testing.",2003
163,"The following report documents the results of archaeological testing in the neighborhood of Bedford Stuyvesant, Brooklyn, New York. This report disseminates information on the results of archaeological field testing which was carried out in order to locate prehistoric remains, historic privies and cisterns associated with the development of New Brooklyn, an early village developed by German-born entrepreneurs during the 19th century. Excavations along McDougal, Marion, Sumpter, and Thomas Boyland Street were able to reveal evidence of stone privy pits, brick cisterns, and rectangular stone and brick features at the site. In summary this report recommends further excavation, recordation, and recovery of archaeological resources located on McDougal and Sumpter Street.",1993
143,"This report is an evaluation of the potential for archaeological sensitivity within sections of Bushwick, Brooklyn, New York. The survey examines the potential for prehistoric and historic remains at Block 3132. Lots 27-32, located at the junction of Ellery Street & Beaver Street. This survey conducts a brief analysis of documentary evidence and reviews cartographic information about the project area. This report also furnishes information pertaining to the development of the neighborhood during the late 19th century. The survey concludes that the project has a low probability of yielding significant archaeological data, and no testing is recommended.",1997
138,"sets out to evaluate the potential for archaeological sensitivity near Fort Green, Brooklyn, New York. The study was undertaken as part of a proposed application to construct housing on a property encompassing 108-120 Walworth Street, Block 1735, Lot 26. The report consults cartographic information and building department records to acquire information about early history of settlement in the area. This survey reveals information specific to the historic settlement in the area around the mid-19th century and concludes that archaeological features including privies and cistern are probably existent on Lot 26.",2001
182,"The following report details the results of archaeological testing carried out at Cadman Plaza, Brooklyn, New York. This report disseminates the results of archaeological testing carried at the intersection of Pierrepont and Cadman Plaza West. This survey was not able to locate any significant archaeological and historic resources within the project area, and does not recommend further archaeological testing.",1986
