permitnumber,stipulationid,stipulationfulltext,createdon
B162020001A01,CRC001,"APPLICANT SHALL NOT PLACE CONTAINER IN A WAY THAT CONFLICTS WITH OTHER PERMITTED CONSTRUCTION ACTIVITIES ON THE SAME BLOCK. PERMITTEE MAY BE REQUIRED TO REMOVE CONTAINER IMMEDIATELY UPON NOTIFICATION BY NYCDOT OR AUTHORIZED GOVERNMENT EMPLOYEE. CONTAINER SHALL NOT BE STORED OR PLACED WITHIN: (I) ""NO STOPPING"", ""NO STANDING"", ""NO PARKING ANYTIME"" OR ""AUTHORIZED PARKING"" AREAS. ",2020-01-01T05:52:36.000
B022020001A09,NOISE1,"BY SUBMITTING THIS APPLICATION AND/OR RENEWAL REQUEST, THE PERMITTEE CERTIFIES ITS COMPLIANCE WITH ALL APPLICABLE CITYWIDE CONSTRUCTION NOISE MITIGATION REQUIREMENTS INCLUDING, BUT NOT LIMITED TO THE DEVELOPMENT OF A COMPLIANT NOISE MITIGATION OR ALTERNATIVE NOISE MITIGATION PLAN. PLEASE CONTACT THE NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION (WWW.NYC.GOV/HTML/DEP/HTML/NOISE/CONSTRUCTION-NOISE.SHTML) FOR FURTHER INFORMATION.",2020-01-01T07:27:38.000
B022020001A03,TMC001,"CONTRACTORS WHO AT ANY TIME DURING THEIR PERMITTED WORK ENCOUNTER TRAFFIC SURVEILLANCE CAMERAS, DETECTION EQUIP OR ANY TYPE OF COMMUNICATION EQUIPMENT (WIRELESS OR HARD-WIRED) ON ANY NYCDOT FACILITY, THAT IS NOT INCLUDED ON THE DESIGN/BUILD DWGS, SHALL IMMEDIATELY NOTIFY NYCDOT TRAFFIC MANAGEMENT AT TMC@DOT.NYC.GOV & 718-433-3390/40 AND AWAIT DIRECTION PRIOR TO CONTINUING WORK",2020-01-01T00:04:36.000
B022020001A10,NOISE1,"BY SUBMITTING THIS APPLICATION AND/OR RENEWAL REQUEST, THE PERMITTEE CERTIFIES ITS COMPLIANCE WITH ALL APPLICABLE CITYWIDE CONSTRUCTION NOISE MITIGATION REQUIREMENTS INCLUDING, BUT NOT LIMITED TO THE DEVELOPMENT OF A COMPLIANT NOISE MITIGATION OR ALTERNATIVE NOISE MITIGATION PLAN. PLEASE CONTACT THE NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION (WWW.NYC.GOV/HTML/DEP/HTML/NOISE/CONSTRUCTION-NOISE.SHTML) FOR FURTHER INFORMATION.",2020-01-01T07:27:39.000
M032020001A10,008,UTILITY COVER EMBARGO/HOLIDAY EMBARGO 0600-2400 WEEKDAYS/WEEKENDS,2020-01-01T07:25:15.000
B022020001A04,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T00:04:37.000
M032020001A08,005,UTILITY COVER EMBARGO 0700-2000           WEEKDAYS ,2020-01-01T07:25:12.000
B022020001A02,107,"LOADING AND UNLOADING, STANDING OR PARKING IN A LANE ADJACENT TO THE WORK ZONE IN THE ROADWAY IS PROHIBITED. THIS APPLIES TO PERMITTEES AND ALL OF THEIR SUBCONTRACTORS. ",2020-01-01T00:04:36.000
M032020001A02,008,UTILITY COVER EMBARGO/HOLIDAY EMBARGO 0600-2400 WEEKDAYS/WEEKENDS,2020-01-01T01:52:39.000
B022020001A03,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T00:04:36.000
B162020001A04,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:37.000
B022020001A07,107,"LOADING AND UNLOADING, STANDING OR PARKING IN A LANE ADJACENT TO THE WORK ZONE IN THE ROADWAY IS PROHIBITED. THIS APPLIES TO PERMITTEES AND ALL OF THEIR SUBCONTRACTORS. ",2020-01-01T00:04:38.000
B022020001A05,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T00:04:37.000
M032020001A01,008,UTILITY COVER EMBARGO/HOLIDAY EMBARGO 0600-2400 WEEKDAYS/WEEKENDS,2020-01-01T01:35:38.000
B022020001A02,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T00:04:36.000
B022020001A07,038,"ALL TEMPORARY TRAFFIC CONTROL DEVICES, INCLUDING BUT NOT LIMITED TO SIGNS, CHANNELIZING DEVICES, FENCING AND MARKINGS SHALL BE PROVIDED, INSTALLED, MAINTAINED AND REMOVED BY THE PERMITTEE IN ACCORDANCE WITH THE MOST RECENT VERSION OF PART 6 OF THE MANUAL ON UNIFORM TRAFFIC CONTROL DEVICES FOR STREETS AND HIGHWAYS (MUTCD). OBTAIN THE MUTCD AT HTTP://MUTCD.FHWA.DOT.GOV . ",2020-01-01T00:04:38.000
B162020001A00,CRC001,"APPLICANT SHALL NOT PLACE CONTAINER IN A WAY THAT CONFLICTS WITH OTHER PERMITTED CONSTRUCTION ACTIVITIES ON THE SAME BLOCK. PERMITTEE MAY BE REQUIRED TO REMOVE CONTAINER IMMEDIATELY UPON NOTIFICATION BY NYCDOT OR AUTHORIZED GOVERNMENT EMPLOYEE. CONTAINER SHALL NOT BE STORED OR PLACED WITHIN: (I) ""NO STOPPING"", ""NO STANDING"", ""NO PARKING ANYTIME"" OR ""AUTHORIZED PARKING"" AREAS. ",2020-01-01T05:52:35.000
B022020001A01,ODV,ALL OVERDIMENSIONAL  CRANE/TRAILERS REQUIRE AN ADDITIONAL PERMIT FROM THE NEW YORK CITY DEPARTMENT OF TRANSPORTATION DIVISION OF BRIDGES. ALL PERMITS MUST BE ON SITE. ,2020-01-01T00:04:35.000
B162020001A05,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:37.000
B022020001A11,103,PARKING OF NON-COMMERCIAL VEHICLES ON THE STREET (ROADWAY AND SIDEWALK) WITHIN WORK ZONES IS PROHIBITED. ,2020-01-01T07:27:39.000
X162020001A00,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:40.000
M032020001A01,BIKESH,"A BIKE SHARE STATION IS/WILL BE LOCATED ON THIS STREET. PERMITTEE SHALL NOT MOVE, DAMAGE OR DISRUPT THE OPERATION OF THE STATION. IF WORK IMPACTS THE STATION, THE PERMITTEE MUST CONTACT NYC BIKE SHARE AT 855-245-3311 FOR THEIR REQUIREMENTS PRIOR TO WORK. THE PERMITTEE MAY BE REQUIRED TO PAY STATION DEACTIVIATION AND/OR REMOVAL CHARGES. ",2020-01-01T01:35:38.000
M032020001A09,008,UTILITY COVER EMBARGO/HOLIDAY EMBARGO 0600-2400 WEEKDAYS/WEEKENDS,2020-01-01T07:25:14.000
B022020001A05,107,"LOADING AND UNLOADING, STANDING OR PARKING IN A LANE ADJACENT TO THE WORK ZONE IN THE ROADWAY IS PROHIBITED. THIS APPLIES TO PERMITTEES AND ALL OF THEIR SUBCONTRACTORS. ",2020-01-01T00:04:37.000
M192020001A00,038,"ALL TEMPORARY TRAFFIC CONTROL DEVICES, INCLUDING BUT NOT LIMITED TO SIGNS, CHANNELIZING DEVICES, FENCING AND MARKINGS SHALL BE PROVIDED, INSTALLED, MAINTAINED AND REMOVED BY THE PERMITTEE IN ACCORDANCE WITH THE MOST RECENT VERSION OF PART 6 OF THE MANUAL ON UNIFORM TRAFFIC CONTROL DEVICES FOR STREETS AND HIGHWAYS (MUTCD). OBTAIN THE MUTCD AT HTTP://MUTCD.FHWA.DOT.GOV . ",2020-01-01T01:55:03.000
Q162020001A00,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:41.000
B022020001A04,013,MAINTAIN A MINIMUM 5 FOOT CLEAR PEDESTRIAN WALK ON THE SIDEWALK,2020-01-01T00:04:37.000
B022020001A02,039,OCCUPY 8 FOOT WIDTH OF ROADWAY ADJACENT TO CURB ,2020-01-01T00:04:36.000
Q162020001A00,CRC001,"APPLICANT SHALL NOT PLACE CONTAINER IN A WAY THAT CONFLICTS WITH OTHER PERMITTED CONSTRUCTION ACTIVITIES ON THE SAME BLOCK. PERMITTEE MAY BE REQUIRED TO REMOVE CONTAINER IMMEDIATELY UPON NOTIFICATION BY NYCDOT OR AUTHORIZED GOVERNMENT EMPLOYEE. CONTAINER SHALL NOT BE STORED OR PLACED WITHIN: (I) ""NO STOPPING"", ""NO STANDING"", ""NO PARKING ANYTIME"" OR ""AUTHORIZED PARKING"" AREAS. ",2020-01-01T05:52:41.000
Q162020001A01,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:41.000
B022020001A04,SCHOOL,NO WORK TO BE PERFORMED WITHIN BLOCK FRONTING SCHOOL INCLUDING INTERSECTIONS FOR ONE HOUR PRIOR TO SCHOOL START TIME THROUGH ONE HOUR AFTER END OF SCHOOL TIME. PERMITTEE MUST NOTIFY SCHOOL PRINCIPAL IN WRITING 48 HOURS PRIOR TO BEGINNING ANY WORK. THIS STIP VOIDS ANY/ ALL OTHER CONFLICTING STIPS ON THIS PERMIT UNLESS ACCOMPANIED WITH VARIANCE STIP VAR001.,2020-01-01T00:04:37.000
B022020001A10,HIQA01,THIS PERMIT ONLY ALLOWS FOR THE CLOSURE OF A ROADWAY OR SIDEWALK AS STIPULATED. ANY STORAGE OF MATERIAL OR STORAGE OF EQUIPMENT REQUIRES A SEPARATE PERMIT. ,2020-01-01T07:27:39.000
B022020001A00,NOISE1,"BY SUBMITTING THIS APPLICATION AND/OR RENEWAL REQUEST, THE PERMITTEE CERTIFIES ITS COMPLIANCE WITH ALL APPLICABLE CITYWIDE CONSTRUCTION NOISE MITIGATION REQUIREMENTS INCLUDING, BUT NOT LIMITED TO THE DEVELOPMENT OF A COMPLIANT NOISE MITIGATION OR ALTERNATIVE NOISE MITIGATION PLAN. PLEASE CONTACT THE NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION (WWW.NYC.GOV/HTML/DEP/HTML/NOISE/CONSTRUCTION-NOISE.SHTML) FOR FURTHER INFORMATION.",2020-01-01T00:04:35.000
M162020001A00,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:38.000
Q162020001A01,CRC001,"APPLICANT SHALL NOT PLACE CONTAINER IN A WAY THAT CONFLICTS WITH OTHER PERMITTED CONSTRUCTION ACTIVITIES ON THE SAME BLOCK. PERMITTEE MAY BE REQUIRED TO REMOVE CONTAINER IMMEDIATELY UPON NOTIFICATION BY NYCDOT OR AUTHORIZED GOVERNMENT EMPLOYEE. CONTAINER SHALL NOT BE STORED OR PLACED WITHIN: (I) ""NO STOPPING"", ""NO STANDING"", ""NO PARKING ANYTIME"" OR ""AUTHORIZED PARKING"" AREAS. ",2020-01-01T05:52:41.000
M022020003F20,103,PARKING OF NON-COMMERCIAL VEHICLES ON THE STREET (ROADWAY AND SIDEWALK) WITHIN WORK ZONES IS PROHIBITED. ,2020-01-03T15:27:37.000
M192020001A00,SES064,WORK EMBARGO: 3/14/20 12:01am to 3/17/20 11:59pm for 2020 Embargo St Patrick's Day Parade Full street closure. *NYC DOT REQUIRES FULL RESTORATION OF ROADWAY AND/OR SIDEWALK FOR PUBLIC USE AS IT RELATES TO THE EVENT. PLEASE CONTACT DOT SPECIAL EVENTS (SPECIALEVENTS@DOT.NYC.GOV) FOR FURTHER INFORMATION,2020-01-01T01:55:03.000
M162020001A01,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:38.000
B022020001A11,TMC001,"CONTRACTORS WHO AT ANY TIME DURING THEIR PERMITTED WORK ENCOUNTER TRAFFIC SURVEILLANCE CAMERAS, DETECTION EQUIP OR ANY TYPE OF COMMUNICATION EQUIPMENT (WIRELESS OR HARD-WIRED) ON ANY NYCDOT FACILITY, THAT IS NOT INCLUDED ON THE DESIGN/BUILD DWGS, SHALL IMMEDIATELY NOTIFY NYCDOT TRAFFIC MANAGEMENT AT TMC@DOT.NYC.GOV & 718-433-3390/40 AND AWAIT DIRECTION PRIOR TO CONTINUING WORK",2020-01-01T07:27:39.000
B022020001A02,TMC001,"CONTRACTORS WHO AT ANY TIME DURING THEIR PERMITTED WORK ENCOUNTER TRAFFIC SURVEILLANCE CAMERAS, DETECTION EQUIP OR ANY TYPE OF COMMUNICATION EQUIPMENT (WIRELESS OR HARD-WIRED) ON ANY NYCDOT FACILITY, THAT IS NOT INCLUDED ON THE DESIGN/BUILD DWGS, SHALL IMMEDIATELY NOTIFY NYCDOT TRAFFIC MANAGEMENT AT TMC@DOT.NYC.GOV & 718-433-3390/40 AND AWAIT DIRECTION PRIOR TO CONTINUING WORK",2020-01-01T00:04:36.000
B022020001A06,016,FULL WIDTH OF SIDEWALK SHALL BE OPENED TO PEDESTRIANS WHEN SITE IS UNATTENDED EXCEPT FOR CONCRETE CURING WHEN THAT PORTION OF THE SIDEWALK MAY REMAIN CLOSED PROVIDED ALL OTHER STIPULATIONS ON THIS PERMIT ARE COMPLIED WITH. THIS EXCEPTION DOES NOT APPLY IF STIPULATION 014 IS ALSO APPLIED TO THIS PERMIT. ,2020-01-01T00:04:38.000
B022020001A11,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T07:27:39.000
B022020001A07,NOISE1,"BY SUBMITTING THIS APPLICATION AND/OR RENEWAL REQUEST, THE PERMITTEE CERTIFIES ITS COMPLIANCE WITH ALL APPLICABLE CITYWIDE CONSTRUCTION NOISE MITIGATION REQUIREMENTS INCLUDING, BUT NOT LIMITED TO THE DEVELOPMENT OF A COMPLIANT NOISE MITIGATION OR ALTERNATIVE NOISE MITIGATION PLAN. PLEASE CONTACT THE NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION (WWW.NYC.GOV/HTML/DEP/HTML/NOISE/CONSTRUCTION-NOISE.SHTML) FOR FURTHER INFORMATION.",2020-01-01T00:04:38.000
B022020001A11,NOISE1,"BY SUBMITTING THIS APPLICATION AND/OR RENEWAL REQUEST, THE PERMITTEE CERTIFIES ITS COMPLIANCE WITH ALL APPLICABLE CITYWIDE CONSTRUCTION NOISE MITIGATION REQUIREMENTS INCLUDING, BUT NOT LIMITED TO THE DEVELOPMENT OF A COMPLIANT NOISE MITIGATION OR ALTERNATIVE NOISE MITIGATION PLAN. PLEASE CONTACT THE NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION (WWW.NYC.GOV/HTML/DEP/HTML/NOISE/CONSTRUCTION-NOISE.SHTML) FOR FURTHER INFORMATION.",2020-01-01T07:27:39.000
B022020001A02,NOISE1,"BY SUBMITTING THIS APPLICATION AND/OR RENEWAL REQUEST, THE PERMITTEE CERTIFIES ITS COMPLIANCE WITH ALL APPLICABLE CITYWIDE CONSTRUCTION NOISE MITIGATION REQUIREMENTS INCLUDING, BUT NOT LIMITED TO THE DEVELOPMENT OF A COMPLIANT NOISE MITIGATION OR ALTERNATIVE NOISE MITIGATION PLAN. PLEASE CONTACT THE NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION (WWW.NYC.GOV/HTML/DEP/HTML/NOISE/CONSTRUCTION-NOISE.SHTML) FOR FURTHER INFORMATION.",2020-01-01T00:04:36.000
B022020001A03,103,PARKING OF NON-COMMERCIAL VEHICLES ON THE STREET (ROADWAY AND SIDEWALK) WITHIN WORK ZONES IS PROHIBITED. ,2020-01-01T00:04:36.000
B022020001A32,019,"WORK 7AM - 6PM, MONDAY THROUGH FRIDAY ",2020-01-01T11:33:09.000
B022020001A10,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T07:27:39.000
B012020003E62,107,"LOADING AND UNLOADING, STANDING OR PARKING IN A LANE ADJACENT TO THE WORK ZONE IN THE ROADWAY IS PROHIBITED. THIS APPLIES TO PERMITTEES AND ALL OF THEIR SUBCONTRACTORS. ",2020-01-03T15:07:11.000
B162020001A04,CRC001,"APPLICANT SHALL NOT PLACE CONTAINER IN A WAY THAT CONFLICTS WITH OTHER PERMITTED CONSTRUCTION ACTIVITIES ON THE SAME BLOCK. PERMITTEE MAY BE REQUIRED TO REMOVE CONTAINER IMMEDIATELY UPON NOTIFICATION BY NYCDOT OR AUTHORIZED GOVERNMENT EMPLOYEE. CONTAINER SHALL NOT BE STORED OR PLACED WITHIN: (I) ""NO STOPPING"", ""NO STANDING"", ""NO PARKING ANYTIME"" OR ""AUTHORIZED PARKING"" AREAS. ",2020-01-01T05:52:37.000
B022020001A09,038,"ALL TEMPORARY TRAFFIC CONTROL DEVICES, INCLUDING BUT NOT LIMITED TO SIGNS, CHANNELIZING DEVICES, FENCING AND MARKINGS SHALL BE PROVIDED, INSTALLED, MAINTAINED AND REMOVED BY THE PERMITTEE IN ACCORDANCE WITH THE MOST RECENT VERSION OF PART 6 OF THE MANUAL ON UNIFORM TRAFFIC CONTROL DEVICES FOR STREETS AND HIGHWAYS (MUTCD). OBTAIN THE MUTCD AT HTTP://MUTCD.FHWA.DOT.GOV . ",2020-01-01T07:27:38.000
B162020001A00,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:35.000
B022020001A06,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T00:04:38.000
B022020001A08,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T00:04:39.000
B022020001A07,SCHOOL,NO WORK TO BE PERFORMED WITHIN BLOCK FRONTING SCHOOL INCLUDING INTERSECTIONS FOR ONE HOUR PRIOR TO SCHOOL START TIME THROUGH ONE HOUR AFTER END OF SCHOOL TIME. PERMITTEE MUST NOTIFY SCHOOL PRINCIPAL IN WRITING 48 HOURS PRIOR TO BEGINNING ANY WORK. THIS STIP VOIDS ANY/ ALL OTHER CONFLICTING STIPS ON THIS PERMIT UNLESS ACCOMPANIED WITH VARIANCE STIP VAR001.,2020-01-01T00:04:38.000
B022020001A01,107,"LOADING AND UNLOADING, STANDING OR PARKING IN A LANE ADJACENT TO THE WORK ZONE IN THE ROADWAY IS PROHIBITED. THIS APPLIES TO PERMITTEES AND ALL OF THEIR SUBCONTRACTORS. ",2020-01-01T00:04:35.000
M192020001A00,SCHOOL,NO WORK TO BE PERFORMED WITHIN BLOCK FRONTING SCHOOL INCLUDING INTERSECTIONS FOR ONE HOUR PRIOR TO SCHOOL START TIME THROUGH ONE HOUR AFTER END OF SCHOOL TIME. PERMITTEE MUST NOTIFY SCHOOL PRINCIPAL IN WRITING 48 HOURS PRIOR TO BEGINNING ANY WORK. THIS STIP VOIDS ANY/ ALL OTHER CONFLICTING STIPS ON THIS PERMIT UNLESS ACCOMPANIED WITH VARIANCE STIP VAR001.,2020-01-01T01:55:03.000
B022020001A10,066,"DO NOT PLACE MATERIALS, TRAILERS,CRANES, CONTAINERS, OR EQUIPMENT IN FRONT OF DRIVEWAYS, BUS STOPS, WITHIN FIFTEEN FEET OF A FIRE HYDRANT, IN AUTHORIZED PARKING ZONES OR BLOCKING ACCESS TO DEP WATER TESTING BOXES. IF WORK IS DIRECTLY IN ABOVE AREAS, MAY BE IN VICINITY DURING STIPULATED WORK HOURS BUT NOT WHEN SITE IS UNATTENDED. ",2020-01-01T07:27:39.000
M032020001A06,001,UTILITY COVER EMBARGO 1600-2000           WEEKDAYS ,2020-01-01T07:25:10.000
M032020001A00,008,UTILITY COVER EMBARGO/HOLIDAY EMBARGO 0600-2400 WEEKDAYS/WEEKENDS,2020-01-01T01:35:36.000
M192020001A00,SET436,WORK EMBARGO: 6/12/20 12:01am to 6/14/20 11:5pm for 2020 Embargo Puerto Rican Day Parade . Full street closure. *NYC DOT REQUIRES FULL RESTORATION OF ROADWAY AND/OR SIDEWALK FOR PUBLIC USE AS IT RELATES TO THE EVENT. PLEASE CONTACT DOT SPECIAL EVENTS (SPECIALEVENTS@DOT.NYC.GOV) FOR FURTHER INFORMATION,2020-01-01T01:55:03.000
B022020001A09,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T07:27:38.000
B022020001A06,013,MAINTAIN A MINIMUM 5 FOOT CLEAR PEDESTRIAN WALK ON THE SIDEWALK,2020-01-01T00:04:38.000
M032020001A08,001,UTILITY COVER EMBARGO 1600-2000           WEEKDAYS ,2020-01-01T07:25:12.000
M032020001A10,001,UTILITY COVER EMBARGO 1600-2000           WEEKDAYS ,2020-01-01T07:25:15.000
B022020001A04,103,PARKING OF NON-COMMERCIAL VEHICLES ON THE STREET (ROADWAY AND SIDEWALK) WITHIN WORK ZONES IS PROHIBITED. ,2020-01-01T00:04:37.000
B022020001A04,NOISE1,"BY SUBMITTING THIS APPLICATION AND/OR RENEWAL REQUEST, THE PERMITTEE CERTIFIES ITS COMPLIANCE WITH ALL APPLICABLE CITYWIDE CONSTRUCTION NOISE MITIGATION REQUIREMENTS INCLUDING, BUT NOT LIMITED TO THE DEVELOPMENT OF A COMPLIANT NOISE MITIGATION OR ALTERNATIVE NOISE MITIGATION PLAN. PLEASE CONTACT THE NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION (WWW.NYC.GOV/HTML/DEP/HTML/NOISE/CONSTRUCTION-NOISE.SHTML) FOR FURTHER INFORMATION.",2020-01-01T00:04:37.000
B022020001A10,038,"ALL TEMPORARY TRAFFIC CONTROL DEVICES, INCLUDING BUT NOT LIMITED TO SIGNS, CHANNELIZING DEVICES, FENCING AND MARKINGS SHALL BE PROVIDED, INSTALLED, MAINTAINED AND REMOVED BY THE PERMITTEE IN ACCORDANCE WITH THE MOST RECENT VERSION OF PART 6 OF THE MANUAL ON UNIFORM TRAFFIC CONTROL DEVICES FOR STREETS AND HIGHWAYS (MUTCD). OBTAIN THE MUTCD AT HTTP://MUTCD.FHWA.DOT.GOV . ",2020-01-01T07:27:39.000
B022020001A03,107,"LOADING AND UNLOADING, STANDING OR PARKING IN A LANE ADJACENT TO THE WORK ZONE IN THE ROADWAY IS PROHIBITED. THIS APPLIES TO PERMITTEES AND ALL OF THEIR SUBCONTRACTORS. ",2020-01-01T00:04:36.000
B022020001A00,066,"DO NOT PLACE MATERIALS, TRAILERS,CRANES, CONTAINERS, OR EQUIPMENT IN FRONT OF DRIVEWAYS, BUS STOPS, WITHIN FIFTEEN FEET OF A FIRE HYDRANT, IN AUTHORIZED PARKING ZONES OR BLOCKING ACCESS TO DEP WATER TESTING BOXES. IF WORK IS DIRECTLY IN ABOVE AREAS, MAY BE IN VICINITY DURING STIPULATED WORK HOURS BUT NOT WHEN SITE IS UNATTENDED. ",2020-01-01T00:04:35.000
