get_help_by_email,how_to_apply_or_enroll_online,program_name,get_help_in_person,heads_up,page_type,apply_online_call_to_action
,,"Special Supplemental Nutrition Program for Women, Infants, and Children","<p>     <strong>Visit a WIC office</strong> </p> <p>     Find a <a href=""https://access.nyc.gov/locations/?programs=6888"" target=""_blank"">WIC office</a> near you to get help in person. </p>","<ul>     <li>You do not need to be a US citizen to receive WIC     </li>     <li>Requires proof of identity, income, and address     </li>     <li>If you already receive SNAP, Medicaid, or TANF benefits you may be eligible for WIC     </li>     <li>Each person applying for WIC must be present at the local agency at the time of certification     </li>     <li>The <a href=""http://www.health.ny.gov/publications/3791.pdf"" target=""_blank"">NYS WIC Acceptable Foods Guide</a> has the list of food you can purchase using WIC     </li> </ul>",Benefit,
,,NYC Nurse-Family Partnership,,"<ul>     <li>You can receive services no matter your age or immigration status     </li>     <li>You can join NFP early in your pregnancy, but no later than your 28th week     </li>     <li>All services are provided at no cost to the client     </li> </ul>",Program,
,,Children with Special Health Care Needs,,,Service,
,"<ul>     <li>Apply to <a href=""https://application.nycsyep.com/"" target=""_blank"">Ladders for Leaders online</a> now.     </li>     <li>The application for Ladders for Leaders will only be available during the application period.     </li> </ul>",NYC Ladders for Leaders,,"<ul>     <li>The application is open now     </li>     <li>Internships usually start the first week in July. Work a minimum of 25 hours per week for a minimum of 6 weeks     </li>     <li>If under the age of 18, you must have working papers to participate     </li> </ul>",Program,Apply
"<p>     <strong>Email Workforce1</strong> </p> <p>     <a href=""http://www.nyc.gov/html/sbs/wf1/html/contact/contact_form.shtml"" target=""_blank"">Email</a> your questions or if you need more information about Workforce1. </p>","<ol>     <li>Fill out a quick form <a href=""http://www.nyc.gov/html/sbs/wf1/html/register/register_now.shtml"" target=""_blank"">online</a> to register.     </li>     <li>Get access to our job opportunities, recruitment events, workshops, training opportunities, and other services \u2013 all for free!     </li> </ol>",Workforce1,"<p>     <strong>Visit a Workforce1 Career Center</strong> </p> <p>     Find a <a href=""https://maps.nyc.gov/sbs"" target=""_blank"">Workforce1 Career Center</a> near you. </p>","<ul>     <li>Job matching, training opportunities and internship programs are available.     </li>     <li>All Workforce1 Career Center services are free.     </li> </ul>",Service,Apply online
,"<p>     YouthHealth clinics are located across NYC. Use the <a href=""http://www.nycyouthhealth.org/html/find-youth-services.shtml"" target=""_blank""><u>location finder</u></a> to find a clinic close to you and call to make an appointment. </p>",NYC YouthHealth,"<p>     <strong>Visit a YouthHealth clinic</strong> </p> <p>     Find a <a href=""http://www.nycyouthhealth.org/html/find-youth-services.shtml"" target=""_blank""><u>YouthHealth clinic near you</u></a> to get help in person. </p>","<ul>     <li>All sexual and reproductive services are private. Staff will not speak to anyone about them, not even your parents or guardians, without your permission     </li>     <li>You do not need an appointment for emergency contraception, pregnancy testing, or STI/D testing - you can just walk into clinics     </li> </ul>",Service,Find a YouthHealth Clinic
,<p>     The City can help you find a website where you can file your taxes for free. </p>,NYC Free Tax Prep,"<p>     <strong>Visit a tax prep location</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6909"" target=""_blank"">tax prep location</a> to get help filing your taxes in person. </p>","<ul>     <li>File your taxes by April 17, 2018     </li>     <li>File in person or online     </li>     <li>Free Tax Prep sites are open year-round to assist you     </li>     <li>If you qualify for tax credits such as EITC, Child Tax Credit, or Child and Dependent Tax Credit you can claim them when you file     </li>     <li>If you get a refund, the IRS mails your refund or deposits it into your bank account     </li>     <li>If you file in person, some sites let you drop off your tax documents and pick up the completed return later     </li> </ul>",Service,File online
,,EarlyLearn NYC Head Start,"<p>     <strong>Visit a center</strong> </p> <p>     Visit an <a href=""https://access.nyc.gov/locations/?programs=6867"" target=""_blank"">EarlyLearn center</a> near you to get help in person.<br> </p>","<ul>     <li>Care is only available at centers     </li>     <li>If you are receiving Cash Assistance and in an HRA-approved work, education, or training activity you are probably eligible     </li>     <li>Pre-K is offered to all four year olds in partnership with the NYC Department of Education     </li>     <li>Services are available for children with special needs     </li> </ul>",Service,
,"<p>     If you, or someone you know needs help, you can use the online referral system. All referrals will be processed the next business day, APS is not open on weekends. </p> <p>     You can also submit a referral by <a href=""mailto:APSrefer.nyc.gov"">emailing APS</a>.<br> </p>",Adult Protective Services,,"<ul>     <li>New Yorkers over 18 can get help regardless their income     </li>     <li>Referrals can be made online, by email, or by phone (Monday - Friday, 9:00 a.m - 5:00 p.m)     </li>     <li>Referrals received after 5:00pm or during the weekend will be processed the next business day     </li>     <li>Call 911 if there is an emergency or life threatening situation and a person needs immediate help     </li> </ul>",Service,Refer someone online
,,Reproductive Health Care,"<p>     <strong>Visit a health care center</strong> </p> <p>     Find a <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>health care location</u></a> near you to get help in person. </p>","<ul>     <li>Care is provided to all women, regardless of your ability to pay     </li>     <li>NYC Health + Hospitals can help you find insurance if you need it     </li>     <li>Information about your immigration status is kept private     </li>     <li>Translation and interpretative services are available in 190 languages     </li>     <li>Youth twelve and older can get private sexual and reproductive services at <a href=""http://nycyouthhealth.org/"" target=""_blank""><u>YouthHealth Centers</u></a>     </li> </ul>",Service,
"<p>     <strong>Email FPBP</strong> </p> <p>     <a href=""mailto:Medicaid.state.ny.us"">Email FPBP</a> if you have questions about applying. </p>",,Family Planning Benefit Program,"<p>     <strong>Visit a FPBP provider</strong> </p> <p>     Visit a <a href=""https://www.health.ny.gov/community/pregnancy/family_planning/program_sites.htm"" target=""_blank"">FPBP provider</a> to get help in person. </p>","<ul>     <li>When you visit a provider for family planning help, you can ask to keep the session private     </li>     <li>People who don\u2019t have insurance, have private insurance, or are enrolled in Child Health Plus can apply     </li>     <li>Financial resources (like bank statements) are not needed to determine eligibility     </li>     <li>People who have Medicaid are not eligible     </li>     <li>Undocumented immigrants and people on short-term visas who are not in the process of applying for permanent status are not eligible     </li> </ul>",Program,
"<p>     <strong>Email IDNYC</strong> </p> <p>     <a href=""http://www1.nyc.gov/site/idnyc/contact/feedback.page"" target=""_blank"">Email IDNYC</a> to get your questions answered. </p>","<p>     You can <a href=""http://www1.nyc.gov/site/idnyc/card/start-your-application.page"" target=""_blank"">submit your application online</a> before going to an enrollment center. To do so: </p> <ol>     <li>Go to the <a href=""https://a069-idnyconlineportal.nyc.gov/IOPWeb/#/EN/NewApplication"" target=""_blank"">IDNYC website</a>.     </li>     <li>Select the language you prefer to use.     </li>     <li>Read application instructions including eligibility and document requirements.     </li>     <li>Fill out the electronic application.     </li>     <li>Select the documents you are going to bring to the enrollment center for your appointment.     </li>     <li>Schedule an appointment for an enrollment center.     </li>     <li>Look over the information you entered and provide an electronic signature.     </li>     <li>Print out your application receipt and make sure you bring it to your appointment.     </li> </ol>",IDNYC,"<p>     <strong>Visit an IDNYC center</strong> </p> <p>     Find an <a href=""https://access.nyc.gov/locations/?programs=6872"" target=""_blank"">IDNYC enrollment center</a> near you to get help in person. </p>","<ul>     <li>All New Yorkers 10 and older, regardless of immigration status, can apply for an IDNYC card.     </li>     <li>Requires proof of identity and where you live     </li>     <li>Find an <a href=""http://www1.nyc.gov/site/idnyc/card/locations.page"" target=""_blank"">an enrollment center</a> near you to apply in person     </li>     <li>Applicants 14 and older can <a href=""http://www1.nyc.gov/site/idnyc/card/start-your-application.page"" target=""_blank"">submit applications online</a> before going to an enrollment center     </li>     <li>You can apply for an IDNYC card even if you are homeless     </li>     <li>IDNYC cardholders are now able to pay the fee to replace a lost or stolen card online via the IDNYC <a href=""https://a069-idnyconlineportal.nyc.gov/IOPWeb/#/EN/Dashboard"" target=""_blank"">Online Portal</a>. Cardholders can start the replacement card application online in the \u201cReplace Your Card\u201d option, pay the $10 fee, and complete the process at any IDNYC enrollment center or pop-up     </li>     <li>Cardholders who are 10-13 years old may pay the fee to replace a lost stolen card at an IDNYC Department of Finance Enrollment Center     </li>     <li>IDNYC has launched new partnerships with <a href=""http://www1.nyc.gov/site/idnyc/benefits/latest-idnyc-benefits.page"" target=""_blank"">entertainment and cultural institutions</a> that are fun for the whole family     </li> </ul>",Program,Submit your application online
"<p>     <strong>Email Pre-K admissions</strong> </p> <p>     Email <a href=""mailto:ESEnrollment.nyc.gov"">Pre-K admissions</a> if you have questions about getting into Pre-K. </p>","<ol>     <li>Use <a href=""https://maps.nyc.gov/upk/"" target=""_blank"">Pre-K Finder</a> to look at different programs before applying. Type in your address to see programs near you.     </li>     <li>Apply for the program(s) of your choice.     </li> </ol>",Pre-K for All,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank"">Family Welcome Center</a> to learn more about Pre-K programs. </p>","<ul>     <li>Applications for the 2018 - 2019 school year open on February 5, 2018     </li>     <li>Requires proof of address and child\u2019s age     </li>     <li>Apply online, by phone, or in person     </li>     <li>Available for students with disabilities and students learning English     </li> </ul>",Program,Apply online
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website.     </li>     <li>Select ""afterschool programs"" in the category field.     </li>     <li>Enter your borough and neighborhood, or zip code to begin searching.     </li> </ol>",Comprehensive After School System of NYC,<p>     <strong>Visit your child\u2019s school</strong> </p> <p>     Speak with an afterschool program staff at your child\u2019s school for more information. </p>,"<ul>     <li>Programs are offered to young people for free     </li>     <li>Programs are three hours each day, five days per week, including on school holidays     </li> </ul>",Program,Search online
,,"Special Supplemental Nutrition Program for Women, Infants, and Children","<p>     <strong>Visit a WIC office</strong> </p> <p>     Find a <a href=""https://access.nyc.gov/locations/?programs=6888"" target=""_blank"">WIC office</a> near you to get help in person. </p>","<ul>     <li>You do not need to be a US citizen to receive WIC     </li>     <li>Requires proof of identity, income, and address     </li>     <li>If you already receive SNAP, Medicaid, or TANF benefits you may be eligible for WIC     </li>     <li>Each person applying for WIC must be present at the local agency at the time of certification     </li>     <li>The <a href=""http://www.health.ny.gov/publications/3791.pdf"" target=""_blank"">NYS WIC Acceptable Foods Guide</a> has the list of food you can purchase using WIC     </li> </ul>",Benefit,
,"<ol>     <li>Go to <a href=""https://a069-access.nyc.gov/ACCESSNYC/application.do"" target=""_blank"">ACCESS HRA</a>.     </li>     <li>Create an ACCESS HRA account or log in to an existing one.     </li>     <li>Fill out the SNAP application and submit it.     </li>     <li>Send your documents to HRA in one of the following ways.         <ol>             <li>Scan your documents using the NYC HRA Document Upload app available for free on the <a href=""https://appsto.re/us/9s9N_.i"" target=""_blank"">iTunes Store</a> (for iPhones) or the <a href=""https://play.google.com/store/apps/details?id=gov.nyc.hra.DocUploads"" target=""_blank"">GooglePlay Store</a> (for Android phones).             </li>             <li>Mail copies of your documents to: PO Box 29008, Brooklyn, NY, 11202-9816.             </li>             <li>Take your documents to your local <a href=""https://access.nyc.gov/wp-content/uploads/2017/12/FIA-1138_CBOlist.pdf"" target=""_blank"">Community Based Organizations (CBOs)</a> to submit to HRA.             </li>         </ol>     </li>     <li>After you submit your application, you will be contacted to do an eligibility interview. You can do your interview over the telephone without having to come into a SNAP center.<br>     </li>     <li>You can check the status of your application by going to <a href=""https://a069-access.nyc.gov/ACCESSNYC/application.do"" target=""_blank"">ACCESS HRA</a>.     </li>     <li>You will need to recertify for SNAP once every year. The SNAP office will mail you a recertification packet for you to complete and mail back to HRA or recertify online on ACCESS HRA. Once you submit your recertification, you will be able to set up your preferred interview date and time by calling the On Demand interview phone line at <a href=""tel:718-762-7669"">718-SNAP-Now</a> (<a href=""tel:718-762-7669"">718-762-7669</a>).     </li> </ol>",Supplemental Nutrition Assistance Program,"<p>     <strong>Visit a SNAP Center or Community Organization</strong> </p> <p>     Find a <a href=""https://access.nyc.gov/locations/?programs=6887"" target=""_blank"">SNAP center</a> near you. </p> <p>     Find your <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/CBO_EASE_SITES.pdf"" target=""_blank"">local community-based organization</a>. </p>","<ul>     <li>If you are eligible, you will receive your benefits within 30 days     </li>     <li>You must be a US citizen or have satisfactory immigration status to receive SNAP; a worker will help you determine your status when you apply     </li>     <li>Requires proof of identity, where you live, and income     </li>     <li>You can allow someone who knows your household situation apply for you     </li>     <li>Apply online, in person, by fax, or by mail     </li>     <li>You will have to complete an interview after you submit your application     </li>     <li>SNAP recipients in New York City ages 16 and over are eligible for discounted Citi Bike memberships. For $5 per month, you'll get unlimited 45-minute rides and access to thousands of bikes across Manhattan, Brooklyn, Queens and Jersey City. <a href=""https://try.citibikenyc.com/snap-nyc/"" target=""_blank"">Enter your EBT card number to verify your eligibility</a>.     </li> </ul>",Benefit,Apply online
,,Senior Employment Services,"<p>     <strong>Visit the office</strong> </p> <p>     Senior Employment Services<br>     2 Lafayette St., 6th Flr.<br>     New York, NY 10007 </p>","<ul>     <li>If you are eligible for SES, there are job placements citywide     </li>     <li>Requires proof of identity, income, where you live, and eligibility to work     </li>     <li>Apply in person or by mail     </li> </ul>",Program,
"<p>     <strong>Email your question</strong><br>     <br>     Email <a href=""mailto:HS_Enrollment.nyc.gov""><u>the Office of School Enrollment</u></a> if you have questions about CTE. </p>","<p>     To apply for admission to CTE at a public high school: </p> <ol>     <li>Get a paper application from your middle school guidance counselor or at a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank""><u>Family Welcome Center</u></a>.     </li>     <li>Use the <a href=""http://schoolfinder.nyc.gov/"" target=""_blank""><u>NYC School Finder</u></a> to find high schools based on where you live and your interests.     </li>     <li>Select up to 12 high schools in the order you'd like to attend.     </li>     <li>Give your completed application to your guidance counselor by December 1st.     </li> </ol> <p>     To apply for admissions at Coop Tech, complete <a href=""http://www.co-optech.org/PDFs/Application.pdf"" target=""_blank""><u>the application</u></a> and follow the directions listed. </p>",Career & Technical Education,"<p>     <strong>Visit a Family Welcome Center</strong><br>     <br>     Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank""><u>Family Welcome Center</u></a> to get help in person. </p>","<ul>     <li>CTE is available at designated <a href=""http://cte.nyc/site/content/cte-schools-and-program-directory"" target=""_blank""><u>CTE high schools</u></a> and through CTE programs in other high schools     </li>     <li>17-21 year olds can also take CTE courses at <a href=""http://www.co-optech.org/index.html"" target=""_blank""><u>the School of Cooperative and Technical Education (Coop Tech)</u></a>     </li>     <li>8th graders can enroll in CTE during the regular high school admissions process     </li>     <li>Coop Tech is open to students getting a HSE diploma and traditional high school diploma     </li> </ul>",Program,Find a CTE program
,,Veterans Affairs Supported Housing,"<p>     <strong>Visit an office</strong> </p> <p>     Visit <a href=""https://access.nyc.gov/location/the-va-medical-center/"" target=""_blank"">VA Medical Center</a> in the Bronx (Mondays, Tuesdays and Fridays, 6:45 a.m. - 3:15 p.m.) or<br>     <a href=""https://access.nyc.gov/location/the-harbor-va-site/"" target=""_blank"">VA NY Harbor Site</a> in Manhattan (Mondays, 9:00 a.m. - 4:30 p.m. and Thursdays, 11:00 a.m. - 4:30 p.m.) for assistance. </p>","<ul>     <li>Call <a href=""tel:877-424-3838"">877-424-3838</a> to be connected with your local homeless program and apply     </li>     <li>Case management is an important part of the program, and you will be required to participate     </li>     <li>You must re-certify each year to keep your housing voucher     </li>     <li>You must contribute 30% of your monthly income towards rent, the voucher will cover the rest     </li> </ul>",Program,
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""COMPASS Programs"" in the ""All Programs Box"" the a SONYC program from the ""All Sub-programs"" menu     </li> </ol>",School's Out NYC,<p>     <strong>Visit your child's school</strong> </p> <p>     Speak with an afterschool program staff at your child's school for more information. </p>,"<ul>     <li>Programs are offered to young people for free     </li>     <li>Programs are offered three hours each day, five days per week     </li> </ul>",Program,Search online
,,Senior Employment Services,"<p>     <strong>Visit the office</strong> </p> <p>     Senior Employment Services<br>     2 Lafayette St., 6th Flr.<br>     New York, NY 10007 </p>","<ul>     <li>If you are eligible for SES, there are job placements citywide     </li>     <li>Requires proof of identity, income, where you live, and eligibility to work     </li>     <li>Apply in person or by mail     </li> </ul>",Program,
"<p>     <strong>Email DHE</strong> </p> <p>     If you have questions, <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">email DHE</a> for more information.<br> </p>",<p>     There is no online application at this time. </p>,Disabled Homeowners Exemption,"<p>     <strong>Visit an office</strong> </p> <p>     Visit a <a href=""http://www1.nyc.gov/site/finance/pay-now/person.page"" target=""_blank"">Department of Finance Business Center</a> (Monday - Friday, 8:30 a.m - 4:30 p.m) to get help in person. </p>","<ul>     <li>Applications must be postmarked by March 15th for benefits to begin on July 1st each year     </li>     <li>All owners must be persons with disabilities unless the property is owned by your spouse or by siblings, who do not need to be disabled     </li>     <li>If your property qualifies for DHE and the Senior Citizen Homeowner Exemption (SCHE), you will only be granted SCHE; you cannot get both     </li> </ul>",Program,
,"<ul>     <li>Applications are no longer needed to qualify for free meal benefits.     </li>     <li>Families may be asked to complete a <a href=""https://www.myschoolapps.com/Home/PickDistrict"" target=""_blank"">family income inquiry form</a> to help schools receive funding.     </li> </ul>",SchoolFood,,"<ul>     <li>Families no longer need to fill out applications to qualify for free meal benefits.     </li>     <li>You may be asked to complete a <a href=""https://www.myschoolapps.com/Home/PickDistrict"" target=""_blank"">family income inquiry form</a> to help schools receive funding.     </li> </ul>",Program,
,,Home Care Services Program,"<p>     <strong>Visit a Home Care office</strong> </p> <p>     Visit a <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/micsa/casa_offices.pdf"" target=""_blank"">Home Care CASA office</a> to get help in person.<br> </p>",<ul>     <li>All programs require that you be eligible for Medicaid     </li>     <li>Services are available for children and adults     </li>     <li>Emergency home care is also available     </li> </ul>,Service,
,"<ul>     <li>Applications are no longer needed to qualify for free meal benefits.     </li>     <li>Families may be asked to complete a <a href=""https://www.myschoolapps.com/Home/PickDistrict"" target=""_blank"">family income inquiry form</a> to help schools receive funding.     </li> </ul>",SchoolFood,,"<ul>     <li>Families no longer need to fill out applications to qualify for free meal benefits.     </li>     <li>You may be asked to complete a <a href=""https://www.myschoolapps.com/Home/PickDistrict"" target=""_blank"">family income inquiry form</a> to help schools receive funding.     </li> </ul>",Program,
,,"Special Supplemental Nutrition Program for Women, Infants, and Children","<p>     <strong>Visit a WIC office</strong> </p> <p>     Find a <a href=""https://access.nyc.gov/locations/?programs=6888"" target=""_blank"">WIC office</a> near you to get help in person. </p>","<ul>     <li>You do not need to be a US citizen to receive WIC     </li>     <li>Requires proof of identity, income, and address     </li>     <li>If you already receive SNAP, Medicaid, or TANF benefits you may be eligible for WIC     </li>     <li>Each person applying for WIC must be present at the local agency at the time of certification     </li>     <li>The <a href=""http://www.health.ny.gov/publications/3791.pdf"" target=""_blank"">NYS WIC Acceptable Foods Guide</a> has the list of food you can purchase using WIC     </li> </ul>",Benefit,
"<p>     <strong>Email your question</strong><br>     <br>     Email <a href=""mailto:HS_Enrollment.nyc.gov""><u>the Office of School Enrollment</u></a> if you have questions about CTE. </p>","<p>     To apply for admission to CTE at a public high school: </p> <ol>     <li>Get a paper application from your middle school guidance counselor or at a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank""><u>Family Welcome Center</u></a>.     </li>     <li>Use the <a href=""http://schoolfinder.nyc.gov/"" target=""_blank""><u>NYC School Finder</u></a> to find high schools based on where you live and your interests.     </li>     <li>Select up to 12 high schools in the order you'd like to attend.     </li>     <li>Give your completed application to your guidance counselor by December 1st.     </li> </ol> <p>     To apply for admissions at Coop Tech, complete <a href=""http://www.co-optech.org/PDFs/Application.pdf"" target=""_blank""><u>the application</u></a> and follow the directions listed. </p>",Career & Technical Education,"<p>     <strong>Visit a Family Welcome Center</strong><br>     <br>     Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank""><u>Family Welcome Center</u></a> to get help in person. </p>","<ul>     <li>CTE is available at designated <a href=""http://cte.nyc/site/content/cte-schools-and-program-directory"" target=""_blank""><u>CTE high schools</u></a> and through CTE programs in other high schools     </li>     <li>17-21 year olds can also take CTE courses at <a href=""http://www.co-optech.org/index.html"" target=""_blank""><u>the School of Cooperative and Technical Education (Coop Tech)</u></a>     </li>     <li>8th graders can enroll in CTE during the regular high school admissions process     </li>     <li>Coop Tech is open to students getting a HSE diploma and traditional high school diploma     </li> </ul>",Program,Find a CTE program
"<p>     <strong>Email NYCELL</strong> </p> <p>     <strong><br>     <br></strong> <a href=""mailto:earlychildhood.nyc.gov""><u>Email NYCELL</u></a> if you have questions about the program. </p>",,NYC Early Literacy Learning Program,"<p>     <strong>Visit a center<br>     <br></strong> Visit a <a href=""http://schools.nyc.gov/Academics/EarlyChildhood/parentfamilies/NYCELL.htm"" target=""_blank""><u>NYCELL site</u></a> to get help in person. </p>","<ul>     <li>The program is for 12 weeks, twice a week, for two hours     </li>     <li>Families learn ways to improve their children's speech, reading, and writing     </li>     <li>Families get free books and educational toys to take home     </li>     <li>Offered at five NYCHA community centers in Manhattan, the Bronx, and Brooklyn as well as at the <a href=""https://www.nypl.org/locations/inwood"" target=""_blank""><u>Inwood Library</u></a>     </li> </ul>",Program,
,,Medicaid for Pregnant Women,,"<ul>     <li>If you're pregnant and uninsured, you may qualify to sign up for an insurance plan through the NY State of Health Marketplace, even if the enrollment period is closed     </li>     <li>Free coverage is available regardless of immigration status     </li>     <li>Extended access to family planning services is available to women who have Medicaid while pregnant but lose coverage after pregnancy     </li>     <li>Babies receive health care services for at least one year after birth     </li> </ul>",Program,
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank""><u>Discover DYCD</u></a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Young Adult Internship Programs"" from the ""All Programs"" dropdown     </li> </ol>",Intern & Earn (formerly the Young Adult Internship Program),"<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/young-adult-internship-program-yaip.page"" target=""_blank""><u>DYCD website</u></a> for more information. </p>","<ul>     <li>Programs are free and available to youth ages 16-24 who are not in school and not working     </li>     <li>Enrollment is at different times throughout the year     </li>     <li>Job placement is available in many industries, including construction, hospitality, healthcare, and retail     </li> </ul>",Program,Find a program
,,NYCHA Resident Economic Empowerment and Sustainability,"<p>     <strong>Visit the office</strong> </p> <p>     Visit the REES office at 787 Atlantic Ave., Brooklyn, NY, 11238 to get help in person. </p>",<ul>     <li>REES can help you delay rent increases if your income goes up     </li>     <li>The Brooklyn office has information sessions every Tuesday and Thursday at 8:30 a.m     </li> </ul>,Service,
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:MSEnrollment.nyc.gov"">Email the Middle School Admissions team</a> with questions about applying. </p>",,Middle School,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person. </p>","<ul>     <li>Students with disabilities follow the same admission process as all other students     </li>     <li>English Language Learners (ELL) also follow the same admission process as other students; they can also consider applying to programs that screen for language where they might get priority     </li>     <li>All student who are eligible for middle school should submit an application, even students planning on attending their zoned school or continuing in K-8 schools     </li>     <li>Students eligible for middle school will receive a personalized application that includes each middle school program they can apply to each November     </li> </ul>",Program,
,,Bridges to Health,,<ul>     <li>There are three waivers offered through B2H:         <ul>             <li>Children with serious emotional disturbances             </li>             <li>Children with developmental disabilities             </li>             <li>Medically fragile children             </li>         </ul>     </li>     <li>B2H services should be used as one part of the medical treatment that participating children receive     </li> </ul>,Program,
,,NYC Nurse-Family Partnership,,"<ul>     <li>You can receive services no matter your age or immigration status     </li>     <li>You can join NFP early in your pregnancy, but no later than your 28th week     </li>     <li>All services are provided at no cost to the client     </li> </ul>",Program,
,,Beacon Programs,,,Program,
,,NYC Family Justice Centers,"<p>     <strong>Visit a Family Justice Center</strong> </p> <p>     Find a <a href=""http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page"" target=""_blank"">Family Justice Center</a> in your borough to speak with a counselor. </p>","<ul>     <li>Call the NYC Domestic Violence Hotline at <a href=""tel:800-621-4673"">800-621-4673</a> or <a href=""tel:800-810-7444"">800-810-7444</a> (if you are hearing impaired), or call <a href=""tel:311"">311</a> and ask for the Domestic Violence Hotline     </li>     <li>Call 911 if you are in danger and need immediate help.     </li>     <li>You don't need to make an appointment to visit a Family Justice Center     </li>     <li>Services are free, confidential, and most are available at one location     </li>     <li>You can get help no matter your immigration status     </li>     <li>Staff speak more than 30 languages and interpreters are available     </li>     <li>Childcare is available while you are receiving services     </li> </ul>",Service,
"<p>     <strong>Email a Parent Center</strong> </p>Email a Parent Center for more information:<br> <ul>     <li>         <a href=""mailto:roverton.org"">Bronx, Brooklyn, Manhattan, and Queens</a>,     </li>     <li>         <a href=""mailto:siptp.com"">Staten Island</a>.     </li> </ul>",,Special Education Parent Centers,"<p>     <strong>Visit a center</strong> </p> <p>     Find a <a href=""http://www.p12.nysed.gov/specialed/techassist/parentcenters.htm"" target=""_blank"">center</a> to get help in person. </p>",<ul>     <li>Services for students and families are offered at no cost     </li>     <li>Training sessions are also offered at no cost     </li> </ul>,Service,
,,HIV/AIDS Services Administration,"<p>     <strong>Visit the Service Line (HASA) Intake office</strong> </p> <p>     400 Eighth Ave., 2nd Flr.<br>     New York, NY 10001<br>     Monday - Friday, 9:00 a.m - 5:00 p.m<br> </p>","<ul>     <li>Apply in person at the HASA Service Line Intake office     </li>     <li>If you are HIV positive, you do not need to have symptoms to be eligible     </li>     <li>People are often referred by medical and service organizations     </li> </ul>",Program,
"<p>     <strong>Email SCRIE</strong> </p> <p>     <a href=""http://nyc.gov/contactscrie"" target=""_blank"">Email SCRIE</a> for more information. </p>",<p>     SCRIE/DRIE online applications are temporarily unavailable while we work on a new and improved application. Please use the forms or walk-in location to apply. </p>,Senior Citizen Rent Increase Exemption,"<p>     <strong>Visit the SCRIE walk-in center</strong> </p> <p>     66 John St, 3rd Floor<br>     New York, NY, 10038<br>     Open Monday - Friday, 8:30 a.m.- 4:30 p.m. </p>","<ul>     <li>Once you apply, it takes 10 - 15 days to hear back     </li>     <li>You can qualify for SCRIE even if you have not filed your taxes     </li>     <li>You will need to send documents. Never mail your original documents, just copies     </li>     <li>You do not need your landlord's permission to apply     </li>     <li>Senior citizens who own homes, condominiums or private non-government supervised co-ops may be eligible for the SCRIE     </li>     <li>Apply online, by mail, by phone, or in person     </li> </ul>",Program,
"<p>     <strong>Email SBHC</strong> Email <a href=""mailto:smelendez7.nyc.gov""><u>Solluz Melendez</u></a>, School-Based Health Centers Coordinator, if you have questions about this program. </p>",,School-Based Health Centers,,"<ul>     <li>Students can get free care regardless of immigration status.     </li>     <li>Students can get free care even if they don't have insurance. Staff can help families apply for free or low-cost public health insurance.     </li>     <li>Centers offer appointments during school hours and 24 hour phone support.     </li>     <li>High-schoolers can receive private reproductive care. They do not need consent from their families.     </li>     <li>Not all schools have SBHCs, you can check with your child's school to see if a health center is on site.     </li> </ul>",Service,
