unique_id_number,how_to_apply_or_enroll_by_phone,get_help_by_calling_other_than_311,apply_by_mail_call_to_action,brief_excerpt,how_to_apply_or_enroll_in_person
P008en,,,,<p>     Eight hours a day of free early care and education for three and four year olds. </p>,"<ol>     <li>Use the EarlyLearn NYC program finder and choose a provider.     </li>     <li>Visit the program of your choice and get an application.     </li>     <li>Complete the application and submit it with the required documents to an EarlyLearn NYC Head Start program of your choice.     </li>     <li>If you are receiving benefits from the Human Resources Administration (HRA) and would like to enroll in an EarlyLearn NYC program, visit <a href=""http://www.nyc.gov/html/hra/html/services/job_centers.shtml"" target=""_blank"">your assigned Job Center</a>.     </li> </ol>"
P041en,"<p>     Call the APS intake unit at <a href=""tel:212-630-1853"">212-630-1853</a> to make a referral by phone. Referrals can also be made by calling <a href=""tel:311"">311</a> Monday - Friday, 9:00 am - 5:00 pm </p>","<p>     <strong>Call APS</strong> </p> <p>     Call <a href=""tel:212-630-1853"">212-630-1853</a> if you have questions about APS. </p>",,<p>     APS helps at-risk adults live safely in their homes and get access to public benefits and services. </p>,
P063en,"<p>     NYC Health + Hospitals has centers across the five boroughs. Use the <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>location finder</u></a> to find a center close to you and call to make an appointment. </p>",,,"<p>     Birth control, family planning, and more for young women. </p>",
P031en,,"<p>     <strong>Call FPBP</strong> </p> <p>     Call <a href=""Tel:800-541-2831"">800-541-2831</a> for more information. </p>",,"<p>     Free and confidential family planning services for teens, women, and men. </p>","<ol>     <li>Find a family planning provider near you.     </li>     <li>Gather your personal documents and bring them with you to the program site.     </li>     <li>Complete the in-person screening and submit the application. You can print and fill out <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/FPBP_applicationinstructions_EN.pdf"" target=""_blank"">the application</a> before you go in, or complete it at the providers office.     </li> </ol>"
P032en,,,,<p>     IDNYC can often be used as an official ID for all New Yorkers age 10 and over. </p>,"<ol>     <li>Find <a href=""http://www1.nyc.gov/site/idnyc/card/locations.page"" target=""_blank"">an enrollment center</a> near you and <a href=""http://www1.nyc.gov/site/idnyc/card/make-an-appointment.page"" target=""_blank"">book your appointment online</a>. Appointments are required.     </li>     <li>Print and fill out the application form <a href=""https://access.nyc.gov/wp-content/uploads/2018/08/IDNYC_Appl-and-Instr_10-13_EN.pdf"" target=""_blank"">for 10-13 year olds</a> and <a href=""https://access.nyc.gov/wp-content/uploads/2018/08/IDNYC_Appl-and-Instr_14andOlder_EN.pdf"" target=""_blank"">for 14 years and older</a> ahead of time and bring it to your appointment, or fill it out at your appointment.     </li>     <li>Applicants 14 and older can <a href=""http://www1.nyc.gov/site/idnyc/card/start-your-application.page"" target=""_blank"">submit applications online</a> before going to an enrollment center.     </li>     <li>Collect your documents and bring them with you to your appointment. Your ID photo will be taken during the appointment.     </li> </ol>"
P016en,"<p>     Apply over the phone by calling <a href=""tel:718-935-2067"">718-935-2067</a> (Monday \u2013 Friday, 8 a.m \u2013 3 p.m, except holidays).<br> </p>","<p>     <strong>Call Pre-K admissions</strong> </p> <p>     Call <a href=""tel:718-935-2009"">718-935-2009</a> if you have questions about getting into Pre-K. </p>",,"<p>     Enroll your child in a free, full-day, high-quality Pre-K program. </p>","<ol>     <li>Use <a href=""https://maps.nyc.gov/upk/"" target=""_blank"">Pre-K Finder</a> to research programs and find new choices before completing your application.     </li>     <li>Type in your address to see programs near you.     </li>     <li>Download and fill in the application for the programs of your choice.     </li>     <li>Submit your application online or bring your completed application to a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank"">Family Welcome Center</a>.     </li> </ol>"
P009en,,"<p>     <strong>Call for help</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> or the afterschool program staff at your child\u2019s school for more information. </p>",,<p>     COMPASS NYC has hundreds of programs for young people in kindergarten through 12th grade. </p>,"<p>     To enroll your child in a COMPASS NYC program, contact the program staff at your child\u2019s school. </p>"
P022en,,"<p>     <strong>Call the Growing Up Healthy Hotline</strong> </p> <p>     Call <a href=""tel:800-522-5006"">800-522-5006</a> for more information on WIC. </p>",,"<p>     Free healthy food, counseling about healthy eating, breastfeeding support, and referrals for women, infants, and children under five. </p>","<p>     To apply for WIC: </p> <ul>     <li>Find your local WIC agency, or call the Growing Up Healthy Hotline at <a href=""tel:800-522-5006"">800-522-5006</a> and ask for the location nearest to you.     </li>     <li>Gather your income, residency, and identity documents to bring with you.     </li>     <li>Call the WIC agency where you wish to receive services and make an appointment.     </li>     <li>A short nutrition assessment will be completed at the time of your appointment by a qualified WIC staff member.     </li> </ul> <p>     The staff will tell you if you need to bring the WIC Medical Referral Form for <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form-for_For_Women_EN.pdf"" target=""_blank"">you</a> and/or <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form_For_Infant_EN.pdf"" target=""_blank"">your child</a> completed by your health care provider. </p>"
P007en,<p>     You can also fax your competed application to 917-639-1111. </p>,"<p>     <strong>Call the SNAP Infoline</strong> </p> <p>     Call the SNAP Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> for more information. </p>",Download the form,<p>     SNAP benefits can help you feed your family with fresh and healthy groceries. </p>,"<ol>     <li>Print a paper application, pick one up from a SNAP Center, or call the HRA Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> to have a paper application mailed to you.     </li>     <li>Gather the documents you'll need to include with your application.     </li>     <li>Drop your completed application off at a SNAP Center near you. You can make copies of your documents at the center.     </li>     <li>You can also apply for SNAP at a <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/CBO_EASE_SITES.pdf"" target=""_blank"">community-based organization (CBO) in your neighborhood</a>. Experts can help you submit your application, and the necessary documents.     </li> </ol>"
P025en,,,Download the form,<p>     SES offers training and job placement help for seniors. </p>,"<ol>     <li>Download and complete the <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Senior_Employment_Services_Form.pdf"" target=""_blank"">Employment Assistance Services Form</a>.     </li>     <li>Bring the completed application to the NYC Department of Aging<br>         2 Lafayette St., 6th Flr<br>         New York, NY 10007     </li> </ol>"
P101en,,"<p>     <strong>Call high school admission</strong><br>     <br>     Call the high school admission line at <a href=""tel:718-935-2399""><u>718-935-2399</u></a> if you have questions about applying. </p>",,<p>     Students gain hands-on career training while finishing their high school or high school equivalency (HSE) education. </p>,
P103en,"<p>     Call the National Call Center for Homeless Veterans at <a href=""tel:877-424-3838"">877-424-3838</a>, which will connect you to your local VA homeless program. </p>","<p>     <strong>Call the National Call Center for Homeless Veterans</strong> </p> <p>     Call <a href=""tel:877-424-3838"">877-424-3838</a> to learn if you're eligible and apply. </p>",,<p>     The VA assists homeless veterans and their families find and maintain permanent housing. </p>,"<p>     Veterans can apply in person at the <a href=""https://access.nyc.gov/location/the-va-medical-center/"" target=""_blank"">VA Medical Center</a> in the Bronx or at the <a href=""https://access.nyc.gov/location/the-harbor-va-site/"" target=""_blank"">VA NY Harbor Site</a> in Manhattan. </p>"
P052en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646"">1-800-246-4646</a> if you have questions about this program. </p>",,"<p>     SONYC offers a mix of activities, including leadership, Science Technology Engineering and Math (STEM), literacy, academic help, sports, arts, and more. </p>","<p>     You can also enroll your child in a SONYC program, contact the program staff at your child\u2019s school. </p>"
P025en,,,Download the form,<p>     SES offers training and job placement help for seniors. </p>,"<ol>     <li>Download and complete the <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Senior_Employment_Services_Form.pdf"" target=""_blank"">Employment Assistance Services Form</a>.     </li>     <li>Bring the completed application to the NYC Department of Aging<br>         2 Lafayette St., 6th Flr<br>         New York, NY 10007     </li> </ol>"
P017en,,"<p>     <strong>Call DHE</strong> </p> <p>     Call <a href=""tel:212-639-9675"">212-NEW-YORK</a>, or <a href=""tel:212-639-9675"">212-639-9675</a> (out-of-City), or TTY <a href=""tel:212-639-9675"">212-639-9675</a> (hearing impaired)<br> </p>",Download the form,<p>     Lower property tax for homeowners with disabilities. </p>,<p>     Apply in person at a Department of Finance Business Center. </p>
P020en,,"<p>     <strong>Call SchoolFood Customer Information</strong> </p> <p>     Call <a href=""tel:877-363-6325"">877-363-6325</a> if you have questions about applying.<br> </p>",,<p>     NYC students can enjoy free breakfast and lunch every school day. </p>,<p>     Speak to the Parent Coordinator in your child's school for more information. </p>
P082en,"<p>     You can also call the HRA Office of Special Services at <a href=""tel:718-557-1399"">718-557-1399</a> to find out how to apply for a program that is right for you. </p>","<p>     <strong>Call the HRA Office of Special Services</strong> </p> <p>     Call <a href=""tel:718-557-1399"">718-557-1399</a> to get helping finding a program. </p>",,<p>     Seniors and people with disabilities care receive health care in their home. </p>,<p>     How you apply for home care programs depends on your needs. Visit a Home Care CASA office to find out how to apply to a program right for you and your family. </p>
P020en,,"<p>     <strong>Call SchoolFood Customer Information</strong> </p> <p>     Call <a href=""tel:877-363-6325"">877-363-6325</a> if you have questions about applying.<br> </p>",,<p>     NYC students can enjoy free breakfast and lunch every school day. </p>,<p>     Speak to the Parent Coordinator in your child's school for more information. </p>
P022en,,"<p>     <strong>Call the Growing Up Healthy Hotline</strong> </p> <p>     Call <a href=""tel:800-522-5006"">800-522-5006</a> for more information on WIC. </p>",,"<p>     Free healthy food, counseling about healthy eating, breastfeeding support, and referrals for women, infants, and children under five. </p>","<p>     To apply for WIC: </p> <ul>     <li>Find your local WIC agency, or call the Growing Up Healthy Hotline at <a href=""tel:800-522-5006"">800-522-5006</a> and ask for the location nearest to you.     </li>     <li>Gather your income, residency, and identity documents to bring with you.     </li>     <li>Call the WIC agency where you wish to receive services and make an appointment.     </li>     <li>A short nutrition assessment will be completed at the time of your appointment by a qualified WIC staff member.     </li> </ul> <p>     The staff will tell you if you need to bring the WIC Medical Referral Form for <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form-for_For_Women_EN.pdf"" target=""_blank"">you</a> and/or <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form_For_Infant_EN.pdf"" target=""_blank"">your child</a> completed by your health care provider. </p>"
P101en,,"<p>     <strong>Call high school admission</strong><br>     <br>     Call the high school admission line at <a href=""tel:718-935-2399""><u>718-935-2399</u></a> if you have questions about applying. </p>",,<p>     Students gain hands-on career training while finishing their high school or high school equivalency (HSE) education. </p>,
P056en,"<p>     To apply for NYCELL, contact a <a href=""http://schools.nyc.gov/Academics/EarlyChildhood/parentfamilies/NYCELL.htm"" target=""_blank""><u>participating community center</u></a> or call Lynda Nicolas at <a href=""tel:212-356-3844""><u>212-356-3844</u></a>. </p>","<p>     <strong>Call NYCELL</strong> </p> <p>     Call Lynda Nicolas at <a href=""tel:212-356-3844""><u>212-356-3844</u></a> to learn more about NYCELL. </p>",,"<p>     Help your child get ready to read using fun activities, free books, and toys. </p>",
P087en,,"<p>     <strong>Call Growing Up Healthy Hotline</strong> </p> <p>     Call the New York State Growing Up Healthy Hotline at <a href=""tel:800-522-5006"">800-522-5006</a> </p>",,<p>     Comprehensive medical and prenatal care services through Medicaid. </p>,"<p>     Enroll with an <a href=""https://info.nystateofhealth.ny.gov/IPANavigatorSiteLocations"" target=""_blank"">In-Person Assistor (IPA)</a> or find <a href=""https://www.health.ny.gov/community/pregnancy/health_care/prenatal/apply_for_coverage.htm"" target=""_blank"">select providers</a> near you. </p>"
P094en,,"<p>     <strong>Call Youth Connect</strong><br>     <br>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646""><u>1-800-246-4646</u></a> if you have questions about this program. </p>",,<p>     Intern & Earn is a 14-week paid internship program for youth ages 16-24 who are not working and not in school. </p>,
P024en,,"<p>     <strong>Call REES</strong> </p> <p>     Call the REES hotline at <a href=""tel:718-289-8100"">718-289-8100</a><a href=""tel:718-289-8100%E2%80%8B""></a> to learn more. </p>",,<p>     Education and work training programs for public housing residents. </p>,"<ol>     <li>Information sessions are held every Tuesday and Thursday at 8:30 a.m at the Brooklyn office: 787 Atlantic Ave., Brooklyn, NY 11238.     </li>     <li>You can RSVP for an info session <a href=""http://opportunitynycha.org/events/"" target=""_blank"">online</a> or by calling the REES hotline at <a href=""tel:718-289-8100"">718-289-8100</a>.     </li> </ol>"
P048en,,"<p>     <strong>Call for help</strong> </p> <p>     Call <a href=""tel:718-935-2398"">718-935-2398</a> if you have questions about applying to middle school. </p>",,<p>     Learn about the Middle School Admissions process for public schools. </p>,
P069en,,,,<p>     Health care services for children and their caregivers with an ACS case in their homes or communities. </p>,
P029en,"<p>     Woman and girls can find out if they are eligible by calling NYC NFP at <a href=""tel:646-364-0714"">646-364-0714</a>. </p>","<p>     <strong>Call NYC NFP</strong> </p> <p>     Call NYC NFP at <a href=""tel:646-364-0714"">646-364-0714</a> for more information. </p>",Download the form,<p>     Nurses provide support and give medical care and advice to women who are pregnant for the first time. </p>,
P046en,,"<p>     <strong>Call DYCD Youth Connect</strong> </p> <p>     Call <a href=""tel:1-800-246-4646"">1-800-246-4646</a> or <a href=""tel:646-343-6800"">646-343-6800</a> to find out how to participate. </p>",,<p>     School-based community centers serving children ages 6 and older. </p>,
P034en,,"<p>     <strong>Call the hotline</strong> </p> <p>     Call the NYC Domestic Violence Hotline at <a href=""tel:800-621-4673"">800-621-4673</a> or <a href=""tel:800-810-7444"">800-810-7444</a> (if you are hearing impaired) to speak with a counselor. </p>",,"<p>     Services are available for survivors of intimate partner violence, elder abuse, and sex trafficking in all boroughs. </p>",
P084en,,"<p>     <strong>Call a Parent Center</strong> </p> <p>     Bronx, Brooklyn, Manhattan, and Queens: <a href=""tel:212-677-4660"">212-677-4660</a> (English) <a href=""tel:212-677-4668"">212-677-4668</a> (Spanish).<br>     Staten Island: <a href=""tel:718-494-4872"">718-494-4872</a>. </p>",,<p>     Information and resources for families of students with disabilities. </p>,
P040en,,"<p>     <strong>Call HASA</strong> </p> <p>     Call <a href=""tel:212-971-0626"">212-971-0626</a>, or for TTY machine <a href=""tel:212-971-2731"">212-971-2731</a>, if you have questions or for more information.<br> </p>",,<p>     HASA helps people living with HIV or AIDS get health care and other public benefits. </p>,"<p>     Apply at the HASA Service Line Intake Unit at 400 Eighth Ave., 2nd Flr, New York, NY 10001, Monday - Friday, 9:00 a.m - 5:00 p.m. </p>"
P015en,"<p>     Call HPD at <a href=""tel:212-863-8494"">212-863-8494</a> to apply if you are living in Mitchell-Lama or Redevelopment Company development housing. </p>","<p>     <strong>Call SCRIE using TTY</strong> </p> <p>     Call <a href=""tel:212-639-9675"">212-639-9675</a> if you have a hard time hearing.<br> </p>",Download the form,<p>     SCRIE can help senior citizens freeze their rent and prevent it from being increased. </p>,"<ol>     <li>If you live in qualified housing, other than Mitchell-Lama or Redevelopment Company development housing, you can apply in person.     </li>     <li>Gather all of the personal documents you'll need to apply. It's OK to bring copies.     </li>     <li>         <strong>Visit the walk-in center:</strong><br>         66 John St, 3rd Floor<br>         New York, NY 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li> </ol>"
P050en,,,,<p>     Students can get free health care in their school. </p>,"<p>     To get free health care, students must have their parents or guardians fill out and return a consent form. </p> <ul>     <li>         <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170518/AttachmentD_ParentalConsentEnglish_082214_GradesPK.doc""><u>Pre-K to 8th grade</u></a> <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170518/AttachmentD_ParentalConsentEnglish_082214_GradesPK.doc""><u>consent form</u></a>     </li>     <li>         <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170535/AttachmentD_ParentalConsentEnglish_082214_Grades91.doc""><u>9th - 12th grade</u></a> <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170535/AttachmentD_ParentalConsentEnglish_082214_Grades91.doc""><u>consent form</u></a>     </li> </ul> <p>     Students do not need to have health insurance to enroll in SBHC. If the student does have insurance, include the information on the consent form. </p>"
P042en,,"<p>     <strong>Call Access-A-Ride</strong> </p> <p>     Call <a href=""tel:877-337-2017"">877-337-2017</a> if you have questions about applying for Access-A-Ride. </p>",,<p>     People with disabilities can get transportation throughout the five boroughs of NYC. </p>,"<ol>     <li>Make an appointment by calling <a href=""tel:877-337-2017"">877-337-2017</a> and pressing 1 when prompted.     </li>     <li>When you schedule your appointment, let the staff know if you need:<br>         <ol>             <li>material in large print, Braille, or recorded format             </li>             <li>a sign language interpreter             </li>             <li>a personal care attendant to travel with you             </li>             <li>telephonic interpretation services             </li>         </ol>     </li>     <li>After you book your appointment you will get an application package in the mail. The package will include the application, a letter about your appointment, and instructions on round-trip transportation to the testing center.         <ol>             <li>When scheduling transportation, mention if you are traveling with a personal care attendant.             </li>         </ol>     </li>     <li>Call <a href=""tel:877-337-2017"">877-337-2017</a> (prompt #1) if you haven't received your AAR eligibility by mail.     </li> </ol>"
P030en,,"<p>     <strong>Call SYEP</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> for more information.<br> </p>",,<p>     SYEP provides youth between the ages of 14 and 24 with paid summer work for up to six weeks. </p>,<p>     Youth can also apply at their community-based organization. </p>
P055en,,,,<p>     Students can get free food on Saturdays and weekday evenings at some schools. </p>,
P041en,"<p>     Call the APS intake unit at <a href=""tel:212-630-1853"">212-630-1853</a> to make a referral by phone. Referrals can also be made by calling <a href=""tel:311"">311</a> Monday - Friday, 9:00 am - 5:00 pm </p>","<p>     <strong>Call APS</strong> </p> <p>     Call <a href=""tel:212-630-1853"">212-630-1853</a> if you have questions about APS. </p>",,<p>     APS helps at-risk adults live safely in their homes and get access to public benefits and services. </p>,
P010en,,"<p>     <strong>Call the HRA Infoline</strong> </p> <p>     Call the HRA Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> for more information. </p>",Download the form,"<p>     Cash assistance can help you pay rent, utilities, and other emergency expenses. </p>","<ol>     <li>Visit a <a href=""https://access.nyc.gov/locations/?programs=6859"" target=""_blank"">Human Resources Administration (HRA) Job Center</a> near you.     </li>     <li>If you have a medical or mental health condition that prevents you from applying in person, you can call <a href=""tel:212-331-4640"">212-331-4640</a> to make arrangements to have a worker do the interview at your home.     </li>     <li>When you apply, you will need to provide proof of certain things. A Job Center worker will tell you which of these things you must prove. It will help if you bring proof of your identity, where you live, who lives with you, and your income with you.     </li>     <li>You can apply for SNAP, medical help, and the Home Energy Assistance Program (HEAP) when you apply for Cash Assistance.     </li> </ol>"
P003en,,,,<p>     Free or low-cost care for children. </p>,"<ol>     <li>Use the EarlyLearn NYC program finder and choose a provider.     </li>     <li>Download <a href=""https://access.nyc.gov/wp-content/uploads/2018/06/Child-Care-Subsidy-ApplicationForm_EN.pdf"" target=""_blank"">the application</a>, visit the program of your choice to pick one up, or call <a href=""tel:311"">311</a> and request one be mailed to you.     </li>     <li>Complete the application and submit it with required the documents to the EarlyLearn NYC Child Care program site of your choice.     </li>     <li>If your child is approved for a seat in an EarlyLearn NYC center, ACS and the program will contact you about when your child can start attending. If your child is eligible, but the program has no vacancies, you may be placed on a waiting list.     </li>     <li>If you are receiving benefits from the Human Resources Administration (HRA) and would like to enroll in an EarlyLearn NYC program, visit <a href=""http://www.nyc.gov/html/hra/html/services/job_centers.shtml"" target=""_blank"">your assigned Job Center</a>.     </li> </ol>"
P014en,,"<p>     <strong>Call SCHE</strong> </p> <p>     Call <a href=""tel:212-639-9675"">212-NEW-YORK</a> or <a href=""tel:212-639-9675"">212-639-9675</a> for out-of-city, or TTY <a href=""tel:212-639-9675"">212-639-9675</a> (hearing impaired). </p>",Download the form,<p>     Seniors can get a partial exemption from property taxes.<br> </p>,
P048en,,"<p>     <strong>Call for help</strong> </p> <p>     Call <a href=""tel:718-935-2398"">718-935-2398</a> if you have questions about applying to middle school. </p>",,<p>     Learn about the Middle School Admissions process for public schools. </p>,
P087en,,"<p>     <strong>Call Growing Up Healthy Hotline</strong> </p> <p>     Call the New York State Growing Up Healthy Hotline at <a href=""tel:800-522-5006"">800-522-5006</a> </p>",,<p>     Comprehensive medical and prenatal care services through Medicaid. </p>,"<p>     Enroll with an <a href=""https://info.nystateofhealth.ny.gov/IPANavigatorSiteLocations"" target=""_blank"">In-Person Assistor (IPA)</a> or find <a href=""https://www.health.ny.gov/community/pregnancy/health_care/prenatal/apply_for_coverage.htm"" target=""_blank"">select providers</a> near you. </p>"
P001en,,"<p>     <strong>Find a VITA or TCE location</strong> </p> <p>     Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE).<a href=""800-829-3676""></a> </p>",,<p>     Tax relief for working people with dependent care expenses. </p>,"<p>     If you earn $54,000 or less (with children) or $30,000 or less (without children), you may be eligible to get your taxes done in-person for free. </p>You will need the following forms:<br> <ul>     <li>Child and Dependent Care Expenses form: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_2441.pdf"" target=""_blank"">Form 2441</a>.     </li>     <li>U.S. Individual Income Tax Return: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040.pdf"" target=""_blank"">Form 1040</a> or <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040A.pdf"" target=""_blank"">Form 1040A</a>, or U.S. Nonresident Income Tax Return: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040NR.pdf"" target=""_blank"">Form 1040NR</a>.     </li>     <li>If you received dependent care benefits from your employer, you must complete Part III of <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_2441.pdf"" target=""_blank"">Form 2441</a>.     </li> </ul>"
P098en,,,,"<p>     Youth can take part in leadership councils at City agencies, schools, and community organizations. </p>",
P059en,,,,"<p>     Help for young people who have emotional, behavioral, and mental health challenges. </p>",
P069en,,,,<p>     Health care services for children and their caregivers with an ACS case in their homes or communities. </p>,
P064en,,,,<p>     Children between the ages of 6 weeks and 4 years can get free daycare if their parents are in school. </p>,
P031en,,"<p>     <strong>Call FPBP</strong> </p> <p>     Call <a href=""Tel:800-541-2831"">800-541-2831</a> for more information. </p>",,"<p>     Free and confidential family planning services for teens, women, and men. </p>","<ol>     <li>Find a family planning provider near you.     </li>     <li>Gather your personal documents and bring them with you to the program site.     </li>     <li>Complete the in-person screening and submit the application. You can print and fill out <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/FPBP_applicationinstructions_EN.pdf"" target=""_blank"">the application</a> before you go in, or complete it at the providers office.     </li> </ol>"
P049en,"<ol>     <li>Use the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Kindergarten Directory</a> to find programs you're interested in. You can list up to 12 choices on your applications, including schools outside of your zone and district.     </li>     <li>Call <a href=""tel:718-935-2009"">718-935-2009</a> to apply during the application period (November - January each year).     </li> </ol>","<p>     <strong>Call for help</strong> </p> <p>     Call <a href=""tel:718-935-2009"">718-935-2009</a> if you have questions about Kindergarten. </p>",,"<p>     Enroll your child in school, starting when they are five years old. Learn about your elementary school options. </p>","<ol>     <li>Use the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Kindergarten Directory</a> to find programs you're interested in. You can list up to 12 choices on your applications, including schools outside of your zone and district.     </li>     <li>Pick up and submit your application at a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> during the application period (November - January each year).     </li> </ol>"
P053en,"<ul>     <li>If you gave birth in a hospital where the program operates, program staff will contact you about setting up a visit.     </li>     <li>If you recently gave birth and didn\u2019t hear from anyone in the program, call <a href=""tel:311"">311</a> to find out if you qualify.     </li> </ul>","<p>     <strong>Call for help</strong> </p> <p>     North & Central Brooklyn: <a href=""tel:718-637-5230&amp;quot;"">718-637-5230</a>, South Bronx: <a href=""tel:718-579-2878"">718-579-2878</a>, East & Central Harlem: <a href=""tel:646-672-2894"">646-672-2894</a> </p>",,"<p>     New moms can get home visits from health professionals to help with breastfeeding, health and safety tips, and connections to community resources. </p>",
P052en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646"">1-800-246-4646</a> if you have questions about this program. </p>",,"<p>     SONYC offers a mix of activities, including leadership, Science Technology Engineering and Math (STEM), literacy, academic help, sports, arts, and more. </p>","<p>     You can also enroll your child in a SONYC program, contact the program staff at your child\u2019s school. </p>"
P040en,,"<p>     <strong>Call HASA</strong> </p> <p>     Call <a href=""tel:212-971-0626"">212-971-0626</a>, or for TTY machine <a href=""tel:212-971-2731"">212-971-2731</a>, if you have questions or for more information.<br> </p>",,<p>     HASA helps people living with HIV or AIDS get health care and other public benefits. </p>,"<p>     Apply at the HASA Service Line Intake Unit at 400 Eighth Ave., 2nd Flr, New York, NY 10001, Monday - Friday, 9:00 a.m - 5:00 p.m. </p>"
P015en,"<p>     Call HPD at <a href=""tel:212-863-8494"">212-863-8494</a> to apply if you are living in Mitchell-Lama or Redevelopment Company development housing. </p>","<p>     <strong>Call SCRIE using TTY</strong> </p> <p>     Call <a href=""tel:212-639-9675"">212-639-9675</a> if you have a hard time hearing.<br> </p>",Download the form,<p>     SCRIE can help senior citizens freeze their rent and prevent it from being increased. </p>,"<ol>     <li>If you live in qualified housing, other than Mitchell-Lama or Redevelopment Company development housing, you can apply in person.     </li>     <li>Gather all of the personal documents you'll need to apply. It's OK to bring copies.     </li>     <li>         <strong>Visit the walk-in center:</strong><br>         66 John St, 3rd Floor<br>         New York, NY 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li> </ol>"
P084en,,"<p>     <strong>Call a Parent Center</strong> </p> <p>     Bronx, Brooklyn, Manhattan, and Queens: <a href=""tel:212-677-4660"">212-677-4660</a> (English) <a href=""tel:212-677-4668"">212-677-4668</a> (Spanish).<br>     Staten Island: <a href=""tel:718-494-4872"">718-494-4872</a>. </p>",,<p>     Information and resources for families of students with disabilities. </p>,
P062en,"<p>     NYC Health + Hospitals has centers across the five boroughs. Use the <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>location finder</u></a> to find a center close to you and call to make an appointment. </p>",,,<p>     Children and youth can get health care and treat illnesses. </p>,
P089en,,"<p>     <strong>Call CUNY Start at your campus today</strong> </p> <ul>     <li>Borough of Manhattan Community College: <a href=""tel:646-346-8398"">646-346-8398</a>     </li>     <li>Bronx Community College: <a href=""tel:718-289-5100"">718-289-5100</a> ext. 3141     </li>     <li>College of Staten Island: <a href=""tel:718-982-3069"">718-982-3069</a>     </li>     <li>Hostos Community College: <a href=""tel:718-518-6851"">718-518-6851</a>     </li>     <li>Kingsborough Community College: <a href=""tel:718-368-4500"">718-368-4500</a>     </li>     <li>LaGuardia Community College: <a href=""tel:718-482-5137"">718-482-5137</a>     </li>     <li>Medgar Evers College: <a href=""tel:718-270-6161"">718-270-6161</a>     </li>     <li>Queensborough Community College: <a href=""tel:718-281-5368"">718-281-5368</a>     </li> </ul>",,<p>     CUNY students can get help meeting CUNY's proficiency standards and preparing for college-level courses. </p>,
P095en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> if you have questions about this program. </p>",,<p>     Train & Earn offers job training and job placement help to unemployed youth who are not in school. </p>,
