url_of_online_application,population_served,required_documents_summary,plain_language_program_name
https://www.myschools.nyc/\u200b,"Children (0-13), Families, Immigrants, NYCHA residents, Students","<p>     You will not need to submit any documents to apply for Kindergarten. </p> <p>     After your child receives an offer letter you will be asked to visit the school in person, with your child, and bring the following documents to enroll: </p> <ul>     <li>Proof of your child's age: birth certificate, passport, record of baptism     </li>     <li>Two proof of address documents (such as: lease, utility bill, or government issued ID-including <a href=""http://nyc.gov/idnyc"" target=""_blank"">IDNYC</a>)         <ul>             <li>Check the ""<a href=""https://www.schools.nyc.gov/docs/default-source/default-document-library/pre-registration-checklist_english"" target=""_blank"">Pre-Registration Checklist</a>"" in the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Kindergarten Directory</a> to see what other documents you can use.             </li>         </ul>     </li> </ul>",Public school: kindergarten - grade 5
,"Everyone, Families","<p>     When you go to your interview, you\u2019ll need to bring the following documents: </p> <ul>     <li>Your completed application     </li>     <li>Your child\u2019s birth certificate     </li>     <li>The <a href=""https://www.childsupport.ny.gov/dcse/pdfs/4418.pdf"" target=""_blank"">Acknowledgement of Paternity</a> (AOP) or an <a href=""https://www.nycourts.gov/courthelp/family/paternityOrder.shtml"" target=""_blank"">Order of Filiation</a> from Family Court     </li>     <li>A recent photo of the other parent     </li> </ul>",Child Support Services
https://on.nyc.gov/nycha-ss,Everyone,,Help paying rent
nyc.gov/youthvoice,"Students, Youth (10+)",,Leadership opportunities for youth
,"Families, NYCHA residents",,Early literacy skills for toddlers
,"Children (0-13), Students, Youth (10+)",,Health care for children
,"People with disabilities, Seniors",,Long-term care at home
https://www.myschools.nyc/\u200b,"Children (0-13), Families, Immigrants, NYCHA residents, Students","<p>     You will not need to submit any documents to apply for Kindergarten. </p> <p>     After your child receives an offer letter you will be asked to visit the school in person, with your child, and bring the following documents to enroll: </p> <ul>     <li>Proof of your child's age: birth certificate, passport, record of baptism     </li>     <li>Two proof of address documents (such as: lease, utility bill, or government issued ID-including <a href=""http://nyc.gov/idnyc"" target=""_blank"">IDNYC</a>)         <ul>             <li>Check the ""<a href=""https://www.schools.nyc.gov/docs/default-source/default-document-library/pre-registration-checklist_english"" target=""_blank"">Pre-Registration Checklist</a>"" in the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Kindergarten Directory</a> to see what other documents you can use.             </li>         </ul>     </li> </ul>",Public school: kindergarten - grade 5
http://www2.cuny.edu/admissions/undergraduate/,"Students, Youth (10+)",,Academic support for CUNY students
http://www.dycdportal.nyc/discoverdycd/home,"Children (0-13), Students, Youth (10+)",,Afterschool programs for students
,Everyone,,"Talk, text & chat for mental health help."
http://www.nycyouthhealth.org/html/find-youth-services.shtml,"Children (0-13), Pregnant &amp; new parents, Students, Youth (10+)",,Health services for youth
,,,After school for young people
,"Children (0-13), Youth (10+)",,Youth mental health care
,"Children (0-13), Families, Pregnant &amp; new parents",,Sleeping safe & cribs for babies
,Everyone,,LGBTQ Health Care
http://www.nycyouthhealth.org/html/find-youth-services.shtml,"Children (0-13), Pregnant &amp; new parents, Students, Youth (10+)",,Health services for youth
,Seniors,"<p>     To apply for SCHE you will need to prove the following: </p> <ul>     <li>Your age: you need a copy of a government-issued ID     </li>     <li>Your income: copies of your federal tax returns and schedules/attachments for all owners. If any owners do not file a tax return, proof of yearly earnings.     </li>     <li>Your deductions: Copies of receipts for unreimbursed medical or prescription expenses     </li> </ul>",Tax benefit for senior homeowners
,"NYCHA residents, Youth (10+)",,Job assistance for public housing residents
,Children (0-13),"<p>     To apply for EarlyLearn NYC Child Care, you will need to prove the following: </p> <ul>     <li>Where you live: such as a driver\u2019s license, IDNYC, or utility bill     </li>     <li>Your income (reason for care documents):         <ul>             <li>If employed: pay stubs and/or CS 1069             </li>             <li>If self-employed: current income tax documents, notarized statement/accountant statement             </li>             <li>If attending educational or vocational training: ACD 1082             </li>             <li>If receiving SSI, Worker\u2019s Compensation, Unemployment Benefits, etc.: proof of income documentation             </li>         </ul>     </li>     <li>Your citizenship or immigration status: US birth certificate (for children under 18 who live with you), Registration Card (if the child was not born in the US)     </li> </ul>",Child care for babies & toddlers
,Everyone,,Special health care for children
,"Children (0-13), Youth (10+)",,Breakfast & lunch in the summer
,"Children (0-13), Youth (10+)",,School breakfast and lunch
http://www.dycdportal.nyc/discoverdycd/home,"People with disabilities, Pregnant &amp; new parents, Students","<p>     To apply for Learn & Earn, you will need to prove he following: </p> <ul>     <li>Your identity and date of birth     </li>     <li>Where you live     </li>     <li>Your family's income     </li> </ul>",College/work-readiness in high school
,"People with disabilities, Seniors, Veterans","<p>     To apply for DRIE you will need to prove the following: </p> <ul>     <li>You are receiving a qualifying disability benefit (and award letter)     </li>     <li>Your age     </li>     <li>Your rent     </li>     <li>The income of all household members, which can include: tax returns, Social Security benefits, 1099/W2 statement     </li> </ul>",Rent freeze for people with disabilities
,,,Health insurance for children
,Everyone,,Support for children with behavioral challenges
,Seniors,"<p>     To apply for SCHE you will need to prove the following: </p> <ul>     <li>Your age: you need a copy of a government-issued ID     </li>     <li>Your income: copies of your federal tax returns and schedules/attachments for all owners. If any owners do not file a tax return, proof of yearly earnings.     </li>     <li>Your deductions: Copies of receipts for unreimbursed medical or prescription expenses     </li> </ul>",Tax benefit for senior homeowners
,,,Help for at-risk youth
,NYCHA residents,,Support for NYCHA residents
https://apply.nycha.info/,Everyone,"<p>     You do not need to submit any documents to apply for public housing. If you get an interview, you will need to bring the following original documents with you. </p> <ul>     <li>Your marriage or domestic partner certificate (if applicable)     </li>     <li>Birth certificates of everyone who will live with you     </li>     <li>Social security cards of everyone who will live with you     </li>     <li>Proof of your immigration status (if applicable)     </li>     <li>Proof of where you currently live, such as a recent utility bill     </li>     <li>Rent receipts for the last six months and lease (if you have one)     </li>     <li>You last gas and electric bill     </li>     <li>Proof of your income (if any): such as an award letter, pay stubs, or SNAP letter     </li>     <li>Documents showing your assets, such as a bank statement     </li> </ul>",Affordable Public Housing
,"People with disabilities, Seniors","<p>     When you go to the assessment, you will need to bring medical documents that prove your transportation-related disability. </p>",Public transportation for people with disabilities
https://application.nycsyep.com/,Students,"<p>     If selected for work, the following documents will need to be provided: </p> <ul>     <li>Proof of identity     </li>     <li>Proof of address     </li>     <li>Proof of income     </li>     <li>Eligibility to work (working papers)     </li> </ul> <p>     Youth can get their working papers from their school. </p>",Summer work for youth
,Everyone,,LGBTQ Health Care
,,,Help for at-risk youth
,"Families, Pregnant &amp; new parents, Youth (10+)",,High school & college for young dads
http://www.dycdportal.nyc/discoverdycd/home,"Students, Youth (10+)",,Pre-high school equivalency (HSE) prep
,Everyone,,Get emergency food now
,Pregnant &amp; new parents,,Home visits for pregnant women and girls
,"Seniors, Veterans","<p>     To apply for Veteran's Exemption, you will need to prove the following: </p> <ul>     <li>Your Veteran status: Copy of A DD Form 214 ( DD-214) which is the Certificate of Release or Discharge from Active Duty form or separation papers for each veteran. For each disabled veteran, copy of Veterans' Administration letter documenting the disability rating     </li> </ul>",Reduction to property tax for veterans
,,,Farmer's market coupons
https://applications.labor.ny.gov/IndividualReg/xhtml/individual/emailVerification.faces,"Families, Immigrants, NYCHA residents, People with disabilities, Pregnant &amp; new parents, Seniors, Students, Veterans","<p>     To file for unemployment benefits, you will need to provide proof of the following: </p> <ul>     <li>Citizenship or immigration status: such as a work authorization card.     </li>     <li>Your identity and date of birth: such as a driver's license or non-driver's license ID.     </li>     <li>Your income (if any): such as your recent income tax, current pay stubs, or award letters.     </li> </ul>",Unemployment for Workers
http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page,Everyone,"<p>     To claim the credits, you will need to gather the following documents for all person listed on your tax return: </p> <ul>     <li>Identity and age: such as a photo ID, driver\u2019s license, IDNYC, passport, naturalization certificate.     </li>     <li>Your income (if any): Forms W-2, 1099s, or income and expense records if you are self-employed.     </li>     <li>All records of expenses, including if you own or run a business or farm.     </li>     <li>Social Security cards or Social Security number verification letter .     </li>     <li>Copies of last year's federal and state returns (if you have them)     </li>     <li>Dependent care information: provider\u2019s name, address, and ID number (EIN or SSN).     </li>     <li>Proof of Health Insurance coverage for all family members. Forms 1095-A, B or C.     </li> </ul>",Tax refund for workers and families
http://www.dycdportal.nyc/discoverdycd/home,"Children (0-13), Families, NYCHA residents, Students, Youth (10+)",,Learning and support programs for kids & adults
,"Children (0-13), Students, Youth (10+)",,Free health care in schools
http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page,Everyone,"<p>     To file you will need to provide proof for the following: </p> <ul>     <li>Your identity: such as a government-issued ID, including IDNYC.     </li>     <li>Proof of income: Forms W-2, 1099s, or income and expense records if you are self-employed.     </li>     <li>Your bank account and routing number, if you want your refund by direct deposit.     </li>     <li>Health insurance coverage: Form 1095-A/B/C or and exemption.     </li>     <li>Child care expenses, if applicable.     </li> </ul> <p>     Depending on your situation, you may also receive other documents such as interest on student loans (Form 1098-T) or Social Security benefits (Form SSA-1099). Be sure to have these forms available when you file you can get the maximum refund. </p>",Free tax prep for New Yorkers
https://a069-access.nyc.gov/ACCESSNYC/application.do,Everyone,"<p>     To apply for Cash Assistance you will need to prove the following: </p> <ul>     <li>Your identity: such as a photo ID, driver\u2019s license, passport, naturalization certificate, or hospital records.     </li>     <li>Where you live: such as a statement from your landlord, current rent receipt, lease, or mortgage records.     </li>     <li>Your income (if any): such as a current pay stub, business records, current income tax return, or an Unemployment Insurance Benefit statement.     </li>     <li>Citizenship or immigration status: such as your birth certificate, U.S. passport, or military service records.     </li> </ul> <p>     Check the <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Cash_Assistance_Documentation_Guide.pdf"" target=""_blank"">Cash Assistance document guide</a><a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/eligibility_factors_and_suggested_documentation_guide.pdf"" target=""_blank""></a> to see what else you can use as proof. </p>",Cash help when you are in need
https://applications.labor.ny.gov/IndividualReg/xhtml/individual/emailVerification.faces,"Families, Immigrants, NYCHA residents, People with disabilities, Pregnant &amp; new parents, Seniors, Students, Veterans","<p>     To file for unemployment benefits, you will need to provide proof of the following: </p> <ul>     <li>Citizenship or immigration status: such as a work authorization card.     </li>     <li>Your identity and date of birth: such as a driver's license or non-driver's license ID.     </li>     <li>Your income (if any): such as your recent income tax, current pay stubs, or award letters.     </li> </ul>",Unemployment for Workers
,Seniors,"<p>     To apply for SES, you will need to prove the following: </p> <ul>     <li>Your identity and your age: such as a photo ID, driver\u2019s license, passport, naturalization certificate, or hospital records.     </li>     <li>Where you live: such as a statement from your landlord, a rent receipt, or mortgage statements.     </li>     <li>Your income (if any): such as a recent pay stub, unemployment benefits statement, SNAP benefit cards or Cash Assistance budget letter, or child support income support letter.     </li>     <li>Citizenship or immigration status: such as your birth certificate or US passport.     </li>     <li>Work eligibility: such as a passport or resident card.     </li> </ul>",Job training & placement for seniors
,People with disabilities,"<p>     To apply for DHE you will need to prove the following: </p> <ul>     <li>Your income: copies of your federal tax returns and schedules/attachments for all owners. If any owners do not file a tax return, proof of yearly earnings.     </li>     <li>Your deductions: Copies of receipts for medical or prescription expenses that have not been refunded     </li>     <li>Your disability status: One of the following for an owner:         <ul>             <li>Copy of the award letter from the Social Security Administration             </li>             <li>Copy of the award letter from the Railroad Board or the US Postal Service             </li>             <li>Copy of a certificate from the State Commission for the Blind and Visually Handicapped             </li>         </ul>     </li> </ul>",Lower taxes for homeowners with disabilities
https://maps.nyc.gov/3k/#form-page,"Children (0-13), Families, Immigrants, NYCHA residents, Students",,Early education for three-year-olds
http://www.dycdportal.nyc/discoverdycd/home,"Students, Youth (10+)",,Pre-high school equivalency (HSE) prep
,NYCHA residents,,Support for NYCHA residents
,Families,,Career & savings planning for Section 8 tenants
,"Seniors, Veterans","<p>     To apply for Veteran's Exemption, you will need to prove the following: </p> <ul>     <li>Your Veteran status: Copy of A DD Form 214 ( DD-214) which is the Certificate of Release or Discharge from Active Duty form or separation papers for each veteran. For each disabled veteran, copy of Veterans' Administration letter documenting the disability rating     </li> </ul>",Reduction to property tax for veterans
http://www.dycdportal.nyc/discoverdycd/home,"Students, Youth (10+)",,Internships for young adults
https://application.nycsyep.com/,Students,"<p>     If selected for work, the following documents will need to be provided: </p> <ul>     <li>Proof of identity     </li>     <li>Proof of address     </li>     <li>Proof of income     </li>     <li>Eligibility to work (working papers)     </li> </ul> <p>     Youth can get their working papers from their school. </p>",Summer work for youth
http://www.nyc.gov/html/sbs/wf1/html/register/register_now.shtml,"Families, Immigrants, NYCHA residents, People with disabilities, Pregnant &amp; new parents, Seniors, Students, Youth (10+), Veterans",,Opportunities and advice for job seekers
,"Children (0-13), Families, Pregnant &amp; new parents",,Sleeping safe & cribs for babies
https://a069-access.nyc.gov/ACCESSNYC/application.do,Everyone,"<p>     To be found eligible for SNAP you will need to prove the following: </p> <ul>     <li>Your identity: such as a photo ID, driver\u2019s license, passport, naturalization certificate, or hospital records.     </li>     <li>Where you live: such as a statement from your landlord, current rent receipt, lease, or mortgage records.     </li>     <li>Your income (if any): such as a recent pay stub, business records, current tax return, or an Unemployment Insurance Benefit statement.     </li>     <li>Citizenship or immigration status: such as your birth certificate, U.S. passport, or military service records.         <ul>             <li>Receiving SNAP will not affect your immigration case or lead to deportation.             </li>         </ul>     </li> </ul> <p>     See the <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/eligibility_factors_and_suggested_documentation_guide.pdf"" target=""_blank"">SNAP document guide</a> to see what else you can use as proof. </p>",Money to buy food
,"Children (0-13), Youth (10+)",,Breakfast & lunch in the summer
https://applications.labor.ny.gov/IndividualReg/xhtml/individual/emailVerification.faces,"Families, Immigrants, NYCHA residents, People with disabilities, Pregnant &amp; new parents, Seniors, Students, Veterans","<p>     To file for unemployment benefits, you will need to provide proof of the following: </p> <ul>     <li>Citizenship or immigration status: such as a work authorization card.     </li>     <li>Your identity and date of birth: such as a driver's license or non-driver's license ID.     </li>     <li>Your income (if any): such as your recent income tax, current pay stubs, or award letters.     </li> </ul>",Unemployment for Workers
,"Children (0-13), Students, Youth (10+)",,Free health care in schools
http://www1.nyc.gov/site/idnyc/card/start-your-application.page,Youth (10+),"<p>     IDNYC uses a point system to prove your identity and where you live. To apply, you will need to provide: </p> <ul>     <li>Proof of your identity: at least three (3) points.     </li>     <li>Proof of where you live: one (1) point.     </li>     <li>At least one (1) of your documents much have your photo.     </li>     <li>At least one (1) document with your date of birth.     </li> </ul> <p>     If you are between the ages 10 and 21 and/or disabled and do not have a enough points or a photo ID you can apply with a caretaker. </p> <p>     Use the <a href=""http://www1.nyc.gov/site/idnyc/card/documentation.page"" target=""_blank"">IDNYC Document Calculator</a> to see what documents you can use.<br> </p>",A free City ID card
,Families,,Career & savings planning for Section 8 tenants
http://www.nyc.gov/html/sbs/wf1/html/register/register_now.shtml,"Families, Immigrants, NYCHA residents, People with disabilities, Pregnant &amp; new parents, Seniors, Students, Youth (10+), Veterans",,Opportunities and advice for job seekers
,"People with disabilities, Seniors, Veterans","<p>     To apply for DRIE you will need to prove the following: </p> <ul>     <li>You are receiving a qualifying disability benefit (and award letter)     </li>     <li>Your age     </li>     <li>Your rent     </li>     <li>The income of all household members, which can include: tax returns, Social Security benefits, 1099/W2 statement     </li> </ul>",Rent freeze for people with disabilities
,,,Meals outside of school hours
https://www8.tax.ny.gov/STRP/strpStart,Everyone,,Reduce property taxes for homeowners
https://www.dycdportal.nyc/discoverdycd/home,Youth (10+),,Job prep for youth not working or in school
,Seniors,"<p>     To apply for CSFP, you will need to prove the following: </p> <ul>     <li>Your identity and your age: such as a photo ID, driver\u2019s license, passport, or naturalization certificate.     </li>     <li>Where you live: such as a statement from your landlord, a rent receipt, or utility bill.     </li>     <li>Your income (if any): such as a recent pay stub, unemployment benefits statement, current benefits check, or award letter.     </li> </ul>",Healthy food for seniors
https://on.nyc.gov/nycha-ss,Everyone,,Help paying rent
,"NYCHA residents, Youth (10+)",,Job assistance for public housing residents
http://www.dycdportal.nyc/discoverdycd/home,"Children (0-13), Families, NYCHA residents, Students, Youth (10+)",,Learning and support programs for kids & adults
http://www.dycdportal.nyc/discoverdycd/home,"Students, Youth (10+)",,Pre-high school equivalency (HSE) prep
https://www8.tax.ny.gov/STRP/strpStart,Everyone,,Reduce property taxes for homeowners
,"People with disabilities, Seniors","<p>     When you go to the assessment, you will need to bring medical documents that prove your transportation-related disability. </p>",Public transportation for people with disabilities
,,,Health insurance for children
,Veterans,<p>     There are no required documents at this time; applicants are screened for eligibility by the VA for HUD VASH. </p>,Supportive Housing for Veterans
,"Everyone, Families","<p>     When you go to your interview, you\u2019ll need to bring the following documents: </p> <ul>     <li>Your completed application     </li>     <li>Your child\u2019s birth certificate     </li>     <li>The <a href=""https://www.childsupport.ny.gov/dcse/pdfs/4418.pdf"" target=""_blank"">Acknowledgement of Paternity</a> (AOP) or an <a href=""https://www.nycourts.gov/courthelp/family/paternityOrder.shtml"" target=""_blank"">Order of Filiation</a> from Family Court     </li>     <li>A recent photo of the other parent     </li> </ul>",Child Support Services
,"Immigrants, Pregnant &amp; new parents, Youth (10+)",,Reproductive care for women
http://www.dycdportal.nyc/discoverdycd/home,Children (0-13),,Afterschool for middle schoolers
http://www2.cuny.edu/admissions/,"Students, Youth (10+)",,Help earning your CUNY degree
