plain_language_eligibility,get_help_online,how_to_apply_or_enroll_by_mail,url_of_pdf_application_forms,language,program_acronym
"<p>     Everyone is eligible for emergency food assistance, regardless of immigration status or how much money you have. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit <a href=""https://maps.nyc.gov/foodhelp/"" target=""_blank"">Foodhelp.nyc</a> for a map of food pantries and community kitchens. </p>",,,English,EFAP
"<p>     Parents or caregivers of a child 0 to 24 years old who is at risk of or currently experiences emotional, behavioral or mental health challenges. </p>",,,,English,FRC
"<p>     There are two types of STAR credits: Basic STAR and Enhanced STAR. To be eligible for both, you should be able to answer yes to all of these questions: </p> <ul>     <li>Is the property the primary home of at least one of the owners?     </li>     <li>Do you live in one of the following types of housing?         <ul>             <li>a house             </li>             <li>a condo             </li>             <li>a cooperative apartment             </li>             <li>a manufactured home             </li>             <li>a farm house             </li>             <li>a mixed-use property, including apartment buildings (only the owner-occupied portion is eligible)             </li>         </ul>     </li> </ul> <p>     For <strong>Basic STAR</strong>, you should also be able to answer yes to this additional question: </p> <ul>     <li>Is the combined income of all owners who live in the home and their spouses $500,000 a year or less?     </li> </ul> <p>     For <strong>Enhanced STAR</strong>, you should also be able to answer yes to these additional questions: </p> <ul>     <li>Will you, or one of your siblings or spouse who live in the home, be 65 or older by December 31st?     </li>     <li>Is the combined income of all owners who live in the home and their spouses $86,000 a year or less?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://tax.ny.gov/pit/property/star/default.htm"" target=""_blank"">STAR website</a> for more information.<br> </p>",,,English,STAR
"<p>     All New Yorkers can get help understanding and enrolling in health insurance. Depending on your age and income, you may also be eligible for public health insurance. </p>","<p>     <strong>Visit the websites</strong> </p> <p>     Find out more about public insurance on the <a href=""http://www1.nyc.gov/site/hra/help/health-assistance.page"" target=""_blank"">HRA Health Assistance website</a>. </p> <p>     Learn more about your options on the <a href=""https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page"" target=""_blank"">Citywide Health Insurance Access website</a>. </p> <p>     <a href=""http://www1.nyc.gov/site/ochia/index.page"" target=""_blank""></a> </p>","<p>     If you are age 65 and over, or on Medicare, or need Medicaid related to a disability, you can complete and mail your <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Public_Health_Insurance_Application_EN.pdf"" target=""_blank"">application</a> and <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/PHI_SupplementA_EN.pdf"" target=""_blank"">Supplement A form</a> to: </p> <p>     <strong>MAP Initial Eligibility Unit<br></strong>PO Box 24390,<br>     Brooklyn, NY 11202 </p>",,English,
"<p>     To be eligible for Intern & Earn, you should be able to answer yes to these questions. </p> <ul>     <li>Are you 16 - 24 years old?     </li>     <li>Are you currently <strong>not</strong> enrolled in school, and <strong>not</strong> working?     </li>     <li>Did you <strong>not</strong> have an associate's or bachelor's degree?     </li> </ul>",,,,English,
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Do you have a child under six years old, an adult over 60 years old, or anyone with a permanent disability living with you?     </li>     <li>Are you and the people you live with US citizens or legal immigrants?     </li>     <li>Do you meet one of the following income guidelines?         <ul>             <li>You receive SNAP benefits, Temporary Assistance, or Code A Supplemental Security Income.             </li>             <li>Your family is at or under the income guidelines.             </li>         </ul>         <table>             <thead>                 <tr>                     <td>                         <strong>Family Size</strong>                     </td>                     <td>                         <strong>Income in a year</strong>                     </td>                     <td>                         <strong>Income in a month</strong>                     </td>                     <td>                         <strong>Income in a week</strong>                     </td>                 </tr>             </thead>             <tbody>                 <tr>                     <td>                         1                     </td>                     <td>                         $28,692                     </td>                     <td>                         $2,391                     </td>                     <td>                         $552                     </td>                 </tr>                 <tr>                     <td>                         2                     </td>                     <td>                         $37,524                     </td>                     <td>                         $3,127                     </td>                     <td>                         $722                     </td>                 </tr>                 <tr>                     <td>                         3                     </td>                     <td>                         $46,356                     </td>                     <td>                         $3,863<br>                     </td>                     <td>                         $891                     </td>                 </tr>                 <tr>                     <td>                         4                     </td>                     <td>                         $55,176                     </td>                     <td>                         $4,598                     </td>                     <td>                         $1,061                     </td>                 </tr>                 <tr>                     <td>                         5                     </td>                     <td>                         $64,008                     </td>                     <td>                         $5,334                     </td>                     <td>                         $1,231                     </td>                 </tr>                 <tr>                     <td>                         6                     </td>                     <td>                         $74,496                     </td>                     <td>                         $6,070                     </td>                     <td>                         $1,401                     </td>                 </tr>                 <tr>                     <td>                         7                     </td>                     <td>                         $74,496                     </td>                     <td>                         $6,208                     </td>                     <td>                         $1,433                     </td>                 </tr>                 <tr>                     <td>                         8                     </td>                     <td>                         $76,152                     </td>                     <td>                         $4,346                     </td>                     <td>                         $1,464                     </td>                 </tr>                 <tr>                     <td>                         9                     </td>                     <td>                         $77,796                     </td>                     <td>                         $6,483                     </td>                     <td>                         $1,496                     </td>                 </tr>                 <tr>                     <td>                         10                     </td>                     <td>                         $79,452                     </td>                     <td>                         $6,621                     </td>                     <td>                         $1,528                     </td>                 </tr>                 <tr>                     <td>                         11                     </td>                     <td>                         $83,016                     </td>                     <td>                         $6,918                     </td>                     <td>                         $1,596                     </td>                 </tr>                 <tr>                     <td>                         <strong>For each additional person, add:</strong><br>                     </td>                     <td>                         $6,450                     </td>                     <td>                         $540                     </td>                     <td>                         $124                     </td>                 </tr>             </tbody>         </table>     </li> </ul>If you need emergency HEAP benefits, you should also be able to answer yes to these questions: <ul>     <li>Is your heat shut off or about to be shut off, or is your fuel tank a quarter full or less?     </li>     <li>Is the heating and/or electric bill in your name?     </li>     <li>Are your household\u2019s available resources:<br>         <ul>             <li>less than $3,000 if there is a member age 60 or older, or             </li>             <li>or less than $2,000 if there is no member age 60 or older?             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/hra/help/energy-assistance.page"" target=""_blank"">HEAP website</a> for more information. </p>","<p>     Apply for HEAP by mail if: </p> <ul>     <li>the head of house is disabled and gets Retirement Survivor\u2019s, or Disability Insurance, or     </li>     <li>the head of household is aged 60 or older, or     </li>     <li>the household is Code A SSI, or     </li>     <li>the household is receiving Cash Assistance or SNAP<br>         <strong>Applications should be mailed to</strong>:<br>         New York City Home Energy Assistance Program<br>         P.O. Box 1401, Church Street Station<br>         New York, NY, 10008     </li> </ul>",https://access.nyc.gov/wp-content/uploads/2017/11/HEAP_ApplInst_EN.pdf,English,HEAP
"<p>     To be eligible for ECDC services, you should be able to answer yes to these questions:<br> </p> <ul>     <li>Is your child five years old or younger?     </li>     <li>Does your child have a diagnosed or suspected physical, mental, or emotional disability?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.p12.nysed.gov/specialed/techassist/ecdc/home.html"" target=""_blank"">NY State ECDC website</a> to learn more about ECDC's services. </p>",,,English,ECDC
"<p>     You or your child may be eligible if you can answer yes to these questions: </p> <ul>     <li>Are you:         <ul>             <li>pregnant;             </li>             <li>a mother of a baby up to six months;             </li>             <li>a breastfeeding mother of a baby up to 12 months old; <strong>OR</strong>             </li>             <li>the parent of a child who is five years old or younger?             </li>         </ul>     </li>     <li>Do you live in New York State?     </li> </ul> <p>     WIC also looks at your income to determine if you are eligible. You can use <a href=""http://access.nyc.gov"" target=""_blank"">ACCESS NYC</a> to screen and see if you might be eligible. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.health.ny.gov/prevention/nutrition/wic/"" target=""_blank"">WIC website</a> to learn more.<a href=""http://www.health.ny.gov/prevention/nutrition/wic/""></a> </p>",,https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form_For_Infant_EN.pdf,English,WIC
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Are you a woman or a girl who is 28 weeks pregnant or less with your first baby?     </li>     <li>If you are over 18 years old, do you live in a zip code listed on the <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/ms/nfp-area-map.pdf"" target=""_blank"">NFP service map</a>?     </li>     <li>Do you meet the income requirements?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $35,520             </td>             <td>                 $2,960             </td>             <td>                 $740             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $44,796             </td>             <td>                 $3,733             </td>             <td>                 $933.25             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $55,272             </td>             <td>                 $4,606             </td>             <td>                 $1,151.50             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $63,360             </td>             <td>                 $5,280             </td>             <td>                 $1,320<br>             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $72,636             </td>             <td>                 $6,053             </td>             <td>                 $1,513.25             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $81,912             </td>             <td>                 $6,826             </td>             <td>                 $1,706.50             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $91,188             </td>             <td>                 $7,599             </td>             <td>                 $1,899.75             </td>         </tr>     </tbody> </table> <p>     <strong>Exceptions</strong>: </p> <ul>     <li>All NYC girls under 18 years old are eligible, regardless of ZIP code.     </li>     <li>All women and girls are eligible if they are: homeless or incarcerated, in foster care, or involved in the juvenile justice system.     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/doh/health/health-topics/nurse-family-partnership.page"" target=""_blank"">NYC NFP website</a> to find out more. </p>","<p>     If you are a service provider, you can refer your patients/clients to NFP by filling in the referral form and mailing or faxing it to the locations listed on the form. </p>",https://access.nyc.gov/wp-content/uploads/2017/03/NFP-Client-Referral-Form.EN_.pdf,English,NYC NFP
"<p>     Eligible children must: </p> <ul>     <li>Be 21 years old or younger, have health conditions, and need extra health care and assistance     </li>     <li>Live in NYC     </li>     <li>Have been diagnosed with or be suspected to have a serious or chronic health condition, physical disability, or developmental or emotional/behavioral condition     </li> </ul>",,,,English,CSHCN
"<p>     You may be eligible if you can answer yes to these questions. </p> <ul>     <li>Do you live in NYC?     </li>     <li>Are you currently enrolled in high school or college?     </li>     <li>Are you between 16 and 22 years old?     </li>     <li>Do you have previous work experience (even as a volunteer)?     </li>     <li>If you are under 18 years old, do you have your working papers?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/nyc-ladders-for-leaders.page"" target=""_blank"">DYCD website</a> to learn more. </p>",,,English,
"<ul>     <li>Anyone 18 years or older is eligibile and can use a Workforce1 Career Center.     </li>     <li>There are no income, citizenship, or residency requirements     </li> </ul>","<p>     <strong>Visit an online resouce</strong> </p> <p>     Visit an online <a href=""http://www.nyc.gov/html/sbs/wf1/html/contact/library.shtml"" target=""_blank"">resource library</a> for commonly asked questions. </p>",,https://access.nyc.gov/wp-content/uploads/2017/03/Workforce1_Customer_Information_Fom.pdf,English,
"<p>     All NYC youth, regardless of ability to pay, immigration status, or sexual orientation, disability, sexual orientation, or gender identity are eligible for care at YouthHealth clinics. </p>",,,,English,
"<ul>     <li>To be eligible to file your taxes in person for free, your income must be $54,000 or less for the previous year.     </li>     <li>To be eligible to file your taxes online for free, your income must be $66,000 or less for the previous year.     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page"" target=""_blank"">NYC Department of Consumer Affairs website</a> for more information. </p>",,,English,
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Is your child three or four years old?     </li>     <li>Is your family already receiving services from either ACS or the NYC Human Resources Administration (HRA)?     </li>     <li>Is your income equal to or less than program income requirements?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $12,140             </td>             <td>                 $1,012             </td>             <td>                 $233             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $16,460             </td>             <td>                 $1,372             </td>             <td>                 $317             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $20,780             </td>             <td>                 $1,732             </td>             <td>                 $400             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $25,100             </td>             <td>                 $2,092             </td>             <td>                 $483             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $29,420             </td>             <td>                 $2,452             </td>             <td>                 $566             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $33,740             </td>             <td>                 $2,812             </td>             <td>                 $649             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $38,060             </td>             <td>                 $3,172             </td>             <td>                 $732             </td>         </tr>         <tr>             <td>                 8             </td>             <td>                 $42,380             </td>             <td>                 $3,532             </td>             <td>                 $815<br>             </td>         </tr>         <tr>             <td>                 for each additional person, add:             </td>             <td>                 $4,320             </td>             <td>                 $360             </td>             <td>                 $ 83             </td>         </tr>     </tbody> </table>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/acs/early-care/acs-child-care-options.page"" target=""_blank"">EarlyLearn NYC Head Start website</a> for more information. </p>",,,English,
"<p>     To be eligible for APS, you should be able to answer yes to the following questions: </p> <ul>     <li>Are you 18 years or older?     </li>     <li>Do you have a physical and/or mental disability?     </li>     <li>Are you unable to manage your own resources, carry out daily activities, or protect yourself from dangerous situations without help from others?     </li>     <li>Do you have no one else who is able to help you?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/hra/help/adult-protective-services.page"" target=""_blank"">APS website</a> for more information. </p>",,,English,APS
"<p>     All women who live in NYC, regardless of your ability to pay, can get help at a NYC Health + Hospitals center. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.nychealthandhospitals.org/services/womens-health/"" target=""_blank""><u>NYC Health + Hospitals Women's Health website</u></a> to learn more. </p>",,,English,
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Do you live in New York State?     </li>     <li>Are you a US citizen, national, Native American, or have <a href=""https://www.health.ny.gov/health_care/medicaid/reference/mrg/june2010/page454-454-1.pdf"" target=""_blank"">satisfactory immigration status</a>?     </li>     <li>Do you have insurance (or no insurance) other than Medicaid?         <ul>             <li>If you have Medicaid, confidential family planning is already included in your coverage             </li>         </ul>     </li>     <li>Is your income equal to or less than program income requirements?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $27,072             </td>             <td>                 $2,257             </td>             <td>                 $521<br>             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $36,706             </td>             <td>                 $3,059             </td>             <td>                 $706<br>             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $46,339             </td>             <td>                 $3,862             </td>             <td>                 $891<br>             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $55,973             </td>             <td>                 $4,665<br>             </td>             <td>                 $1,077<br>             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $65,607             </td>             <td>                 $5,468             </td>             <td>                 $1,262<br>             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $75,240             </td>             <td>                 $6,271<br>             </td>             <td>                 $1,447<br>             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $84,874             </td>             <td>                 $7,073             </td>             <td>                 $1,632<br>             </td>         </tr>         <tr>             <td>                 8             </td>             <td>                 $94,507             </td>             <td>                 $7,876             </td>             <td>                 $1,818             </td>         </tr>         <tr>             <td>                 For each additional person, add:             </td>             <td>                 $9,634             </td>             <td>                 $803             </td>             <td>                 $185             </td>         </tr>     </tbody> </table>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.health.ny.gov/health_care/medicaid/program/longterm/familyplanbenprog.htm"" target=""_blank"">FPBP website</a> to learn more about this program. </p>",,https://access.nyc.gov/wp-content/uploads/2017/03/FPBP_applicationinstructions_EN.pdf,English,FPBP
<p>     Anyone who lives in NYC and is ages 10 or older is eligible to apply for an IDNYC card. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/idnyc/index.page"" target=""_blank"">IDNYC website</a> for more information on how to apply and IDNYC benefits. </p>",,,English,
"<p>     All New York City families with a child born in 2014 can apply to Pre-K for All starting on February 5, 2018. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://nyc.gov/prek"" target=""_blank"">Pre-K website</a> to find a program and learn more. </p>",,,English,Pre-K
"<p>     All NYC students, in kindergarten to 12th grade, are eligible to enroll in COMPASS programs. </p>","<p>     <strong>Visit the websites</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page"" target=""_blank"">COMPASS website</a> to learn more.<br> </p> <p>     Visit the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD website</a> to learn about all of the programs COMPASS NYC offers.<br> </p>",,,English,COMPASS NYC
"<p>     You or your child may be eligible if you can answer yes to these questions: </p> <ul>     <li>Are you:         <ul>             <li>pregnant;             </li>             <li>a mother of a baby up to six months;             </li>             <li>a breastfeeding mother of a baby up to 12 months old; <strong>OR</strong>             </li>             <li>the parent of a child who is five years old or younger?             </li>         </ul>     </li>     <li>Do you live in New York State?     </li> </ul> <p>     WIC also looks at your income to determine if you are eligible. You can use <a href=""http://access.nyc.gov"" target=""_blank"">ACCESS NYC</a> to screen and see if you might be eligible. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.health.ny.gov/prevention/nutrition/wic/"" target=""_blank"">WIC website</a> to learn more.<a href=""http://www.health.ny.gov/prevention/nutrition/wic/""></a> </p>",,https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form_For_Infant_EN.pdf,English,WIC
"<p>     This program looks at several things to decide if you are eligible. They include: </p> <ul>     <li>how much money you earn     </li>     <li>how much money you receive from benefits     </li>     <li>how many people are in your house     </li>     <li>your citizenship or immigration status     </li> </ul> <p>     With a few questions, we can help you <a href=""http://nyc.gov/accessnyc"" target=""_blank"">find out if you may be eligible</a>. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page"" target=""_blank"">SNAP website</a> to learn more about this program. </p>","<ol>     <li>Print a paper application, pick one up from a SNAP Center, or call the HRA Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> to have a paper application mailed to you.     </li>     <li>Mail the application and copies of your documents to:<br>         <strong>Division of SNAP Services, Mail Application & Referral Unit (MARU),</strong><br>         P.O. Box 24510<br>         Brooklyn, NY, 11201     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2018/09/SNAP_ApplandRecert_ENG.pdf,English,SNAP
"<p>     To be eligible for SES, you must be able to answer yes to these questions: </p> <ul>     <li>Are you 55 years of age or older?     </li>     <li>Are you unemployed?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dfta/services/senior-employment.page"" target=""_blank"">SES website</a> for more information. </p>","<ol>     <li>Download and complete the <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Senior_Employment_Services_Form.pdf"" target=""_blank"">Employment Assistance Services Form</a>.     </li>     <li>Mail the application to:<br>         Senior Employment Unit/SCSEP-Title V Program<br>         New York City Department for the Aging<br>         2 Lafayette St.<br>         New York, NY 10007     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2017/03/Senior_Employment_Services_Form.pdf,Spanish,SES
"<p>     To be eligible to apply for a NYC public high school, you must be able to answer yes to these questions:<br> </p> <ul>     <li>Are you a NYC resident?     </li>     <li>Are you currently an 8th grade student of a first-time 9th grade student?     </li> </ul> <p>     To be eligible for Coop Tech, you must be able to answer yes to these questions: </p> <ul>     <li>Are you a NYC resident?     </li>     <li>Are you 17-21 years old?     </li>     <li>Are you either in 11 or 12th grade, a District 79 program, or have already graduated high school?     </li>     <li>If you are still a student, have you earned at least 20 credits?     </li> </ul>","<p>     <strong>Visit the websites</strong> </p> <p>     Visit the <a href=""http://cte.nyc/"" target=""_blank""><u>CTE</u></a> or <a href=""https://www.schools.nyc.gov/school-life/learning/career-and-technical-education"" target=""_blank""><u>Department of Education</u></a> website to learn more about CTE.<br>     Visit the <a href=""http://www.co-optech.org/"" target=""_blank""><u>Coop Tech website</u></a> to learn more about their programs. </p>",,,English,CTE
"<ul>     <li>To be eligible for HUD-VASH, you must be eligible for VA health care and meet the <a href=""https://www.hudexchange.info/resources/documents/HomelessAssistanceActAmendedbyHEARTH.pdf"" target=""_blank"">federal definition of homelessness</a> or at risk of being homeless     </li>     <li>You must have income within the program guidelines and willingness to receive case management from the VA     </li>     <li>The National Call Center for Homeless Veterans can help you determine if you are eligible. Call <a href=""tel:877-424-3838"">877-424-3838</a> to find out     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.va.gov/homeless/hud-vash_eligibility.asp"" target=""_blank"">HUD-VASH website</a> for more information. </p>",,,English,HUD-VASH
"<p>     All NYC students, in 6th, 7th, and 8th grade, are eligible to enroll in SONYC programs. </p>","<p>     <strong>Visit the websites</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/after-school/schools-out-new-york-city-sonyc.page"" target=""_blank"">SONYC website</a> to learn more. </p>",,,English,SONYC
"<p>     To be eligible for SES, you must be able to answer yes to these questions: </p> <ul>     <li>Are you 55 years of age or older?     </li>     <li>Are you unemployed?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dfta/services/senior-employment.page"" target=""_blank"">SES website</a> for more information. </p>","<ol>     <li>Download and complete the <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Senior_Employment_Services_Form.pdf"" target=""_blank"">Employment Assistance Services Form</a>.     </li>     <li>Mail the application to:<br>         Senior Employment Unit/SCSEP-Title V Program<br>         New York City Department for the Aging<br>         2 Lafayette St.<br>         New York, NY 10007     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2017/03/Senior_Employment_Services_Form.pdf,Spanish,SES
"<p>     To be eligible for DHE, you should be able to answer yes to all of these questions: </p> <ul>     <li>Are all owners persons with disabilities, <strong>OR</strong> are other owners the spouses or siblings of the person(s) with disabilities?     </li>     <li>Is the property your primary residence?     </li>     <li>Is the combined income for all owners less than or equal to $58,399 per year?         <ul>             <li>Income does <strong>NOT</strong> include SSI or Cash Assistance benefits.             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page"" target=""_blank"">DHE website</a> to learn more.<br> </p>","<ol>     <li>Download and complete the initial exemption application. You can also contact <a href=""tel:311"">311</a> for an application to be mailed to you.     </li>     <li>You will be asked provide the borough, block, and lot (BBL) for your home. You can <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">use the Property Address Search</a> to determine this.     </li>     <li>Gather your required documents and include them with your application. Your application will not be processed without them.     </li>     <li>Mail your completed application and required documents to:<br>         New York City Department of Finance<br>         P.O.BOX 311<br>         Maplewood, NJ 07040-031     </li>     <li>Applications must be postmarked by March 15th for benefits to begin on July 1st each year     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2017/12/DHE-InitialAppl_EN.pdf,English,DHE
,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.schoolfoodnyc.org/EatAtSchool/nutritionstandards.htm"" target=""_blank"">SchoolFood website</a> to learn more.<br> </p>",,,English,
"<p>     Home care programs have different eligibility requirements, but they all require that you must be eligible for Medicaid. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/hra/help/long-term-care.page"" target=""_blank"">Home Care website</a> to find out more about the different home care options.<br> </p>",,,English,HCSP
,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.schoolfoodnyc.org/EatAtSchool/nutritionstandards.htm"" target=""_blank"">SchoolFood website</a> to learn more.<br> </p>",,,English,
"<p>     You or your child may be eligible if you can answer yes to these questions: </p> <ul>     <li>Are you:         <ul>             <li>pregnant;             </li>             <li>a mother of a baby up to six months;             </li>             <li>a breastfeeding mother of a baby up to 12 months old; <strong>OR</strong>             </li>             <li>the parent of a child who is five years old or younger?             </li>         </ul>     </li>     <li>Do you live in New York State?     </li> </ul> <p>     WIC also looks at your income to determine if you are eligible. You can use <a href=""http://access.nyc.gov"" target=""_blank"">ACCESS NYC</a> to screen and see if you might be eligible. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.health.ny.gov/prevention/nutrition/wic/"" target=""_blank"">WIC website</a> to learn more.<a href=""http://www.health.ny.gov/prevention/nutrition/wic/""></a> </p>",,https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form_For_Infant_EN.pdf,English,WIC
"<p>     To be eligible to apply for a NYC public high school, you must be able to answer yes to these questions:<br> </p> <ul>     <li>Are you a NYC resident?     </li>     <li>Are you currently an 8th grade student of a first-time 9th grade student?     </li> </ul> <p>     To be eligible for Coop Tech, you must be able to answer yes to these questions: </p> <ul>     <li>Are you a NYC resident?     </li>     <li>Are you 17-21 years old?     </li>     <li>Are you either in 11 or 12th grade, a District 79 program, or have already graduated high school?     </li>     <li>If you are still a student, have you earned at least 20 credits?     </li> </ul>","<p>     <strong>Visit the websites</strong> </p> <p>     Visit the <a href=""http://cte.nyc/"" target=""_blank""><u>CTE</u></a> or <a href=""https://www.schools.nyc.gov/school-life/learning/career-and-technical-education"" target=""_blank""><u>Department of Education</u></a> website to learn more about CTE.<br>     Visit the <a href=""http://www.co-optech.org/"" target=""_blank""><u>Coop Tech website</u></a> to learn more about their programs. </p>",,,English,CTE
<p>     All NYC families with children between one year and three years nine months are eligible for NYCELL. </p>,"<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""http://schools.nyc.gov/Academics/EarlyChildhood/parentfamilies/NYCELL.htm"" target=""_blank""><u>NYCELL website</u></a> for more information. </p>",,,English,NYCELL
