get_help_summary,age_group,government_agency,get_help_by_calling_311,program_category,program_code,apply_in_person_call_to_action,office_locations_url,program_description,how_to_apply_summary
"<ul>     <li>Visit the <a href=""http://www.nyc.gov/nycitizenship"" target=""_blank"">NYCitizenship</a> website for more information.     </li>     <li>Call <a href=""tel:311"">311</a> and say ""citizenship appointment"" to receive assistance.     </li> </ul>",Everyone,NYC Mayor's Office of  Immigrant Affairs,"<p>     <strong>Call 311</strong> </p> <p>     Ask for ""Citizenship appointment\u201d to make appointments in order to receive services. </p>",Family services,,,,<p>     NYCitizenship provides free legal assistance with citizenship applications and financial counseling at select NYC public libraries and in partnership with the Department of Social Services. </p>,"<p>     To receive services, call <a href=""tel:311"">311</a> and say ""citizenship appointment""<strong>. No walk-ins.</strong><br>     Services are available at select NYC libraries. </p> <ul>     <li>         <a href=""https://www.bklynlibrary.org/learn/immigrants/citizenship"" target=""_blank""><strong>Brooklyn Public Library</strong></a>:<br>         <a href=""https://www.bklynlibrary.org/locations/eastern-parkway"" target=""_blank"">Eastern Parkway Library</a>, <a href=""https://www.bklynlibrary.org/locations/flatbush"" target=""_blank"">Flatbush Library</a>, <a href=""https://www.bklynlibrary.org/locations/kings-highway"" target=""_blank"">Kings Highway Library</a>, <a href=""https://www.bklynlibrary.org/locations/new-utrecht"" target=""_blank"">New Utrecht Library<br></a><br>     </li>     <li>         <a href=""https://www.nypl.org/help/community-outreach/nycitizenship"" target=""_blank""><strong>New York Public Library</strong></a>:<br>         <a href=""https://www.nypl.org/locations/bronx-library-center"" target=""_blank"">Bronx Library Center</a>, <a href=""https://www.nypl.org/locations/sibl"" target=""_blank"">Science Business and Industry Library- Midtown</a>, <a href=""https://www.nypl.org/locations/st-george-library-center"" target=""_blank"">St. George Library Center- Staten Island</a>, <a href=""https://www.nypl.org/locations/inwood"" target=""_blank"">Inwood Library</a>     </li> </ul> <ul>     <li>         <a href=""http://www.queenslibrary.org/services/citizenship-immigration/nycitizenship-sessions"" target=""_blank""><strong>Queens Public Library</strong></a>:<br>         <a href=""http://www.queenslibrary.org/branch/Jackson-Heights/"" target=""_blank"">Jackson Heights Library</a>, <a href=""http://www.queenslibrary.org/branch/Central-Library"" target=""_blank"">Central Library- Jamaica</a>, <a href=""http://www.queenslibrary.org/branch/Flushing"" target=""_blank"">Flushing Library</a>, <a href=""http://www.queenslibrary.org/branch/Astoria"" target=""_blank"">Astoria Library</a>     </li> </ul>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page"" target=""_blank"">NYC Department of Consumer Affairs website</a> for more information.     </li>     <li>If you qualify, visit a <a href=""https://access.nyc.gov/locations/?programs=6861"" target=""_blank"">tax prep location</a> to get help filing your taxes in person.     </li>     <li>Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE).     </li>     <li>Call <a href=""tel:311"">311</a> and ask for tax preparation assistance.     </li> </ul>",Everyone,NYC Department of Consumer Affairs / IRS,<p>     <strong>Call 311</strong> </p> <p>     Ask for tax preparation assistance. </p>,Cash &amp; expenses,S2R004,Find a tax prep location,https://access.nyc.gov/locations/?programs=6861,"<p>     CTC allows people with qualifying children to lessen their federal income tax by up to $1,000. You can claim both CTC and the credit for Child and Dependent Care expenses. </p>","<ul>     <li>File online: you can <a href=""http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page"" target=""_blank"">file your taxes online</a>, using one of the free sites the City recommends.     </li>     <li>File in-person: you may qualify to have your taxes prepared for free in person at one of the <a href=""https://access.nyc.gov/locations/?programs=6861"" target=""_blank"">tax prep locations near you</a>.     </li>     <li>To claim your CTC, you must file <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040.pdf"" target=""_blank"">Form 1040</a>, <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040A.pdf"" target=""_blank"">Form 1040A</a>, or Form <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040NR.pdf"" target=""_blank"">1040NR</a>.     </li> </ul>"
"<ul>     <li>Visit the <a href=""http://www1.cuny.edu/sites/asap/"" target=""_blank""><u>CUNY ASAP website</u></a> to learn more about the program.     </li>     <li>Drop by the <a href=""http://www2.cuny.edu/admissions/undergraduate/welcomecenter/""><u>CUNY Welcome Center</u></a> for help with your CUNY application and to learn more about other CUNY programs.<br>         217 E. 42nd St.<br>         New York, NY 1001     </li> </ul>","Teen, Young Adult",The City University of New York (CUNY),,Education,,,,"<p>     CUNY ASAP helps students earn an associate degree within three years by providing financial, academic, and personal support. Students benefit from: </p> <ul>     <li>Free unlimited MetroCards     </li>     <li>Textbook vouchers to reduce (or eliminate) the cost of textbooks     </li>     <li>Full-tuition assistance (for students on financial aid)     </li>     <li>A dedicated ASAP advisor     </li>     <li>Special registration options and consolidated schedules     </li>     <li>Career development and academic support     </li> </ul>","<p>     To join ASAP, follow these easy steps: </p> <ul>     <li>         <a href=""http://www1.cuny.edu/sites/asap/join-asap/#join-us"" target=""_blank""><u>Apply to a CUNY college</u></a> that has ASAP.     </li>     <li>Complete the <a href=""http://www.fafsa.gov/"" target=""_blank""><u>Free Application for Federal Student Aid (FAFSA</u></a>) and the <a href=""http://www.hesc.ny.gov/"" target=""_blank""><u>New York State Tuition Assistance Program (TAP) application</u></a>.     </li>     <li>Accept your offer of admission.     </li>     <li>Complete all admissions requirements for your college, including the <a href=""http://www2.cuny.edu/academics/testing/""><u>CUNY Assessment Tests</u></a> if necessary.     </li>     <li>         <a href=""http://www1.cuny.edu/sites/asap/contact/""><u>Check your college's ASAP website</u></a> for information on additional requirements and next steps.     </li> </ul>"
"<ul>     <li>Find <a href=""http://www.schoolfoodnyc.org/sch_search/summermeals.aspx"" target=""_blank"">Free Summer Meals locations</a>.     </li>     <li>Visit the <a href=""http://www.schoolfoodnyc.org/"" target=""_blank"">SchoolFood website</a> to find out more.     </li>     <li>Call the SchoolFood Summer meals team at <a href=""tel:718-707-4398"">718-707-4398</a> if you have questions.     </li>     <li>Call the SchoolFood\u2019s Help Desk at <a href=""tel:877-363-6325"">877-363-6325</a> if you have questions.     </li> </ul>","Grade-Schooler, Pre-Teen, Teen, Young Adult",NYC Department of Education,<p>     <strong>Call 311</strong><br> </p> <p>     Ask for Summer Meals assistance. </p>,Food,S2R023,,,"<p>     During the summer, children can get free breakfast and lunch. Locations include schools, libraries, community pools, and NYCHA buildings. There are also food trucks at some beaches, parks, and playgrounds. </p>","<p>     There is no registration required to enjoy free breakfast or lunch at one of our many <a href=""http://www.schoolfoodnyc.org/sch_search/summermeals.aspx"" target=""_blank"">community locations</a>. Children 18 years and younger just need to walk in to one of our many locations. </p>"
"<p>     <strong>Talk to a counselor</strong> <strong>now</strong><br> </p> <ul>     <li>Call <a href=""tel:888-692-9355"">888-NYC-WELL</a> to speak with a counselor at anytime.<br>         <ul>             <li>For Spanish, press 3             </li>             <li>For Chinese, press 4             </li>         </ul>     </li>     <li>Call <a href=""tel:711"">711</a> if you need relay service for deaf or hard of hearing.     </li> </ul> <p>     <strong>Text a counselor now</strong><br> </p> <ul>     <li>Text WELL to <a href=""sms:65173"">65173</a> at anytime to communicate with a counselor. When prompted text:<br>         <ul>             <li>1 for English             </li>             <li>2 for Spanish             </li>             <li>3 for Chinese             </li>         </ul>     </li> </ul> <p>     <strong>Chat with a counselor now</strong><br> </p> <ul>     <li>Go to the <a href=""https://nycwell.cityofnewyork.us/en/get-help-now/chat-with-a-counselor-now/"" target=""_blank"">NYC Well website</a> to chat with a counselor at anytime.     </li> </ul> <p>     Visit the <a href=""https://nycwell.cityofnewyork.us/en/"" target=""_blank"">NYC Well website</a> for more information on available mental health service. </p>",Everyone,NYC Department of Health & Mental Hygiene,<p>     <strong>Call 311</strong> </p> <p>     Ask for NYC Well. </p>,Health,,,,"<p>     NYC Well is your connection to free private mental health support. You can connect to a counselor by phone, text, or chat and get help with problems like stress, depression, anxiety, or drug and alcohol misuse. </p>",
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page"" target=""_blank"">NYC Department of Consumer Affairs website</a> for more information.     </li>     <li>If you qualify, visit a <a href=""https://access.nyc.gov/locations/?programs=6875"" target=""_blank"">tax prep location</a> to get help filing your taxes in person.     </li>     <li>Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE).     </li>     <li>Call <a href=""tel:311"">311</a> and ask for tax preparation assistance.     </li> </ul>",Everyone,NYC Department of Consumer Affairs / IRS,<p>     <strong>Call 311</strong> </p> <p>     Ask for Tax Preparation assistance. </p>,Cash &amp; expenses,S2R001,Find a tax prep location,https://access.nyc.gov/locations/?programs=6875,"<p>     This tax credit helps working families pay for the care of children, adult dependents, or disabled spouses. You can claim up to $3,000 in expenses for one dependent or $6,000 for more than one when you file your taxes. </p>","<ul>     <li>File online: you can <a href=""http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page"" target=""_blank"">file your taxes online</a>, using one of the free sites the City recommends.     </li>     <li>File in-person: you may qualify to have your taxes prepared for free in person at one of the <a href=""https://access.nyc.gov/locations/?programs=6875"" target=""_blank"">tax prep locations near you</a>.     </li>     <li>You will need the following forms:<br>         <ul>             <li>Child and Dependent Care Expenses form: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_2441.pdf"" target=""_blank"">Form 2441</a>.             </li>             <li>U.S. Individual Income Tax Return: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040.pdf"" target=""_blank"">Form 1040</a> or <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040A.pdf"" target=""_blank"">Form 1040A</a>, or U.S. Nonresident Income Tax Return: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040NR.pdf"" target=""_blank"">Form 1040NR</a>.             </li>             <li>If you received dependent care benefits from your employer, you must complete Part III of <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_2441.pdf"" target=""_blank"">Form 2441</a>.             </li>         </ul>     </li> </ul>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page"" target=""_blank"">Veterans' Exemption website</a> for more information.     </li>     <li>Visit a <a href=""http://www1.nyc.gov/site/finance/pay-now/person.page"" target=""_blank"">Department of Finance office</a> to get help in person.     </li>     <li>Call <a href=""tel:311"">311</a> and ask about Veterans' Exemption to if you have questions about the program.     </li>     <li>Get help by mailing the Department of Finance:<br>         <strong>NYC Department of Finance</strong><br>         Correspondence Unit<br>         One Centre Street, 22nd Floor<br>         New York, NY 10007     </li> </ul>",Caregiver,NYC Department of Finance,<p>     <strong>Call 311</strong> </p> <p>     Ask about Veterans' Exemption. </p>,Cash &amp; expenses,S2R018,,,"<p>     Qualified Veterans, spouses or their un-remarried surviving spouses; parents of soldiers who died in the line of duty (Gold Star parent) can get a reduction to their property tax. </p>","<ul>     <li>Apply by mail: <a href=""https://access.nyc.gov/wp-content/uploads/2017/12/VeteransExemption-InitialAppl_EN.pdf"" target=""_blank"">Download the initial exemption application</a> form and mail it to:<br>         New York City Department of Finance<br>         P.O.BOX 311 Maplewood<br>         NJ 07040-0311     </li> </ul> <ul>     <li>You need to submit copies of all the required documents (DD-214 or separation papers; disability rating) with your application. Missing documents will cause delays in processing your application.<br>         <br>     </li>     <li>Your completed application and all required documents must be postmarked by March 15 (or the next business day if March 15 is on a weekend) for your exemption to begin on July 1 in the same year.     </li> </ul>"
"<ul>     <li>Visit <a href=""https://maps.nyc.gov/foodhelp/"" target=""_blank"">Foodhelp.nyc</a> for a map of food pantries and community kitchens near you.     </li>     <li>Call the Emergency Food Hotline at <a href=""tel:866-888-8777"">866-888-8777</a> for 24/7 information on locations and hours.     </li>     <li>Visit the nearest active <a href=""https://access.nyc.gov/locations/?&amp;programs=15061"" target=""_blank"">Emergency Food Assistance Program</a>.     </li> </ul>",Everyone,NYC Human Resources Administration,<p>     <strong>Call 311</strong> </p> <p>     Ask for Emergency Food Assistance Program. </p>,Food,,,,"<p>     There are two ways to get free food quickly: get groceries from a food pantry, or a cooked meal from a community kitchen. Find the closest food pantries and community kitchens by using the <a href=""https://maps.nyc.gov/foodhelp/#map-page"" target=""_blank"">Food Map</a>. </p>",
"<ul>     <li>Call <a href=""tel:1-800-543-3638"">1-800-LIFENET</a> to learn more     </li>     <li>See the <a href=""https://growingupnyc.cityofnewyork.us/wp-content/uploads/2018/11/Family_Resource_Centers_Public_Information_rev_61617.pdf"" target=""_blank"">Family Resource Centers Public document</a> to locate an FRC near you     </li> </ul>",Everyone,NYC Department of Health & Mental Hygiene,,Family services,,,,"<p>     Parents and their children who have emotional, behavioral, or mental health challenges can get individual and group-based services at Family Resource Centers (FRCs). Led by people who have had similar experiences, programs include advocacy, referrals and resources, skills development, and support groups for youth and caregivers. </p>","<p>     To receive services, parents or caregivers should contact the FRC closest to them. To find the closest FRC: </p> <ul>     <li>Download the <a href=""https://growingupnyc.cityofnewyork.us/wp-content/uploads/2018/11/Family_Resource_Centers_Public_Information_rev_61617.pdf"" target=""_blank"">Family Resource Centers Public Information document</a>     </li>     <li>Visit the <a href=""https://www.naminycmetro.org/family-support-liaison-center/"" target=""_blank"">National Alliance on Mental Illness (NAMI) website</a>     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://tax.ny.gov/pit/property/star/default.htm"" target=""_blank"">STAR website</a> for more information.     </li>     <li>Call <a href=""tel:311"">311</a> to find out more.     </li>     <li>Email the <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">NYC Department of Finance</a> if you have questions about STAR.     </li> </ul>",Caregiver,NYS Department of Taxation/ NYC Department of Finance,<p>     <strong>Call 311</strong> </p> <p>     Ask about the School Tax Relief Program. </p>,Cash &amp; expenses,S2R012,,,<p>     STAR provides property tax relief to New York State\u2019s homeowners. It lowers the tax burden on New York residents who live in school districts.<br> </p>,"<p>     You can <a href=""https://www8.tax.ny.gov/STRP/strpStart"" target=""_blank"">register for the STAR credit online</a> in just a few minutes. Your application will be reviewed automatically to see if you are eligible. </p>"
"<ul>     <li>Call the NY State of Health Marketplace at <a href=""https://afdcontent.gathercontent.com/item/855-355-5777"">855-355-5777</a> for information to enroll if you are under 65 years old.     </li>     <li>Call the HRA <mark class=""inline-comment"" data-thread-id=""f7685120-ea4e-4874-b60d-5164e46ae243"">Helpline</mark> at <a href=""tel:888-692-6116"">888-692-6116</a> for more information or <a href=""tel:311"">311</a> for general questions.     </li>     <li>Visit the <a href=""http://www1.nyc.gov/site/hra/help/health-assistance.page"" target=""_blank"">HRA Health assistance website</a> to find out more about public health insurance.     </li>     <li>Visit the <a href=""https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page"" target=""_blank"">Office of Citywide Health Insurance Access</a><a href=""http://www1.nyc.gov/site/ochia/index.page""></a> to learn more about health insurance options.     </li>     <li>Find a <a href=""http://www1.nyc.gov/apps/311utils/providerInformation.htm?serviceId=3820"" target=""_blank"">free health insurance assistor</a> to get help in person.     </li> </ul>",Everyone,NYC Human Resources Administration,<p>     <strong>Call 311</strong> </p> <p>     For general questions on health insurance. </p>,Health,S2R011,Enroll in person,https://access.nyc.gov/locations/?programs=6870,"<p>     Every New Yorker can get health insurance. There are low-cost and free plans for people who qualify, and counselors to help you choose a plan. </p>","<p>     If you are under age 65, you must apply through NY State of Health: </p> <ul>     <li>Enroll online through <a href=""https://nystateofhealth.ny.gov/"" target=""_blank"">NY State of Health website</a>.     </li>     <li>Call <mark class=""inline-comment"" data-thread-id=""7ec9f26f-35d5-4026-9312-8bde5d4f6e0d"">NY State of Health Marketplace</mark> at <a href=""tel:855-355-5777"">855-355-5777</a> or TTY: <a href=""tel:800-662-1220"">800-662-1220</a> to enroll by phone.     </li>     <li>         <a href=""http://www1.nyc.gov/apps/311utils/providerInformation.htm?serviceId=3820"" target=""_blank""></a>Find a <a href=""http://www1.nyc.gov/apps/311utils/providerInformation.htm?serviceId=3820"" target=""_blank"">free health insurance assistor</a> to help you enroll in person.     </li> </ul> <p>     If you are age 65 and over, or on Medicare, or need Medicaid related to a disability: </p> <ul>     <li>Get free <a href=""https://www1.nyc.gov/site/ochia/get-help/find-in-person-help.page"">in-person assistance</a> to enroll in Medicaid and get help to cover Medicare costs. You may also drop off or mail your completed <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Public_Health_Insurance_Application_EN.pdf"" target=""_blank"">application</a> and <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/PHI_SupplementA_EN.pdf"" target=""_blank"">Supplement A form</a> to:<br>         <strong>MAP Initial Eligibility Unit</strong><br>         PO Box 24390,<br>         Brooklyn, NY 11202<br>     </li>     <li>Call the HRA Helpline at <a href=""tel:888-692-6116"">888-692-6116</a> to enroll by phone.     </li>     <li>Call Department of Health & Mental Hygiene Enrollers at <a href=""tel:347-396-4705"" target=""_blank"">347-396-4705</a> to make an appointment to apply for or renew     </li> </ul>"
"<ul>     <li>Call DYCD Youth Connect at <a href=""tel:1-800-246-4646""><u>1-800-246-4646</u></a> if you have questions about this program.     </li>     <li>Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/young-adult-internship-program-yaip.page"" target=""_blank""><u>DYCD website</u></a> for more information.     </li> </ul>","Teen, Young Adult",NYC Department of Youth & Community Development,,Work,,,,<p>     Intern & Earn (formerly the Young Adult Internship Program) helps 16-24 year olds who are not working and not in school get short-term paid internships. Youth participate in 14 weeks of internships and work-readiness workshops. Youth also get help with job placement or enrollment in school or a job training program for up to nine months after the program. </p>,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank""><u>Discover DYCD</u></a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Young Adult Internship Programs"" from the ""All Programs"" dropdown     </li> </ol>"
"<ul>     <li>Visit the <a href=""https://www1.nyc.gov/site/hra/help/energy-assistance.page"" target=""_blank"">HEAP website</a> to find out more about this program.     </li>     <li>Call the Info line at <a href=""tel:800-692-0557"">800-692-0557</a> if you have questions about HEAP or <a href=""tel:212-835-7216"">212-835-7216</a> for operator assistance.     </li>     <li>Visit a <a href=""https://access.nyc.gov/locations/?programs=6871"" target=""_blank"">HEAP office</a> to get help in person.     </li> </ul>",Caregiver,NYC Human Resources Administration,<p>     <strong>Call 311</strong> </p> <p>     Ask for assistance with the Home Energey Assistance Program. </p>,Cash &amp; expenses,S2R019,Find a location,https://access.nyc.gov/locations/?programs=6871,"<p>     HEAP helps eligible households meet their home energy needs in the winter season. The money can pay for fuel, your utility source, equipment and/or repairs. The City pays the costs either directly to the company (heating benefit and/or utility benefit) or to the household (utility benefit only). </p>","<p>     You can apply for HEAP when it is in season, from November to March. </p> <ul>     <li>Apply in person by completing <a href=""https://access.nyc.gov/wp-content/uploads/2017/11/HEAP_ApplInst_EN.pdf"" target=""_blank"">the application</a> and submitting it at a <a href=""https://access.nyc.gov/locations/?programs=6871"" target=""_blank"">HEAP location</a>.     </li>     <li>You may also apply by mail if:<br>         <ul>             <li>the head of house is disabled and gets Retirement Survivor\u2019s Insurance or Disability Insurance, or             </li>             <li>the head of household is age 60 or older, or             </li>             <li>the household is Code A SSI, or             </li>             <li>the household is receiving Cash Assistance or SNAP<br>                 <strong>Applications should be mailed to:</strong><br>                 New York City Home Energy Assistance Program<br>                 P.O. Box 1401, Church Street Station<br>                 New York, NY, 10008             </li>         </ul>     </li>     <li>To apply for Emergency HEAP you must first apply and be approved for regular HEAP. You can apply over the phone by calling HEAP at <a href=""tel:212-835-7216"">212-835-7216</a>.     </li>     <li>         <a href=""tel:800-692-0557.""></a>To find out the status of your application call <a href=""tel:800-692-0557"">800-692-0557</a>.     </li> </ul>"
"<p>     Visit an ECDC in your borough: </p> <p>     <strong>Bronx</strong><br>     4419 Third Ave, Suite 2C, Bronx, NY 10457<br>     Call: <a href=""tel:347-271-8159"">347-271-8159</a> Email: <a href=""mailto:maura.org"">Maura Rosado</a><a href=""mailto:maura.org""><br></a><a href=""http://www.ecdcbronx.org/"" target=""_blank"">Visit the website</a> </p> <p>     <strong>Brooklyn</strong><br>     160 Lawrence Ave, Brooklyn, NY 11230<br>     Call: <a href=""tel:718-437-3794"">718-437-3794</a> Email: <a href=""mailto:ksamet.org"">Karen Samet</a><a href=""mailto:ksamet.org""><br></a><a href=""http://www.ucpnyc.org/ecdc"" target=""_blank"">Visit the website</a> </p> <p>     <strong>Manhattan</strong><br>     New York Presbyterian Hospital<br>     409 East 60th St, Suite 3-312, New York, NY 10022<br>     Call: <a href=""tel:212-746-6175"">212-746-6175</a> Email: <a href=""mailto:mrubinst.org"">Marilyn Rubinstein</a><br>     <a href=""http://nyp.org/ecdc"" target=""_blank"">Visit the website</a> </p> <p>     <strong>Queens</strong><br>     Queens Centers for Progress<br>     81-15 164th St, Jamaica, NY 11432<br>     Call: <a href=""tel:718-215-1299"">718-215-1299</a> Ext. 4001 Email: <a href=""mailto:cwarkala.org"">Catherine Warkala</a><a href=""mailto:cwarkala.org""><br></a><a href=""http://ecdc-queens.webs.com/"" target=""_blank"">Visit the website</a> </p> <p>     <strong>Staten Island</strong><br>     Staten Island University Hospital<br>     242 Mason Ave, 1st Flr, Staten Island, NY 10305<br>     Call: <a href=""tel:718-226-6670"">718-226-6670</a> Email: <a href=""mailto:Lkennedy30.edu"">Laura Kennedy</a><br>     <a href=""http://www.siuh.edu/ecdc"" target=""_blank"">Visit the website</a> </p>","Caregiver, Baby, Toddler, Pre-Schooler",NYS Department of Education,<p>     <strong>Call 311</strong> </p> <p>     Ask for Early Childhood Direction Centers. </p>,Special needs,,,,"<p>     If you have a child with physical, mental, or emotional disabilities, ECDCs can help. ECDCs provide information to members of the community about services for young children from birth to age five with diagnosed or suspected special needs. </p>",
"<ul>     <li>Visit the <a href=""https://www.health.ny.gov/prevention/nutrition/wic/"" target=""_blank"">WIC website</a> to learn more.     </li>     <li>Call the Growing Up Healthy Hotline at <a href=""tel:800-522-5006"">800-522-5006</a> for more information on WIC.     </li>     <li>Visit a <a href=""https://www.health.ny.gov/prevention/nutrition/wic/local_agencies.htm"" target=""_blank"">WIC office</a> near you to get help in person.     </li> </ul>","Caregiver, Baby, Toddler, Pre-Schooler",NYS Department of Health,"<p>     <strong>Call 311</strong><br> </p> <p>     Ask for Women, Infants, and Children assistance. </p>",Food,S2R022,Find a location,https://access.nyc.gov/locations/?programs=6888,"<p>     WIC provides free healthy food and services to low-income women and children which include nutrition counseling, breastfeeding support, health education, and referrals to help families stay healthy. The food you are allowed to buy is listed on a check or voucher and must be used at stores that accept WIC. </p>","<p>     To apply for WIC: </p> <ul>     <li>Find your <a href=""https://access.nyc.gov/locations/?programs=6888"" target=""_blank"">local WIC agency</a>, or call the Growing Up Healthy Hotline at <a href=""tel:800-522-5006"">800-522-5006</a> and ask for the location nearest to you.     </li>     <li>Gather your income, residency, and identity documents to bring with you.     </li>     <li>Call the WIC agency where you wish to receive services and make an appointment.     </li>     <li>A short nutrition assessment will be completed at the time of your appointment by a qualified WIC staff member.     </li> </ul> <p>     The staff will tell you if you need to bring the WIC Medical Referral Form for <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form-for_For_Women_EN.pdf"" target=""_blank"">you</a> and/or <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form_For_Infant_EN.pdf"" target=""_blank"">your child</a> completed by your health care provider. </p>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/doh/health/health-topics/nurse-family-partnership.page"" target=""_blank"">NYC NFP website</a> to find out more.     </li>     <li>Call NYC NFP at <a href=""tel:646-364-0714"">646-364-0714</a> for more information.     </li> </ul>","Caregiver, Baby, Young Adult",NYC Department of Health & Mental Hygiene,<p>     <strong>Call 311</strong><br> </p> <p>     Ask for assistance with NYC Nurse-Family Partnership. </p>,Family services,S2R029,,,<p>     NYC NFP is a home visiting program for low-income women and girls who are pregnant with their first baby. Trained nurses visit you at your home regularly from pregnancy until your baby is two years old and support you to become a knowledgeable and nurturing parent. </p>,"<p>     Woman and girls can find out if they are eligible by calling your nearest location. </p> <ul>     <li>Bronx: <a href=""tel:718-536-3789"">718-536-3789</a>     </li>     <li>Brooklyn: <a href=""tel:718-257-7208"">718-257-7208</a>     </li>     <li>Manhattan: <a href=""tel:212-939-8500"">212-939-8500</a>     </li>     <li>Queens: <a href=""tel:718-480-2222"">718-480-2222</a> (east) /<a href=""tel:347-571-2792"">347-571-2792</a> (north)     </li>     <li>Staten Island: <a href=""tel:718-313-1800"">718-313-1800</a>     </li>     <li>Foster care/shelter/justice-involved: <a href=""tel:646-364-0726"">646-364-0726</a>     </li> </ul> <p>     Service providers can refer patients/clients to NFP by using the <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/NFP-Client-Referral-Form.EN_.pdf"" target=""_blank"">referral form</a> and mailing or faxing it to the locations listed on the form. </p>"
"<ul>     <li>Visit the <a href=""https://www1.nyc.gov/site/doh/health/health-topics/children-with-special-healthcare-needs.page"" target=""_blank"">Children with Special Health Care Needs website</a> for more information     </li>     <li>For more information about finding the right medical providers and follow-ups, call <a href=""tel:347-396-4600"">347-396-4600</a>     </li>     <li>Call <a href=""tel:311"">311</a> with questions     </li> </ul>",Everyone,NYC Department of Health & Mental Hygiene,,Special needs,,,,"<p>     If your child has special medical needs, you can get help from the Children with Special Health Care Needs (CSHCN) program. CSHCN gives parents information about treatment for their children. You can get help finding health services and insurance, free or low-cost insurance referrals, and community resources. </p>",
"<ul>     <li>Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/nyc-ladders-for-leaders.page"" target=""_blank"">DYCD website</a> to learn more.     </li>     <li>Call DYCD Youth Connect at <a href=""tel:1-800-246-4646"">1-800-246-4646</a> if you have questions about this program.     </li> </ul>","Teen, Young Adult",NYC Department of Youth & Community Development,,Work,,,,"<p>     NYC Ladders for Leaders offers high school and college students paid summer internships at leading companies, non-profits, and government agencies. The program also offers help with: </p> <ul>     <li>resumes     </li>     <li>cover letters     </li>     <li>interviewing     </li>     <li>workplace readiness     </li>     <li>career and college exploration     </li> </ul> <p>     After the program, students can be part of the alumni network and attend networking events. </p>","<ul>     <li>Apply to the 2019 <a href=""https://application.nycsyep.com/"" target=""_blank"">Ladders for Leaders online</a> now.     </li>     <li>The application for Ladders for Leaders will only be available during the application period.     </li> </ul>"
