principal_phone_number,location_1,admin_district_location_code,fiscal_year
212-677-5190,"{'latitude': '40.719416', 'longitude': '-73.979581', 'human_address': '{""address"": ""111 COLUMBIA STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",HS04,2016
212-962-2188,"{'latitude': '40.710651', 'longitude': '-73.99742', 'human_address': '{""address"": ""80 CATHERINE STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10038""}'}",M802,2016
212-724-2039,"{'latitude': '40.786134', 'longitude': '-73.974483', 'human_address': '{""address"": ""145 WEST 84 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10024""}'}",HS07,2016
212-242-3384,"{'latitude': '40.736416', 'longitude': '-73.995731', 'human_address': '{""address"": ""34 WEST 14 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10011""}'}",HS12,2016
212-674-3180,"{'latitude': '40.72444', 'longitude': '-73.986214', 'human_address': '{""address"": ""121 EAST 3 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10009""}'}",M801,2016
212-247-0208,"{'latitude': '40.761327', 'longitude': '-73.988665', 'human_address': '{""address"": ""328 WEST 48 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10036""}'}",M802,2016
212-488-3330,"{'latitude': '40.743407', 'longitude': '-74.00254', 'human_address': '{""address"": ""351 WEST 18 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10011""}'}",HS04,2016
212-888-7870,"{'latitude': '40.759248', 'longitude': '-73.967204', 'human_address': '{""address"": ""231-249 EAST 56 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",M802,2016
212-348-1694,"{'latitude': '40.783286', 'longitude': '-73.945933', 'human_address': '{""address"": ""320 EAST 96 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10128""}'}",HS04,2016
212-614-8785,"{'latitude': '40.735328', 'longitude': '-73.981536', 'human_address': '{""address"": ""319 EAST 19 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",M802,2016
212-267-4133,"{'latitude': '40.71255', 'longitude': '-73.997478', 'human_address': '{""address"": ""8 HENRY STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10038""}'}",M802,2016
212-925-5017,"{'latitude': '40.716231', 'longitude': '-73.993607', 'human_address': '{""address"": ""100 HESTER STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",HS10,2016
212-496-0700,"{'latitude': '40.774202', 'longitude': '-73.985976', 'human_address': '{""address"": ""100 AMSTERDAM AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10023""}'}",HS03,2016
212-732-4392,"{'latitude': '40.71953', 'longitude': '-74.01088', 'human_address': '{""address"": ""334 GREENWICH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10013""}'}",M802,2016
917-441-0873,"{'latitude': '40.780536', 'longitude': '-73.977602', 'human_address': '{""address"": ""100 WEST 77 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10024""}'}",M803,2016
212-678-2865,"{'latitude': '40.806534', 'longitude': '-73.951451', 'human_address': '{""address"": ""220 WEST 121 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10027""}'}",M803,2016
212-668-0169,"{'latitude': '40.705688', 'longitude': '-74.013303', 'human_address': '{""address"": ""26 BROADWAY"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10004""}'}",HS03,2016
212-233-6034,"{'latitude': '40.71953', 'longitude': '-74.01088', 'human_address': '{""address"": ""292 GREENWICH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10007""}'}",M802,2016
212-876-5522,"{'latitude': '40.797205', 'longitude': '-73.941598', 'human_address': '{""address"": ""176 EAST 115 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10029""}'}",M804,2016
212-382-1875,"{'latitude': '40.756089', 'longitude': '-73.984381', 'human_address': '{""address"": ""123 WEST 43 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10036""}'}",HS04,2016
212-427-2798,"{'latitude': '40.785018', 'longitude': '-73.95042', 'human_address': '{""address"": ""1700 3 AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10128""}'}",M802,2016
212-799-2653,"{'latitude': '40.789479', 'longitude': '-73.968419', 'human_address': '{""address"": ""32 WEST 92 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}",M803,2016
212-717-8809,"{'latitude': '40.765638', 'longitude': '-73.959777', 'human_address': '{""address"": ""317 EAST 67 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10065""}'}",M802,2016
212-226-8410,"{'latitude': '40.716126', 'longitude': '-73.990826', 'human_address': '{""address"": ""71 HESTER STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",M802,2016
212-586-0981,"{'latitude': '40.765474', 'longitude': '-73.9927', 'human_address': '{""address"": ""525 WEST 50TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",HS03,2016
212-505-0745,"{'latitude': '40.717329', 'longitude': '-73.989329', 'human_address': '{""address"": ""350 GRAND STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",HS03,2016
212-678-2829,"{'latitude': '40.788925', 'longitude': '-73.972557', 'human_address': '{""address"": ""132 WEST 89 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10024""}'}",M803,2016
212-799-2534,"{'latitude': '40.789479', 'longitude': '-73.968419', 'human_address': '{""address"": ""32 WEST 92 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}",M803,2016
212-253-3110,"{'latitude': '40.735361', 'longitude': '-73.987064', 'human_address': '{""address"": ""40 IRVING PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",HS04,2016
212-678-7300,"{'latitude': '40.797136', 'longitude': '-73.966779', 'human_address': '{""address"": ""140 WEST 102 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}",HS10,2016
212-501-1235,"{'latitude': '40.774891', 'longitude': '-73.985608', 'human_address': '{""address"": ""122 AMSTERDAM AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10023""}'}",HS03,2016
212-505-0143,"{'latitude': '40.717329', 'longitude': '-73.989329', 'human_address': '{""address"": ""350 GRAND STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",HS04,2016
212-266-4800,"{'latitude': '40.711321', 'longitude': '-74.005473', 'human_address': '{""address"": ""12 SPRUCE STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10038""}'}",M802,2016
212-595-7193,"{'latitude': '40.780536', 'longitude': '-73.977602', 'human_address': '{""address"": ""100 WEST 77 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10024""}'}",M803,2016
212-860-5827,"{'latitude': '40.800616', 'longitude': '-73.939374', 'human_address': '{""address"": ""160 EAST 120 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10035""}'}",M804,2016
212-475-5500,"{'latitude': '40.735328', 'longitude': '-73.981536', 'human_address': '{""address"": ""319 EAST 19 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",M802,2016
212-517-5175,"{'latitude': '40.765638', 'longitude': '-73.959777', 'human_address': '{""address"": ""317 EAST 67 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10065""}'}",HS12,2016
212-860-5882,"{'latitude': '40.788668', 'longitude': '-73.944762', 'human_address': '{""address"": ""232 EAST 103 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10029""}'}",M804,2016
212-678-2857,"{'latitude': '40.799098', 'longitude': '-73.965611', 'human_address': '{""address"": ""150 WEST 105 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}",M803,2016
212-571-9268,"{'latitude': '40.71701', 'longitude': '-74.013967', 'human_address': '{""address"": ""201 WARREN STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10282""}'}",M802,2016
212-488-3645,"{'latitude': '40.743407', 'longitude': '-74.00254', 'human_address': '{""address"": ""351 WEST 18 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10011""}'}",HS07,2016
212-245-5925,"{'latitude': '40.763655', 'longitude': '-73.990318', 'human_address': '{""address"": ""439 WEST 49TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",HS04,2016
212-576-0530,"{'latitude': '40.74651', 'longitude': '-73.98107', 'human_address': '{""address"": ""111 EAST 33RD STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10016""}'}",HS04,2016
212-866-6313,"{'latitude': '40.795109', 'longitude': '-73.973996', 'human_address': '{""address"": ""735 WEST END AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}",M803,2016
212-576-0502,"{'latitude': '40.74651', 'longitude': '-73.98107', 'human_address': '{""address"": ""111 EAST 33RD STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10016""}'}",HS04,2016
212-757-5274,"{'latitude': '40.765474', 'longitude': '-73.9927', 'human_address': '{""address"": ""525 WEST 50TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",HS07,2016
212-860-5976,"{'latitude': '40.785559', 'longitude': '-73.940919', 'human_address': '{""address"": ""433 EAST 100 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10029""}'}",M804,2016
212-678-2861,"{'latitude': '40.8007', 'longitude': '-73.96327', 'human_address': '{""address"": ""103 WEST 107 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}",M803,2016
212-406-9411,"{'latitude': '40.713362', 'longitude': '-73.986051', 'human_address': '{""address"": ""220 HENRY STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",M801,2016
212-228-4433,"{'latitude': '40.726008', 'longitude': '-73.975058', 'human_address': '{""address"": ""730 EAST 12 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10009""}'}",M801,2016
212-346-0708,"{'latitude': '40.70927', 'longitude': '-74.012328', 'human_address': '{""address"": ""100 TRINITY PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10006""}'}",HS04,2016
212-602-9700,"{'latitude': '40.711125', 'longitude': '-73.985438', 'human_address': '{""address"": ""327 CHERRY STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",M801,2016
212-678-2908,"{'latitude': '40.806055', 'longitude': '-73.948385', 'human_address': '{""address"": ""134 WEST 122 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10027""}'}",M803,2016
212-501-1110,"{'latitude': '40.774891', 'longitude': '-73.985608', 'human_address': '{""address"": ""122 AMSTERDAM AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10023""}'}",HS03,2016
212-586-2943,"{'latitude': '40.765474', 'longitude': '-73.9927', 'human_address': '{""address"": ""525 WEST 50TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",HS04,2016
212-962-4341,"{'latitude': '40.712269', 'longitude': '-73.984128', 'human_address': '{""address"": ""200 MONROE STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",HS04,2016
212-348-2208,"{'latitude': '40.796889', 'longitude': '-73.930528', 'human_address': '{""address"": ""508 EAST 120 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10035""}'}",M804,2016
212-312-6260,"{'latitude': '40.708774', 'longitude': '-74.002407', 'human_address': '{""address"": ""1 PECK SLIP"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10038""}'}",M802,2016
212-799-4064,"{'latitude': '40.774891', 'longitude': '-73.985608', 'human_address': '{""address"": ""122 AMSTERDAM AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10023""}'}",HS03,2016
212-685-4366,"{'latitude': '40.744511', 'longitude': '-73.977906', 'human_address': '{""address"": ""210 EAST 33 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10016""}'}",M802,2016
212-246-2183,"{'latitude': '40.763655', 'longitude': '-73.990318', 'human_address': '{""address"": ""439 WEST 49TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",HS07,2016
212-524-4360,"{'latitude': '40.736526', 'longitude': '-73.992727', 'human_address': '{""address"": ""10 East 15th Street"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": ""10003""}'}",M802,2016
917-326-6609,"{'latitude': '40.738374', 'longitude': '-73.981329', 'human_address': '{""address"": ""223 EAST 23 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10010""}'}",M802,2016
212-980-0294,"{'latitude': '40.753598', 'longitude': '-73.956435', 'human_address': '{""address"": ""645 MAIN STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10044""}'}",M802,2016
212-247-8652,"{'latitude': '40.761327', 'longitude': '-73.988665', 'human_address': '{""address"": ""328 WEST 48 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10036""}'}",HS04,2016
212-477-1555,"{'latitude': '40.729661', 'longitude': '-73.992343', 'human_address': '{""address"": ""2-10 ASTOR PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",HS10,2016
212-262-8113,"{'latitude': '40.767848', 'longitude': '-73.98861', 'human_address': '{""address"": ""444 WEST 56 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",HS04,2016
212-995-1430,"{'latitude': '40.72313', 'longitude': '-73.981597', 'human_address': '{""address"": ""600 EAST 6 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10009""}'}",M801,2016
212-501-1201,"{'latitude': '40.774891', 'longitude': '-73.985608', 'human_address': '{""address"": ""122 AMSTERDAM AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10023""}'}",HS03,2016
212-251-6640,"{'latitude': '40.744288', 'longitude': '-73.972592', 'human_address': '{""address"": ""425 EAST 35TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10016""}'}",M802,2016
212-571-5659,"{'latitude': '40.71701', 'longitude': '-74.013967', 'human_address': '{""address"": ""201 WARREN STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10282""}'}",M802,2016
212-501-1198,"{'latitude': '40.774891', 'longitude': '-73.985608', 'human_address': '{""address"": ""122 AMSTERDAM AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10023""}'}",HS03,2016
